entry_index,method_category,method_node,title,设问,答题提醒,同题说明,has_claim_terms
79,三、创新思维,特点与三新,2026朝阳期中(2025-11) 第21题第（2）问,（2）结合材料二，运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）,,本题6分，细则认可超前／联想／逆向／三新／发散聚合五种创新思维方法，任选三种各2分；本条只训练其一，按细则任选三路径作答，单条不等于满分答案。,True
80,三、创新思维,特点与三新,2025门头沟一模 第21题第（1）问,"（1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）",,本题9分，分三组：辩证思维（辩证否定／整体性／动态性／分析综合，四选一）、科学思维（客观性／预见性，二选一）、创新思维（联想＋超前等，须选二合用）；各组择路径，本条只训练其一，单条不等于满分答案。,True
81,三、创新思维,特点与三新,2025东城期末 第18题第（2）问,（2）结合材料，运用《逻辑与思维》知识，说明登月服设计是如何体现创新思维的。（4分）,,"本题4分，细则分两层：创新思维表现／特点1分，具体方法层最高3分；联想思维、发散思维与聚合思维、超前思维等具体方法结合材料均可采分，具体方法层写对一点得2分、写对两点得3分。本条只训练其一，须“特点＋具体方法”结合材料作答。
发散思维与聚合思维",True
82,三、创新思维,特点与三新,2026东城一模 第19题第（4）问,（4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分）,本题评分要求还可从超前思维角度作答：围绕2035年全球科技创新引擎和关键枢纽目标，提前谋划成果转化链条和创新生态。正文已在超前思维章节补充对应角度。,本题5分，细则“系统观念知识1分＋创新思维知识1分”两维度并列；整体性（系统观念）与发散聚合／超前（创新思维）须两维度合答，本条只训练其一，单条不等于满分答案。,True
83,三、创新思维,特点与三新,2025东城期末 第18题第（2）问,（2）结合材料，运用《逻辑与思维》知识，说明登月服设计是如何体现创新思维的。（4分）,,本题4分，细则分两层：创新思维表现／特点1分，具体方法层最高3分；联想思维、发散思维与聚合思维、超前思维等具体方法结合材料均可采分，具体方法层写对一点得2分、写对两点得3分。本条只训练其一，须“特点＋具体方法”结合材料作答。,True
84,三、创新思维,特点与三新,2026丰台二模 第21题,结合材料，运用创新思维，分析该区是如何让公园成为乐学之地的。（6分）,“3+X”不是固定高考术语，可理解为3个基础模块加若干特色课程方向；作答时抓“多方向打开课程可能—多主体聚合成乐学生态圈”，不必背数字。,本题6分，创新思维方法分层给分，创新思维总述、联想思维、发散思维与聚合思维等为主要角度，超前思维、逆向思维等言之有理亦可酌情给分；本条只训练其一，须多角度组织方达高档。,False
85,三、创新思维,特点与三新,2026朝阳期中(2025-11) 第21题第（2）问,结合材料二，运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）,,本题6分，细则认可超前／联想／逆向／三新／发散聚合五种创新思维方法，任选三种各2分；本条只训练其一，按细则任选三路径作答，单条不等于满分答案。,True
86,三、创新思维,特点与三新,2026海淀一模 第17题（建议部分）,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,,本题建议部分4分，共2条建议（每条“建议1分＋知识1分”），知识角度可选科学思维（客观性／可检验性）、辩证思维（分析综合／矛盾分析法）、创新思维（发散聚合）等；两条建议各选一种不同角度，本条只训练其一（另：前半问为形式逻辑考点，本条只训练建议部分）。,True
87,三、创新思维,特点与三新,2024门头沟一模 第20题,结合材料，运用《逻辑与思维》知识，说明模拟提案的完成过程是如何体现科学思维的。（7分）,,本题7分，设问要求说明模拟提案的完成过程如何体现科学思维，可从科学思维客观性、分析与综合、发散思维与聚合思维等角度，围绕“发现问题—研究论证—形成提案”展开；本条只训练其一，完整作答须多角度合答，单条不等于满分答案。,False
88,三、创新思维,特点与三新,2026石景山一模 第17题第（2）问,（2）结合材料二，运用创新思维的知识，为传承中医药文化提出两条建议。（6分）,,"本题6分，提两条建议（每条3分），细则开放联想／发散／聚合／超前等创新思维方法、“其他角度亦可酌情给分”；每条建议任选一种方法，本条仅示范，须两条各选角度写满方得满分。
逆向思维",True
89,三、创新思维,特点与三新,2025房山一模 第16题第（3）问,（3）结合材料，运用创新思维知识，就“如何让琉璃河遗址‘热’起来”提两条建议。（4分）,,,False
90,三、创新思维,特点与三新,2025昌平二模 第19题,结合材料，分析沉浸式演艺是如何体现创新思维的。（8分）,,本题8分，采意赋分，可从逆向思维、发散思维与聚合思维、创新思维“三新”等层次融合论述；本条只训练其一，须综合多层有机论述方得满分。,False
91,三、创新思维,特点与三新,2026朝阳期中(2025-11) 第21题第（2）问,（2）结合材料二，运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）,,本题6分，细则认可超前／联想／逆向／三新／发散聚合五种创新思维方法，任选三种各2分；本条只训练其一，按细则任选三路径作答，单条不等于满分答案。,True
92,三、创新思维,特点与三新,2025海淀期末 第18题,结合材料，分析北京城市图书馆是如何运用创新思维建设新型公共文化空间的。（6分）,,"本题6分，逆向思维、联想思维、超前思维等创新角度均可采分；按作答较好的两个不同角度给分，不重复计分。本条只训练其一，完整作答须选取两个不同创新思维角度并结合材料展开。
超前思维",False
93,三、创新思维,特点与三新,2024西城一模 第19题第（5）问,（5）运用《逻辑与思维》的知识，说明应怎样研判我国未来产业发展的方向。（6分）,,,False
94,三、创新思维,特点与三新,2024东城一模 第18题第（3）问,（3）发展新质生产力，要正确认识传统产业和未来产业的关系。结合材料，运用《逻辑与思维》知识，谈谈你的看法。（6分）,,本题6分，开放等级赋分，须把“辩证否定（扬弃传统产业、既保留又改造）”与“超前思维（布局建设未来产业）”两个角度融入对“传统产业与未来产业关系”的整体论述；本条只训练其一，需两角度综合方达高档，单条不等于满分答案。,False
95,三、创新思维,特点与三新,2026顺义二模 第21题,结合材料，综合运用所学，阐述“先见”与“远虑”的传统理政智慧为何能成为支撑中国式现代化稳步前行、护航民族伟大复兴行稳致远的深厚精神底气与重要实践指引。（10分）,,,False
96,三、创新思维,特点与三新,2026朝阳期中(2025-11) 第21题第（2）问,（2）结合材料二，运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）,,本题6分，细则认可超前／联想／逆向／三新／发散聚合五种创新思维方法，任选三种各2分；本条只训练其一，按细则任选三路径作答，单条不等于满分答案。,True
97,三、创新思维,特点与三新,2026海淀期末 第20题第（2）问,（2）结合材料二，运用超前思维的方法，为该街道打造高品质城市书房提出合理建议。（6分）,同一大题第(1)问考形式逻辑和推理规则，本条只处理第(2)问超前思维建议，不与第(1)问混写。,,False
98,三、创新思维,特点与三新,2024朝阳期中 第19题,结合材料，分析“首发经济”的北京朝外样本的打造是如何体现创新思维的。,,,False
99,三、创新思维,特点与三新,2024顺义二模 第16题第（2）问,结合材料，运用《逻辑与思维》知识，说明如何运用超前思维加快推进“无废城市”建设系统化、科学化、长效化。（7分）,,,False
100,三、创新思维,特点与三新,2026石景山一模 第17题第（2）问,（2）结合材料二，运用创新思维的知识，为传承中医药文化提出两条建议。（6分）,,本题6分，提两条建议（每条3分），细则开放联想／发散／聚合／超前等创新思维方法、“其他角度亦可酌情给分”；每条建议任选一种方法，本条仅示范，须两条各选角度写满方得满分。,True
101,三、创新思维,特点与三新,2025门头沟一模 第21题第（1）问,"（1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）",,本题9分，分三组：辩证思维（辩证否定／整体性／动态性／分析综合，四选一）、科学思维（客观性／预见性，二选一）、创新思维（联想＋超前等，须选二合用）；各组择路径，本条只训练其一，单条不等于满分答案。,True
102,三、创新思维,特点与三新,2024丰台二模 第18题第（2）问,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,本题与科学思维预见性条目属于同一预测采分点；本条从超前思维角度写“预测前景”的合理性，同时仍要评析预测不是充分条件。,本题6分（评析题），细则踩点：观点片面1分、合理性1分、逻辑不足1—2分、其他角度≤2分。“预见性”与“超前思维”对应同一“合理性”采分点、二者择一即可（不可叠加）；“矛盾分析法”属“其他角度”层。本条只训练一个角度，单条不等于满分答案。,True
103,三、创新思维,特点与三新,2026东城二模 第18题,体检思维从人体健康领域延伸到治理领域，运用了哪种推理类型？结合材料，运用《逻辑与思维》知识，谈谈在治理领域运用这种推理的价值。（6分）,,,False
104,三、创新思维,特点与三新,2026西城一模 第16题,有人说，阅读是私事，多凭个人兴趣，为什么还需要国家立一部法呢？综合运用所学，谈谈你对这一问题的认识。（7分）,,,False
105,三、创新思维,特点与三新,2024房山一模 第20题第（1）问,结合材料，运用超前思维的知识，分析我们应如何在未来产业领域抢占先机。,,,False
106,三、创新思维,特点与三新,2026东城一模 第19题第（4）问,（4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分）,,"本题5分，细则“系统观念知识1分＋创新思维知识1分”两维度并列；整体性（系统观念）与发散聚合／超前（创新思维）须两维度合答，本条只训练其一，单条不等于满分答案。
—  本册完  —
飞哥正志讲堂",True
