"entry_id","question_id","reasoning_form","logical_structure","validity_or_fallacy","rule_kouling","answer_sentence","evidence_level","status","rubric_source"
"RF0052","Q0081","选言推理与逆向思维复合辨析","围棋一步棋存在多种可选走法，可用选言推理在备选方案中分析取舍；一步棋与双方局势相关，也可从对手、结果或相反方向倒推。","正确选B=①④；②把走法与结果的关系误挂必要条件假言判断；③把完全归纳推理绝对化。","多方案先看选言推理；从对手或结果反向审视时看逆向思维；不要把所有必然联系都写成必要条件，也不要把完全归纳说成取胜保证。","海淀一模 Q6 选 B。多种走法触发选言推理，双方关联触发逆向思维；必要条件和完全归纳两项不符合题干动作。","A-formal","source_locked_pending_external_review","gpt_sources/4bc0edec2a08a90e_高三政治_一模试题.md:98-105; gpt_sources/98d1d762f302004f_一模政治-答案.md:21-28"
"RF0053","Q0082","联言判断类型识别","“不是洋货买不起，而是国货更有性价比”可写成“并非P，并且Q”。选项C“前提真实，并且推理形式有效”也是联言判断。","正确选C；A为充分必要条件判断，B/D为条件判断。","看到“不是P，而是Q”先翻译为“非P并且Q”；判断类型题要找结构一致，而不是找语义话题相似。","海淀一模 Q7 选 C。题干句式是联言判断，选项C同样由两个判断通过“并且”联结。","A-formal","source_locked_pending_external_review","gpt_sources/4bc0edec2a08a90e_高三政治_一模试题.md:108-114; gpt_sources/98d1d762f302004f_一模政治-答案.md:21-28"
"RF0054","Q0084","类比推理","人效法天地之德：由天地生育万物不息、广阔博大的德性，类推人应自强不息、厚德载物。","正式细则锁定②为类比推理，且无变通；不能泛化为联想、演绎或归纳。","看到一个对象效法另一个对象的相似德性或方法时，优先检查类比推理。","人效法天地之德，是把天地之德类推到人的修身实践中，体现类比推理。","A-formal","source_locked_pending_external_review","gpt_sources/9223488a4b5e6f80_003202405朝阳高三二模政治试题.md:316-320; gpt_sources/84218459671af8ac_2024朝阳二模细则.md:142-150"
"RF0055","Q0085","联言判断真值条件","“与天地合其德，与日月合其明，与四时合其序”由三个并列联言支共同组成。","联言判断；全真才真，一假即假。","并列连接多个判断且要求同时成立时，判联言判断；真值口令是全真才真，一假即假。","该复合判断是联言判断；只有组成它的各个联言支都是真的，这个联言判断才是真的，如果有一个联言支为假，整个联言判断就是假的。","A-formal","source_locked_pending_external_review","gpt_sources/9223488a4b5e6f80_003202405朝阳高三二模政治试题.md:323-324; gpt_sources/84218459671af8ac_2024朝阳二模细则.md:155-163"
"RF0056","Q0088","复合判断识别与逻辑规则辨析","刑法第二十条正当防卫条文由目的、对象、正在进行的不法侵害、制止行为、损害后果、责任结论等多个判断联结而成。","官方答案 Q6=C：该判断属于复合判断。A误判划分规则，B把充分条件误判为充分必要条件，D把答非所问误挂排中律。","看到一个法律条文同时包含多个条件、行为和结论时，先判断是否由多个判断复合而成；不要把语义上的答非所问直接当排中律。","顺义二模 Q6 选 C。正当防卫条文由多个判断联结构成，属于复合判断。","A-formal","source_locked_pending_external_review","gpt_sources/33010f3bed39e275_20240318顺义思政二模试题_定.md:55-71; gpt_sources/f986728ea555a6ed_2024顺义思政二模细则.md:20-25"
"RF0057","Q0089","必要条件假言判断","只有不断加深对数字劳动的认识、把握基本特征并构建相关法律法规，才能确保数字劳动受到监管和保护并保证数字经济稳定快速发展。","官方答案 Q7=C：构建相关法律法规是保证数字经济稳定和快速发展的必要条件。","“只有P，才Q”表示P是Q的必要条件；没有P就没有Q，但有P不必然推出Q。","顺义二模 Q7 选 C。“只有……才……”表明构建相关法律法规是保证数字经济稳定和快速发展的必要条件。","A-formal","source_locked_pending_external_review","gpt_sources/33010f3bed39e275_20240318顺义思政二模试题_定.md:72-76; gpt_sources/f986728ea555a6ed_2024顺义思政二模细则.md:20-25"
"RF0058","Q0091","必要条件判断","河流是地球生命宜居的必要条件；没有河流，就不会有生命产生。","官方答案 Q11=D；A/B从可能证据过度推出遍布河流或存在生命，C把“很可能是遗迹”误判为非对称性关系判断。","必要条件口令：无P则无Q；不要由“必要条件存在”直接推出结果已经存在。","丰台一模 Q11 选 D。河流是地球生命宜居的必要条件，没有河流就不会有生命产生。","A-support","source_locked_pending_external_review","gpt_sources/5f5486bfc3baab2b_2024北京丰台高三一模政治试题及答案.md:113-120,287-292"
"RF0059","Q0093","探求因果联系/求异法","同样是棉质新毛巾、同样用超纯水多次洗涤，只改变干燥环境：有阳光的室外、阳光被遮挡的室外、室内；只有室外阳光下晒干的毛巾出现独特香气分子。","官方答案 Q5=A。只有一个关键条件不同且结果随之不同，符合求异法；不是多个场合同有同一条件的求同法，也不是量变同步的共变法。","求异法口令：其他情况基本相同，只有某一因素有无不同，结果也有无不同，就把该因素作为因果候选。","海淀二模 Q5 选 A。阳光是三组干燥条件中的关键差异，只有有阳光时出现香气分子，体现探求因果联系的求异法。","A-formal","source_locked_pending_external_review","gpt_sources/13d454fdd813a039_高三二模_政治试题_以PDF为准_1.md:51-52; gpt_sources/8f109fb09efc0c6a_高三二模_政治答案_2.md:20-25; gpt_sources/227192d22e10241b_2024海淀二模细则.md:20-23"
"RF0060","Q0094","概念属性与换位推理边界","特别国债是国债分类中的一种；超长期特别国债被定义为发行期限10年以上的特别国债；题目要求判断外延关系、属性和换位推理表述。","官方答案 Q6=C。发行期限10年以上反映超长期特别国债的属性；A把并列分类误判为矛盾关系，B将特别国债与超长期特别国债的关系表述不严，D把特称/全称结构简单换位导致主谓倒置过度。","概念题先分内涵属性和外延关系；换位推理必须看量项和谓项周延，不能把“特别国债是增量工具”直接倒成“增量工具是特别国债”。","海淀二模 Q6 选 C。“发行期限10年以上”说明超长期特别国债的属性；不能由材料经简单换位推出“助力经济增长的增量工具是特别国债”。","A-formal","source_locked_pending_external_review","gpt_sources/13d454fdd813a039_高三二模_政治试题_以PDF为准_1.md:54-58; gpt_sources/8f109fb09efc0c6a_高三二模_政治答案_2.md:20-25; gpt_sources/227192d22e10241b_2024海淀二模细则.md:20-23"
"RF0061","Q0096","类比推理/性质判断换位换质","EAST因模拟太阳内部核聚变反应而被称为人造太阳；题中还由“有些模拟太阳核聚变的装置是EAST装置”推出“有些EAST装置不是非模拟太阳核聚变的装置”。","官方答案 Q6=A，即①③。①由相似属性作类比推理；③可先换位为有些EAST装置是模拟太阳核聚变的装置，再换质为有些EAST装置不是非模拟太阳核聚变的装置；④把托卡马克装置和EAST装置倒置为全称肯定的简单换位，推理无效。","类比看相似属性；特称肯定判断可换位，换质要加否定和负概念；全称肯定判断不能把主谓随意倒过来。","门头沟一模 Q6 选 A，即①③。EAST人造太阳体现类比推理，③是合规则的换位加换质表达，④属于不当换位。","A-formal","source_locked_pending_external_review","gpt_sources/e84e6bbdd8988978_门头沟区高三政治一模试卷.md:104-113; gpt_sources/89313bd871502cf4_2026门头沟一模细则.md:20-52"
"RF0062","Q0104","换质位推理边界","“有些属于非物质文化遗产组成部分的实物和场所，适用文物保护法”是特称肯定判断。","官方答案 Q5=D。该判断可换质为有些相关实物和场所不是不适用文物保护法，但换质后是特称否定判断，不能继续换位；因此不能进行有效换质位推理。","特称肯定判断可以换位，也可以换质；但换质后形成特称否定判断，特称否定判断不能换位。换质位要连续守规则，不能只看第一步。","石景山一模 Q5 选 D。原判断是特称肯定判断，换质后不能再换位，所以“无法进行换质位推理”成立。","A-formal","source_locked_pending_external_review","gpt_sources/0d4a5cd29c2e6961_2026北京石景山高三一模政治_教师版.md:67-80,288-290; gpt_sources/78d97b669465d8a5_2026石景山一模细则.md:23-25"
"RF0063","Q0105","必要条件判断/定义推断","具身智能是具有身体的人工智能，但并非所有具有身体的人工智能都是具身智能；只有能像人一样感知、学习的人工智能，才能称之为具身智能。","官方答案 Q6=D，即②④。②可由具身智能定义推出有些具有身体的人工智能能像人一样感知、学习；④“除非P，否则不能Q”等价于只有P才Q，锁定P是Q的必要条件。①把具有身体的人工智能都当成具身智能，③把不能称为具身智能误推为不能感知学习。","必要条件口令：只有P才Q、除非P否则不Q，都表示Q离不开P；但不Q不能推出不P，较大范围概念也不能直接等同较小范围概念。","石景山一模 Q6 选 D，即②④。能像人一样感知、学习是称为具身智能的必要条件；不能把“不能称为具身智能”反推成“不能感知学习”。","A-formal","source_locked_pending_external_review","gpt_sources/0d4a5cd29c2e6961_2026北京石景山高三一模政治_教师版.md:81-88,288-290; gpt_sources/78d97b669465d8a5_2026石景山一模细则.md:23-25"
"RF0064","Q0106","不完全归纳推理","茶道通过观茶芽卷舒、察茶汤黏稠、闻茶香持久等有限经验迹象，识别嫩度、发酵水平和烘焙工艺。","官方答案 Q7=C。由有限观察样本识别茶香持久与烘焙工艺之间的内在关联，属于不完全归纳推理；A误挂必要条件假言判断，B误挂求同法，D把见微知著泛化为辩证思维整体妙悟。","不完全归纳从部分经验材料推出一般性或内在关联，结论具有或然性；求同法要看多个场合共同因素，必要条件要有无P则无Q的条件结构。","石景山一模 Q7 选 C。通过观、察、闻等有限经验迹象识别茶的香气持久与烘焙工艺之间的内在关联，属于不完全归纳推理。","A-formal","source_locked_pending_external_review","gpt_sources/0d4a5cd29c2e6961_2026北京石景山高三一模政治_教师版.md:89-99,288-290; gpt_sources/78d97b669465d8a5_2026石景山一模细则.md:23-25"
"RF0065","Q0109","关系判断/非传递关系","甲是乙的同学，乙是丙的同学，并不必然推出甲是丙的同学。","教师版答案 Q13=A。同学关系在此不具有传递性；B把不完整的基本形式说成正确划分，C由特称否定判断作换位推理，D把文字表达的语言艺术定义说得过窄。","判断关系是否传递，要检查 aRb 且 bRc 时是否必然 aRc；特称否定判断不能换位。","丰台二模 Q13 选 A。同学关系不保证传递，甲是乙的同学、乙是丙的同学，不能必然推出甲是丙的同学。","A-support","source_locked_pending_external_review","gpt_sources/9f3b486088840b52_2025北京丰台高三二模政治_教师版.md:185-190,368-373"
"RF0066","Q0111","三段论构建","大项P=有利于培养时代新人；小项S=大思政课；中项M=能够帮助青年学子树立正确价值观的教育活动。所有M都是P；S是M；所以S是P。","阅卷评标细则要求标明大前提、小前提、结论，结构正确给4分；四概念、中项不周延、小项不当扩大、结论被修改、漏结论或写成充分条件/联言推理均会失分或零分。","三段论先定结论中的大项和小项，再找中项；中项表达要一致，至少周延一次，结论不能扩大前提中不周延的项；同时查前提真实性：材料须能支持“大思政课”确实属于“能够帮助青年学子树立正确价值观的教育活动”。","丰台二模 Q16(2) 可写：所有能够帮助青年学子树立正确价值观的教育活动都有利于培养时代新人；大思政课是能够帮助青年学子树立正确价值观的教育活动；所以大思政课有利于培养时代新人。","A-formal","source_locked_pending_external_review","gpt_sources/9f3b486088840b52_2025北京丰台高三二模政治_教师版.md:214-232,390-393; gpt_sources/e3e9942211ec52f9_16._2.md:20-78"
"RF0067","Q0112","充分条件假言判断真假辨析","原观点结构为：只要给 AI 装上版权雷达并提前扫描问题指令，就能防止点击盗版资源网站。即 P -> Q。","阅卷评标细则锁定该观点片面或错误：版权雷达只是防止点击盗版资源网站的重要条件，而非充分条件；前件不是后件的充分条件是必踩点。","看到只要P就Q，先问P是否足以保证Q；若P只是重要条件、必要配套之一或局部措施，就不能把它说成充分条件。","丰台二模 Q19(1) 可写：该观点是片面的。给 AI 装上版权雷达只是防止点击盗版资源网站的重要条件，而非充分条件，不能由有版权雷达就必然推出能防止点击盗版资源网站。","A-formal","source_locked_pending_external_review","gpt_sources/9f3b486088840b52_2025北京丰台高三二模政治_教师版.md:313-347,409-412; gpt_sources/0e0ec077bf920336_19._1.md:26-40,48-55"
"RF0068","Q0113","换位推理/三段论规则/概念外延关系","题干定义脑机接口使用方，并分为终端使用者和试验操作者；②从“有的终端使用者是受试者”换位为“有的受试者是终端使用者”；③要求判断“所有 M 都是 P；S 是 M；所以 S 是 P”是否犯中项不周延；④要求判断同一属概念下两类使用方的外延关系。","答案 Q8=C，即②④。②是特称肯定判断有效换位；④在“使用方”范围内，终端使用者与试验操作者被题干分为两个穷尽类，可判为矛盾关系。①把定义错误方向说反，③把有效三段论误判为中项不周延。","特称肯定判断可以简单换位；判断三段论中项周延要看中项在前提中是否至少周延一次；判断矛盾关系要限定同一属概念范围内互斥且穷尽。","丰台二模 Q8 选 C，即②④。“有的S是P”可换位为“有的P是S”；“所有M都是P，S是M，所以S是P”不犯中项不周延。","A-support","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026丰台二模_试卷_2026北京丰台高三二模政治_教师版_.pdf.txt:101-118; 09_logs/render_check_fengtai_2026_ermo_q7_q8/fengtai2026_ermo_page_003.png; 09_logs/2026_ermo_text_extract/2026丰台二模_细则_高三政治答案.docx.txt:18-21"
"RF0069","Q0114","真假话约束推理","四人各喜欢三种茶中的两种且不喜欢一种；四人发言中只有一假，其余三真。需要从真假约束和每人偏好约束推出必然结论。","答案 Q9=D，即②④。满足“只有一人说假话”的情形都推出乙不喜欢茉莉花茶，所以乙喜欢珠兰花茶；同时都推出丁不喜欢白兰花茶。①甲不喜欢白兰和③丙不喜欢珠兰不是所有满足情形下都成立。","真假话题先列约束：每句话真假、总假话数、对象属性限制；“必然为真”必须在所有满足条件的情形下都真，不能只找一个可能情形。","丰台二模 Q9 选 D，即②④。由只有一人说假话和每人恰好不喜欢一种茶，可必然推出乙喜欢珠兰花茶、丁不喜欢白兰花茶。","A-support","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026丰台二模_试卷_2026北京丰台高三二模政治_教师版_.pdf.txt:119-144; 09_logs/render_check_fengtai_2026_ermo_q7_q8/fengtai2026_ermo_page_003.png; 09_logs/2026_ermo_text_extract/2026丰台二模_细则_高三政治答案.docx.txt:18-21"
"RF0070","Q0116","矛盾关系/省略三段论前提","题目比较“春日意象”相关判断与推理。D 判断原命题与其否定论断的真假关系；C 判断“鸭子是水禽，所以春江水暖鸭先知”省略的是哪一个三段论前提。","答案 Q12=D。一个判断与其否定判断之间不能同真也不能同假；C 错在省略的是连接“水禽/鸭子”和“先知水暖”的大前提，不是小前提。","原判断和否定判断构成矛盾关系；省略三段论前提时，看明说的那句是大前提还是小前提，再判断缺哪一个。","东城二模 Q12 选 D。“人误地一时，地误人一年”的否定论断与原判断不能同真，也不能同假；“鸭子是水禽，所以鸭先知”省略的是大前提而非小前提。","A-support","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026东城二模_试卷_2026北京东城高三二模政治_教师版_.docx.txt:71-76,155-158"
"RF0071","Q0117","类比推理","把人体健康体检中的“检测指标、预判风险、主动干预”迁移到治理领域，形成治理体检的思路。源域是健康管理，目标域是治理。","阅卷细则锁定推理类型为类比推理，2分，写其他不得分；价值层面围绕创新治理思路和提高治理效能各2分，不结合材料最高3分。","类比推理要抓两个对象之间的相似结构；本题相似结构不是“都叫体检”，而是都通过提前检测、预判风险、主动干预来提升管理效果。","东城二模 Q18 可写：体检思维从人体健康领域延伸到治理领域，运用了类比推理；借鉴体检的提前预判和主动干预，有利于创新治理思路、提高治理效能。","A-formal","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026东城二模_试卷_2026北京东城高三二模政治_教师版_.docx.txt:105-107,140-141; 09_logs/2026_ermo_text_extract/2026东城二模_细则_18题阅卷细则_5.9_.pdf.txt:8-21"
"RF0072","Q0119","必要条件判断/双重否定表达","题干说没有未来产业为载体，先进技术就无法形成现实生产能力，锁定未来产业是先进技术形成现实生产能力的必要条件；D项把未来产业定义转写成“有些具有显著战略性、引领性、颠覆性和不确定性的前瞻性产业不是非未来产业”。","答案 Q6=D。D 等价于有些具有这些特征的前瞻性产业是未来产业，可由未来产业定义推出；B 把必要条件误推为充分条件，A/C 把监管材料扩张成过强条件。","看到“没有P就没有Q”，只能推出P是Q的必要条件，不能反推有P就有Q；“不是非P”就是P，双重否定要先还原。","朝阳二模 Q6 选 D。未来产业具有显著战略性、引领性、颠覆性和不确定性，所以有些具有这些特征的前瞻性产业不是非未来产业；但不能说只要以未来产业为载体，先进技术就一定形成现实生产能力。","A-support","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026朝阳二模_试卷_2026北京朝阳高三二模政治_教师版_.docx.txt:37-41,289-290"
"RF0073","Q0121","定义方法/种差加属概念","材料界定“生产性服务业”：属概念为服务行业，种差为促进技术进步、提高生产效率、保障工农业生产活动有序进行；并用肯定与否定相结合解释内涵。","正式细则锁定定义方法、种差加属概念、材料属概念和种差对应、肯定与否定相结合、避免否定定义和循环定义等规则。","下定义先找属概念，再找区别于同属其他对象的种差；定义项不能过宽、过窄、循环或只是否定说明。","朝阳二模 Q19(1) 可写：材料用种差加属概念的方法界定生产性服务业，把它归入“服务行业”，并用促进技术进步、提高生产效率、保障工农业生产活动有序进行作为种差；同时说明其与制造业直接相关且不向消费者提供直接独立服务，使概念内涵更清晰。","A-formal","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026朝阳二模_试卷_2026北京朝阳高三二模政治_教师版_.docx.txt:110-112,139-142; 09_logs/2026_ermo_text_extract/2026朝阳二模_细则_202605朝阳高三政治二模阅卷细则_1_.docx.txt:46-54"
"RF0074","Q0124","必要条件判断","只有数据被拆解成词元，人工智能才能分析运算；因此用户提问没有被拆解成词元，可以推出人工智能无法分析运算。","有效：必要条件假言判断的否定前件式；A/B/C 为概念外延或关系性质误判，不是本题正确推理。","看到“只有P才Q”，可写成 Q -> P；否定P就能否定Q，不能把概念关系乱套。","海淀二模 Q5 选 D。用户的提问没有被拆解成词元，则人工智能无法分析运算。","A-support","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026海淀二模_试卷_2026北京海淀高三二模政治_教师版_.docx.txt:27-31,139-143"
"RF0075","Q0125","演绎推理/必要条件/选言边界","表格条件锁定：有的未达最低出口额但有发展潜力的中小企业获得参展资格；参加新品首发活动以拥有自主知识产权为必要条件；新品首发产品须是全球市场或广交会首次发布。","①②有效；③从未参加新品首发反推没有知识产权，属于无效反推；④把“全球市场或广交会首次发布”误作不相容选言。","必要条件只能保真推出“参加则拥有”，不能由不参加反推不拥有；“P或Q”未说明不相容时，不能推出P就非Q。","海淀二模 Q6 选 A，即①②。","A-support","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026海淀二模_试卷_2026北京海淀高三二模政治_教师版_.docx.txt:32-38,139-143; C:/Users/Administrator/Desktop/2026各区模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx:table1"
"RF0076","Q0126","不完全归纳推理","对多个城市桥下空间改造项目进行跟踪调查，由部分对象的共同情况推出一般结论：桥下空间改造是提升城市活力的有效途径。","有效但非必然：属于不完全归纳推理，增加考察对象数量可提高可靠程度；不能说结论具有必然性。","部分到一般是不完全归纳，可靠程度可以提高，但结论通常不是必然。","海淀二模 Q7 选 A，即①②。","A-support","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026海淀二模_试卷_2026北京海淀高三二模政治_教师版_.docx.txt:39-44,139-143"
"RF0077","Q0128","三段论构建","大前提：符合和平与发展主题的举措是应对全球发展各种新挑战的正确选择；小前提：同球共济、团结合作是符合和平与发展主题的举措；结论：同球共济、团结合作是应对全球发展各种新挑战的正确选择。","有效：中项“符合和平与发展主题的举措”联结大小项，符合三段论推理规则。","先定结论大小项，再补能联结二者的中项；三段论要有大前提、小前提、结论，不能出现四概念或中项不周延；同时查前提真实性：材料须能支持“同球共济、团结合作”符合和平与发展主题。","海淀二模 Q20(1) 可按示例写出合乎逻辑的三段论推理。","A-formal","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026海淀二模_试卷_2026北京海淀高三二模政治_教师版_.docx.txt:128-132,158,188-192"
"RF0078","Q0130","相容选言/必要条件推理","题干条件：该社区参与竞选绿色宜居示范小区 -> 解决餐饮油烟扰民问题 或 解决固定设备噪声扰民问题。要推出解决餐饮油烟扰民，需要补充入选/参选且未解决设备噪声。","B 有效：入选示范社区肯定后件所需条件，未解决设备噪声否定一个选言支，故必须解决餐饮油烟扰民。","先把“只有P或Q，才R”转成 R -> (P或Q)；再用否定一个支项来肯定另一个支项。","西城二模 Q5 选 B。该社区未解决设备噪声扰民问题，但入选了示范社区，可以必然推出该社区解决了餐饮油烟扰民问题。","A-support","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026西城二模_试卷_2026北京西城高三二模政治_教师版_.docx.txt:33-39,144-148"
"RF0079","Q0134","同一律/概念确定性","食品标签中的“0”“100%”等符号被突出为商标或宣传点，容易让消费者把商标、比例、纯度、零添加等不同概念混同。新版标准禁止“零添加”等易误导用语，要求概念使用保持同一和确定。","B 正确：符合同一律，避免误导消费者。A 把偷换概念方向说对但把同一律要求误写成一致性；C 误挂矛盾律和明确性；D 误挂排中律骑墙。","同一律看概念是否前后一致、确定；矛盾律看是否自相矛盾；排中律看是否在是非之间骑墙。","石景山二模 Q7 选 B。禁止易误导标签用语，是为了让食品标签概念保持确定和同一，避免消费者被混同概念误导。","A-support","source_locked_pending_external_review","09_logs/2026_ermo_text_extract/2026石景山二模_试卷_2026北京石景山高三二模政治_教师版_.docx.txt:38-42,116-118"
"RF0080","Q0139","矛盾律/一致性要求","车企初期判断 A：AI 自动驾驶系统全程正常，事故原因归于外部突发情况；后续又承认非 A：系统存在感知延迟，存在系统问题。两个判断指向同一事故、同一系统、同一方面，不能同真。","结论一前半正确：企业前后说法自相矛盾，违反矛盾律；后半错误：这不是违反思维的确定性要求，而是违反思维的一致性要求。","同一时间、同一方面、同一对象上 A 和非 A 不能同真；矛盾律管一致性，同一律管确定性。","顺义二模 Q18(1) 可写：企业前后判断不能同真，其中必有一假，构成自相矛盾，违反矛盾律；但应表述为违反思维一致性要求，而不是确定性要求。","A-formal","source_locked_pending_external_review","09_logs/render_check_shunyi_2026_ermo/shunyi2026_ermo_page_009.png; 09_logs/2026_ermo_text_extract/2026顺义二模_细则_26顺义二模评标_doc_COM_normalized.txt:55-57"
"RF0081","Q0141","科学归纳推理/求异法 + 类比推理","科学团队先比较高粱 AT1 基因与耐碱能力的因果关系，再根据高粱 AT1 基因与水稻 GS3 基因的相似属性迁移推断水稻耐碱密码。","有效路径：科学归纳推理中用求异法探求因果联系；再用类比推理从高粱相似属性迁移到水稻。V92 已回源裁定：source path 与旧 source ledger 均属 2024东城二模；真正东城一模 Q17(2) 为北极熊毛衣题，故内页一模标题按模板/页眉误写处理，边界保留待 Claude 复核。","求异法看“其他基本相同，关键因素有无不同，结果有无不同”；类比推理看两个对象是否存在可迁移的相似属性和关系。","东城二模来源包 Q17(2) 可写：科学团队运用科学归纳推理，利用求异法探求 AT1 与高粱耐碱能力的因果联系；又根据高粱 AT1 基因与水稻 GS3 基因的相似属性进行类比推理，找到水稻 GS3 基因与耐碱属性的关系。","A-formal","source_verified_header_typo_boundary_accepted_pending_claude_review","gpt_sources/72fd64a3dddd2c89_17-2.md:22-39,44-49"
"RF0082","Q0142","充分条件假言推理前提真假辨析","学生推理为：有良好的创新生态 -> 实现创新发展；当前有良好创新生态；所以一定实现创新发展。","结构上是充分条件假言推理的肯定前件式，结构有效；但“良好的创新生态”只是实现创新发展的必要条件，不是充分条件，前提虚假，所以结论错误。","肯前肯后结构本身有效，但先检查前提中的条件关系是否成立；重要条件、必要条件不能直接写成充分条件。","东城二模 Q18(2) 可写：该推理是充分条件假言推理，结构上采用肯定前件而肯定后件，但把良好的创新生态误作实现创新发展的充分条件，前提虚假，所以结论错误。","A-formal","source_locked_pending_external_review","gpt_sources/9b287871f660f23d_2025北京东城高三二模政治_教师版.md:184-187,276-278; gpt_sources/606dbae1d5ce3e59_2025东城二模细则.md:107-118,123-126"
"RF0083","Q0143","三段论构建","小前提固定为“工业固废是放错了地方的资源”；可补大前提“放错了地方的资源可以通过适当方式被重新利用”，结论为“工业固废可以通过适当方式被重新利用”。","有效：大项来自大前提，小项来自小前提，中项“资源/放错了地方的资源”联结大小项；正式细则要求符合三段论基本规则得 4 分。","先定结论中的小项和大项，再补能联结二者的中项；大前提不能过窄，结论主项要来自小前提；同时查前提真实性：不能把“放错了地方的资源”扩大成“所有资源”。","西城期末 Q17(2) 可写：放错了地方的资源可以通过适当的方式被重新利用；工业固废是放错了地方的资源；所以，工业固废可以通过适当的方式被重新利用。","A-formal","source_locked_pending_external_review","gpt_sources/6662da1c2772cc38_2025北京西城高三_上_期末政治_教师版.md:191-215,281-292; gpt_sources/89d264a31e348be6_2025西城期末细则.md:70-77"

