"blocker_id","suite","question","part","blocker_type","description","next_action"
"BLK-021-Q0121","2026朝阳二模","19(1)","","main_reasoning_delta","Codex A 已新增锁定 2026朝阳二模 Q19(1) 为 Q0121 生产性服务业种差加属概念定义方法主观题；正式阅卷细则确认定义方法、种差加属概念和定义规则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V56 / Claude V54 review；复审前不得作 release 判断"
"BLK-022-Q0122","2026海淀二模","3","","choice_thinking_trap_delta","Codex A 已新增锁定 2026海淀二模 Q3 为 Q0122 墨梅美学符号思维具体与类比推理误挂陷阱；教师版答案表确认 Q3=C，尚未经过B线独立重跑和真实外审","提交 GPT Pro V57 / Claude V55 review；保持 B-choice-signal，复审前不得作 release 判断"
"BLK-022-Q0123","2026海淀二模","4","","choice_reasoning_trap_delta","Codex A 已新增锁定 2026海淀二模 Q4 为 Q0123 矛盾律误挂陷阱；教师版答案表确认 Q4=A，尚未经过B线独立重跑和真实外审","提交 GPT Pro V57 / Claude V55 review；保持 B-choice-signal，复审前不得作 release 判断"
"BLK-022-Q0124","2026海淀二模","5","","choice_reasoning_support_delta","Codex A 已新增支持锁定 2026海淀二模 Q5 为 Q0124 词元必要条件判断选择题；教师版答案表确认 Q5=D，但无独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V57 / Claude V55 review；保持 A-support，复审前不得作 release 判断"
"BLK-022-Q0125","2026海淀二模","6","","choice_reasoning_support_delta","Codex A 已新增支持锁定 2026海淀二模 Q6 为 Q0125 广交会演绎推理选择题；原 DOCX 表格条件与教师版答案表确认 Q6=A，但无独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V57 / Claude V55 review；保持 A-support，复审前不得作 release 判断"
"BLK-022-Q0126","2026海淀二模","7","","choice_reasoning_support_delta","Codex A 已新增支持锁定 2026海淀二模 Q7 为 Q0126 桥下空间不完全归纳推理选择题；教师版答案表确认 Q7=A，但无独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V57 / Claude V55 review；保持 A-support，复审前不得作 release 判断"
"BLK-022-Q0127","2026海淀二模","18(1)","","main_thinking_delta","Codex A 已新增锁定 2026海淀二模 Q18(1) 为 Q0127 月季自主育种分析综合、联想和科学思维复合题；教师版参考答案确认对应思维链，尚未经过B线独立重跑和真实外审","提交 GPT Pro V57 / Claude V55 review；复审前不得作 release 判断"
"BLK-022-Q0128","2026海淀二模","20(1)","","main_reasoning_delta","Codex A 已新增锁定 2026海淀二模 Q20(1) 为 Q0128 三段论构建题；教师版评分标准确认符合三段论推理规则得分，尚未经过B线独立重跑和真实外审","提交 GPT Pro V57 / Claude V55 review；复审前不得作 release 判断"
"BLK-023-Q0129","2026房山二模","18(2)","","main_thinking_delta","Codex A 已新增锁定 2026房山二模 Q18(2) 为 Q0129 OPC 出现和发展辩证否定观主观题；原卷渲染页确认《逻辑与思维》设问，正式评标细则确认否定、联系、发展和扬弃分点，尚未经过B线独立重跑和真实外审","提交 GPT Pro V58 / Claude V56 review；复审前不得作 release 判断"
"BLK-024-Q0130","2026西城二模","5","","choice_reasoning_support_delta","Codex A 已新增支持锁定 2026西城二模 Q5 为 Q0130 绿色宜居示范社区相容选言和必要条件推理选择题；教师版答案表确认 Q5=B，但无独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V59 / Claude V57 review；保持 A-support，复审前不得作 release 判断"
"BLK-024-Q0131","2026西城二模","6","","choice_thinking_support_delta","Codex A 已新增支持锁定 2026西城二模 Q6 为 Q0131 脑机接口康复联想与创新思维选择题；教师版答案表确认 Q6=A，但无独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V59 / Claude V57 review；保持 A-support，复审前不得作 release 判断"
"BLK-024-Q0132","2026西城二模","18(4)","","main_thinking_delta","Codex A 已新增锁定 2026西城二模 Q18(4) 为 Q0132 人机协同思维品质主观题；评标 PDF 渲染页确认科学思维客观性、辩证思维、创新思维三角度，尚未经过B线独立重跑和真实外审","提交 GPT Pro V59 / Claude V57 review；复审前不得作 release 判断"
"BLK-025-Q0133","2026石景山二模","6","","choice_thinking_support_delta","Codex A 已新增支持锁定 2026石景山二模 Q6 为 Q0133 守岁诗形象思维、联想想象和情感表达选择题；教师版答案表确认 Q6=D，但无独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V60 / Claude V58 review；保持 A-support，复审前不得作 release 判断"
"BLK-025-Q0134","2026石景山二模","7","","choice_reasoning_support_delta","Codex A 已新增支持锁定 2026石景山二模 Q7 为 Q0134 食品标签同一律和概念确定性选择题；教师版答案表确认 Q7=B，但无独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V60 / Claude V58 review；保持 A-support，复审前不得作 release 判断"
"BLK-025-Q0135","2026石景山二模","17(2)","","main_thinking_delta","Codex A 已新增锁定 2026石景山二模 Q17(2) 为 Q0135 养老立法最大难点辩证分合/分析综合主观题；正式细则确认辩证分合、质量互变、辩证否定观可选角度并给出分析综合示例，尚未经过B线独立重跑和真实外审","提交 GPT Pro V60 / Claude V58 review；复审前不得作 release 判断"
"BLK-026-Q0136","2026顺义二模","5","","choice_thinking_support_delta","Codex A 已新增支持锁定 2026顺义二模 Q5 为 Q0136 定性分析与定量分析选择题；渲染原卷和细则答案表确认 Q5=B，但无独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V61 / Claude V59 review；保持 A-support，复审前不得作 release 判断"
"BLK-026-Q0137","2026顺义二模","6","","choice_reasoning_signal_delta","Codex A 已新增锁定 2026顺义二模 Q6 为 Q0137 轻率概括误挂陷阱；正确项为系统优化方法，仅作 B-choice-signal，尚未经过B线独立重跑和真实外审","提交 GPT Pro V61 / Claude V59 review；保持 B-choice-signal，复审前不得作 release 判断"
"BLK-026-Q0138","2026顺义二模","7","","choice_reasoning_signal_delta","Codex A 已新增锁定 2026顺义二模 Q7 为 Q0138 准确运用概念混合选择题信号；答案 B 中①为概念使用、③为法治角度，仅作 B-choice-signal，尚未经过B线独立重跑和真实外审","提交 GPT Pro V61 / Claude V59 review；保持 B-choice-signal，复审前不得作 release 判断"
"BLK-026-Q0139","2026顺义二模","18(1)","","main_dual_delta","Codex A 已新增锁定 2026顺义二模 Q18(1) 为 Q0139 矛盾律/一致性要求与科学思维客观性双登记主观题；正式细则确认 A 与非 A 不能同真及客观性要求，尚未经过B线独立重跑和真实外审","提交 GPT Pro V61 / Claude V59 review；复审前不得作 release 判断"
"BLK-026-Q0140","2026顺义二模","21","","main_thinking_composite_delta","Codex A 已新增锁定 2026顺义二模 Q21 为 Q0140 科学思维/超前思维综合题样本；正式细则明确可从科学思维等角度且写明选必3科学思维，但不是纯选必三设问，尚未经过B线独立重跑和真实外审","提交 GPT Pro V61 / Claude V59 review；保持综合题边界，复审前不得作 release 判断"
