observation_id,plain_observation,question_ids,rubric_atom_ids,material_atom_ids,ask_type,evidence_type,evidence_level,what_student_must_judge,material_trigger,legal_knowledge_or_rule_triggered,rubric_reward,knowledge_material_value_type,full_score_sentence_pattern,must_have_keywords,risk_of_empty_value_talk,risk_of_legal_exam_overanalysis,module_boundary_risk,transfer_potential,counterexamples,confidence,should_enter_codebook,reason
C03,CC0363 与 CC0364 同时包含法律与生活相邻关系部分和逻辑与思维推理部分；法律部分可单独使用，逻辑推理部分不得进入法律主观题观察。,"[CC0363_2026_通州_期中_19, CC0364_2026_通州_期中_19_1]","[R_CC0363_2026_通州_期中_19_02, R_CC0363_2026_通州_期中_19_03, R_CC0364_2026_通州_期中_19_1_01, R_CC0364_2026_通州_期中_19_1_02, R_CC0364_2026_通州_期中_19_1_05, R_CC0364_2026_通州_期中_19_1_06, R_CC0364_2026_通州_期中_19_1_07, R_CC0364_2026_通州_期中_19_1_08]","[M_CC0363_2026_通州_期中_19_01, M_CC0363_2026_通州_期中_19_04, M_CC0363_2026_通州_期中_19_07, M_CC0363_2026_通州_期中_19_08, M_CC0363_2026_通州_期中_19_09, M_CC0363_2026_通州_期中_19_10, M_CC0363_2026_通州_期中_19_11, M_CC0364_2026_通州_期中_19_1_01, M_CC0364_2026_通州_期中_19_1_06, M_CC0364_2026_通州_期中_19_1_08, M_CC0364_2026_通州_期中_19_1_13, M_CC0364_2026_通州_期中_19_1_15, M_CC0364_2026_通州_期中_19_1_16]",第一问法律分析，第二问逻辑推理判断,marking_rubric,formal 但需拆分,当前原子属于法律与生活相邻关系，还是逻辑与思维假言推理。,加装电梯已获业主同意、公示、审批、玻璃设计；同时存在充分条件和必要条件假言推理判断。,相邻关系；民法典；充分条件假言推理；必要条件假言推理。,法律部分奖励民法典相邻关系、事实分析和判决意义；逻辑部分奖励推理形式和规则。,conflict,法律部分可写相邻关系；逻辑部分不生成法律满分句。,"相邻关系, 逻辑与思维, 假言推理, 回源拆分",中。若把逻辑题当法律题，会误判材料作用。,中。若把法律题当逻辑题，会漏法律规则分。,高。,法律第一问可迁移，相邻关系观察已纳入 S12；逻辑第二问不迁移。,R_CC0364_2026_通州_期中_19_1_01 与 M_CC0364_2026_通州_期中_19_1_01、M_CC0364_2026_通州_期中_19_1_06 可支撑相邻关系；R_CC0364_2026_通州_期中_19_1_05 至 R_CC0364_2026_通州_期中_19_1_08 不可支撑法律观察。,high,no,需按问号拆分，不能以整题进入代码本。
C04,CC0305 同一题含经济模块服务性消费分析和法律模块隐私权、消费者欺诈；法律观察只能使用 R04 至 R06 及对应材料原子，不能把整题作为法律题模式。,[CC0305_2026_海淀_一模_18],"[R_CC0305_2026_海淀_一模_18_02, R_CC0305_2026_海淀_一模_18_03, R_CC0305_2026_海淀_一模_18_04, R_CC0305_2026_海淀_一模_18_05, R_CC0305_2026_海淀_一模_18_06]","[M_CC0305_2026_海淀_一模_18_01, M_CC0305_2026_海淀_一模_18_02, M_CC0305_2026_海淀_一模_18_06, M_CC0305_2026_海淀_一模_18_07, M_CC0305_2026_海淀_一模_18_08, M_CC0305_2026_海淀_一模_18_10, M_CC0305_2026_海淀_一模_18_11, M_CC0305_2026_海淀_一模_18_12, M_CC0305_2026_海淀_一模_18_14]",前两问经济分析，第三问法律诉讼请求分析,marking_rubric,formal 但需拆分,当前问目是服务性消费经济意义，还是隐私权与消费者权益法律分析。,前段为居民服务性消费支出和扩大内需；后段为包间监控公开、虚假宣传治疗功效、退款和惩罚性赔偿。,隐私权；侵权责任；消费者知情权；虚假宣传；欺诈；惩罚性赔偿。,法律部分奖励支持诉讼请求、隐私权侵害和消费者欺诈；明确写满足幸福感、获得感、安全感不给分。,conflict,法律部分可写隐私权和消费者权益；整题不生成统一法律句式。,"拆分问目, 隐私权, 消费者权益保护法, 虚假宣传, 惩罚性赔偿",高。经济价值词会污染法律问。,中。法律部分无需处理服务业经济意义。,高。,法律第三问可迁移，整题不可迁移。,R_CC0305_2026_海淀_一模_18_05、R_CC0305_2026_海淀_一模_18_06 与 M_CC0305_2026_海淀_一模_18_07 至 M_CC0305_2026_海淀_一模_18_12 是可用法律原子；R_CC0305_2026_海淀_一模_18_02、R_CC0305_2026_海淀_一模_18_03 不是法律观察依据。,high,no,需保留问目边界，防止把经济题前两问纳入法律主观题观察。
N01,reference_only 题即使法律主题清楚，也不能单独支撑核心 code，只能作为弱观察或验证线索。,"[CC0040_2024_海淀_一模_19, CC0094_2025_东城_期末_19_3, CC0162_2025_海淀_一模_18, CC0311_2026_海淀_二模_18, CC0353_2026_西城_期中_17]","[R_CC0040_2024_海淀_一模_19_01, R_CC0094_2025_东城_期末_19_3_01, R_CC0094_2025_东城_期末_19_3_05, R_CC0162_2025_海淀_一模_18_M17_01, R_CC0162_2025_海淀_一模_18_M17_02, R_CC0162_2025_海淀_一模_18_M17_03, R_CC0311_2026_海淀_二模_18_M17_01, R_CC0311_2026_海淀_二模_18_M17_05, R_CC0353_2026_西城_期中_17_01]","[M_CC0040_2024_海淀_一模_19_01, M_CC0040_2024_海淀_一模_19_02, M_CC0094_2025_东城_期末_19_3_01, M_CC0094_2025_东城_期末_19_3_02, M_CC0162_2025_海淀_一模_18_03, M_CC0162_2025_海淀_一模_18_04, M_CC0311_2026_海淀_二模_18_04, M_CC0311_2026_海淀_二模_18_05, M_CC0353_2026_西城_期中_17_01]",多种，均为参考答案或混杂讲评,teacher_reference_answer,reference_only,不能把这些题的参考答案当正式评分细则。,虚拟数字人、社区分歧、主题乐园年卡、知识产权融资、未成年人保护法与不正当竞争。,著作权、不正当竞争、格式合同、知识产权财产权、未成年人保护。,仅见参考答案或弱材料，缺正式评分细则支撑。,weak_reference,不生成强句式，仅记录为验证方向。,"reference_only, 弱观察, 不单独支撑核心 code",中。,中。,中到高。,低到中，需 formal 证据补强。,S01 至 S14 均至少含 formal 证据，具备更高优先级。,high,no,用户口径明确 reference_only 只能形成弱观察，不能单独支撑核心 code。
N02,新质生产力、金融五篇大文章、人类命运共同体、马克思主义中国化、文化创新等热词题不应因出现在候选包中而进入选必二法律主观题观察。,"[CC0047_2024_海淀_二模_21, CC0070_2024_顺义_二模_19, CC0218_2025_顺义_一模_16, CC0240_2026_东城_二模_21, CC0250_2026_丰台_一模_19, CC0294_2026_朝阳_二模_20_2, CC0358_2026_通州_一模_17]","[R_CC0047_2024_海淀_二模_21_01, R_CC0070_2024_顺义_二模_19_02, R_CC0218_2025_顺义_一模_16_01, R_CC0218_2025_顺义_一模_16_02, R_CC0240_2026_东城_二模_21_01, R_CC0240_2026_东城_二模_21_02, R_CC0250_2026_丰台_一模_19_01, R_CC0294_2026_朝阳_二模_20_2_01, R_CC0294_2026_朝阳_二模_20_2_02, R_CC0358_2026_通州_一模_17_01, R_CC0358_2026_通州_一模_17_02]","[M_CC0047_2024_海淀_二模_21_01, M_CC0047_2024_海淀_二模_21_02, M_CC0070_2024_顺义_二模_19_01, M_CC0070_2024_顺义_二模_19_02, M_CC0218_2025_顺义_一模_16_01, M_CC0218_2025_顺义_一模_16_02, M_CC0240_2026_东城_二模_21_01, M_CC0240_2026_东城_二模_21_02, M_CC0250_2026_丰台_一模_19_01, M_CC0250_2026_丰台_一模_19_02, M_CC0294_2026_朝阳_二模_20_2_01, M_CC0294_2026_朝阳_二模_20_2_02, M_CC0358_2026_通州_一模_17_01, M_CC0358_2026_通州_一模_17_02]",综合运用所学；经济、哲学、文化、国际政治经济类认识题,marking_rubric + evaluation_standard,formal 但非法律主观题,这些题考查模块不是选必二法律规则或制度。,党的领导、制度优势、新质生产力、金融强国、人类命运共同体、联系发展矛盾、文化双创、国际政治经济。,无稳定法律规则触发。,奖励政治、经济、哲学、文化、国际政治经济知识，不奖励法律关系判断。,non_law,不生成法律满分句。,"非法律主观题, 模块剔除, 热词不入",极高。若纳入会把法律观察泛化成政治口号。,低。主要风险是模块误入。,极高。,无。,CC0025_2024_朝阳_二模_17、CC0143_2025_朝阳_一模_19、CC0244_2026_东城_期中_18 均有明确法律与生活设问和评分规则，可作为保留边界。,high,no,这些题的材料和细则缺少法律关系、法律责任或程序路径奖励。
N03,纯价值话术不能单独上升为观察节点；价值分在多数题中是法律判断后的附加或总结。,"[CC0002_2024_丰台_一模_17, CC0143_2025_朝阳_一模_19, CC0251_2026_丰台_一模_20, CC0084_2025_东城_二模_19, CC0254_2026_丰台_二模_18]","[R_CC0002_2024_丰台_一模_17_M17_04, R_CC0002_2024_丰台_一模_17_M17_05, R_CC0002_2024_丰台_一模_17_M17_06, R_CC0143_2025_朝阳_一模_19_10, R_CC0084_2025_东城_二模_19_11, R_CC0254_2026_丰台_二模_18_01, R_CC0254_2026_丰台_二模_18_03, R_CC0254_2026_丰台_二模_18_06]","[M_CC0002_2024_丰台_一模_17_01, M_CC0002_2024_丰台_一模_17_02, M_CC0002_2024_丰台_一模_17_08, M_CC0143_2025_朝阳_一模_19_05, M_CC0143_2025_朝阳_一模_19_07, M_CC0084_2025_东城_二模_19_13, M_CC0254_2026_丰台_二模_18_01, M_CC0254_2026_丰台_二模_18_02, M_CC0254_2026_丰台_二模_18_10, M_CC0254_2026_丰台_二模_18_11]",意义类；理由类；谈理解,evaluation_standard + marking_report + marking_rubric,formal,价值表达是否由具体法律规则和材料事实推出。,好意同乘减责、网络消费欺诈、格式条款、法治与德治调解。,好意同乘；消费者权益保护；格式条款；侵权责任；调解。,价值常作为 1 到 3 分总结，但核心分仍在法理依据、材料分析、行为定性。,value_after_law,价值句应写成：该判决在依法处理具体法律关系后，有利于维护某主体合法权益、规范某类行为、促进某种秩序。,"法律规则先行, 材料事实, 价值总结, 不空泛",极高。,低到中。,中。空泛价值话术易滑向必修三或哲学。,可作为风险提示，不作为独立节点。,R_CC0143_2025_朝阳_一模_19_08 和 R_CC0143_2025_朝阳_一模_19_09 显示必须先写欺诈事实和消费者权益保护法，才能支撑后续意义。,high,no,价值表达依附于法律判断，不能单独指导审题或生成核心得分句。
N04,法考式四要件或复杂案例分析不能普遍化为高中法律主观题通用节点；有些题只需按细则写小而准的规则和事实对应。,"[CC0244_2026_东城_期中_18, CC0143_2025_朝阳_一模_19, CC0125_2025_延庆_一模_19, CC0245_2026_东城_期中_18_2]","[R_CC0244_2026_东城_期中_18_05, R_CC0244_2026_东城_期中_18_06, R_CC0244_2026_东城_期中_18_08, R_CC0143_2025_朝阳_一模_19_17, R_CC0143_2025_朝阳_一模_19_22, R_CC0125_2025_延庆_一模_19_M17_01, R_CC0125_2025_延庆_一模_19_M17_02, R_CC0245_2026_东城_期中_18_2_01, R_CC0245_2026_东城_期中_18_2_03]","[M_CC0244_2026_东城_期中_18_04, M_CC0244_2026_东城_期中_18_05, M_CC0244_2026_东城_期中_18_06, M_CC0143_2025_朝阳_一模_19_05, M_CC0143_2025_朝阳_一模_19_08, M_CC0125_2025_延庆_一模_19_02, M_CC0125_2025_延庆_一模_19_03, M_CC0125_2025_延庆_一模_19_06, M_CC0245_2026_东城_期中_18_2_05, M_CC0245_2026_东城_期中_18_2_06, M_CC0245_2026_东城_期中_18_2_07, M_CC0245_2026_东城_期中_18_2_11]",法律责任分析；诉讼请求理由；调解；维权准备,marking_rubric + marking_report + evaluation_standard,formal,题目是否真的要求完整侵权构成，还是只要求合同成立、欺诈、调解理由或维权路径。,无人机题需要区分违约和侵权；机票题需要写两个诉讼请求；仅退款题需要调解理由；维权题需要路径和证据。,违约责任；侵权责任；消费者欺诈；调解；证据。,部分题明示侵权路径，但其他题要求更具体的细则点；过度扩展无法替代指定得分点。,precision_over_complexity,先按设问和材料确定路径，再写题内规则与事实对应；不要把所有案件都套完整侵权四要件。,"路径判断, 精准, 不泛化, 不过度分析",中。,极高。,低到中。,作为风险提示可迁移，不作为独立强节点。,R_CC0244_2026_东城_期中_18_08 虽提供多路径逻辑，但 R_CC0125_2025_延庆_一模_19_M17_01 至 R_CC0125_2025_延庆_一模_19_M17_04 说明调解题的得分重心并非完整责任构成。,high,no,高中主观题判分强调题内细则和材料触发，复杂法理不能一概迁移。
N05,书写、等级卷、教学建议、复练题片段不应直接转成法律观察；它们只能用于识别学生风险或下一轮验证方向。,"[CC0254_2026_丰台_二模_18, CC0245_2026_东城_期中_18_2, CC0143_2025_朝阳_一模_19]","[R_CC0254_2026_丰台_二模_18_05, R_CC0254_2026_丰台_二模_18_08, R_CC0254_2026_丰台_二模_18_09, R_CC0245_2026_东城_期中_18_2_04, R_CC0143_2025_朝阳_一模_19_18, R_CC0143_2025_朝阳_一模_19_24, R_CC0143_2025_朝阳_一模_19_25]","[M_CC0254_2026_丰台_二模_18_13, M_CC0254_2026_丰台_二模_18_14, M_CC0254_2026_丰台_二模_18_15, M_CC0254_2026_丰台_二模_18_16, M_CC0254_2026_丰台_二模_18_17, M_CC0245_2026_东城_期中_18_2_13, M_CC0245_2026_东城_期中_18_2_14, M_CC0143_2025_朝阳_一模_19_01, M_CC0143_2025_朝阳_一模_19_02]",学生问题与建议；复练试题；教学启示,marking_rubric + marking_report,formal 但非核心评分原子,这些内容是阅卷教学信息，还是正式题目得分点。,字迹潦草、短周期夯实知识、复练试题、课堂训练建议。,无稳定规则；仅提示侵权责任、违约责任、相邻关系、劳动关系等训练方向。,这些片段本身不直接奖励学生本题作答，或只作为阅卷建议。,teaching_feedback,不生成。,"教学建议, 复练, 学生问题, 不直接入 code",中。,中。,中。,低。可作为错因库，不作为代码本核心观察。,R_CC0245_2026_东城_期中_18_2_01 是该题正式维权准备细则，可与 R_CC0245_2026_东城_期中_18_2_04 教学建议区分。,high,no,它们有助于诊断，但不能替代题源生长的法律观察。
V01,需要补充更多 formal 的 AI 与数字权益题，验证 AI 作品、虚拟数字人、数字员工、平台算法风险是否都只是既有权利路径的材料包装。,"[CC0040_2024_海淀_一模_19, CC0137_2025_昌平_二模_20, CC0277_2026_房山_二模_18]","[R_CC0040_2024_海淀_一模_19_01, R_CC0137_2025_昌平_二模_20_02, R_CC0137_2025_昌平_二模_20_03, R_CC0137_2025_昌平_二模_20_04, R_CC0277_2026_房山_二模_18_01, R_CC0277_2026_房山_二模_18_04]","[M_CC0040_2024_海淀_一模_19_01, M_CC0040_2024_海淀_一模_19_05, M_CC0137_2025_昌平_二模_20_15, M_CC0137_2025_昌平_二模_20_16, M_CC0137_2025_昌平_二模_20_17, M_CC0277_2026_房山_二模_18_01, M_CC0277_2026_房山_二模_18_02, M_CC0277_2026_房山_二模_18_03]",新型技术法律边界,reference_only + evaluation_standard,weak_to_formal_mixed,新技术材料是否触发著作权、不正当竞争、商业秘密、人格权或消费者权益。,虚拟数字人视频使用、AI 图片抹水印、数字员工商业风险。,著作权；不正当竞争；商业秘密；名誉权。,当前有 formal 但分散，需更多正式细则验证稳定性。,next_round_validation,暂不固定。,"AI, 数字权益, 著作权, 不正当竞争, 商业秘密",高。,中。,中。,待验证。,CC0040_2024_海淀_一模_19 为 reference_only，不能独立支撑。,medium,no,新型材料正在出现，但证据等级和题型稳定性还需补强。
V02,需要补充更多 formal 的身份分层题，尤其是未成年人、劳动者、经营者、平台、用人单位、相邻权利人之间的最小判断差异。,"[CC0084_2025_东城_二模_19, CC0200_2025_西城_二模_18, CC0025_2024_朝阳_二模_17, CC0181_2025_海淀_期末_21, CC0319_2026_海淀_期中_19]","[R_CC0084_2025_东城_二模_19_02, R_CC0084_2025_东城_二模_19_07, R_CC0200_2025_西城_二模_18_01, R_CC0025_2024_朝阳_二模_17_09, R_CC0181_2025_海淀_期末_21_M17_04, R_CC0181_2025_海淀_期末_21_M17_05, R_CC0319_2026_海淀_期中_19_01]","[M_CC0084_2025_东城_二模_19_02, M_CC0200_2025_西城_二模_18_01, M_CC0200_2025_西城_二模_18_06, M_CC0025_2024_朝阳_二模_17_03, M_CC0025_2024_朝阳_二模_17_06, M_CC0181_2025_海淀_期末_21_03, M_CC0181_2025_海淀_期末_21_08, M_CC0319_2026_海淀_期中_19_01, M_CC0319_2026_海淀_期中_19_02]",裁判理由；评析；说明意义,marking_report + marking_rubric + lecture_explicit_scoring,formal,主体身份决定合同效力、责任路径、权利义务或制度适用。,13 岁文身、17 岁打赏、平台劳动者、高级管理人员与普通员工、经营者技术抢票。,限制民事行为能力人；劳动关系；竞业限制；经营者不正当竞争。,多题都奖励主体身份判断，但下一轮需验证是否能形成统一审题观察。,next_round_validation,先定主体身份，再定法律关系或责任路径。,"主体身份, 限制民事行为能力人, 劳动者, 用人单位, 经营者, 相邻权利人",高。,中。,低到中。,高，待进一步聚合。,CC0240_2026_东城_二模_21 的 R_CC0240_2026_东城_二模_21_02 是金融强国综合题，不适用身份分层法律观察。,medium_high,pending,已有多题 formal 支撑，但还需区分主体身份观察和具体制度观察，避免过宽。
V03,需要重点验证程序路径题是否稳定区分协商、调解、仲裁、诉讼、行政诉讼、举证责任，以及学生误把所有纠纷写成调解或起诉的扣分边界。,"[CC0125_2025_延庆_一模_19, CC0245_2026_东城_期中_18_2, CC0325_2026_石景山_一模_18, CC0223_2025_顺义_一模_19, CC0094_2025_东城_期末_19_3]","[R_CC0125_2025_延庆_一模_19_M17_01, R_CC0125_2025_延庆_一模_19_M17_04, R_CC0245_2026_东城_期中_18_2_01, R_CC0245_2026_东城_期中_18_2_03, R_CC0325_2026_石景山_一模_18_01, R_CC0325_2026_石景山_一模_18_02, R_CC0325_2026_石景山_一模_18_03, R_CC0223_2025_顺义_一模_19_M17_01, R_CC0094_2025_东城_期末_19_3_11]","[M_CC0125_2025_延庆_一模_19_02, M_CC0125_2025_延庆_一模_19_03, M_CC0125_2025_延庆_一模_19_07, M_CC0245_2026_东城_期中_18_2_03, M_CC0245_2026_东城_期中_18_2_05, M_CC0245_2026_东城_期中_18_2_06, M_CC0245_2026_东城_期中_18_2_11, M_CC0325_2026_石景山_一模_18_02, M_CC0325_2026_石景山_一模_18_06, M_CC0325_2026_石景山_一模_18_07, M_CC0223_2025_顺义_一模_19_01, M_CC0223_2025_顺义_一模_19_02, M_CC0094_2025_东城_期末_19_3_11]",调解；维权准备；举证责任；纠纷解决方式,evaluation_standard + marking_rubric + teacher_reference_answer,formal + reference_only 辅助,程序路径是否适合当前材料状态。,标的较小、协商未果、仲裁协议、起诉材料、举证责任、行政行为合法性、分歧被误判为调解。,调解；仲裁；诉讼；行政诉讼；举证责任；证据意识。,已有 formal 支撑，但需要更多题验证不同程序路径之间的边界。,next_round_validation,按材料状态选择路径，说明理由和准备事项。,"程序路径, 协商未果, 仲裁协议, 起诉, 举证责任, 行政诉讼",高。,中。,中。,高，待更多 formal 题校准。,CC0094_2025_东城_期末_19_3 为 reference_only 且指出误把分歧当调解，只能作为风险例。,medium_high,pending,程序题是高迁移机制，但仍需细化不同程序触发条件。
V04,需要补充遗嘱、继承、婚姻家庭、人格权以外的人身关系题；当前包内这些领域正式强证据不足或混入其他模块。,"[CC0259_2026_丰台_期中_19, CC0373_2026_顺义_一模_17]","[R_CC0259_2026_丰台_期中_19_01, R_CC0259_2026_丰台_期中_19_02, R_CC0373_2026_顺义_一模_17_07]","[M_CC0259_2026_丰台_期中_19_01, M_CC0259_2026_丰台_期中_19_02, M_CC0259_2026_丰台_期中_19_03, M_CC0373_2026_顺义_一模_17_08, M_CC0373_2026_顺义_一模_17_09]",题源混杂，待补正式题型,evaluation_standard + marking_rubric,formal 但混杂,是否真考遗赠扶养协议、夫妻共同财产，还是其他模块评分内容。,遗赠扶养协议纠纷案材料；夫妻共同财产利益一致性出现在竞业限制细则中。,遗赠扶养协议；夫妻共同财产；竞业限制关联利益。,当前题号混杂严重，不能抽取婚姻家庭或继承强观察。,next_round_gap,暂不生成。,"遗赠扶养协议, 夫妻共同财产, 婚姻家庭, 继承, 待补证据",中。,高。材料不足时容易法考化扩展。,高。,待验证。,CC0259_2026_丰台_期中_19 的 ask_text 和 R_CC0259_2026_丰台_期中_19_01 至 R_CC0259_2026_丰台_期中_19_02 指向四大全球倡议或审题建议，遗赠材料无法直接使用。,medium,no,当前证据无法稳定支持婚姻家庭或继承类观察，需要补 formal 清洁题源。
