"seq","suite","question","current_sha","current_status","closure","core_h3_count","boundary_h3_count","body_hit","hit_headings","adjudication","basis","old_v7_decision","terms","aliases","paper_source","rubric_source"
"41","2025昌平二模","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","6","0","True","L1092 2025昌平二模Q21稳外资举措激活两个市场两种资源 || L1313 2025昌平二模Q21 || L1640 2025昌平二模Q21 || L2127 2025昌平二模Q21 || L2204 2025昌平二模Q21稳外资行动提升全球经济治理话语权 || L2433 2025昌平二模Q21稳外资举措推动开放包容全球经济格局","","","纳入候选-旧稿已有主位置-仍需一题一例复核","两个市场；两种资源","2025昌平二模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025昌平二模\试卷\2025北京昌平高三二模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025昌平二模\细则\2025昌平二模细则.pptx"
"42","2025朝阳一模","Q18","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第18题细则为《政治与法治》社区治理，联合国/多边主义来自选择题上下文。","P0必须回补-旧稿缺失但已有细则上下文","全球治理；联合国；多边主义","2025朝阳一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\试卷\2025北京朝阳高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结18题 社区治理 汤桃玲组 探究建构.doc"
"43","2025朝阳一模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L910 2025朝阳一模Q20 || L1655 2025朝阳一模Q20 || L2391 2025朝阳一模Q20 || L5437 2025朝阳一模Q20","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；供应链；产业链","2025朝阳一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\试卷\2025北京朝阳高三一模政治（教师版）.pdf",""
"44","2025朝阳二模","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","11","0","True","L645 2025朝阳二模Q21（周边工作新局面） || L1490 2025朝阳二模Q21 || L2016 2025朝阳二模Q21 || L2763 2025朝阳二模Q21 || L3172 2025朝阳二模Q21（周边工作新局面中的国际关系民主化） || L3360 2025朝阳二模Q21 || L3486 2025朝阳二模Q21 || L3517 2025朝阳二模Q21我国为什么要努力开创周边工作新局面","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济","2025朝阳二模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\试卷\2025北京朝阳高三二模政治（教师版）.pdf",""
"45","2025朝阳二模","Q22","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第22题为中国式现代化顶层设计与实践探索综合题；前一题周边工作新局面已在当前稿覆盖。","P0必须回补-旧稿缺失但已有细则上下文","当代国际政治与经济；国际政治与经济","2025朝阳二模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\试卷\2025北京朝阳高三二模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\细则\2025朝阳二模细则.docx"
"46","2025朝阳期末","Q16","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第16题明示运用《哲学与文化》谈文化同世界对话，联合国假日/非遗只作文化材料。","P0必须回源查细则-旧表未取到细则不能排除","联合国","2025朝阳期末","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末\试卷\2025北京朝阳高三（上）期末政治（教师版）.pdf",""
"47","2025朝阳期末","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","14","0","True","L169 2025朝阳期末Q21 || L1283 2025朝阳期末Q21 || L3062 2025朝阳期末Q21（中国特色大国外交中的共商共建共享观念） || L3111 2025朝阳期末Q21 || L3375 2025朝阳期末Q21 || L3759 2025朝阳期末Q21 || L3855 2025朝阳期末Q21 || L3942 2025朝阳期末Q21（国际秩序公正合理）","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济","2025朝阳期末","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末\试卷\2025北京朝阳高三（上）期末政治（教师版）.pdf",""
"48","2025海淀一模","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","3","0","True","L1171 2025海淀一模Q21(2) || L1535 2025海淀一模Q21(2) || L2257 2025海淀一模Q21(2)","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济","2025海淀一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\试卷\2025北京海淀高三一模政治（教师版）.pdf",""
"49","2025海淀期末","Q16","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","1","1","True","L833 2025海淀期中Q16(2) || L6199 2025海淀期末Q16","","","边界复核-只可入边界表或跨模块提示","经济全球化；两个市场；两种资源；供应链","2025海淀期末 / 2025海淀期中","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中\试卷\2024北京海淀高三（上）期中政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中\细则\2025海淀期中细则.docx"
"50","2025海淀期末","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","8","0","True","L71 2025海淀期中Q21(2) || L412 2025海淀期中Q21(2) || L3208 2025海淀期中Q21(2) || L4349 2025海淀期中Q21(2) || L4428 2025海淀期中Q21(2) || L4475 2025海淀期中Q21(2) || L4512 2025海淀期中Q21(2)〔本题可同时联系外交政策层与准则层〕 || L4594 2025海淀期中Q21(2)〔本题可同时联系外交政策层与准则层〕","","","P0必须回补-旧稿缺失但已有细则上下文","经济全球化；综合国力；和平共处五项原则；独立自主","2025海淀期末 / 2025海淀期中","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中\试卷\2024北京海淀高三（上）期中政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中\细则\2025海淀期中细则.docx"
"51","2025海淀期末","Q22","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","1","0","True","L4129 2025海淀期末Q22——愚公移山综合短文","","","纳入候选-旧稿已有主位置-仍需一题一例复核","人类命运共同体；中国智慧；中国方案","2025海淀期末","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末\试卷\2025北京海淀高三（上）期末政治（教师版）.docx","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末\细则\2025海淀期末细则.pptx"
"52","2025石景山一模","Q16","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_BOUNDARY_OR_CROSS_BOOK_BY_ADJUDICATION","0","0","False","","边界-跨书角度","第16题主干为《哲学与文化》中华版本题；细则示例末尾出现新型国际关系/人类命运共同体，只作跨书提示，不进入选必一主文。","P0必须回补-旧稿缺失但已有细则上下文","新型国际关系；人类命运共同体","2025石景山一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\试卷\2025北京石景山高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\细则\2025石景山一模细则.doc"
"53","2025石景山一模","Q17","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L2418 2025石景山一模Q17(2)""北京宣言""中的普惠包容全球化主张 || L2977 2025石景山一模Q17(2)""北京宣言""中的共商共建共享全球治理观 || L3141 2025石景山一模Q17(2) || L3587 2025石景山一模Q17(2)","","","纳入候选-旧稿已有主位置-仍需一题一例复核","世界多极化；经济全球化；新型国际关系；全球治理；人类命运共同体；联合国；多边主义；国际关系民主化；国际秩序；贸易投资","2025石景山一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\试卷\2025北京石景山高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\细则\2025石景山一模细则.doc"
"54","2025石景山一模","Q18","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第18题明示运用《经济与社会》分析低空经济，产业链是必修二/经济语境。","P0必须回补-旧稿缺失但已有细则上下文","联合国；多边主义；国际秩序；产业链","2025石景山一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\试卷\2025北京石景山高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\细则\2025石景山一模细则.doc"
"55","2025西城一模","Q18","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","1","0","True","L2744 2025西城一模Q18","","","纳入候选-旧稿已有主位置-仍需一题一例复核","两个市场；两种资源；产业链","2025西城一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\试卷\2025北京西城高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\细则\2025西城一模细则.docx"
"56","2025西城一模","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","3","0","True","L1328 2025西城一模Q21 || L4213 2025西城一模Q21 || L5584 2025西城一模Q21","","","纳入候选-旧稿已有主位置-仍需一题一例复核","经济全球化；共同利益；人类命运共同体；中国智慧；中国方案","2025西城一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\试卷\2025北京西城高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\细则\2025西城一模细则.docx"
"57","2025西城一模","Q22","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第22题为长期主义综合题，细则主干是发展观、量变质变、民族精神、党的领导等，非国政经主链。","P0必须回补-旧稿缺失但已有细则上下文","人类命运共同体","2025西城一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\试卷\2025北京西城高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\细则\2025西城一模细则.docx"
"58","2025西城二模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","6","0","True","L1426 2025西城二模Q19(2) || L2782 2025西城二模Q19(2) || L2801 2025西城二模Q19(2) || L3659 2025西城二模Q19(2) || L4272 2025西城二模Q19(2) || L4640 2025西城二模Q19(2)","","","纳入候选-旧稿已有主位置-仍需一题一例复核","经济全球化；开放型世界经济","2025西城二模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模\试卷\2025北京西城高三二模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模\细则\2025西城二模细则.docx"
"59","2025西城二模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","EXCLUDE_NON_XUANBIYI_MAIN","Candidate context shows Q20 is mainly culture/philosophy/CPC-modernization discussion. The real xuanbiyi zero-tariff item in this suite is Q19(2), already independently covered.","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济","2025西城二模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模\试卷\2025北京西城高三二模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模\细则\2025西城二模细则.docx"
"60","2025西城期末","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L1550 2025西城期末Q20 || L2274 2025西城期末Q20 || L2291 2025西城期末Q20 || L2308 2025西城期末Q20","","","纳入候选-旧稿已有主位置-仍需一题一例复核","两个市场；产业链","2025西城期末","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025西城期末\试卷\2025北京西城高三（上）期末政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025西城期末\细则\2025西城期末细则.pdf"
"61","2025门头沟一模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","7","0","True","L1268 2025门头沟一模Q19 || L2359 2025门头沟一模Q19 || L3390 2025门头沟一模Q19 || L4185 2025门头沟一模Q19 || L4776 2025门头沟一模Q19 || L5471 2025门头沟一模Q19 || L5520 2025门头沟一模Q19中国做""赋能型大国""的世界意义","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济","2025门头沟一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模\试卷\2025北京门头沟高三一模政治（教师版）.pdf",""
"62","2025门头沟一模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_boundary_h3","CLOSED_BOUNDARY_IN_CURRENT_SHA","0","1","True","L6172 2025门头沟一模Q20","","","边界复核-只可入边界表或跨模块提示","当代国际政治与经济；国际政治与经济；世界多极化；多边主义","2025门头沟一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模\试卷\2025北京门头沟高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模\细则\2025门头沟一模细则.doc"
"63","2025顺义一模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","11","0","True","L1298 2025顺义一模Q20 || L2949 2025顺义一模Q20——""小而美""项目为何成为中国开展国际发展合作的亮点和名片 || L3126 2025顺义一模Q20 || L3545 2025顺义一模Q20 || L4302 2025顺义一模Q20 || L4557 2025顺义一模Q20〔本题只写政策层〕 || L4832 2025顺义一模Q20——""小而美""项目为何成为中国开展国际发展合作的亮点和名片 || L4968 2025顺义一模Q20","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；世界多极化；经济全球化；新型国际关系；人类命运共同体；中国方案；国际关系民主化；独立自主；和平外交","2025顺义一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模\试卷\2025北京顺义高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模\细则\2025顺义一模细则.docx"
"64","2026东城一模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","6","0","True","L1205 2026东城一模Q19(3) || L1860 2026东城一模Q19(3) || L2088 2026东城一模Q19(3) || L2142 2026东城一模Q19(3)规则对接维度 || L2221 2026东城一模Q19(3) || L2238 2026东城一模Q19(3)","","","纳入候选-旧稿已有主位置-仍需一题一例复核","产业链；制度型开放","2026东城一模","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\2026北京东城高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（1）.pptx"
"65","2026东城二模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","5","0","True","L1670 2026东城二模Q20(3) || L1969 2026东城二模Q20(3) || L2639 2026东城二模Q20(3) || L2656 2026东城二模Q20(3) || L2673 2026东城二模Q20(3)","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济","2026东城二模","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模\试卷\2026北京东城高三二模政治（教师版）.docx",""
"66","2026东城期中","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","8","0","True","L3503 2026东城期末Q20四大全球倡议系统推动构建人类命运共同体 || L4921 2026东城期末Q20四大全球倡议系统推动构建人类命运共同体（全球发展倡议子项） || L5034 2026东城期末Q20 || L5068 2026东城期末Q20 || L5115 2026东城期末Q20 || L5147 2026东城期末Q20 || L5179 2026东城期末Q20 || L5196 2026东城期末Q20","","","P0必须回源查细则-旧表未取到细则不能排除","当代国际政治与经济；国际政治与经济；全球治理；人类命运共同体","2026东城期中 / 2026东城期末","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026东城期末\2026北京东城高三（上）期末政治（教师版）.pdf",""
"67","2026东城期中","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","EXCLUDE_NON_XUANBIYI_MAIN","Actual source is Dongcheng term-end/regional development comprehensive item. Rubric focus is regional coordination/development pattern/economy-society, not a xuanbiyi subjective main-chain item.","P0必须回补-旧稿缺失但已有细则上下文","当代国际政治与经济；国际政治与经济；全球治理；人类命运共同体","2026东城期中 / 2026东城期末","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026东城期末\2026北京东城高三（上）期末政治（教师版）.pdf","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026东城期末\细则\2026东城期末细则.pptx"
"68","2026丰台一模","Q17","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_BOUNDARY_OR_CROSS_BOOK_BY_ADJUDICATION","0","0","False","","边界-跨书角度","第17题为生态环境法典法治/生态文明题，末句中国方案中国智慧属全球生态治理边界，不进入选必一主文。","P0必须回补-旧稿缺失但已有细则上下文","中国智慧；中国方案","2026丰台一模","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\26 丰台一模政治(1).pptx","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\细则\2026丰台一模细则.pptx"
"69","2026丰台一模","Q18","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-讲评复练题","该条来自讲评PPT“复练试题2024北京18”，不是2026丰台一模正式题。","P0必须回补-旧稿缺失但已有细则上下文","当代国际政治与经济；国际政治与经济","2026丰台一模","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\26 丰台一模政治(1).pptx","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\细则\2026丰台一模细则.pptx"
"70","2026丰台一模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","7","0","True","L561 2026丰台一模Q19 || L3961 2026丰台一模Q19（共商共建共享全球治理观） || L3980 2026丰台一模Q19（真正的多边主义） || L4762 2026丰台一模Q19 || L5375 2026丰台一模Q19 || L5657 2026丰台一模Q19（正确义利观） || L5968 2026丰台一模Q19","","","纳入候选-旧稿已有主位置-仍需一题一例复核","国际政治与经济；全球治理；人类命运共同体；联合国；多边主义","2026丰台一模","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\26 丰台一模政治(1).pptx","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\细则\2026丰台一模细则.pptx"
"71","2026丰台二模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","5","0","True","L925 2026丰台二模Q20 || L1388 2026丰台二模Q20 || L1685 2026丰台二模Q20 || L1811 2026丰台二模Q20 || L1984 2026丰台二模Q20","","","纳入候选-旧稿已有主位置-仍需一题一例复核","国际竞争；独立自主","2026丰台二模 / 2026丰台区二模","","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模\细则\2026丰台区二模主观题阅卷细则(1).pptx"
"72","2026丰台二模","Q22","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_boundary_h3","CLOSED_BOUNDARY_IN_CURRENT_SHA","0","1","True","L6115 2026丰台二模Q22","","","P0误纳入审计-旧稿已有但疑非选必一","","2026丰台二模 / 2026丰台区二模","","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模\细则\2026丰台区二模主观题阅卷细则(1).pptx"
"73","2026丰台期中","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","6","0","True","L2404 2026丰台期中Q20 || L2532 2026丰台期中Q20 || L2547 2026丰台期中Q20 || L5752 2026丰台期中Q20（中拉命运共同体） || L5771 2026丰台期中Q20（全球发展倡议） || L6041 2026丰台期中Q20（联合国为核心的国际体系）","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；新型国际关系；联合国；国际秩序；供应链；产业链","2026丰台期中 / 2026丰台期末","","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026丰台期末\丰台高三期末主观题评标.pdf"
"74","2026延庆一模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","7","0","True","L211 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || L442 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || L589 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || L880 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || L2935 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || L3437 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || L4818 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；经济全球化；共同利益；新型国际关系；全球治理；人类命运共同体；中国方案；联合国","2026延庆一模","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模\2026北京延庆高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模\26 延庆一模评标.docx"
"75","2026延庆一模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第20题为中国式现代化阶梯式递进综合题，国政经术语来自前一题/串入，当前稿已覆盖延庆一模第19题国政经题。","P0必须回补-旧稿缺失但已有细则上下文","新型国际关系；全球治理","2026延庆一模","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模\2026北京延庆高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模\26 延庆一模评标.docx"
"76","2026房山一模","Q16","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_BOUNDARY_OR_CROSS_BOOK_BY_ADJUDICATION","0","0","False","","边界-必修二开放语境","细则主干是新发展格局、高质量发展、政府/市场、乡村振兴等，贸易自由化/高水平开放不作为选必一主链采分核心。","P0必须回补-旧稿缺失但已有细则上下文","产业链；高水平对外开放","2026房山一模","","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模\26 房山一模评标 全.docx"
"77","2026房山一模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L987 2026房山一模Q19 || L1520 2026房山一模Q19海南""一线放开""自由便利 || L1749 2026房山一模Q19 || L1922 2026房山一模Q19","","","纳入候选-旧稿已有主位置-仍需一题一例复核","经济全球化；中国方案；贸易投资；两个市场；两种资源；供应链；产业链；制度型开放","2026房山一模","","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模\26 房山一模评标 全.docx"
"78","2026房山一模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_boundary_h3","CLOSED_BOUNDARY_IN_CURRENT_SHA","0","1","True","L6218 2026房山一模Q20","","","边界复核-只可入边界表或跨模块提示","中国智慧；中国方案；两个市场；两种资源","2026房山一模","","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模\26 房山一模评标 全.docx"
"79","2026房山二模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","6","0","True","L603 2026房山二模Q20 || L1343 2026房山二模Q20 || L2690 2026房山二模Q20 || L3019 2026房山二模Q20 || L3804 2026房山二模Q20 || L4317 2026房山二模Q20","","","纳入候选-旧稿已有主位置-仍需一题一例复核","世界多极化；经济全球化；共同利益；全球治理；多边主义","2026房山二模","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026房山二模\试卷\2026北京房山高三二模政治（教师版）.pdf",""
"80","2026房山二模","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_boundary_h3","CLOSED_BOUNDARY_IN_CURRENT_SHA","0","1","True","L6134 2026房山二模Q21","","","边界复核-只可入边界表或跨模块提示","新型国际关系；人类命运共同体；高水平对外开放","2026房山二模","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026房山二模\试卷\2026北京房山高三二模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026房山二模\细则\26房山评标(2).docx"
