question_id,suite_id,stable_locator,原始题号,primary_reasoning_type,secondary_reasoning_type,logical_form,rule_slogan,valid_pattern,invalid_pattern_or_trap,same_type_question_ids,answer_key,explanation_status,blocked_status
Q-2025顺义一模-7,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q7,7,三段论,周延判断;三段论;周延判断;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-10,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q10,10,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-17-1,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q17(1),17(1),假言推理,假言推理;选言推理;其他复合推理;选言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-17-2,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q17(2),17(2),假言推理,假言推理;选言推理;其他复合推理;选言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城一模-2,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q2,2,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城一模-6,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q6,6,换质换位,,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城一模-12,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q12,12,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-1,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q1,1,三段论,假言推理;周延判断;逻辑三律与概念规则;假言推理;类比推理,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-2,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q2,2,三段论,假言推理;周延判断;逻辑三律与概念规则;其他复合推理;归纳推理与因果探求;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-3,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q3,3,三段论,假言推理;三段论;假言推理;周延判断;逻辑三律与概念规则;三段论;假言推理;逻辑三律与概念规则;假言推理;假言推理;类比推理;其他复合推理;归纳推理与因果探求;类比推理;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-4,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q4,4,类比推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-5,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q5,5,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-6,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q6,6,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-7,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q7,7,三段论,,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-14,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q14,14,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-16,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q16,16,假言推理,逻辑三律与概念规则;其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-17-1,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q17(1),17(1),三段论,假言推理;三段论;假言推理;周延判断;三段论;周延判断;假言推理;联言推理;逻辑三律与概念规则;假言推理;逻辑三律与概念规则;其他复合推理;联言推理;逻辑三律与概念规则;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-17-2,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q17(2),17(2),三段论,假言推理;三段论;假言推理;周延判断;三段论;周延判断;假言推理;联言推理;逻辑三律与概念规则;假言推理;逻辑三律与概念规则;其他复合推理;联言推理;逻辑三律与概念规则;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-16-1,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q16(1),16(1),假言推理,逻辑三律与概念规则;其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2026东城期末-16-2,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q16(2),16(2),假言推理,逻辑三律与概念规则;其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2026丰台一模-18-2,S-2026丰台一模,042_Desktop_2026模拟题_2026各区一模_2026丰台一模_试卷_试卷.pdf::render_page_07::Q18(2),18(2),假言推理,三段论,甲：必要条件假言推理，肯定后件式；乙：三段论推理，大项在前提中不周延而结论中周延。,必要条件：肯后能肯前；三段论：前提不周延，结论不得突然周延。,必要条件假言推理肯定后件式。,三段论大项不当扩大。,,,visual_seed_needs_laneB_confirmation,locked_pending_laneB_visual_confirmation
Q-2026朝阳期中-1,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q1,1,三段论,,,,,,,,not_extracted_yet,pending_pairing
Q-2026朝阳期中-11,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q11,11,其他复合推理,,,,,,,,not_extracted_yet,blocked_until_answer_or_rubric_pairing
Q-2026朝阳期中-13,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q13,13,类比推理,,,,,,,,not_extracted_yet,blocked_until_answer_or_rubric_pairing
Q-2026朝阳期中-14,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q14,14,归纳推理与因果探求,,,,,,,,not_extracted_yet,blocked_until_answer_or_rubric_pairing
Q-2026朝阳期中-15,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q15,15,联言推理,,,,,,,,not_extracted_yet,blocked_until_answer_or_rubric_pairing
Q-2026朝阳期中-18,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q18,18,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026朝阳期中-19-1,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q19(1),19(1),其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026朝阳期中-19-2,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q19(2),19(2),其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026朝阳期中-19-3,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q19(3),19(3),其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026朝阳期中-18,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q18,18,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026朝阳期中-19,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q19,19,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026通州期末-3,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q3,3,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026通州期末-11,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q11,11,类比推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026通州期末-19-1,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q19(1),19(1),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2026通州期末-19-2,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q19(2),19(2),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2026通州期末-19-1,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q19(1),19(1),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2026通州期末-19-2,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q19(2),19(2),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2026顺义一模-3,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q3,3,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2026顺义一模-4,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q4,4,归纳推理与因果探求,类比推理;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2026顺义一模-5,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q5,5,其他复合推理,周延判断,,,,,,,not_extracted_yet,pending_pairing
Q-2026顺义一模-7,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q7,7,归纳推理与因果探求,,,,,,,,not_extracted_yet,pending_pairing
Q-2026顺义一模-19-1,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q19(1),19(1),三段论,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2026顺义一模-19-2,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q19(2),19(2),三段论,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2026顺义一模-19-3,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q19(3),19(3),三段论,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
