canonical_question_id,suite_id,original_qno,requires_visual_processing,visual_confirmation_status,can_enter_locked_fusion,notes
Q-2026通州期末-6,S-2026通州期末,6,yes,not_visual_confirmed,no,
Q-2026通州期末-7,S-2026通州期末,7,yes,not_visual_confirmed,no,
Q-2026通州期末-8,S-2026通州期末,8,yes,not_visual_confirmed,no,
Q-2026通州期末-9,S-2026通州期末,9,yes,not_visual_confirmed,no,
Q-2026顺义一模-1,S-2026顺义一模,1,yes,not_visual_confirmed,no,
Q-2026顺义一模-10,S-2026顺义一模,10,yes,not_visual_confirmed,no,
Q-2026顺义一模-11,S-2026顺义一模,11,yes,not_visual_confirmed,no,
Q-2026顺义一模-12,S-2026顺义一模,12,yes,not_visual_confirmed,no,
Q-2026顺义一模-13,S-2026顺义一模,13,yes,not_visual_confirmed,no,
Q-2026顺义一模-14,S-2026顺义一模,14,yes,not_visual_confirmed,no,
Q-2026顺义一模-15,S-2026顺义一模,15,yes,not_visual_confirmed,no,
Q-2026顺义一模-16,S-2026顺义一模,16,yes,not_visual_confirmed,no,
Q-2026顺义一模-17,S-2026顺义一模,17,yes,not_visual_confirmed,no,
Q-2026顺义一模-18,S-2026顺义一模,18,yes,not_visual_confirmed,no,
Q-2026顺义一模-19-1,S-2026顺义一模,19(1),yes,not_visual_confirmed,no,
Q-2026顺义一模-19-2,S-2026顺义一模,19(2),yes,not_visual_confirmed,no,
Q-2026顺义一模-19-3,S-2026顺义一模,19(3),yes,not_visual_confirmed,no,
Q-2026顺义一模-2,S-2026顺义一模,2,yes,not_visual_confirmed,no,
Q-2026顺义一模-20,S-2026顺义一模,20,yes,not_visual_confirmed,no,
Q-2026顺义一模-21,S-2026顺义一模,21,yes,not_visual_confirmed,no,
Q-2026顺义一模-22,S-2026顺义一模,22,yes,not_visual_confirmed,no,
Q-2026顺义一模-3,S-2026顺义一模,3,yes,not_visual_confirmed,no,
Q-2026顺义一模-4,S-2026顺义一模,4,yes,not_visual_confirmed,no,
Q-2026顺义一模-5,S-2026顺义一模,5,yes,not_visual_confirmed,no,
Q-2026顺义一模-6,S-2026顺义一模,6,yes,not_visual_confirmed,no,
Q-2026顺义一模-7,S-2026顺义一模,7,yes,not_visual_confirmed,no,
Q-2026顺义一模-8,S-2026顺义一模,8,yes,not_visual_confirmed,no,
Q-2026顺义一模-9,S-2026顺义一模,9,yes,not_visual_confirmed,no,
