ask_atom_id,question_id,ask_text,ask_function_plain,module_requirement,requires_material_connection,requires_value_discussion,requires_behavior_evaluation,requires_solution_or_measure,student_task_plain,source_locator
A_Q0083_2026_丰台_期中_19_01,Q0083_2026_丰台_期中_19,"结合材料内容说中国怎么做

[page 59]
水平二：只提到了三个倡议，并且知识运用不准确

[page 60]
水平一：没有回应问题，无效做答

[page 61]
水平一：摘抄材料

[page 62]
1.没有站在“四大全球倡议”整体上去回应问题，缺乏系统思维。",综合,不确定,yes,yes,uncertain,no,"结合材料内容说中国怎么做

[page 59]
水平二：只提到了三个倡议，并且知识运用不准确

[page 60]
水平一：没有回应问题，无效做答

[page 61]
水平一：摘抄材料

[page 62]
1.没有站在“四大全球倡议”整体上去回应问题，缺乏系统思维。",F0207:page 33 | F0388:page 33
A_Q0084_2026_延庆_一模_18_01,Q0084_2026_延庆_一模_18,"请求：停止侵害、赔偿损失、承担诉讼费用、赔礼道歉。
事实与理由：M 公司未经李某允许，利用AI 技术合成李某形象用于虚假直播营销活动，不当攫取流量。",原因,不确定,uncertain,yes,uncertain,no,"请求：停止侵害、赔偿损失、承担诉讼费用、赔礼道歉。
事实与理由：M 公司未经李某允许，利用AI 技术合成李某形象用于虚假直播营销活动，不当攫取流量。",F0158:text | F0159:page 5 | F0159:page 8 | F0369:text
A_Q0085_2026_房山_一模_17_1_01,Q0085_2026_房山_一模_17_1,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0160:text | F0371:text
A_Q0086_2026_房山_二模_17_01,Q0086_2026_房山_二模_17,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0189:text | F0190:text | F0191:page 10
A_Q0087_2026_房山_二模_18_01,Q0087_2026_房山_二模_18,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0189:text | F0190:text | F0191:page 10
A_Q0088_2026_朝阳_一模_18_01,Q0088_2026_朝阳_一模_18,"请求被法院全部
驳回并受到司法谴责，有效规制
阻碍创新的不诚信诉讼行为。
结合材料，运用《法律与生活》知识，谈谈人民法院是如何依法保护知识产权以护航新质生产力发展的。",综合,法律与生活,yes,uncertain,yes,no,"请求被法院全部
驳回并受到司法谴责，有效规制
阻碍创新的不诚信诉讼行为。
结合材料，运用《法律与生活》知识，谈谈人民法院是如何依法保护知识产权以护航新质生产力发展的。",F0162:text | F0163:page 11 | F0163:page 6 | F0373:text
A_Q0089_2026_朝阳_二模_18_01,Q0089_2026_朝阳_二模_18,结合材料，《法律与生活》，补充完整。,综合,法律与生活,yes,uncertain,uncertain,no,结合材料，《法律与生活》，补充完整。,F0193:text | F0194:text
A_Q0090_2026_朝阳_二模_20_2_01,Q0090_2026_朝阳_二模_20_2,"结合材料1分
21结合材料，综合运用所学，谈谈对系统思维和战略定力的认识。",综合,不确定,yes,yes,yes,no,"结合材料1分
21结合材料，综合运用所学，谈谈对系统思维和战略定力的认识。",F0194:text
A_Q0091_2026_海淀_一模_18_01,Q0091_2026_海淀_一模_18,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0165:page 3 | F0375:page 3
A_Q0092_2026_海淀_二模_18_01,Q0092_2026_海淀_二模_18,"请贷款。
·公司法第48条规定，股东可以用货币出资，也可以用知识产权等可以用货币估价并可以依法转让的非货币财产作价出资。
·专利法第15条规定，被授予专利权的单位应当对职务发明创造的发明人或者设计人给予奖励；发明创造专利实施后，根据其推广应用的范围和取得的经济效益，对发明人或者设计人给予合理的报酬。
（2）结合材料二，运用《法律与生活》知识，分析上述关于知识产权的法律规定是如何助力企业创新与发展的。",说明,法律与生活,yes,uncertain,uncertain,no,"请贷款。
·公司法第48条规定，股东可以用货币出资，也可以用知识产权等可以用货币估价并可以依法转让的非货币财产作价出资。
·专利法第15条规定，被授予专利权的单位应当对职务发明创造的发明人或者设计人给予奖励；发明创造专利实施后，根据其推广应用的范围和取得的经济效益，对发明人或者设计人给予合理的报酬。
（2）结合材料二，运用《法律与生活》知识，分析上述关于知识产权的法律规定是如何助力企业创新与发展的。",F0197:text
A_Q0093_2026_海淀_二模_21_01,Q0093_2026_海淀_二模_21,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0197:text
A_Q0094_2026_海淀_期中_18_01,Q0094_2026_海淀_期中_18,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0216:page 2 | F0217:page 10 | F0396:page 2
A_Q0095_2026_海淀_期中_18_2_01,Q0095_2026_海淀_期中_18_2,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0216:page 2 | F0396:page 2
A_Q0096_2026_海淀_期中_19_01,Q0096_2026_海淀_期中_19,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0216:page 3 | F0217:page 10 | F0396:page 3
A_Q0097_2026_海淀_期中_22_01,Q0097_2026_海淀_期中_22,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0215:text
A_Q0098_2026_石景山_一模_18_01,Q0098_2026_石景山_一模_18,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0167:text | F0168:page 6 | F0168:page 9 | F0377:text
A_Q0099_2026_石景山_二模_18_01,Q0099_2026_石景山_二模_18,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0199:text
A_Q0100_2026_石景山_二模_19_01,Q0100_2026_石景山_二模_19,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,综合,法律与生活,yes,uncertain,yes,no,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,F0198:text | F0199:text
A_Q0101_2026_石景山_期末_17_01,Q0101_2026_石景山_期末_17,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0226:page 9
A_Q0102_2026_西城_一模_17_01,Q0102_2026_西城_一模_17,"请求行为人停止侵害、排除妨碍、消除危险、恢复原状、赔偿损失。
……
第294条：不动产权利人不得违反国家规定弃置固体废物，排放大气污染物、水污染物、土壤污染物、噪声、光辐射、电磁辐射等有害物质。
第326条：用益物权人行使权利，应当遵守法律有关保护和合理开发利用资源、保护生态环境的规定。所有权人不得干涉用益物权人行使权利。
结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。",说明,不确定,yes,uncertain,uncertain,no,"请求行为人停止侵害、排除妨碍、消除危险、恢复原状、赔偿损失。
……
第294条：不动产权利人不得违反国家规定弃置固体废物，排放大气污染物、水污染物、土壤污染物、噪声、光辐射、电磁辐射等有害物质。
第326条：用益物权人行使权利，应当遵守法律有关保护和合理开发利用资源、保护生态环境的规定。所有权人不得干涉用益物权人行使权利。
结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。",F0169:text | F0171:text | F0379:text | F0380:text
A_Q0103_2026_西城_一模_21_01,Q0103_2026_西城_一模_21,结合材料，综合运用所学，分析为什么“中国式现代化处于关键时期，更要坚持探索”。,原因,不确定,yes,yes,uncertain,no,结合材料，综合运用所学，分析为什么“中国式现代化处于关键时期，更要坚持探索”。,F0171:text | F0380:text
A_Q0104_2026_西城_二模_18_01,Q0104_2026_西城_二模_18,结合材料二，从法治的角度，阐释最高人民法院发布典型案例对推进国家治理能力现代化的意义。,论证,法治知识,yes,yes,uncertain,no,结合材料二，从法治的角度，阐释最高人民法院发布典型案例对推进国家治理能力现代化的意义。,F0201:text
A_Q0105_2026_西城_期中_16_01,Q0105_2026_西城_期中_16,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0220:slide 2 | F0401:slide 2
A_Q0106_2026_西城_期中_17_01,Q0106_2026_西城_期中_17,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0221:page 11
A_Q0108_2026_通州_期中_16_01,Q0108_2026_通州_期中_16,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0223:slide 3 | F0403:slide 3
A_Q0109_2026_通州_期中_19_01,Q0109_2026_通州_期中_19,结合材料，运用《法律与生活》知识，分析判决结果并说明理由。,原因,法律与生活,yes,uncertain,uncertain,no,结合材料，运用《法律与生活》知识，分析判决结果并说明理由。,F0223:slide 10 | F0224:page 6 | F0224:page 9 | F0403:slide 10
A_Q0112_2026_门头沟_一模_21_01,Q0112_2026_门头沟_一模_21,结合材料，只给1分。,综合,不确定,yes,yes,uncertain,no,结合材料，只给1分。,F0174:text | F0382:text
A_Q0113_2026_顺义_一模_18_01,Q0113_2026_顺义_一模_18,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0176:slide 4 | F0176:slide 5 | F0383:slide 4 | F0383:slide 5
A_Q0114_2026_顺义_二模_18_01,Q0114_2026_顺义_二模_18,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0202:text
