题目,题目键,共同子原理/方法论,Claude节点集,Codex节点集
2026延庆一模第16题,2026_延庆_一模_Q16,人民群众,人民群众；对立统一；矛盾的特殊性 / 具体问题具体分析；社会存在与社会意识；辩证否定 / 守正创新,人民群众；矛盾；联系；辩证否定 / 守正创新
2026延庆一模第16题,2026_延庆_一模_Q16,矛盾的特殊性 / 具体问题具体分析,人民群众；对立统一；矛盾的特殊性 / 具体问题具体分析；社会存在与社会意识；辩证否定 / 守正创新,人民群众；矛盾；联系；辩证否定 / 守正创新
2026延庆一模第16题,2026_延庆_一模_Q16,辩证否定 / 守正创新,人民群众；对立统一；矛盾的特殊性 / 具体问题具体分析；社会存在与社会意识；辩证否定 / 守正创新,人民群众；矛盾；联系；辩证否定 / 守正创新
2026朝阳一模第16题,2026_朝阳_一模_Q16,主观能动性 / 意识的能动作用,尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析；联系的普遍性,实践与认识 / 认识对实践的反作用；对立统一；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化
2026朝阳一模第16题,2026_朝阳_一模_Q16,尊重客观规律与发挥主观能动性相结合,尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析；联系的普遍性,实践与认识 / 认识对实践的反作用；对立统一；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化
2026朝阳一模第16题,2026_朝阳_一模_Q16,整体与部分 / 系统观念 / 系统优化,尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析；联系的普遍性,实践与认识 / 认识对实践的反作用；对立统一；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化
2026朝阳期中第18题,2026_朝阳_期中_Q18,主观能动性 / 意识的能动作用,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值判断与价值选择；对立统一；辩证否定 / 守正创新,主观能动性 / 意识的能动作用；价值判断与价值选择；价值观的导向作用；实践与认识 / 认识对实践的反作用；对立统一；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2026朝阳期中第18题,2026_朝阳_期中_Q18,价值判断与价值选择,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值判断与价值选择；对立统一；辩证否定 / 守正创新,主观能动性 / 意识的能动作用；价值判断与价值选择；价值观的导向作用；实践与认识 / 认识对实践的反作用；对立统一；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2026朝阳期中第18题,2026_朝阳_期中_Q18,价值观的导向作用,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值判断与价值选择；对立统一；辩证否定 / 守正创新,主观能动性 / 意识的能动作用；价值判断与价值选择；价值观的导向作用；实践与认识 / 认识对实践的反作用；对立统一；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2026朝阳期中第18题,2026_朝阳_期中_Q18,对立统一,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值判断与价值选择；对立统一；辩证否定 / 守正创新,主观能动性 / 意识的能动作用；价值判断与价值选择；价值观的导向作用；实践与认识 / 认识对实践的反作用；对立统一；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2026朝阳期中第18题,2026_朝阳_期中_Q18,辩证否定 / 守正创新,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值判断与价值选择；对立统一；辩证否定 / 守正创新,主观能动性 / 意识的能动作用；价值判断与价值选择；价值观的导向作用；实践与认识 / 认识对实践的反作用；对立统一；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2026石景山一模第17(1)题,2026_石景山_一模_Q17-1,价值观的导向作用,价值观的导向作用；发展的观点 / 发展的普遍性；对立统一；矛盾的特殊性 / 具体问题具体分析；联系的普遍性,价值观的导向作用；发展；对立统一；整体与部分 / 系统观念 / 系统优化
2026石景山一模第17(1)题,2026_石景山_一模_Q17-1,对立统一,价值观的导向作用；发展的观点 / 发展的普遍性；对立统一；矛盾的特殊性 / 具体问题具体分析；联系的普遍性,价值观的导向作用；发展；对立统一；整体与部分 / 系统观念 / 系统优化
2026石景山一模第17(1)题,2026_石景山_一模_Q17-1,整体与部分 / 系统观念 / 系统优化,价值观的导向作用；发展的观点 / 发展的普遍性；对立统一；矛盾的特殊性 / 具体问题具体分析；联系的普遍性,价值观的导向作用；发展；对立统一；整体与部分 / 系统观念 / 系统优化
2026石景山一模第17(1)题,2026_石景山_一模_Q17-1,矛盾的特殊性 / 具体问题具体分析,价值观的导向作用；发展的观点 / 发展的普遍性；对立统一；矛盾的特殊性 / 具体问题具体分析；联系的普遍性,价值观的导向作用；发展；对立统一；整体与部分 / 系统观念 / 系统优化
2026西城一模第16题,2026_西城_一模_Q16,价值观的导向作用,主观能动性 / 意识的能动作用；价值观的导向作用；发展的观点 / 发展的普遍性；联系的普遍性,价值观的导向作用；发展；联系
2026西城一模第21题,2026_西城_一模_Q21,主观能动性 / 意识的能动作用,实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合；改革 / 改革的实质；矛盾的特殊性 / 具体问题具体分析；量变与质变,发展；实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合；矛盾
2026西城一模第21题,2026_西城_一模_Q21,实践与认识 / 认识对实践的反作用,实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合；改革 / 改革的实质；矛盾的特殊性 / 具体问题具体分析；量变与质变,发展；实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合；矛盾
2026西城一模第21题,2026_西城_一模_Q21,尊重客观规律与发挥主观能动性相结合,实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合；改革 / 改革的实质；矛盾的特殊性 / 具体问题具体分析；量变与质变,发展；实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合；矛盾
2026门头沟一模第16题,2026_门头沟_一模_Q16,对立统一,主观能动性 / 意识的能动作用；发展的观点 / 发展的普遍性；对立统一；辩证否定 / 守正创新,对立统一；联系；辩证否定 / 守正创新
2026门头沟一模第16题,2026_门头沟_一模_Q16,辩证否定 / 守正创新,主观能动性 / 意识的能动作用；发展的观点 / 发展的普遍性；对立统一；辩证否定 / 守正创新,对立统一；联系；辩证否定 / 守正创新
2026门头沟一模第21题,2026_门头沟_一模_Q21,主观能动性 / 意识的能动作用,尊重客观规律与发挥主观能动性相结合,尊重客观规律与发挥主观能动性相结合
2026门头沟一模第21题,2026_门头沟_一模_Q21,尊重客观规律与发挥主观能动性相结合,尊重客观规律与发挥主观能动性相结合,尊重客观规律与发挥主观能动性相结合
2026顺义一模第21题,2026_顺义_一模_Q21,主观能动性 / 意识的能动作用,价值判断与价值选择；对立统一；尊重客观规律与发挥主观能动性相结合；规律的客观性,人民群众；价值判断与价值选择；内因和外因；实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；社会存在与社会意识；量变与质变
2026顺义一模第21题,2026_顺义_一模_Q21,人民群众,价值判断与价值选择；对立统一；尊重客观规律与发挥主观能动性相结合；规律的客观性,人民群众；价值判断与价值选择；内因和外因；实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；社会存在与社会意识；量变与质变
2026顺义一模第21题,2026_顺义_一模_Q21,价值判断与价值选择,价值判断与价值选择；对立统一；尊重客观规律与发挥主观能动性相结合；规律的客观性,人民群众；价值判断与价值选择；内因和外因；实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；社会存在与社会意识；量变与质变
2026顺义一模第21题,2026_顺义_一模_Q21,尊重客观规律与发挥主观能动性相结合,价值判断与价值选择；对立统一；尊重客观规律与发挥主观能动性相结合；规律的客观性,人民群众；价值判断与价值选择；内因和外因；实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；社会存在与社会意识；量变与质变
