coverage_id,source_suite,question_id,question_type,module_decision,handbook_target,decision,evidence_level,framework_node_or_reasoning_family,source_lock,blocked_reason,fusion_priority
BCV0123,2026海淀二模,Q0123,choice_question,reasoning,reasoning_choice,index,B-choice-signal,必要条件假言推理/海淀二模 Q4,run_question_id=Q0123;suite=2026海淀二模;no=4;rubric_state_from_run_ledger,b_choice_signal_audit_field_only_not_student_body,P4
BCV0124,2026海淀二模,Q0124,choice_question,reasoning,reasoning_choice,body,A-support,必要条件假言推理(选择题),run_question_id=Q0124;suite=2026海淀二模;no=5;rubric_state_from_run_ledger,,P2
BCV0125,2026海淀二模,Q0125,choice_question,reasoning,reasoning_choice,body,A-support,充分条件假言推理+组合判断(选择题),run_question_id=Q0125;suite=2026海淀二模;no=6;rubric_state_from_run_ledger,,P2
BCV0126,2026海淀二模,Q0126,choice_question,reasoning,reasoning_choice,body,A-support,不完全归纳推理(选择题),run_question_id=Q0126;suite=2026海淀二模;no=7;rubric_state_from_run_ledger,,P2
BCV0127,2026海淀二模,Q0127,main_question,thinking,thinking_main,body,A-formal,月季育种复合链：分析与综合+联想思维+科学思维客观性/实践检验,run_question_id=Q0127;suite=2026海淀二模;no=18(1);rubric_state_from_run_ledger;science_cross_mount_added_v23,,P2
BCV0128,2026海淀二模,Q0128,main_question,reasoning,reasoning_main,body,A-formal,概念外延/划分规则(主观),run_question_id=Q0128;suite=2026海淀二模;no=20(1);rubric_state_from_run_ledger,,P2
BCV0129,2026房山二模,Q0129,main_question,thinking,thinking_main,body,A-formal,辩证否定观,run_question_id=Q0129;suite=2026房山二模;no=18(2);rubric_state_from_run_ledger,,P2
BCV0130,2026西城二模,Q0130,choice_question,reasoning,reasoning_choice,body,A-support,相容选言推理(选择题),run_question_id=Q0130;suite=2026西城二模;no=5;rubric_state_from_run_ledger,,P2
BCV0131,2026西城二模,Q0131,choice_question,thinking,excluded_or_boundary,excluded,A-support,思维选择题/2026西城二模 6,run_question_id=Q0131;suite=2026西城二模;no=6;rubric_state_from_run_ledger,out_of_thinking_handbook_scope_user_confirmed,P4
BCV0132,2026西城二模,Q0132,main_question,thinking,thinking_main,body,A-formal,科学思维客观性+辩证思维+创新思维综合,run_question_id=Q0132;suite=2026西城二模;no=18(4);rubric_state_from_run_ledger;corrected_from_single_science_mount_v23,,P2
BCV0133,2026石景山二模,Q0133,choice_question,thinking,excluded_or_boundary,excluded,A-support,思维选择题/2026石景山二模 6,run_question_id=Q0133;suite=2026石景山二模;no=6;rubric_state_from_run_ledger,out_of_thinking_handbook_scope_user_confirmed,P4
BCV0134,2026石景山二模,Q0134,choice_question,reasoning,reasoning_choice,body,A-support,推理形式选择题,run_question_id=Q0134;suite=2026石景山二模;no=7;rubric_state_from_run_ledger,,P2
BCV0135,2026石景山二模,Q0135,main_question,thinking,thinking_main,body,A-formal,辩证思维/分析综合,run_question_id=Q0135;suite=2026石景山二模;no=17(2);rubric_state_from_run_ledger,,P2
BCV0136,2026顺义二模,Q0136,choice_question,thinking,excluded_or_boundary,excluded,A-support,思维选择题/2026顺义二模 5,run_question_id=Q0136;suite=2026顺义二模;no=5;rubric_state_from_run_ledger,out_of_thinking_handbook_scope_user_confirmed,P4
BCV0137,2026顺义二模,Q0137,choice_question,reasoning,reasoning_choice,index,B-choice-signal,选言推理/顺义二模 Q6,run_question_id=Q0137;suite=2026顺义二模;no=6;rubric_state_from_run_ledger,b_choice_signal_audit_field_only_not_student_body,P4
BCV0138,2026顺义二模,Q0138,choice_question,reasoning,reasoning_choice,index,B-choice-signal,三段论/顺义二模 Q7,run_question_id=Q0138;suite=2026顺义二模;no=7;rubric_state_from_run_ledger,b_choice_signal_audit_field_only_not_student_body,P4
BCV0139,2026顺义二模,Q0139,main_question,thinking+reasoning,reasoning_main,body,A-formal,推理+思维交叉主观,run_question_id=Q0139;suite=2026顺义二模;no=18(1);rubric_state_from_run_ledger,,P3
BCV0139T,2026顺义二模,Q0139(thinking-mount),main_question,thinking+reasoning,thinking_main,body,A-formal,推理+思维交叉,run_question_id=Q0139;suite=2026顺义二模;no=18(1);cross_mount_reasoning_primary,,P3
BCV0140,2026顺义二模,Q0140,main_question,thinking,thinking_main,body,A-formal,超前思维+战略思维预判发展大势和底线思维,run_question_id=Q0140;suite=2026顺义二模;no=21;rubric_state_from_run_ledger;corrected_from_stale_three_new_label_v23,,P2
BCV0141,2024东城二模,Q0141,main_question,reasoning,reasoning_main,body,A-formal,演绎+归纳综合(主观),run_question_id=Q0141;suite=2024东城二模;no=17(2);rubric_state_from_run_ledger,,P2
BCV0142,2025东城二模,Q0142,main_question,reasoning,reasoning_main,body,A-formal,类比/归纳评析(主观),run_question_id=Q0142;suite=2025东城二模;no=18(2);rubric_state_from_run_ledger,,P2
BCV0143,2025西城期末,Q0143,main_question,reasoning,reasoning_main,body,A-formal,归纳+类比评析(主观),run_question_id=Q0143;suite=2025西城期末;no=17(2);rubric_state_from_run_ledger,,P2
