atom_id,source_question,scoring_position,evidence_level,source_boundary,expression_variant,final_bucket,final_core_cluster,material_trigger_fusion,answer_sentence_fusion,source_ledger_refs
ATOM-E01,2024海淀一模 Q18(1),Q18(1)措施加知识替代表,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,贸易投资便利化；贸易投资自由化,经济全球化,推动贸易和投资自由化便利化,扩大免签和口岸签证便利中外人员往来并服务高水平对外开放时触发贸易投资便利化自由化,便利中外人员往来能够降低来华旅游商务投资创业等活动成本 促进贸易投资便利化自由化,2024海淀一模_Q18_SRC_24a14c0c2355;2024海淀一模_Q18_SRC_22a9fc350542
ATOM-E02,2024海淀一模 Q18(1),Q18(1)措施加知识替代表,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,商品服务技术资金劳务要素自由流动；两个市场两种资源；国内国际双循环,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,免签便利和支付便利等措施促进跨境人员商务往来进而带动全球资源要素流动和市场联通,中外人员往来更加便利 有利于吸引商品服务技术资金劳务等全球资源要素自由流动 充分利用国际国内两种资源两个市场,2024海淀一模_Q18_SRC_24a14c0c2355;2024海淀一模_Q18_SRC_22a9fc350542
ATOM-E03,2026海淀一模 Q20,Q20结构化答案第1层,P1_structured_answer_in_scoring_file_plus_P3_visual_prompt,structured_answer_pdf_plus_visual_prompt_support,制度型开放；高水平对外开放；两个市场两种资源；产业链竞争力,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,题面写国际标准是全球产业界通用语言并说明中国标准走出国门融入全球产业发展体系 触发制度型开放和两个市场两种资源,中国标准走出国门有利于扩大制度型开放 推进高水平对外开放 更好利用国内国际两个市场两种资源 增强产品服务和产业链全球竞争力,2026海淀一模_Q20_SRC_14176e949dd0;2026海淀一模_Q20_SRC_184e191a3ddd
ATOM-E04,2026海淀一模 Q20,Q20结构化答案第2层,P1_structured_answer_in_scoring_file_plus_P3_visual_prompt,structured_answer_pdf_plus_visual_prompt_support,国际标准贡献；标准共通；技术共享；全球经济治理规则制定,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,题面呈现中国在低碳能源人工智能等领域提交国际标准提案和发布国际标准 触发规则标准和全球经济治理参与,中国在低碳能源人工智能等领域贡献国际标准 促进标准共通和技术共享 积极参与全球经济治理和规则制定 推动全球治理体制向更加公正合理方向发展,2026海淀一模_Q20_SRC_14176e949dd0;2026海淀一模_Q20_SRC_184e191a3ddd
ATOM-XC01,2026西城一模 Q20(2),标准规则2分中的两层,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,贸易投资便利化自由化；优化营商环境；破除贸易壁垒；降低制度性交易成本；提高贸易效率,经济全球化,推动贸易和投资自由化便利化,设问问自贸区3.0如何为区域和世界注入动力 规则互认和自由贸易协定升级触发贸易投资便利化自由化,中国—东盟自贸区3.0版推动标准规则对接 降低制度性交易成本 提高贸易效率 促进贸易投资便利化自由化并破除贸易壁垒,2026西城一模_Q20_SRC_e28c940953ba;2026西城一模_Q20_SRC_5447227f6175
ATOM-XC02,2026西城一模 Q20(2),产业链供应链3分中的前两层,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,产业链供应链安全稳定；经济安全；统筹安全与发展；多元稳定的经贸关系；发挥比较优势；优势互补；深度加入国际分工,经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作,材料呈现中国与东盟产业链供应链合作和关键产品供应风险 自贸区升级触发供应链安全稳定、多元经贸关系和国际分工机制,中国与东盟依托产业链供应链合作维护供应链安全稳定 形成多元稳定的经贸关系 发挥比较优势和优势互补 深度参与国际分工,2026西城一模_Q20_SRC_e28c940953ba;2026西城一模_Q20_SRC_5447227f6175
ATOM-XC03,2026西城一模 Q20(2),综合对区域1分替代表述,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,提升发展中国家的代表性和发言权；打破发达国家规则制定中的垄断主导,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,设问从区域发展推进到世界经济 自贸区3.0提升发展中经济体规则参与触发国际关系民主化和规则公正,中国—东盟自贸区3.0版提升发展中国家的代表性和发言权 打破发达国家规则制定中的垄断主导 推动国际经济秩序更加公正合理,2026西城一模_Q20_SRC_e28c940953ba;2026西城一模_Q20_SRC_5447227f6175
ATOM-XC04,2026西城一模 Q20(2),综合对世界1分同槽表述,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,坚持合作共赢；开放包容；共同利益；坚持多边贸易；多边主义；全球经济治理体系改革,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,设问要求说明对世界经济的动力 需要从区域合作上升到合作共赢和多边治理机制,中国—东盟自贸区3.0版坚持合作共赢和多边主义 推动多边贸易和全球经济治理体系改革 为世界经济注入确定性,2026西城一模_Q20_SRC_e28c940953ba;2026西城一模_Q20_SRC_5447227f6175
ATOM-XC05,2025西城一模 Q21(1),总体解释2分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,理念蕴含普遍价值；全人类共同价值；人类共同利益；形成共识；促成合作和发展；应对共同挑战,理论,国家间共同利益是国家合作的基础,设问问发展理念为什么能成为国际公共产品 本质是在问该理念为何能被多国共享并转化为合作,我国发展理念蕴含普遍价值和人类共同利益 能够推动国际社会在共同关心的问题上形成共识 促成合作和发展 应对共同挑战,2025西城一模_Q21_SRC_6ea5462e02af;2025西城一模_Q21_SRC_062e7a5c776b
ATOM-XC06,2025西城一模 Q21(1),对世界的意义2分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,拓展发展中国家走向现代化的途径；贡献中国智慧中国方案,中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,材料列举外国领导人和全球南方国家代表团学习中国发展经验 触发中国经验对发展中国家现代化路径的意义,中国科技创新 绿色发展和减贫经验被国际社会传播共享 拓展发展中国家走向现代化的途径 为应对全球性问题贡献中国智慧和中国方案,2025西城一模_Q21_SRC_6ea5462e02af;2025西城一模_Q21_SRC_062e7a5c776b
ATOM-XC07,2025西城一模 Q21(2),举例说明2分中的说明1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,共建一带一路；参与国际经济合作机遇；开放、包容、普惠、平衡、共赢,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,设问要求举例说明中国理念作为国际公共产品 共建一带一路为共建国家参与国际合作提供机会 触发经济全球化正确方向,共建“一带一路”为共建国家参与国际经济合作提供机遇 推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,2025西城一模_Q21_SRC_6ea5462e02af;2025西城一模_Q21_SRC_062e7a5c776b
ATOM-XC08,2025西城二模 Q19(2),中国担当3分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,开放广阔的中国市场；坚持正确义利观；共享发展新机遇；惠民生增福祉；互利共赢,中国,国际发展合作、南南合作与“小而美”项目,设问问最不发达国家零关税中的中国担当 材料呈现中国市场和发展中国家需求 触发正确义利观与共享机遇,中国坚持正确义利观 开放广阔中国市场 与最不发达国家共享发展新机遇 惠民生增福祉 实现互利共赢,2025西城二模_Q19_SRC_7e4a722d6d9e;2025西城二模_Q19_SRC_62207119d52d
ATOM-XC09,2025西城二模 Q19(2),世界意义2分任意点,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,推动普惠包容的经济全球化；建设开放型世界经济；促进贸易自由化；促进共同发展；维护持久和平；共同推进现代化,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,最不发达国家零关税不仅是双边优惠 还指向开放型世界经济和共同发展 触发经济全球化正确方向,中国对最不发达国家实行零关税 推动普惠包容的经济全球化 建设开放型世界经济 促进贸易自由化 进而促进共同发展和持久和平,2025西城二模_Q19_SRC_7e4a722d6d9e;2025西城二模_Q19_SRC_62207119d52d
ATOM-XC10,2025西城期末 Q20(2),利用规则维权角度,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,充分运用国际规则；利用国际组织赋予的权利；对话磋商；积极维护自身权益,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,欧盟对中国电动汽车征收高额反补贴税 题目问中国汽车企业如何应对外部贸易壁垒 触发规则维权路径,面对欧盟反补贴税 中国汽车企业应充分运用国际规则 利用国际组织赋予的权利 通过对话磋商积极维护自身权益,2025西城期末_Q20_SRC_f548fe634936;2025西城期末_Q20_SRC_3b9cf3beca8e
ATOM-XC11,2025西城期末 Q20(2),市场多元化和走出去角度,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,出口市场多元化；减少对单一市场依赖；走出去；投资设厂；开展多种合作；克服贸易壁垒,时代背景,全球性挑战、逆全球化、保护主义和治理赤字凸显,题目呈现欧盟作为主要出口市场且突然提高贸易壁垒 触发市场多元化和海外合作布局,中国汽车企业可以实施出口市场多元化战略 减少对单一市场依赖 并通过走出去投资设厂和开展多种合作克服贸易壁垒,2025西城期末_Q20_SRC_f548fe634936;2025西城期末_Q20_SRC_3b9cf3beca8e
ATOM-XC12,2024西城二模 Q19,第一句1分多选一,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,全人类命运与共；国与国之间利益交汇命运交织休戚与共；和平与发展,时代背景,和平与发展仍是时代主题,题目问中国答案体现的国际关系新思路 材料呈现发展鸿沟安全赤字和多极化趋势 触发共同命运与和平发展时代背景,面对发展鸿沟和安全赤字 各国利益交汇 命运交织 休戚与共 和平与发展仍是时代主题 中国答案顺应这一时代背景,2024西城二模_Q19_SRC_ecba6fd5969d;2024西城二模_Q19_SRC_f9754eb81c9b
ATOM-XC13A,2024西城二模 Q19,第二句多选二每点2分中的人类命运共同体超越逻辑组,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,人类命运共同体理念；超越集团政治小圈子规则；超越实力至上逻辑；超越少数西方国家定义的普世价值,中国,推动构建人类命运共同体,材料批判集团政治、实力至上和封闭排他 设问要求处理国际关系的新思路 触发人类命运共同体对旧式国际关系逻辑的超越,人类命运共同体理念超越集团政治的小圈子规则和实力至上逻辑 为处理国际关系提供不同于零和博弈的新思路,2024西城二模_Q19_SRC_ecba6fd5969d;2024西城二模_Q19_SRC_f9754eb81c9b
ATOM-XC13B,2024西城二模 Q19,第二句多选二每点2分中的国际秩序和民主化组,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,顺应时代潮流；倡导全球协作；国际关系民主化；坚持真正的多边主义；全球治理；赋予发展中国家更多发言权,政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,材料指出现行国际秩序不适应时代发展且新兴市场国家和发展中国家崛起 触发国际秩序公正合理、国际关系民主化和多边主义,中国答案顺应时代潮流 倡导全球协作 推动国际秩序朝更加公正合理方向发展 促进国际关系民主化并坚持真正的多边主义,2024西城二模_Q19_SRC_ecba6fd5969d;2024西城二模_Q19_SRC_f9754eb81c9b
ATOM-XC14,2024西城一模 Q19(6),机遇2分多选一,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,未来产业广阔国际市场；两个市场两种资源；走出去；技术交流合作,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,题目要求分析未来产业发展的机遇 材料放在国际市场和经济开放发展中 触发全球市场和资源配置空间,经济全球化带来两个市场两种资源 我国未来产业拥有广阔国际市场 因而具备走出去和开展技术交流合作的可能,2024西城一模_Q19_SRC_461b3fdcd830;2024西城一模_Q19_SRC_359083f91cd3
ATOM-XC15,2024西城一模 Q19(6),挑战2分多选一,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,激烈国际竞争；技术人才资源竞争；国家安全；风险应对；贸易壁垒；技术制裁；技术垄断,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,题目要求分析未来产业挑战 材料涉及卡脖子和国际技术竞争 触发国际竞争实质和国家安全风险,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量 我国未来产业面临技术制裁和贸易壁垒等风险 必须加强风险防范,2024西城一模_Q19_SRC_461b3fdcd830;2024西城一模_Q19_SRC_359083f91cd3
ATOM-XC16,2024西城一模 Q19(6),助推作用6分多选三中的规则话语权点,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,国际技术标准话语权；贸易规则制定话语权；推动制度型开放；增强产品和服务国际竞争力；形成出口竞争新优势,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,题目问攻克卡脖子难题如何助推经济开放发展 技术突破连接标准规则和国际竞争力 触发制度型开放与规则话语权,攻克“卡脖子”难题有利于提升我国企业在国际技术标准和贸易规则制定中的话语权 推动制度型开放 增强产品和服务国际竞争力,2024西城一模_Q19_SRC_461b3fdcd830;2024西城一模_Q19_SRC_359083f91cd3
ATOM-DC01,2026东城期末 Q20,学理层面总句,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,人类命运共同体五个世界；持久和平；普遍安全；共同繁荣；开放包容；清洁美丽,中国,推动构建人类命运共同体,设问问四大全球倡议如何系统推动构建人类命运共同体 先触发人类命运共同体的目标世界总框架,构建人类命运共同体就是建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界 四大全球倡议围绕这一目标系统发力,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC02,2026东城期末 Q20,四大倡议4分中的发展倡议1分,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,全球发展倡议；以发展促繁荣；坚持互利共赢；坚持正确义利观；共商共建共享；发展合作中共享机遇,政治多极化,共商共建共享的全球治理观,材料中的一带一路合作和发展合作对应全球发展倡议 触发共享机遇和正确义利观,全球发展倡议以发展促繁荣 坚持互利共赢和正确义利观 在共商共建共享中同各国共享发展机遇,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC03,2026东城期末 Q20,四大倡议4分中的安全倡议1分,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,全球安全倡议；以安全保稳定；相互尊重；平等协商；筑牢安全屏障；安全互信中维护和平,中国,推动构建人类命运共同体,材料中的沙伊和解和国际调解院等安全行动触发全球安全倡议的和平路径,全球安全倡议以安全保稳定 倡导相互尊重和平等协商 在安全互信中维护和平并筑牢安全屏障,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC04,2026东城期末 Q20,四大倡议4分中的文明倡议1分,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,全球文明倡议；以文明增互信；文明交流互鉴；相互理解与信任；平等包容的文明观；全人类共同价值,中国,推动构建人类命运共同体,材料中的文明对话国际日对应文明互鉴和民心相通 触发全球文明倡议的互信路径,全球文明倡议以文明增互信 倡导文明交流互鉴和平等包容的文明观 弘扬全人类共同价值,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC05,2026东城期末 Q20,四大倡议4分中的治理倡议1分,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,全球治理倡议；以治理求公正；完善全球治理；公平治理；实现共赢,中国,推动构建人类命运共同体,材料中的全球治理倡议和国际调解院对应全球治理赤字的制度回应 触发治理求公正,全球治理倡议以治理求公正 完善全球治理 在公平治理中实现共赢,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC06,2026东城期末 Q20,系统推动2分和实践层面1分,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,四大全球倡议系统推动；有机统一；中国主张到国际共识；合作理念到共同行动；构建人类命运共同体新篇章,中国,推动构建人类命运共同体,设问强调系统推动 材料又列出从倡议到具体国际合作行动 触发系统性和实践层,四大全球倡议相互促进、有机统一 从中国主张走向国际共识 从合作理念走向共同行动 不断谱写构建人类命运共同体新篇章,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC07A,2024东城二模 Q20,全球发展倡议2分 路径1分+效果1分,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,全球发展倡议；合作援助；共谋发展合作新空间；提供新机遇；注入新动力；增强发展中国家内生动力；繁荣世界经济,中国,推动构建人类命运共同体,题面表格列出全球发展倡议的困难背景和一带一路、小而美、合作基金等行动 阅卷总结要求路径与效果都写出,全球发展倡议通过合作援助 为世界共谋发展合作开辟新空间、提供新机遇、注入新动力 增强发展中国家的发展内生动力并繁荣世界经济,2024东城二模_Q20_SRC_593d33b50bbf;2024东城二模_Q20_PAPER_VISUAL_CURRENT
ATOM-DC07B,2024东城二模 Q20,全球安全倡议2分 路径1分+效果1分,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,全球安全倡议；对话协商；和平解决国际争端；遵守联合国宪章宗旨和原则；共赢思维；持久和平；普遍安全,联合国,《联合国宪章》宗旨和原则,题面表格列出全球安全问题和中国维和、安理会、南海双轨思路等行动 阅卷总结要求路径与效果都写出,全球安全倡议通过对话协商以和平方式解决国际争端 坚持联合国宪章宗旨和原则 以共赢思维应对安全挑战 推动建设持久和平、普遍安全的世界,2024东城二模_Q20_SRC_593d33b50bbf;2024东城二模_Q20_PAPER_VISUAL_CURRENT
ATOM-DC07C,2024东城二模 Q20,全球文明倡议2分 路径1分+效果1分,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,全球文明倡议；交流互鉴；传承和创新；民心相通；开放包容的世界,中国,推动构建人类命运共同体,题面表格列出文明交流冲突和文明对话、民间外交等行动 阅卷总结要求路径与效果都写出,全球文明倡议通过交流互鉴、传承和创新促进民心相通 建设开放包容的世界,2024东城二模_Q20_SRC_593d33b50bbf;2024东城二模_Q20_PAPER_VISUAL_CURRENT
ATOM-DC08,2024东城二模 Q20,阅卷总结总论1分中的现实意义,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,百年未有之大变局；发展困难；安全挑战；文明冲突；稳定性和确定性,时代背景,在动荡变化的时代为国际社会注入稳定性和确定性,设问问三大倡议如何助力人类未来 材料先铺发展安全文明挑战 后要求总论现实意义,中国三大倡议为动荡变化的时代注入更多稳定性和确定性 助力国际社会携手走向美好未来,2024东城二模_Q20_SRC_593d33b50bbf;2024东城二模_Q20_PAPER_VISUAL_CURRENT
ATOM-DC09,2025东城二模 Q20,第一层背景2分及替代表述1分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,局部动荡不断；和平与发展主题；世界多极化；全球经济复苏乏力；贸易保护主义；地区冲突；阵营对抗；非传统安全威胁,政治多极化,世界多极化深入发展与平等有序的世界多极化,小论文先给全球经济、安全、气候和治理挑战 需要先判断国际局势和时代背景,当今国际局势变乱交织 局部动荡不断 面临贸易保护主义、地区冲突和非传统安全威胁等诸多问题和挑战,2025东城二模_Q20_SRC_bd8e9436f81d;2025东城二模_Q20_SRC_e1c925184ab8
ATOM-DC10,2025东城二模 Q20,第二层精神4分中的两点,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,同球共济；人类命运共同体内涵；各国共同利益,中国,推动构建人类命运共同体,材料提出同球共济并列举人类共同家园和各国共同挑战 触发人类命运共同体与共同利益,同球共济精神丰富人类命运共同体内涵 符合各国共同利益 能把各国应对共同挑战的行动凝聚起来,2025东城二模_Q20_SRC_bd8e9436f81d;2025东城二模_Q20_SRC_e1c925184ab8
ATOM-DC11,2025东城二模 Q20,第三层行动2分及替代表述,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,中国智慧；中国方案；推动国际关系民主化；和平解决国际争端；劝和促谈；全球人工智能治理倡议,政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,材料列举沙伊和解、乌克兰危机劝和促谈、巴黎协定和全球人工智能治理倡议 触发中国行动对全球问题的方案贡献,中国通过劝和促谈、推动气候合作和提出全球人工智能治理倡议 为解决全球性问题贡献中国智慧和中国方案,2025东城二模_Q20_SRC_bd8e9436f81d;2025东城二模_Q20_SRC_e1c925184ab8
ATOM-DC12,2025东城一模 Q20,第一层4分中的共同利益2分及替代,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,共同利益；一带一路；贸易自由化便利化；具体合作,经济全球化,推动贸易和投资自由化便利化,中拉命运共同体建设、自贸协定升级和一带一路合作说明双方合作能成立 触发共同利益基础,国家间共同利益是合作的基础 中拉共建“一带一路”和自贸协定升级契合双方发展需要 因而能够深化合作,2025东城一模_Q20_SRC_d39f12bd12f3;2025东城一模_Q20_SRC_da5883631078
ATOM-DC13,2025东城一模 Q20,第一层4分中的经济全球化方向2分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,贸易自由化便利化；中拉合作；自贸协定升级；开放、包容、普惠、平衡、共赢,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,元首外交中自贸协定升级和一带一路合作形成国际经济合作场景 触发经济全球化正确方向,此次元首外交推进中拉经贸合作和自贸协定升级 推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,2025东城一模_Q20_SRC_d39f12bd12f3;2025东城一模_Q20_SRC_da5883631078
ATOM-DC14,2025东城一模 Q20,第二层2分及替代,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,维护发展中国家利益；全球南方；完善全球治理；推进国际关系民主化,政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,材料写回应全球南方求平等促变革的强烈意愿 触发发展中国家利益和全球治理改革,此次元首外交回应全球南方求平等促变革的愿望 维护发展中国家利益 推动全球治理完善和国际关系民主化,2025东城一模_Q20_SRC_d39f12bd12f3;2025东城一模_Q20_SRC_da5883631078
ATOM-DC15,2025东城一模 Q20,第三层2分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,中国特色大国外交新境界；构建人类命运共同体的新实践,中国,推动构建人类命运共同体,材料呈现元首外交在多边活动和中拉合作中的连续实践 触发中国特色大国外交与命运共同体实践,此次元首外交以密集多边活动和务实合作开辟中国特色大国外交新境界 成为构建人类命运共同体的新实践,2025东城一模_Q20_SRC_d39f12bd12f3;2025东城一模_Q20_SRC_da5883631078
ATOM-DC16,2025东城期末 Q20,第一层中国贡献2分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,促进资源优化配置；促进国际贸易；为世界新能源产业注入活力；让经济全球化更有活力,经济全球化,中国新能源汽车发展促进资源优化配置和国际贸易，让经济全球化更有活力,题目围绕中国新能源汽车出口和世界市场影响 触发经济全球化中的资源配置和国际贸易贡献,中国新能源汽车走向世界市场 促进资源优化配置和国际贸易 为世界新能源产业注入活力 让经济全球化更有活力,2025东城期末_Q20_SRC_f5c5ada09871;2025东城期末_Q20_SRC_8ab211d978d9
ATOM-DC17,2025东城期末 Q20,第二层批判欧盟行为2分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,贸易保护主义；逆全球化；违背经济规律；破坏市场竞争；破坏市场秩序；损害消费者利益,时代背景,全球性挑战、逆全球化、保护主义和治理赤字凸显,欧盟对中国新能源汽车征收反补贴税形成贸易壁垒 触发贸易保护主义和逆全球化批判,欧盟对中国新能源汽车征收反补贴税是贸易保护主义和逆全球化行为 违背经济规律 破坏市场竞争和市场秩序,2025东城期末_Q20_SRC_f5c5ada09871;2025东城期末_Q20_SRC_8ab211d978d9
ATOM-DC18,2025东城期末 Q20,第三层我国态度和做法2分,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,维护本国利益；互利共赢；和平谈判方式；推动贸易自由便利；维护市场秩序,中国,坚定维护本国利益，坚持互利共赢、和平谈判并推动贸易自由便利,材料中的中欧磋商和贸易争端处理需要写中国维护利益与合作解决的态度,中国应坚定维护本国利益 坚持互利共赢和和平谈判方式 推动贸易自由便利并维护市场秩序,2025东城期末_Q20_SRC_f5c5ada09871;2025东城期末_Q20_SRC_8ab211d978d9
ATOM-CY01,2025朝阳二模 Q21,中国发展需要3分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,实现发展繁荣的重要基础；维护国家安全的重点；运筹外交全局的首要；推动构建人类命运共同体的关键,中国,推动构建人类命运共同体,设问问为什么要开创周边工作新局面 先从中国发展安全外交全局说明必要性,我国周边国家众多 开创周边工作新局面是实现发展繁荣的重要基础 是维护国家安全的重点 是运筹外交全局的首要 也是推动构建人类命运共同体的关键,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
ATOM-CY02,2025朝阳二模 Q21,区域发展需要第1点1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,共同利益；广泛共同利益；独立自主和平外交政策为同一评分位置替代表述；维护世界和平促进共同发展,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,材料呈现中国与周边国家山水相连人文相通利益相融命运与共 回答合作为何成立优先触发共同利益 独立自主和平外交政策只是同槽替代表述不并入理论核心,共同利益是国际合作的基础 中国与周边国家有着广泛共同利益 为开创周边工作新局面和促进区域共同发展提供重要前提,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
ATOM-CY03,2025朝阳二模 Q21,区域发展需要经济角度1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,经济融合；共同发展；区域经济一体化；区域贸易和投资自由化便利化,经济全球化,推动贸易和投资自由化便利化,材料写中国成为周边多国最大贸易伙伴和共建一带一路 回答区域发展需要触发经济融合和贸易投资便利化,中国与周边国家开展贸易 能推动区域经济一体化 促进区域贸易和投资自由化便利化 实现共同发展,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
ATOM-CY04,2025朝阳二模 Q21,区域发展需要安全政治角度1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,创新区域合作机制；搭建合作平台；维护地区和平稳定；维护区域安全；周边国家命运共同体,中国,推动构建人类命运共同体,材料写亲诚惠容周边外交和周边命运共同体 回答区域安全政治需要触发周边命运共同体和地区和平稳定,中国同周边国家创新区域合作机制并搭建合作平台 有利于维护地区和平稳定 推动构建周边国家命运共同体,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
ATOM-CY05,2025朝阳二模 Q21,世界发展需要第1点1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,合作共赢新型国际关系；国际关系民主化；真正的多边主义；全球治理变革,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,设问把周边工作放到世界变局中考查 需要从区域合作上升到国际秩序和全球治理方向,中国携手周边国家推动建设以合作共赢为核心的新型国际关系 推动国际关系民主化 实现真正的多边主义并推动全球治理变革,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
ATOM-CY06,2025朝阳二模 Q21,世界发展需要第2点1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,维护全球自由贸易；多边贸易；开放包容普惠平衡共赢,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,材料中的区域贸易合作延展到世界发展需要 触发全球自由贸易和经济全球化完整方向,中国通过区域经济合作维护全球自由贸易和多边贸易 推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
