question_id,题干信号,完整选项或选项单位,答案源,正确项理由,诱人错项,陷阱类型,是否可入学生稿,当前判定
Q-2026东城一模-6,正确为D;Codex precheck显示B为错误结论_本Lane标注冲突,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别换质；换位；判断；推理，再套用“SAP换质得SEP_非P;再换位得非P不是S=A判断换质位标准链”，对照题干或选项判断有效/无效，并避开陷阱：A辩证否定误用_联结非否定;B抽象思维误标_应为形象思维;C有些S是P不能必推有些S不是P,A辩证否定误用_联结非否定;B抽象思维误标_应为形象思维;C有些S是P不能必推有些S不是P,换质换位法;性质判断推理,prelim_yes_needs_options_audit,入正文
Q-2026东城期末-6,选必三必要条件前提补充题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别假言；必要条件；推理，再套用“要使结论必然成立_需提供必要条件前提_只有Q才P型”，对照题干或选项判断有效/无效，并避开陷阱：A只有纯净无辐射才有前景=纯净是必要前提_矛盾;B只有有前景才纯净=反向必要条件_可推出乌毛蕨纯净则有前景;C只是有些_不能必然推;D仅部分_不能必然推,A只有纯净无辐射才有前景=纯净是必要前提_矛盾;B只有有前景才纯净=反向必要条件_可推出乌毛蕨纯净则有前景;C只是有些_不能必然推;D仅部分_不能必然推,假言推理_必要条件_前提补充,prelim_yes_needs_options_audit,入正文
Q-2026东城期末-7,选必三复合命题真值推理题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别三段论；假言；充分条件；推理，再套用“只有一预测符合事实_穷尽推理_A""AI挑战赛达标_AI主题闯关未达标""不可能为真”，对照题干或选项判断有效/无效，并避开陷阱：排除其他三项后A为唯一真假矛盾的组合",排除其他三项后A为唯一真假矛盾的组合,假言推理_充分条件+复合命题真值表,prelim_yes_needs_options_audit,入正文
Q-2026朝阳期中-11,paper answer table paired; still not formal rubric,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先找小前提的中项“耐干旱月季花”，再补它与大项“适应北京夏季高温环境”的肯定联系，排除特称项、否定项和倒置项，选A。,B-choice-signal（paper answer table非formal rubric）；可入fusion，yes,三段论补大前提,prelim_yes_needs_options_audit,入正文
Q-2026朝阳期中-12,B=相容选言判断（或者你说错了或者我听错了）：两支可并存；C违反分类标准一致性；D违反矛盾律；全部选项和答案独立读取source 003确认,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别选言；判断；矛盾律，再套用“相容选言用""或者""：两支可并存；分类须标准一致；矛盾律要一致”，对照题干或选项判断有效/无效，并避开陷阱：A陷哲学知识诱惑（唯物/唯心两派是实质问题非逻辑测试点）；C分类标准不一（形式vs范围）；D仙人掌IS植物违反矛盾律",A陷哲学知识诱惑（唯物/唯心两派是实质问题非逻辑测试点）；C分类标准不一（形式vs范围）；D仙人掌IS植物违反矛盾律,相容选言判断；分类规则；矛盾律,prelim_yes_needs_options_audit,入正文
Q-2026朝阳期中-13,paper answer table paired; classify as boundary/cross until trap extraction,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先排除②把比喻误判为类比推理目的，再抓③感性具体转化为思维抽象、④联想思维联结不同对象，锁定D。,②类比推理是推理部分（诱惑项非答案）；①哲学常识层面,联想思维/类比推理/感性具体边界,prelim_yes_needs_options_audit,入正文
Q-2026朝阳期中-14,Batch02任务：评估是否可设can_enter_fusion=yes。结论：YES。full stem确认✓ full options确认✓ answer B paired✓ no conflict with Codex A✓ scope=推理/归纳明确✓。所有升级条件满足。,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别归纳；推理，再套用“天气谚语未考察全部认识对象→结论有或然性（④）；①从实践产生是哲学色彩项但与④并列为正确”，对照题干或选项判断有效/无效，并避开陷阱：②""求异法""表述不当（应为不完全归纳）；③""正确揭示本质规律""错（或然性≠必然）","②""求异法""表述不当（应为不完全归纳）；③""正确揭示本质规律""错（或然性≠必然）",不完全归纳推理→结论或然性,prelim_yes_needs_options_audit,入正文
Q-2026朝阳期中-15,Batch02任务：评估是否可设can_enter_fusion=yes。结论：YES。full stem确认✓ full options确认✓ answer D paired✓ no conflict with Codex A✓ scope=推理/联言判断明确✓。所有升级条件满足。,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别联言；判断；推理，再套用“小浩否定""富有哲理""=否定一个联言支→否定整个联言判断；联言判断P∧Q为假只需一支假”，对照题干或选项判断有效/无效，并避开陷阱：A（小浩自相矛盾）错；B（否定关系判断）错；C（联言支不能并存）错",A（小浩自相矛盾）错；B（否定关系判断）错；C（联言支不能并存）错,联言判断否定一个联言支即否定整个判断,prelim_yes_needs_options_audit,入正文
Q-2026通州期末-11,选必三思维进阶题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别类比；推理，再套用“C感性具体_思维抽象_思维具体三阶段=选必三思维进阶”，对照题干或选项判断有效/无效，并避开陷阱：A迁移飞跃错位;B分析综合普遍特殊普遍非该题进阶;D类比推理与系统整合错位,A迁移飞跃错位;B分析综合普遍特殊普遍非该题进阶;D类比推理与系统整合错位,辩证思维_从感性具体到思维抽象再到思维具体,prelim_yes_needs_options_audit,入正文
Q-2026顺义一模-4,选必三类比推理与定义方法题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别归纳；类比；概念；推理，再套用“A论持久战对当前问题提供启迪=类比推理(从抗战时期类比到当前时期)”，对照题干或选项判断有效/无效，并避开陷阱：B决定性作用夸大政治错;C比喻""思想灯塔""非定义方法错;D完全归纳推理需穷尽全部对象_抗战规律不可能完全归纳","B决定性作用夸大政治错;C比喻""思想灯塔""非定义方法错;D完全归纳推理需穷尽全部对象_抗战规律不可能完全归纳",类比推理+完全归纳推理+定义方法,prelim_yes_needs_options_audit,入正文
Q-2026顺义一模-5,选必三概念错位+哲学正解_交叉,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别判断；周延；推理，再套用“D感觉知觉表象基础上认识本质规律;A性质判断误标_为比喻;B发散思维误用_应聚合;C关系判断不周延误标”，对照题干或选项判断有效/无效，并避开陷阱：A性质判断错_是比喻;B发散误为聚合;C关系判断主项谓项错位,A性质判断错_是比喻;B发散误为聚合;C关系判断主项谓项错位,性质判断;关系判断;发散思维;认识论_感知表象,prelim_yes_needs_options_audit,入正文
Q-2026丰台一模-8,Codex A声称Q8=C=充分条件假言推理，Lane B独立确认。P→Q（只要开展全市活动就应使用标识）。②=modus tollens有效；③=存在量词推论有效（全市活动实际存在，P非空）；①否定前件无效；④肯定后件无效。Codex声明一致。,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别假言；充分条件；推理，再套用“②¬Q→¬P（否定后件式，有效）；③∃(Q∧P)（存在量词推论，有效，因P非空）；答案C=②③”，对照题干或选项判断有效/无效，并避开陷阱：①¬P→¬Q（否定前件，无效）；④Q→P（肯定后件，无效）；③存在量词前提需确认P非空（全市性活动存在，前提满足）,①¬P→¬Q（否定前件，无效）；④Q→P（肯定后件，无效）；③存在量词前提需确认P非空（全市性活动存在，前提满足）,P→Q：否定后件可否前（modus tollens）；肯定后件无效,prelim_yes_needs_options_audit,入正文
Q-2026丰台一模-9,"Codex A声称Q9=D=概念外延关系+联言判断，Lane B独立确认。D=""兼具文学趣味与益智功能""明确是联言判断；A、B、C分析均错误。Codex声明一致。",needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别联言；概念；判断；推理，再套用“D=""这一传统民俗活动兼具文学趣味与益智功能""是联言判断（兼具=同时断定两个属性）✓”，对照题干或选项判断有效/无效，并避开陷阱：A全同关系错（元宵节猜灯谜 ⊂ 传统民俗活动，是属种非全同）；B属种关系错（灯谜与谜面谜目谜底是整体与部分）；C OCR残缺但分析为错",A全同关系错（元宵节猜灯谜 ⊂ 传统民俗活动，是属种非全同）；B属种关系错（灯谜与谜面谜目谜底是整体与部分）；C OCR残缺但分析为错,"外延关系看范围；联言判断看""兼""/""同时断定""",prelim_yes_needs_options_audit,入正文
Q-2025海淀二模-13,Lane B独立读取supplemental answer source，page9明确显示13.C。render page_04独立确认Q13题目可见。Codex A声明答案C、三段论+选言判断节点——Lane B独立核实通过。,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别三段论；选言；概念；判断；推理，再套用“三段论：大前提+小前提+结论，中项周延要求；选言判断相容vs不相容”，对照题干或选项判断有效/无效，并避开陷阱：A分类混杂（语义模糊）；B充分条件过强；D把国际关系三形式作不相容穷尽选言（实为相容选言）,A分类混杂（语义模糊）；B充分条件过强；D把国际关系三形式作不相容穷尽选言（实为相容选言）,三段论有效式；概念外延关系辨析；相容/不相容选言区分,prelim_yes_needs_options_audit,入正文
