suite,heading,principle_node,material_trigger_chars,question_prompt_chars,why_trigger_chars,answer_landing_chars,has_all_fields,material_trigger,question_prompt,why_trigger,answer_landing
2025丰台二模,27. 2025丰台二模 第4题（选择题）,联系的普遍性 / 联系的观点（总）,213,0,255,257,False,"春分时节，北京平谷区冬小麦陆续进入返青期，技术人员利用农用无人机给返青小麦做好施肥管理；顺义农业园5G技术成为农业生产管理的“最强大脑”；密云田间，自动规划路线、自动掉头、自主抬升机具的自动驾驶拖拉机正在田间忙碌。
【设问】 下列分析正确的是（ ）
①通过科技赋能，提升京郊农业生产效率；
②把握多样联系，实现科技现代化助农兴农；
③发展生产实践，推动农业生产关系的根本转变；
④打破认知局限，借助想象促成农业与科技跨界融合。",,无人机施肥+5G农业大脑+自动驾驶拖拉机——这是把多种新兴技术（航空、信息、机械）与传统农业生产环节（小麦施肥、园区管理、田间作业）进行多类型、多层次的联系。学生看到“科技与农业的多领域结合”“多种现代技术联动”就应当想到联系的多样性——把握不同事物之间的多样联系，实现科技与农业的创新结合。①科技赋能提升效率（经济角度）正确；③“根本转变生产关系”夸大了——农业生产关系的根本转变指变革所有制等深层关系，引入科技不构成生产关系的根本转变；④“借助想象促成融合”把“想象”当作主导动力，错置了实践与意识的关系。,正确项是 A（①②）。①通过科技赋能提升农业生产效率——经济与社会角度，科技作为第一生产力推动农业现代化。②把握多样联系——人对农业生产中多种联系（农业要素与科技要素、传统生产环节与新兴技术、空间联系与功能联系）的把握，是联系的多样性原理在农业现代化实践中的体现。错项③“推动农业生产关系的根本转变”夸大了科技应用的作用——引入新技术属于生产力的发展，不等于生产关系的根本转变；错项④“借助想象促成跨界融合”把“想象”置于主导地位，颠倒了“实践决定意识”的关系，跨界融合的根本动力是生产实践与现实需求，而不是想象。
2024顺义二模,28. 2024顺义二模 第1题（选择题）,联系的普遍性 / 联系的观点（总）,272,0,168,119,False,"“当代中国的伟大社会变革，不是简单延续我国历史文化的母版，不是简单套用马克思主义经典作家设想的模板……只有把科学社会主义基本原则同本国具体实际、历史文化传统、时代要求紧密结合起来”。
【设问】 这说明
①科学社会主义发展的一般进程是由各国地理环境、文化传统、外部因素等决定的
②科学社会主义的产生、发展与资本主义社会的生产方式没有本质的、内在的关系
③现实与历史之间是有联系的，当代中国的变革基于自身独特的历史和文化基础上
④中国特色社会主义是科学社会主义理论逻辑和中国社会发展历史逻辑的辩证统一
A. ①②
B. ①③
C. ②④
D. ③④",,“同本国具体实际、历史文化传统、时代要求紧密结合”明确把“当下变革”与“历史文化”“科学社会主义基本原则”连为一体——这是事物之间普遍联系的具体体现：现实和历史相联系、中国实践和科学社会主义理论相联系。学生看到“同……结合”“不是简单延续/不是简单套用”这种把多重坐标放在一起的表述，应当想到现实与历史、理论与实践存在普遍而具体的联系。,③现实与历史是有联系的，中国当代变革植根于自身独特的历史文化基础——这是普遍联系的具体表现；④中国特色社会主义是科学社会主义理论逻辑和中国社会发展历史逻辑的辩证统一——这是理论(科学社会主义基本原则)与实践(中国具体实际)联系的辩证统一。
2025西城二模,4. 2025西城二模 第16题第（3）问（主观题）,根据固有联系建立新的具体联系,33,76,116,78,True,改造后野生动物活动增加，周边农田与果园被啃食，村民要求拆除水源池。,（3）假定出现了如下情形：改造之后，野生动物的活动增加，导致周边的农田和果园被啃食，村民要求拆除水源池。请运用所学，针对村民诉求提出解决办法。（4分）。,水源池、野生动物活动、周边农田果园和村民利益之间已经形成现实联系；村民要求拆池，是因为现有联系带来冲突。解决办法不是割裂生态保护与农业生产，而是通过改种动物不爱啃食的作物改变条件，在动物饮水、农田收益和生态保护之间建立新的具体联系。,解决办法是承认事物联系的多样性和条件性，主动改变作物种类创造新条件，建立人为事物的新联系，使保留水源池与保障农田收成兼容并存，既回应村民诉求又坚持生态保护。
2025东城二模,5. 2025东城二模 第16题（主观题）,根据固有联系建立新的具体联系,47,31,108,109,True,人工智能“+”渗透到科技创新、产业发展、社会治理、医疗教育、家庭服务等多个原本相互独立的领域。,运用哲学观点，谈谈我们应如何勇立潮头，与人工智能共创美好未来。,"人工智能本身是技术,科技创新、产业发展、社会治理、医疗教育、家庭服务原本各自独立运作;材料把这些领域被“人工智能+”贯通起来,这是人借助技术建立的、原本不存在的人为事物的联系。因此能想到联系观,尤其是人为事物的联系。",与人工智能共创未来，不能把人工智能停留在单一技术展示上，而要依据其数据处理、学习生成和场景适配能力，把它同科技创新、产业发展、社会治理、医疗教育和家庭服务建立新的具体联系，使人工智能在具体场景中服务人的生活和社会进步。
2024朝阳二模,1. 2024朝阳二模 第16题第（2）问（主观题）,联系的多样性,110,40,141,92,True,"材料一写算力“正在向交通、金融、教育、医疗、科技、能源等各行业加速渗透”；材料二写人工智能“加速与制造业深度融合,深刻改变制造业生产模式和经济形态”，并写人工智能“通过了解我们给人类带来便利,也在重塑人类对世界的认识”。",未来，是人塑造人工智能？还是人工智能塑造人？还是……运用哲学知识，谈谈你的看法。,材料反复呈现人工智能不是孤立存在：算力向交通、金融、教育、医疗等各行业渗透，人工智能与制造业深度融合，人工智能通过数据连接每一个人，体现联系的普遍性；不同行业、不同主体与人工智能的联系内容和方式各不相同，体现联系的多样性；联系是事物之间以及事物内部要素之间相互影响、相互制约的关系。,未来人与人工智能之间存在普遍而多样的联系，二者并非彼此隔绝，必然在生产、生活、认识等多种联系中相互制约、相互塑造；应当用联系的观点处理人与人工智能的关系，避免把二者割裂开来或片面看待。
2025丰台二模,3. 2025丰台二模 第16题第（1）问（主观题）,联系的多样性,47,34,96,120,True,西安长安深植周礼秦制，设专项资金令古艺重焕生机，易俗大剧院秦腔传唱、大唐不夜城传统与新潮交织。,请你从以上三个地点中推荐一处，并运用《哲学与文化》知识阐述推荐理由。,西安的周礼秦制、铜瓷点金等古艺与专项资金、易俗大剧院、大唐不夜城等新载体之间存在多种内在关联，传统与新潮交织。这表明事物处于普遍联系中，又存在多样联系，需要善于把握既有联系并建立新的有利联系。,材料中“西安长安深植周礼秦制，设专项资金令古艺重焕生机，易俗大剧院秦腔传唱、大唐不夜城传统与新潮交织”，体现联系的多样性；这说明同一事物会在不同条件、层次和场景中形成多种联系，必须具体分析条件，因此可以直接用这一原理说明题中材料的内在逻辑。
2025朝阳二模,6. 2025朝阳二模 第3题（选择题）,联系的多样性,340,0,64,81,False,"香山公园思政课堂把现场教学、线上课程、实景研学、校园宣讲和志愿服务结合起来，使革命文物、实践基地和青少年成长形成多层次联系。
【设问】 香山公园积极参与校外思政课堂建设,不断探索创新,总结出一套融现场教学、线上课程、实景研学、校园宣讲、志愿服务等多种形式于一体的研学体系,充分发挥北京市”大思政课”实践教学基地作用,深化革命文物的活化利用,构建起跨越时空的红色育人课堂。对此,下列认识正确的是
①在青少年成长的过程中,课外实践活动比学习书本知识更重要；
②强化红色文化的引领作用,能够教育引导青少年厚植爱国情怀；
③把握联系的多样性利于充分发挥大思政课实践教学基地的作用；
④公园中革命文物的活化利用有利于全方位展示传统文化的价值
A. ①③
B. ①④
C. ②③
D. ②④。",,材料同时出现空间、课程、实践、宣讲、服务等不同条件和场景，同一思政育人目标通过多种联系方式发挥作用，这正是联系多样性的题干信号。,"正确项是C，因为③抓住了思政课堂多形式、多场景联系的特点；把课外实践绝对化为比书本知识更重要，或把革命文物混同为传统文化、说成全方位展示，都偏离材料。
整体与部分"
2025海淀二模,2. 2025海淀二模 第16题（主观题）,联系的多样性,47,19,105,119,True,网友“有始有终”提“将不同信息联结整合形成有意义的网络”，并借“唐宋八大家”照见唐宋文学盛况。,运用《哲学与文化》知识，谈谈你的看法。,材料中“信息联结整合形成有意义的网络”和借“唐宋八大家”照见唐宋文学盛况，说明零散信息之间存在客观的相互联系，整合后的整体获得了部分相加难以获得的新功能与新意义，正对应联系的普遍性、客观性以及整体大于部分之和。,材料中“网友“有始有终”提“将不同信息联结整合形成有意义的网络”，并借“唐宋八大家”照见唐宋文学盛况”，体现整体与部分；这说明整体统率部分，部分影响整体，材料中的局部安排要放到整体目标中理解，因此可以直接用这一原理说明题中材料的内在逻辑。
2024海淀二模,3. 2024海淀二模 第17题第（1）问（主观题）,联系的多样性,121,26,168,115,True,此次时间利用调查工作总体安排具有整体性，分准备(2024年2-4月)、组织实施(2024年5月至年底)、资料开发应用(2024年底至2025年)三阶段有序推进，每阶段任务明确，各阶段共同服务于全面真实准确了解我国居民时间利用情况这一整体目标。,结合材料，说明此次时间利用调查是如何体现科学思维的。,材料把整个全国时间利用调查作为一个有明确总目标的完整系统部署，准备、组织实施、资料开发应用是这个系统在时间上的不同部分；每个阶段都有特定任务但都服务于全面真实准确了解居民时间利用这一整体目标——这种整体统筹与分段推进的关系，正是整体与部分辩证关系和系统优化方法所讲的“从整体出发把握部分”“按整体性、有序性、内部结构优化趋向推进系统”。,要看到此次调查是一个完整系统，从整体目标出发统筹各阶段任务，按时间序列分阶段有序推进准备—实施—开发应用三阶段，使各部分协调配合，共同服务于全面真实准确了解居民时间利用情况这一整体目标，从而体现整体与部分的辩证关系和系统优化方法。
2024西城二模,5. 2024西城二模 第18题第（4）问（主观题）,联系的多样性,79,25,143,97,True,文化和旅游部等多家机关联合发文 + 美学教育、规划建设、产业、文化设施多领域并举 + 书店、剧场、博物馆、美术馆、图书馆、文创馆多业态共同支撑乡村文明新风尚。,结合材料，综合运用所学，阐释如何推动乡村文化振兴。,材料中“多家机关联合发文”以及同时推进“美学普及与教育”“规划建设”“文化产业”“特色文化设施”等多种举措，反映乡村文化振兴是一个由教育、规划、产业、文化设施等多要素和多主体共同构成的系统工程；任何单一环节都不能独立完成振兴任务，必须用系统观点统筹各要素的有序联系，触发系统优化方法论。,推动乡村文化振兴要着眼整体、统筹兼顾、注重内部结构的合理性，把美学教育、乡村规划、文化产业、各类特色文化设施等要素有机衔接、协同发力，并由文化和旅游等多部门联合推进，使整体功能大于部分简单相加。
2024东城二模,8. 2024东城二模 第16题（主观题）,联系的多样性,42,34,114,56,True,桑、蚕、鱼、泥各要素相互依存、相互作用，构成一个完整循环系统，体现人与自然和谐共生。,结合材料，运用《哲学与文化》知识，分析为何二千多岁的桑基鱼塘仍未老。,材料里桑基鱼塘是由桑、蚕、鱼、泥多要素相互依存、相互作用构成的循环系统，桑养蚕、蚕粪入塘、塘泥肥桑，各要素互为条件、互相促进；这正是普遍联系的客观性和系统优化方法的体现，要求人们立足整体、统筹各要素、优化结构以发挥系统最佳效益。,桑基鱼塘历久未老，是因为它把多要素联系为相互依存的整体，通过系统优化实现整体大于部分之和，从而具备持久的生命力。
2025朝阳二模,10. 2025朝阳二模 第16题（主观题）,联系的多样性,37,34,108,47,True,大鱼前导、小鱼尾随；学子置身特定学习环境和文化氛围；群体激发引领个体沉思。,结合材料，运用《哲学与文化》知识，阐明从游与自学在人才成长中的作用。,从游中师生形成”大鱼前导、小鱼尾随”的群体氛围，学子借鉴群体的实践和认识、受文化濡染。师生、群体与个体、环境与学习者构成相互关联的整体，群体作为整体决定个体（部分）的成长方向。因此能想到”联系的观点+整体决定部分”。,从游通过师生联系、群体氛围对学子产生濡染观摩之效，借助整体力量引领部分发展，从而推动人才成长。
2025朝阳二模,11. 2025朝阳二模 第22题（主观题）,联系的多样性,30,33,97,61,True,高度复杂的系统工程；整体性、关联性、动态性；牵一发而动全身。,运用所学，谈谈对推进中国式现代化事业中的顶层设计与实践探索的理解。,中国式现代化是高度复杂的系统工程，内部新旧问题交织叠加、内外因素深度互动，整体性、关联性、动态性显著、牵一发而动全身。事物间普遍联系要求用系统优化方法统筹谋划。因此能想到”联系/系统优化方法”。,顶层设计要着眼整体、把握各要素的关联性与动态性，统筹各阶段各领域，实现整体功能大于部分功能之和，从而科学推进中国式现代化。
2024丰台二模,15. 2024丰台二模 第21题（主观题）,联系的多样性,174,33,163,142,True,“无数的你的脚步绘就袋着新时代中国前进的坚实步伐。无数关键核心技术领域，在更多科技创新成果竞相涌现；有人于科技高峰；有人是热血鏖热战，服务一方百姓，有人扎根工作岗位；不计得失付出。无人于科技高峰；有人是国家公职人员，有人足热血鏖热战，有人服务一方百姓……每一个你都让人泪眼有光、温暖他人，有人潇洒一笑奉献，言传身教，培养了一代又一代青年人才……”。,结合材料，综合运用所学，谈谈你对“你的步伐就是中国的步伐”的理解。,材料用“无数的你”“有人……有人……有人……”这种把无数个体并列起来汇成中国前进步伐的句式，把每个个体当作中国这一整体的一个组成部分。学生看到“无数的你”“每一个你”“汇就新时代中国前进的坚实步伐”这种从个体加总到整体的表述，应当想到事物是普遍联系的、要立足整体也要重视部分——个人作为部分的奋斗汇聚成中国作为整体前进的步伐。,"事物处于普遍联系之中，整体由部分构成、部分的功能及其变化会影响整体的功能；每一个“你”(部分)在科技、岗位、服务、教育等领域的努力构成中国(整体)前进步伐的具体支撑——发挥好每一个个体作为部分的作用，整体的中国步伐才能稳健前行，所以“你的步伐就是中国的步伐”。
系统观念 / 系统优化"
2025海淀二模,3. 2025海淀二模 第16题（主观题）,发展的观点 / 发展的普遍性,71,57,171,187,True,网友“实现梦想”指出：记忆是人类开展思维活动的内容与基底，人类的创造力和灵感往往来自于充足的知识积累，缺乏知识储备的思维创新如同“无米之炊”。,在获取信息易如反掌的时代，我们还需要记忆大量知识吗？……结合材料或个人体验，运用《哲学与文化》知识，谈谈你的看法。,“充足的知识积累—创造力和灵感的迸发”这一表述，正是从“量的积累”到“质的飞跃”的典型情境。学生看到“积累—创新”“无米之炊”的对比时，就应当想到量变是质变的前提和基础——没有日积月累的知识储备，就没有思维创新的飞跃；同时记忆并不是简单堆积旧知识，而是辩证否定（扬弃）——保留有价值的内容、克服过时和错误的内容，在与新知识的联结中获得新发展。,量变是质变的前提和基础，没有量的积累就没有质的飞跃。记忆大量知识是人类创造力和灵感得以迸发的量变积累过程，缺乏知识储备的思维创新如同“无米之炊”，因此必须重视记忆这一知识积累过程。辩证否定的实质是扬弃，是联系的环节、发展的环节——记忆不是机械保留全部信息，而是在新的实践和思考中保留有价值的、克服过时的，在新旧知识的联结中实现自我发展。所以在AI时代我们仍需要记忆大量知识。
2025东城二模,11. 2025东城二模 第21题（主观题）,发展的观点 / 发展的普遍性,120,32,168,200,True,基层立法联系点制度2014年党中央提出，2023年写入立法法；十多年来设立54个联系点、就185件次法律草案征求“原汁原味”意见、3300多条真知灼见被立法吸纳；各联系点与时俱进、探索创新——临洮二维码、沂南多平台融合、海门民生热线结合等。,结合材料，综合运用所学，谈谈“小小联系点”蕴含的“民主大气象”。,基层立法联系点从2014到2023写入立法法，从0到54个，从“听意见”到“与代表联络站、营商监测点融合”——制度本身在不断丰富和完善；各联系点也在“与时俱进、探索创新”。学生看到“制度十多年发展+联系点形式不断创新+从单一立法征询到融合民生热线”就应当想到事物是不断发展的，发展的实质是新事物的产生和旧事物的灭亡，要在实践中创新创造。,事物是不断发展的，发展的实质是新事物代替旧事物，要求我们在实践中创新创造。基层立法联系点制度从2014年提出到2023年写入立法法，并不断与时俱进、探索创新——甘肃临洮设置二维码方便群众发声、山东沂南融合人大代表联络站和营商环境监测点实现资源共享、江苏海门把立法征询与民生热线结合从“解决一件事”到“破解一类事”，正是通过实践中的创新不断提升民主治理效能、切实解决群众问题，体现了民主大气象的发展性。
2024东城二模,13. 2024东城二模 第16题（主观题）,发展的观点 / 发展的普遍性,85,34,168,84,True,“今天，某地探索生态桑基鱼塘进行修复保护和利用，将农业生态、文化、景观保护以及生态产品开发、文化研讨融入到农业生产中”“鱼桑文化研学系列体验课程开发让孩子感受鱼桑文化”。,结合材料，运用《哲学与文化》知识，分析为何二千多岁的桑基鱼塘仍未老。,桑基鱼塘并不是把2500年前的样子原封不动放到今天，而是在“修复保护和利用”中加入“生态产品开发”“文化研讨”“研学体验课程”等新内容——这是事物在自身基础上不断发展、不断更新的过程。学生看到“今天某地探索”“融入”“研学体验课程开发”这种把传统作物与时代新需求相结合的描述，应当想到事物是不断发展的、桑基鱼塘随时代发展而被赋予新形态。,桑基鱼塘随时代发展不断创新——从单纯的农业生产形态发展为农业生态+文化+景观+研学的现代综合形态，体现事物是不断发展的；正是这种与时俱进的发展使桑基鱼塘穿越千年仍未老。
2025朝阳二模,14. 2025朝阳二模 第16题（主观题）,发展的观点 / 发展的普遍性,104,34,160,185,True,亚里士多德在学园学习20年，通过从游奠定坚实基础，后来又经过游历、教学、观察、自学，创立了逻辑学、生物学等学科。爱因斯坦在大学请教教授、阅读物理学名著之后，自己进一步钻研电磁理论和力学理论，最终创立了相对论。,结合材料，运用《哲学与文化》知识，阐明从游与自学在人才成长中的作用。,亚里士多德先在学园学习20年（基础阶段—从游），后来通过游历、自学创立逻辑学、生物学（深化阶段—自学创新）；爱因斯坦从大学请教阅读到自己钻研电磁与力学到创立相对论（从基础到突破）。学生看到“先打基础后创新”“先从游再自学突破”这种递进关系时，就应当想到事物是不断发展的，发展的实质是新事物代替旧事物，要在继承基础上创新。,事物是不断发展的，发展的实质是新事物的产生和旧事物的灭亡，要在量的积累基础上推动质的飞跃。从游为人才成长奠定基础——亚里士多德在学园学习20年、爱因斯坦在大学接受系统教育，这是知识与方法的量变积累；自学是在从游基础上的深化与创新——亚里士多德通过自学创立逻辑学、生物学，爱因斯坦在群体激发与个体沉思的融合中创立相对论，正是发挥主观能动性、在继承基础上实现创新发展的体现。
2024朝阳二模,15. 2024朝阳二模 第16题第（2）问（主观题）,发展的观点 / 发展的普遍性,121,40,126,89,True,"材料二把人工智能明确划分为“人工智能的产生—人工智能的突破—人工智能的未来”三个阶段：“人工智能的概念产生”→“经过60多年的演进,以深度神经网络为代表的人工智能加速发展”→“2023年以来,以大模型为代表的人工智能迅速从实验室走向各行业”。",未来，是人塑造人工智能？还是人工智能塑造人？还是……运用哲学知识，谈谈你的看法。,材料把人工智能按“产生—突破—未来”三阶段层层推进，从概念诞生到深度神经网络再到大模型应用，每一步都在原有基础上更新、突破、扩展，体现事物是不断变化发展的，发展具有前进性和上升性；人与人工智能的关系也在这一过程中不断演进，不存在一成不变的相互塑造模式。,未来人与人工智能的相互塑造不是一次完成的静止结果，而是在人工智能技术不断突破、人的认识与实践不断更新的过程中持续推进的动态过程；应当用发展的观点看待并合理引导这一相互塑造的进程。
2025海淀二模,1. 2025海淀二模 第16题（主观题）,量变与质变 / 适度原则,48,19,130,122,True,网友“实现梦想”指“创造力和灵感来自于充足的知识积累”，“缺乏知识储备的思维创新如同无米之炊”。,运用《哲学与文化》知识，谈谈你的看法。,材料强调“创造力和灵感往往来自于充足的知识积累”并以“无米之炊”作比，指出数量上的不断积累是产生创新（质变）所必需的前提；“是否还需要大量记忆”之争还内含对记忆的扬弃式态度（保留有价值的知识、舍弃机械堆砌）和“记忆要恰到好处”的把握，正对应辩证否定与适度原则。,材料中“网友“实现梦想”指“创造力和灵感来自于充足的知识积累”，“缺乏知识储备的思维创新如同无米之炊””，体现量变与质变 / 适度原则；这说明持续积累会引起质的变化，同时做事要把握度，避免过犹不及，因此可以直接用这一原理说明题中材料的内在逻辑。
2024朝阳二模,14. 2024朝阳二模 第6题（选择题）,量变与质变 / 适度原则,277,0,152,127,False,"“商业航天”是指以市场为主导、具有商业盈利模式的航天活动。2023年7月我国民营商业航天企业自主研制的全球首枚液氧甲烷火箭成功发射，标志着我国运载火箭在新型低成本液体推进剂应用方面取得突破，走过了从“0”到“1”的“拓荒”阶段，进入拼硬实力的成长阶段。
【设问】 对此，下列选项正确的是
①“商业航天”与“航天”两个概念是属种关系
②我国商业航天的发展体现了事物发展过程中的渐进性与飞跃性
③我国商业航天的发展应以航天“国家队”为主，坚持底线思维
④不论是国有航天，还是民营航天，都是航天事业的重要组成部分
A. ①②
B. ①③
C. ②④
D. ③④",,“走过了从0到1的拓荒阶段，进入拼硬实力的成长阶段”明确把商业航天的发展划分为不同的阶段——“拓荒-成长”是渐进性积累过程中实现一次又一次飞跃的典型路径。学生看到“从0到1”“拓荒-成长”这种阶段性表述，应当想到事物发展是渐进性(量变积累)与飞跃性(质变突破)的统一，量的积累达到一定程度会引发质的飞跃。,②商业航天从“0到1”的拓荒到“拼硬实力”的成长阶段，每一步都是量的积累(渐进性)与关键节点(从0到1的突破即飞跃性)相结合，体现事物发展过程中渐进性与飞跃性的统一；④国有航天与民营航天都是我国航天事业的重要组成部分，体现整体由部分构成、各部分相互联系。
2025东城二模,6. 2025东城二模 第16题（主观题）,事物发展是前进性与曲折性的统一,34,31,93,117,True,"人工智能从科幻走进百姓家,不断迭代,势不可挡,呈现新事物兴起的轨迹。",运用哲学观点，谈谈我们应如何勇立潮头，与人工智能共创美好未来。,"材料用“曾几何时…而今”“浪潮滚滚而来,势不可挡”勾勒出人工智能由弱到强、由小到大、不可逆转的兴起过程,这是符合事物发展规律的新事物在崛起。因此能想到新事物不可战胜的发展观与规律客观性。",人工智能从科幻走进生活、持续迭代并深入各领域，说明它作为新事物具有前进趋势；但它也伴随伦理、安全和治理风险，发展过程有曲折。因此与人工智能共创未来，就要勇立潮头、积极利用其进步价值，同时直面问题、完善治理，而不是因风险退缩或盲目跟风。
2024东城二模,4. 2024东城二模 第16题（主观题）,辩证否定 / 守正创新,41,34,102,65,True,桑基鱼塘随时代不断创新形态，由传统农业向产业融合、文化研学、乡村振兴等新形式拓展。,结合材料，运用《哲学与文化》知识，分析为何二千多岁的桑基鱼塘仍未老。,材料里桑基鱼塘没有停留在原始形态，而是与现代产业、文化研学、乡村振兴等新需求相结合不断更新形式；这正体现事物是变化发展的、要用发展的观点看问题，并通过辩证否定保留合理内核、扬弃不适应的旧形式实现自我更新。,桑基鱼塘“二千多岁仍未老”，是因为它在保留人与自然和谐共生这一科学内核的基础上不断创新形态，与时代发展相统一，从而保持持续生命力。
2025丰台二模,10. 2025丰台二模 第16题第（1）问（主观题）,辩证否定 / 守正创新,34,34,98,114,True,西安易俗大剧院秦腔激昂传唱、大唐不夜城唐风盛景，传统与新潮交织呈现。,请你从以上三个地点中推荐一处，并运用《哲学与文化》知识阐述推荐理由。,西安并非简单保留秦腔、唐风原貌，也非抛弃传统，而是把秦腔传唱、唐风盛景与剧院、不夜城等新载体结合，呈现传统与新潮交织。这体现既肯定又否定、既保留又克服的辩证否定，是事物自身发展的环节和联系的环节。,材料中“西安易俗大剧院秦腔激昂传唱、大唐不夜城唐风盛景，传统与新潮交织呈现”，体现辩证否定 / 守正创新；这说明发展不是全盘抛弃或原样照搬，而是在保留合理内核中克服旧局限、实现创新，因此可以直接用这一原理说明题中材料的内在逻辑。
2024海淀二模,4. 2024海淀二模 第16题（主观题）,矛盾就是对立统一,80,26,161,109,True,材料指出：“人与人的频道不同，对事物的看法、判断就不一样”；同时“同频”是指人们在思想、价值观、生活方式或行为上“有共同点”。即人与人之间既有差异、也有共同点。,结合材料，从哲学角度，谈谈为什么要“以调频促同频”。,“频道不同”是人与人之间的对立面、“同频共振”“有共同点”是人与人之间的统一面，材料同时呈现差异和共同两个方向，正是矛盾的对立统一关系。学生看到“人与人在思想、价值观、生活方式或行为上有不同，也有共同点”这种既差异又共通的并列表述，就要想到矛盾就是对立统一，“以调频促同频”实质是在差异（对立）的基础上把握共同点（统一）。,人与人之间在思想、价值观、生活方式上既有不同（对立），也有共同点（统一），矛盾双方是对立统一的；“以调频促同频”就是在尊重彼此差异的对立面前提下把握共同点的统一面，使人们更能相互理解和引起共鸣，所以要“以调频促同频”。
2025东城二模,10. 2025东城二模 第16题（主观题）,矛盾就是对立统一,73,36,190,167,True,题干一面写人工智能赋能千行百业（机遇），另一面在阅卷报告里强调要正视风险（隐患）；DeepSeek免费开源便利人人，但同时蕴含技术与伦理的复杂性。,结合材料，运用哲学观点，谈谈我们应如何勇立潮头，与人工智能共创美好未来。,AI赋能各领域是机遇，AI也带来风险——材料把“势不可挡”的潮流与“勇立潮头共创美好未来”的设问放在一起，让学生看到AI发展是机遇与风险对立统一的。学生看到“AI赋能多领域+潜在风险+共创美好未来”这种正反并存关系时，就应当想到矛盾是对立统一的，要全面、一分为二地看问题：既要充分发挥AI的赋能优势，又要正视AI带来的伦理、安全、就业等风险，在矛盾的分析与解决中推动AI健康发展。,矛盾是对立统一的，要求我们坚持两点论与重点论相统一，全面看问题。人工智能发展带来巨大机遇——赋能科技创新、产业发展、社会治理、医疗教育、家庭服务，但同时也存在伦理风险、安全风险、就业冲击等隐患。我们要正视AI发展中的矛盾，既积极拥抱AI带来的机遇，又针对性地化解AI带来的风险，在矛盾的对立统一中推动AI健康发展，与AI共创美好未来。
2025朝阳二模,12. 2025朝阳二模 第22题（主观题）,矛盾就是对立统一,31,33,103,59,True,必须正确处理好顶层设计与实践探索......等一系列重大关系。,运用所学，谈谈对推进中国式现代化事业中的顶层设计与实践探索的理解。,顶层设计与实践探索是必须正确处理的一对关系，二者相区别（设计把握方向、探索寻找路径）又相互依存（设计为探索提供指引、探索为设计提供依据），共同构成中国式现代化不可分离的两个方面。因此能想到”矛盾对立统一”。,理解中国式现代化必须把顶层设计与实践探索作为相辅相成、缺一不可的两个方面，把握好对立统一关系才能共同推动事业向前发展。
2024朝阳二模,14. 2024朝阳二模 第16题第（2）问（主观题）,矛盾就是对立统一,138,40,147,87,True,题干设问把“人塑造人工智能”与“人工智能塑造人”并列提出，已经把二者作为对立双方；材料二既写人类受神经系统研究启发开发人工神经网络（人作用于人工智能），又写人工智能“通过了解我们给人类带来便利”“重塑人类对世界的认识”“深刻改变制造业生产模式和经济形态”（人工智能作用于人）。,未来，是人塑造人工智能？还是人工智能塑造人？还是……运用哲学知识，谈谈你的看法。,设问本身把“人塑造人工智能”与“人工智能塑造人”作为相互对立的两种主张并列提出，并以“还是……”暗示二者并非简单非此即彼，这正对应矛盾双方既相互对立又相互统一的关系；材料中人主导人工智能研发体现矛盾的斗争性一面，人工智能又反过来塑造人的认识与生产生活方式体现同一性一面，二者相互依赖、相互贯通。,未来人与人工智能不是单方面塑造关系，而是矛盾的对立双方，既相互区别又相互依存、相互转化，构成相互塑造、对立统一的辩证关系；应当用矛盾的观点看待并把握好二者在未来发展中的统一。
2024丰台二模,20. 2024丰台二模 第20题（主观题）,矛盾就是对立统一,102,24,166,144,True,我们党在新民主主义革命时期、社会主义革命和建设时期、改革开放和社会主义现代化建设新时期、中国特色社会主义新时代“都高度重视统筹发展和安全”；“历史反复证明，能否统筹好发展和安全，关系国家兴衰、关乎走向”。,运用哲学知识，谈谈你对“统筹发展和安全”的认识。,“统筹发展和安全”内含两端：发展(向前推进、不断生成新条件)与安全(防范风险、守住底线)。两者方向看似相反——发展往往要打破既有边界承担风险，安全要求维护稳定守住底线——但又互为前提：没有安全的发展走不远，没有发展的安全守不住。学生看到设问“统筹”二字以及材料把发展与安全并列贯穿党的各历史时期，应当首先想到这是矛盾的对立统一关系。,发展与安全是矛盾的两个方面，二者既对立又统一——对立在于发展强调突破和创新、安全强调守底线和防风险，统一在于安全是发展的前提、发展是安全的保障；“统筹”就是在尊重两者对立面的前提下把握其内在统一，做到既积极发展又有效维护安全，所以党在各个历史时期都把统筹发展和安全作为治国理政的重要方略。
