sheet	row	序号	题目定位	题目定位/模块	来源	维度	原severity	严重程度	v34状态	问题原文（摘录）	问题说明	复核说明（含仍需修改建议）	修改建议
①汇编v34复核	81	80		2024·西城·一模·第18题第3问		题源与同题组	低		已改			"v34第1问(line183-184)、第2问(line197-198)、第3问(line208-209)材料均已统一为""赡养费""(""要求另外三子支付赡养费""""未支持老人要求赡养费的主张"")，三个分问用词已一致。原意见已落实。"	
①汇编v34复核	82	81		2025·丰台·一模·第19题		法律准确性	低		已改			"v34变通说明(line319)已补""惩罚性赔偿也可结合民法典第一千一百八十五条作知识产权侵权惩罚性赔偿路径""，民法典第1185条路径已补。原意见已落实。"	
①汇编v34复核	83	82		2025·海淀·期中·第21题第1问		法律准确性	低		已改			"v34婚姻法(1950)第二十四条与民法典第一千零八十九条已重建为真表格(line547-548)分列两栏，各自文字连贯，原图文混排串栏(""共同共同生活时所得财产…由男方清偿的，由双方协议清偿"")已消除。原意见已落实。"	
①汇编v34复核	84	83		2025·海淀·期末·第20题		答案与评分逻辑	低		已改			"v34设问(line572)已补""（本题6分，①②各3分）""，细则头(line573)亦标""20（6分）…①②各3分""；评分口径(line574)""无过错出现一次且两处法理均解释正确，可按满分处理，不重复扣分""较前规范。本题总分6分及①②各3分均已标注。原意见已基本落实。"	
①汇编v34复核	85	84		2025·顺义·一模·第19题第1问		错别字与表述	低		已改			"v34第1问材料(line693)为""侵犯甲公司合法权益""，第2问材料(line714)亦为""侵犯甲公司合法权益""，""甲公司公司""衍字已删，两分问均已修正。原意见已落实(注：本条原列于第1问，实际待修的是第2问，v34第2问亦已改正)。"	
①汇编v34复核	86	85		2025·顺义·一模·第19题第2问		错别字与表述	低		已改			"v34细则(line721)个人价值已为""维护公民的合法权益/增强公众对法律的信任和遵守意识(2分)""，原""维护(企业）公民的合法权益""中误插的""(企业)""已删除，企业价值另起一项。原意见已落实。"	
①汇编v34复核	87	86		2025·顺义·一模·第19题第2问		答案与评分逻辑	低		已改			[v33新回归]v34该题阅卷细则仅在【细则】(line719-721)出现一次，【答案落点】(line722-726)仅保留落点要点(个人/企业/市场/社会价值)，未再原样重复整段阅卷细则。两处重复的回归已修复。	
①汇编v34复核	88	87		2026·丰台·二模·第18题		法律准确性	低		已改			"v34细则已补注""应注意《中华人民共和国生态环境法典》已公布，自2026年8月15日起施行，若按案发时点作答，不应写成案发当时已经适用的裁判依据""（第815行），明确了施行时点与案发（2026年3月）的时序关系，符合上次建议。"	
①汇编v34复核	89	88		2026·朝阳·二模·第18题		错别字与表述	低		已改			"v34材料问题三已改为""原告应当举证该（可能违法的）构筑物确实影响其通行、通风、采光等""（第946行），补足了动宾搭配与""等""字收尾，句子成分残缺已修复，与上次建议一致。"	
①汇编v34复核	90	89		2026·海淀·二模·第18题第2问		错别字与表述	低		已改			"v34本题细则与答案落点已无""财 产权""""知识产 权""""流通使 用""等词内OCR断字（第1008、1011、1016行均为正常连写）；全文检索亦无残留。词内多余空格已清除，与上次建议一致。"	
①汇编v34复核	91	90		2026·石景山·一模·第18题		法律准确性	低		已改			"v34③答案落点已补""可结合民法典第一千二百五十三条说明""（第1077行），细则③亦援引过错推定（第1072行），原""未补条号""的可选优化已落实。"	
①汇编v34复核	92	91		2026·西城·期末·第17题		法律准确性	低		已改			"v34材料已将原""第七十四条第二款""改标为""《中华人民共和国未成年人保护法》第七十四条（节选）""（第1155行），不再标注存疑的""第二款""，改用""（节选）""规避款次错误，符合上次""按实际款次标注/核正""的要求。"	
①汇编v34复核	93	92		2026·门头沟·一模·第18题第1问		答案与评分逻辑	低		已改			"v34第18题第1问（8分）细则已逐点标注分值：""从提起诉讼的主体看（2分）""""从纠纷解决方式看（3分）""""从法律效力看（3分）""（第1211-1212行），三点加总8分，符合上次""补每点分值""的建议。"	
①汇编v34复核	94	93		2026·门头沟·一模·第18题第1问		法律准确性	低		已改			"v34细则已改为援引公益诉讼适格主体""法律规定的机关和有关组织可以为维护社会公共利益提起公益诉讼""，并补注""本案是环境民事公益诉讼，不能套用'自己享有或管理、支配的民事权益受到侵害'的私益诉讼表述""（第1211-1212行），答案落点亦同（第1213-1214行）。公益诉讼与私益诉讼主体已区分，与上次建议一致。"	
①汇编v34复核	95	94		2026·顺义·二模·第18题第2问		题源与同题组	低		已改			"[对应v33新回归5]v34同题组标注已改为""本册仅收录第18题第2问；同卷第18题第1问如属其他模块，应在原卷中另行核验，不在本册强行挂同题组。""（第1238行），不再用与""（2）""分问矛盾的""本题组仅本分问""，并显式说明第1问的核验路径，与上次建议一致。"	
②宝典v34复核	2	1		2025·西城·二模·第18题		AB双轴与结构	中		未改			"同一题两段【细则】仍并存（第74行整段式无分值版 + 第75-76行带分值踩分版），内容高度重复（""小刘为限制民事行为能力人…交易行为无效…平台未尽审查义务…各方过错…157条…公平原则""两段几乎逐句重述）。这是真实结构问题而非纯标签建议，仍按上次建议处理：删去第74行整段式，仅保留第75-76行带分值踩分版。"	
②宝典v34复核	3	2		2025·顺义·一模·第19题第1问		AB双轴与结构	中		未改			归位仍为单一A3｜B6（第215行），未双归位A3+A5或加A5互见。本题案例2（企业名称/不正当竞争）为纯A5知识产权与公平竞争，案例1（相邻/共有）才属A3；单一A3仅覆盖一半题目，原判仍成立。属编辑性双归位建议，可接受但宜在标签注明案例2属A5。	
②宝典v34复核	4	3		2026·海淀·二模·第18题第2问		AB双轴与结构	中		未改			"归位仍为A5｜B6维权路径（第708行），未改B5意义价值。设问""分析上述关于知识产权的法律规定是如何助力企业创新与发展的""（第711行）属意义/作用分析，细则全为意义阐述（第712行），与全卷同类（如海淀期末18第2问""现实意义""已用B5）不一致，B6维权路径与设问类型不符，B轴标错的判断仍成立，仍建议改B5意义价值。"	
②宝典v34复核	5	4		2026·石景山·一模·第18题		AB双轴与结构	中		未改			"归位仍为A10纠纷解决程序｜B7短答识别（第1287行），未改B1补表/补链或增设说理标签。本题为""参考示例分析举证责任分配方式及理由、完成①②③下表""，属补表格+说理（补表/补链型），B7短答识别不准确的判断仍成立；知识落点举证责任分配归A10可接受，但B轴形状宜为B1。仍建议改B1或加说理标签。"	
②宝典v34复核	6	5		2026·石景山·二模·第19题		AB双轴与结构	中		未改			"归位仍为A2人格权与个人信息（第126行），未改跨模块或A7/人格权互见。材料主线为治安管理处罚法（行政法）+父母管教义务+未成年人保护，与""个人信息""几无关联，A2偏窄的判断仍成立；但本题答案确以""生命权、身体权、健康权等人格权""作""惩""维度的依据落点，挂A2人格权一侧尚可自圆，归A2属可接受的次优，宜在标签补注涉行政处罚/未成年人保护。"	
②宝典v34复核	7	6		2026·西城·一模·第17题		AB双轴与结构	中		未改			"归位仍为A3｜B6维权路径（第255行），未改为B5意义价值。设问""说明上述规定如何推动国家绿色发展""问的是规定的作用/意义，细则也设""●意义价值（2分）""且整体为法律依据+作用路径+意义价值的意义题结构（第261行），B6维权路径与设问类型明显不符，B轴标错的判断仍成立，仍建议改B5意义价值。"	
②宝典v34复核	8	7		2026·西城·二模·第18题第1问		AB双轴与结构	中		未改			"归位仍为A4合同与诚信｜B2判责/理由（第471行），未改A1或A6。本问""阐明本案判决的法律依据""核心是""人工智能不具有民事主体资格、不能独立作意思表示、不构成侵权""（第476行），属民事主体/侵权法律关系，挂A4合同与诚信仍不贴切，A轴应纠正（A1民事主体或A6侵权）的判断仍成立；B2可保留。注：同卷房山一模17同类AI主体题已归A1，本题口径不一致。"	
②宝典v34复核	9	8		2024·丰台·一模·第17题		AB双轴与结构	低		未改			"归位仍为A6侵权责任｜B2判责/理由（第757行），未改复合标注。设问含""法理依据和现实意义""两部分、答案法理5分+现实意义3分（第765行），B2判责/理由未覆盖""现实意义""，标签偏窄的判断仍成立；按主体取向（判责）择一标B2可接受，复合标注属编辑性增益。"	
②宝典v34复核	10	9		2025·海淀·二模·第18题		AB双轴与结构	低		未改			"归位仍为A5｜B1补表/补链（第603行），未细化为""B1补空（流程/要素填充）""。本题为补全庭审记录划线①-⑨的流程填空，B1补表/补链尚可。上次即认为B1可保留，维持原标签可接受。"	
②宝典v34复核	11	10		2025·门头沟·一模·第20题		AB双轴与结构	低		未改			"归位仍为A8劳动关系｜B1补表/补链（第1064行），未在标签补注""案例一A5著作权示例、待答案例二归A8""。本题为著作权（案例一已填示例）+劳动合同诚信（案例二待填）双案例表格，待答部分确为A8，归A8主入口正确；与目录""跨模块背景题1个分问""系不同题（跨模块题为西城二模18第3问），不存在混淆。标签补注属编辑性增益，可接受。"	
②宝典v34复核	12	11		2025·顺义·一模·第19题第2问		AB双轴与结构	低		未改			"归位仍为A3｜B5意义价值（第236行），未补注涉A5/A10或改跨模块。本问""阐释定分止争的价值""跨案例1（相邻）+案例2（竞争）+纠纷解决，细则按对个人/企业/市场/社会价值分层（第247行），含竞争与纠纷解决成分，单A3偏窄；B5意义价值贴合设问。归位增益建议可接受。"	
②宝典v34复核	13	12		2026·东城·一模·第18题		AB双轴与结构	低		未改			"归位仍为A5｜B6维权路径（第638行），未改B5意义价值。设问""法院是如何以司法之力守护向新力的""属措施+评价，细则为""人民法院做了什么+做得怎么样""措施类（第644-648行三案例调解/惩罚/规制+总说）。B6维权路径不够贴切，更近B5意义价值或措施评析，原判仍成立但措施类挂B6尚可勉强接受。"	
②宝典v34复核	14	13		2026·丰台·一模·第20题		AB双轴与结构	低		未改			"归位仍为A6侵权责任｜B2判责/理由（第813行），未改复合标注。设问含""法理依据和现实意义""，答案末段为现实意义（第819行），B2未覆盖""意义""部分，标签偏窄的判断仍成立；同丰台一模17，按判责主体取向标B2可接受。"	
②宝典v34复核	15	14		2026·房山·二模·第18题第1问		AB双轴与结构	低		未改			"归位仍为A5｜B4评析认识（兼涉名誉权）（第670行），""兼涉名誉权""提示已保留，但B轴未改B6。设问为""分析法律边界并提出应对措施""，细则按风险+应对措施分（第678-679行措施2+1分），含明显的应对措施成分，更近B6维权路径，原""B4不够贴切""判断仍成立；B4作风险评析理解亦可，属可接受次优。"	
②宝典v34复核	16	15		2026·西城·二模·第18题第3问		AB双轴与结构	低		未改			"归位""跨模块背景题｜主知识：政治与法治/法治中国""判断正确并保留（第1324行）；但【细则】开头仍整段重复粘贴【设问】文字——""（3）结合材料二，从法治的角度，阐释最高人民法院发布典型案例对推进国家治理体系和治理能力现代化的意义。（6分）""在设问行（第1326-1327行）与细则行（第1328-1329行）各出现一次，冗余仍在。仍建议删去细则开头重复的设问文字，仅保留评分要点。"	
②宝典v34复核	17	16		2026·顺义·二模·第18题第2问		AB双轴与结构	低		未改			"归位仍为A2｜B6维权路径（第140行），B轴未补注""含必修3国家治理""成分。答案确大量含必修3立法/执法/司法/守法（第143行），超出纯私法维权；A2归位可保留，但B6标签仍未提示""国家治理/制度建设""维度。属编辑性增益，可接受。"	
②宝典v34复核	18	17		A1模块·核心答题点		法律准确性	低		未改			"A1核心入口仍仅列""诉讼时效、不适用时效""（第27行），未补民法典196条不适用诉讼时效的请求权类型（停止侵害/排除妨碍/返还财产、不动产或登记动产物权请求权、抚养费赡养费扶养费等）。易错边界仅写""诉讼时效不是权利消灭""。属可选编辑性补充，不构成法律错误，仍建议补列196条情形以防""所有请求权均适用时效""的误解。"	
②宝典v34复核	19	18		2026·东城·期末·第18题第1问		AB双轴与结构	中		部分改			"归位仍为A4｜B2（第413行），未在标签层加A6双归位；但细则与答案落点已显式分""第一层违约责任（4分）/第二层侵权责任（3分）""，并完整写出""对生产者主张产品责任，产品责任适用无过错责任""（第417、424行），A6产品责任无过错考点在正文已充分提示、不会丢失。标签未双归位属编辑性，正文已实质覆盖，可接受。"	
②宝典v34复核	20	19		2025·东城·二模·第19题		AB双轴与结构	低		部分改			"v34归位仍为单一A1，但B轴已由B5改为""B1 补表/补链""（第45行），与本题""阅读材料，完成下表""的形状完全吻合，B轴纠偏到位。原意见关注的""名誉权/格式条款被A1单吸收、宜跨A2/A4互见""未在标签层处理；不过本题A轴落点确以案件一（行为能力/合同效力）为序号①入口，且答案落点已分案件二名誉权、案件三公平/诚信原则分别展开，单A1+B1可接受，跨模块互见属编辑性增益。"	
②宝典v34复核	21	20		A5模块·核心答题点		法律准确性	低		部分改			"A5核心入口已含""混淆""（第487行""虚假宣传、混淆、恶意诉讼""），覆盖了上次建议的混淆行为；但""惩罚性赔偿""仍未单列入核心入口。鉴于本批丰台一模19、房山一模19、东城一模18等多题考惩罚性赔偿，仍建议在核心入口或易错边界补""惩罚性赔偿（民法典1185条，可结合反不正当竞争法）""。"	
②宝典v34复核	22	21		设问/材料断行（顺义19-2、昌平20-2等多处）		错别字与表述	低		部分改			"断行穿插显著减少但未彻底消除：仍有""材料一""独占行（第217、238、1147行）、""裁判理由 。""独占行（第359、559、1021行）、""案件二/案件一""独占行（第364、564行）等；且多处【设问】句被拆行（如第113→114行""结合""+""材料一，运用…""、第676、710、1326行同类）。可读但仍影响整洁，仍建议将断行的材料一/材料二/裁判理由并入设问或正文句。"	
②宝典v34复核	23	22		2025·丰台·二模·第19题第2问		AB双轴与结构	中		已改			"已采纳：B轴由B6改为""B4 评析认识（法律边界与创新空间）""（第524行），与设问""谈谈你对这句话的理解""属评析/理解类完全吻合，B轴纠偏到位。"	
②宝典v34复核	24	23		2025·延庆·一模·第19题		AB双轴与结构	中		已改			"完全采纳：归位已由A9改为""A10 纠纷解决程序｜B6 调解程序（消费纠纷背景）""（第1242行），主入口纠正为A10纠纷解决程序、B轴标注调解程序并保留消费背景。与设问""如何进行调解""、细则""本着以和为贵的原则适用调解""（第1246行）完全吻合，纠偏到位。"	
②宝典v34复核	25	24		2025·海淀·期末·第20题		AB双轴与结构	中		已改			"完全采纳：归位已由A9改为""A6 侵权责任｜B1 表格补链（产品责任与危险动物无过错责任，兼涉消费者）""（第792行），主入口纠正为侵权责任，B轴维持B1补表/补链，并备注兼涉消费者角度。细则踩分点为产品责任/危险动物无过错责任（第803-804行），与A6完全吻合，纠偏到位。"	
②宝典v34复核	26	25		2026·房山·一模·第17题第1问		AB双轴与结构	中		已改			"完全采纳：归位已由A4改为""A1 民事主体与民事法律关系""、B轴由B7改为""B4 辨析认识""（第85行），与设问""运用'民事法律关系'知识辨析""、细则按主体/内容/客体三维（第89-90行）高度吻合，并相应更新目录A1计数为4。这是v34新增并归位的题，纠偏到位。"	
②宝典v34复核	27	26		2026·海淀·期末·第18题第1问		AB双轴与结构	中		已改			"核对通过、无重复计数：海淀期末18第1问（A4｜B2，第443行）与第2问（A4｜B5，第457行）为两个独立分问、均计入A4；v34目录A4计数已由14改为13，与""A4归位标签共13个分问""程序核验吻合，未与跨模块重复计数。本问确为格式条款效力、归A4无误。"	
②宝典v34复核	28	27		A9核心答题点		AB双轴与结构	低		已改			"已采纳（通过移题实现）：原列A9下的海淀期末20（实为侵权）已移入A6、延庆一模19（实为调解）已移入A10；v34的A9模块现仅含西城二模16、朝阳一模19、朝阳期末18第1问、海淀一模18第3问4道真消费题，核心入口（经营者/消费者/欺诈/知情权/惩罚性赔偿等）与模块内题目已一致，原""入口与归位题不匹配""问题解决。"	
②宝典v34复核	29	28		2025·东城·期末·第19题第1问		AB双轴与结构	低		原判不成立			"归位A3物权相邻与共有｜B7短答识别（第172行）保持不变，与本题""遇到的法律问题：____、____""两空短答、落点为消防/共有部分(278条)/相邻权完全吻合。上次即判""无需修改，归位准确""，v34维持原判正确，核对通过。"	
②宝典v34复核	30	29		2025·丰台·一模·第19题		AB双轴与结构	低		原判不成立			"归位A5知识产权与公平竞争｜B5意义价值（第509行）维持不变，与设问""分析本案作为…典型案例的意义""相符。上次即判""无需修改，记录核对通过""，v34维持原判正确。"	
③v34新问题	2	1	2025·西城·一模·第20题		宝典	AB双轴与结构		中		同一题两段【细则】并存：整段式叙述版+踩分版	"第1054行为整段式（""劳动法的首要原则…实现社会公平与经济效率的平衡""，无分值），第1055行为踩分版（""公平角度4分…效率角度4分…""），二者内容高度重复，与已被点名的西城二模18第18题双细则属同型结构问题，却未在原29条意见内、v34亦未处理。"		将整段叙述版改标为【参考答案】或并入答案落点，仅保留第1055行带分值踩分版作【细则】，消除双【细则】歧义。
③v34新问题	3	2	2025·东城·二模·第19题		汇编	答案与评分逻辑		中		细则①(2分)②(2分)③(1分)④(2分)，加总=7分，题头(8分)	"v34本题设问表格为四空(①②③④)，材料行(line275)题头标""(8分)""，但【细则】(line287-288)四个踩分点①龙某文身(2分)+②杨某名誉(2分)+③民法原则(1分)+④典型意义(2分)=7分，凑不满8分。"		"核对四踩分点分值，将某点补1分(如①合同+侵权按""两个知识点各1分+定性1分""补足，或④典型意义提为3分)使加总=8分，与题头(8分)闭合。"
③v34新问题	4	3	2025·海淀·期末·第20题		汇编	错别字与表述		中		"占位空块""########## 原题图 ##########""(line571)"	"v34本题表格已重建(line566-569)，但紧随其后(line571)仍残留一处""########## 原题图 ##########""空占位块，未补任何内容也未删除，系上一轮表格重建后遗留的冗余占位，夹在表格与【设问】之间影响版面。"		"删除line571该""原题图""占位段(本表已无需配图)。"
③v34新问题	5	4	2025·西城·二模·第18题		汇编	法律准确性		中		"细则""法院判定平台和小刘父母都应承担相应责任"""	"v34【细则】(line639、640)正文与【答案落点】(line646)口径打架：细则称""平台和小刘父母都应承担相应责任""，落点却明确""法院判平台返还部分款项而非全额返还""(材料判决仅平台退款24万，父母未被判担责)。同题细则与落点自相矛盾，易误导学生认为父母被判赔。"		"细则正文删去""小刘父母都应承担相应责任""，改为""综合各方过错，法院判平台返还部分款项，体现各自承担相应责任与公平原则""，与落点统一。"
③v34新问题	6	5	2026·东城·二模·第19题		汇编	答案与评分逻辑		中		张某：未遵守劳动纪律与职业道德（2分）	"该题为东城二模，但细则首行残留""2025-2026东城高三政治综合练习（二）主观题细则""字样（第752行），系命题/阅卷内部抬头混入讲义正文；且各采分点（乙公司商诋2分+违约1分+1分+依法诚信经营1分；张某2分+1分；总说1分）累加达9分，而该题为评析题、同卷未标总分，9分与常见8分材料题口径存疑、且设问行未标分值。"		"删除""2025-2026…主观题细则""内部抬头；核定本题总分并在设问末标注，使踩分点加总与卷面分一致。"
③v34新问题	7	6	2026·朝阳·二模·第18题		汇编	答案与评分逻辑		中		【阅卷细则】第一问：（3分=1+1+1）…第二问：（5分=2+2+1）	"该题设问为单一问（""补充完整…任选其一谈如何依法保护权利""），但细则用【阅卷细则】拆成""第一问（3分）+第二问（5分）""，与设问表述的单问结构不一致，且第二问内层""民法典依据共2分""""民事主体如何做共2分""""救济共1分""等多层变通赋分与""5分=2+2+1""标注交叉，学生难以据此核对8分如何分配。"		"统一设问与细则的问数口径，明确8分在""补空3分+如何保护5分""下各采分点的固定分值，避免多套赋分并存。"
③v34新问题	8	7	2026·海淀·一模·第18题第3问		汇编	题源与同题组		中		########## 原题图 ##########	"第988行在材料与设问之间残留独立的""########## 原题图 ##########""占位块（同款占位在通州一模第20题第1176行亦出现），属未清理的题图占位符，dangling在正文中影响排版与阅读。"		"删除""########## 原题图 ##########""占位行；若原题确有图，改为简要文字说明或标注""（原题图略）""。"
③v34新问题	9	8	2026·海淀·一模·第18题第3问		汇编	答案与评分逻辑		中		设问表格重建[表格]案件|裁判结果|裁判理由	"该题为""完成下表""客观填空型，细则①②③已标分（1+3+3=7分），但设问行与细则均未标注本问总分值（第990、996行），且同题组标""本题组仅本分问""而题号为""第18题第3问""，疑漏挂第1/2问同题组（与顺义二模同类分问编号问题同型）。"		在设问或细则补标本问总分（按①②③加总7分）；核实第18题第1/2问是否同卷，若是应在同题组补列。
③v34新问题	10	9	2026·东城·二模·第19题		宝典	错别字与表述		低		"细则首句残留试卷元数据""2025-2026东城高三政治综合练习（二）主观题细则"""	"第661行【细则】正文开头直接粘进了原试卷标题/栏目名""2025-2026东城高三政治综合练习（二）主观题细则""，属排版还原时试卷页眉/标题串入细则正文，虽不影响评分内容但属穿插杂质。"		"删去细则开头的""2025-2026东城高三政治综合练习（二）主观题细则""一句，直接从""乙公司：商业诋毁/不正当竞争定性计2分""起排。"
③v34新问题	11	10	2026·西城·二模·第18题第1问		宝典	AB双轴与结构		低		同卷AI民事主体题与房山一模17归位口径不一致	"同为""AI不具民事主体资格、不构成侵权""的判决依据题，房山一模17第1问已归A1民事主体（第85行），本题（西城二模18第1问）仍归A4合同与诚信（第471行），两道同型题A轴口径不统一，易让学生对""AI主体资格题归哪一轴""产生混淆。"		建议将西城二模18第1问A轴与房山一模17对齐（改A1民事主体，或A6侵权），保持同型题归位一致。
③v34新问题	12	11	2025·东城·一模·第19题		汇编	答案与评分逻辑		低		细则②柳某案例(3分)第一层2分+第二层1分；③(4分)第一层最多4个1分	"v34【细则】(line264)②柳某案例标(3分)但第一层""对劳动者的意义2分""+第二层""对医院/双方意义1分""=3分尚可；③顾氏案例标(4分)第一层""遗产管理制度1分""下列4个""可替换…1分""项、第二层""3分(1个2分2个3分)""，第一层若按4项累计将超1分封顶，层内点值与层封顶关系排版易误读。"		"在③第一层注明""本层封顶1分(列举为可替换择一)""，与第二层3分合计=4分，避免层内多个1分项被误加。"
③v34新问题	13	12	2025·东城·期末·第19题第1问		汇编	错别字与表述		低		"思路1""改变公有部分用途""""涉及民法典对公共区域功能改变的规定"""	"v34【细则】思路1(line303)与设问引《民法典》第278条""改变共有部分的用途""(line301)用语打架：法条与落点均用""共有部分""，细则却用""公有部分""""公共区域""，同题内同一概念三种写法并存。"		"细则思路1统一为""共有部分""，与设问所引第278条及【答案落点】""共有部分""一致(此问与复核第17条同源，建议一并改)。"
③v34新问题	14	13	2025·朝阳·期末·第20题		汇编	题源与同题组		低		"案件二【细则】""②被告赔偿…简写'赔损'不给分，写成'补偿'不给分"""	"v34案件二裁判结果细则(line494)给出""简写'赔损'不给分、写成'补偿'不给分""等扣分边界，但案件二【裁判理由】①仅""根据反不正当竞争法""过简，与案件三(line496六个踩分点)详略悬殊，且本题三案分值(10分)在题头/细则均无分配。"		与复核第33条合并处理：在细则标注案件二、案件三各占分及①—⑥踩分点分值，使与10分闭合；案件二理由可适当补充与案件三体例一致。
③v34新问题	15	14	2026·海淀·一模·第18题第3问		汇编	错别字与表述		低		"占位空块""########## 原题图 ##########""(line988)"	"(2026题，附带提示)v34海淀一模18题第3问表格已重建(line992-995)，但line988仍残留""########## 原题图 ##########""空占位块未清理，与2025海淀期末第20题为同类遗留占位。"		如确无原题图需求，删除该占位段，保持与已重建表格体例一致。
③v34新问题	16	15	2026·西城·二模·第18题第1问		汇编	题源与同题组		低		18．（23分）法治护航AI时代创新发展。	"材料开头标""18．（23分）""（第1109、1124行），但第18题三个分问v34标注分值为4+6+6=16分，与""23分""差7分，疑大题尚含未收录的其他分问（或23分含选择/其他小问），同题组仅列第1/2/3问之间互挂，未说明缺口。"		核实第18题（23分）是否另含未收录分问；若有，在同题组或边界说明中标注，使分问分值之和与大题总分对应。
③v34新问题	17	16	2026·通州·一模·第20题		汇编	题源与同题组		低		########## 原题图 ##########	"第1176行在【法律依据】表格之后、设问之前残留独立""########## 原题图 ##########""占位块，与海淀一模第18题第3问同源，未清理。"		"删除该占位行或改为""（原题图略）""文字说明。"
③v34新问题	18	17	2026·顺义·一模·第18题		汇编	法律准确性		低		张某与配偶…生产、经营所得属于夫妻共同财产，具有利益一致性	"细则与落点以""夫妻共同财产具有利益一致性""作为认定张某违反竞业限制的核心论据（第1227、1234行），但夫妻财产共有仅说明经济关联，竞业限制违约的法律要件应是张某本人""实际从事/参与""竞业行为（如社保由竞业关联公司缴纳指向其实际受雇）；以共同财产直接推定违约，法理上不够严谨、易被学生误用为""配偶经商即配偶方违约""。"		细则核心论据应落到张某本人实际参与竞业（社保缴纳等事实），夫妻共同财产仅作辅助佐证，避免以财产共有直接推定竞业违约。
