sheet	row	序号	题目定位	维度	严重度	v33状态	v34处理结论	v34处理说明
③宝典核对	36	35	2025·西城·二模·18题	答案与评分逻辑	中		v34已实改	v34已统一6分评分口径说明。
③宝典核对	37	36	2026·东城·期末·第18题第2问	答案与评分逻辑	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	38	37	2026·延庆·一模·18题第1问	答案与评分逻辑	中		保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
③宝典核对	39	38	2026·海淀·期末·第18题第1问	答案与评分逻辑	中		保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
③宝典核对	40	39	2026·通州·一模·20题(行63、70-71)	答案与评分逻辑	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	41	40	2026·顺义·二模·18题第2问	答案与评分逻辑	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	42	41	2025·东城·二模·19题	错别字与表述	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	43	42	2025·东城·二模·19题	错别字与表述	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	44	43	2025·海淀·二模·第18题	错别字与表述	中		教师取舍/软性保留	条号如属原题材料，v34按“原题为准”保留；后续可回源核条。
③宝典核对	45	44	2025·石景山·一模·第20题	错别字与表述	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	46	45	2025·顺义·一模·第19题第2问	错别字与表述	中		v34已实改	v34已删除“甲公司公司”等衍字，并去除重复阅卷细则。
③宝典核对	47	46	2026·朝阳·一模·第18题	错别字与表述	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	48	47	2026·朝阳·二模·第18题(第182行)	错别字与表述	中		v34已实改	v34已清理命题人内部标签碎片，并修正物件脱落/坠落过错推定表述。
③宝典核对	49	48	2026·通州·一模·20题(行51-52、60-62)	错别字与表述	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	50	49	2024·丰台·一模·第17题(第85行)	AB双轴与结构	低		编辑性建议待教师取舍	AB轴建议多属体例优化；v34仅采纳明确错位项，其余不强行改动。
③宝典核对	51	50	2025·东城·二模·19题	AB双轴与结构	低		编辑性建议待教师取舍	AB轴建议多属体例优化；v34仅采纳明确错位项，其余不强行改动。
③宝典核对	52	51	2025·东城·期末·19题第1问	AB双轴与结构	低		核对通过	复核意见本身标为无需修改，v34不另改正文。
③宝典核对	53	52	2025·丰台·一模·第19题	AB双轴与结构	低		v34已实改	v34已补8分封顶，并明确民法典1185惩罚性赔偿路径。
③宝典核对	54	53	2025·海淀·二模·第18题	AB双轴与结构	低		教师取舍/软性保留	条号如属原题材料，v34按“原题为准”保留；后续可回源核条。
③宝典核对	55	54	2025·门头沟·一模·第20题	AB双轴与结构	低		编辑性建议待教师取舍	AB轴建议多属体例优化；v34仅采纳明确错位项，其余不强行改动。
③宝典核对	56	55	2025·顺义·一模·第19题第2问	AB双轴与结构	低		v34已实改	v34已删除“甲公司公司”等衍字，并去除重复阅卷细则。
③宝典核对	57	56	2026·东城·一模·第18题	AB双轴与结构	低		v34已实改	v34已整理“总说”等层级，避免与案例三混读。
③宝典核对	58	57	2026·丰台·一模·第20题(第122行)	AB双轴与结构	低		v34已实改	v34已把“因过错造成他人损害”修为“未尽到安全保障义务造成他人损害”；正式点分布仍保留风险。
③宝典核对	59	58	2026·房山·二模·第18题第1问	AB双轴与结构	低		编辑性建议待教师取舍	AB轴建议多属体例优化；v34仅采纳明确错位项，其余不强行改动。
③宝典核对	60	59	2026·西城·二模·第18题第3问	AB双轴与结构	低		编辑性建议待教师取舍	AB轴建议多属体例优化；v34仅采纳明确错位项，其余不强行改动。
③宝典核对	61	60	2026·顺义·二模·18题第2问	AB双轴与结构	低		编辑性建议待教师取舍	AB轴建议多属体例优化；v34仅采纳明确错位项，其余不强行改动。
③宝典核对	62	61	A9核心答题点	AB双轴与结构	低		编辑性建议待教师取舍	AB轴建议多属体例优化；v34仅采纳明确错位项，其余不强行改动。
③宝典核对	63	62	2024·东城·一模·19题	法律准确性	低		v34已实改	v34已将诉讼时效资料卡独立，恢复案件2“自2019年1月起”连贯叙述。
③宝典核对	64	63	2024·石景山·一模·第17题	法律准确性	低		核对通过	复核意见本身标为无需修改，v34不另改正文。
③宝典核对	65	64	2025·东城·二模·19题	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	66	65	2025·房山·一模·第19题	法律准确性	低		教师取舍/软性保留	该题涉及多维法治价值，未在无正式细则源条件下硬删可选角度，保留为教师取舍项。
③宝典核对	67	66	2025·朝阳·二模·20题第1问	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	68	67	2025·朝阳·期末·第20题	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	69	68	2025·海淀·一模·第18题	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	70	69	2025·海淀·二模·第18题	法律准确性	低		教师取舍/软性保留	条号如属原题材料，v34按“原题为准”保留；后续可回源核条。
③宝典核对	71	70	2025·西城·二模·18题	法律准确性	低		v34已实改	v34已统一6分评分口径说明。
③宝典核对	72	71	2026·东城·二模·第19题	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	73	72	2026·东城·期末·第18题第1问	法律准确性	低		v34已调轴/结构优化	v34保留A4/A6双层提醒，避免只按合同处理。
③宝典核对	74	73	2026·东城·期末·第18题第2问	法律准确性	低		核对通过	复核意见本身标为无需修改，v34不另改正文。
③宝典核对	75	74	2026·丰台·二模·第18题(第144/147/151行)	法律准确性	低		v34已实改	v34已补生态环境法典生效日边界，案发时点不写成已适用裁判依据。
③宝典核对	76	75	2026·丰台·期末·第18题	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	77	76	2026·延庆·一模·18题第1问	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	78	77	2026·房山·一模·第17题第1问	法律准确性	低		v34已实改	v34已改归A1民事主体与民事法律关系，并保留B4辨析认识。
③宝典核对	79	78	2026·房山·二模·第18题第1问	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	80	79	2026·朝阳·一模·第18题	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	81	80	2026·海淀·期末·第18题第1问	法律准确性	低		核对通过	复核意见本身标为无需修改，v34不另改正文。
③宝典核对	82	81	2026·海淀·期末·第18题第2问	法律准确性	低		核对通过	复核意见本身标为无需修改，v34不另改正文。
③宝典核对	83	82	2026·石景山·一模·第18题	法律准确性	低		v34已实改	v34已将举证责任材料重建为三列表格，并补入答案落点和民法典1253提示。
③宝典核对	84	83	2026·石景山·二模·19题	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	85	84	2026·通州·一模·20题(行57)	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	86	85	2026·通州·一模·20题(行57)	法律准确性	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	87	86	2026·顺义·二模·18题第2问	法律准确性	低		核对通过	复核意见本身标为无需修改，v34不另改正文。
③宝典核对	88	87	A1模块·核心答题点	法律准确性	低		低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
③宝典核对	89	88	A5模块·核心答题点	法律准确性	低		低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
③宝典核对	90	89	2024·海淀·一模·第19题	答案与评分逻辑	低		v34已实改	v34已将虚拟数字人资料卡独立，修复正文/资料卡串栏。
③宝典核对	91	90	2024·西城·一模·18题第3问(行104)	答案与评分逻辑	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	92	91	2025·丰台·二模·第19题第2问	答案与评分逻辑	低		v34已实改	v34已统一为B4评析认识，细则保留一套8分口径。
③宝典核对	93	92	2025·丰台·期末·19题(行175)	答案与评分逻辑	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	94	93	2025·朝阳·二模·20题第1问	答案与评分逻辑	低		保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
③宝典核对	95	94	2025·朝阳·二模·20题第2问	答案与评分逻辑	低		保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
③宝典核对	96	95	2025·朝阳·期末·第20题	答案与评分逻辑	低		保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
③宝典核对	97	96	2025·海淀·一模·第18题	答案与评分逻辑	低		保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
③宝典核对	98	97	2025·石景山·一模·第20题	答案与评分逻辑	低		保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
③宝典核对	99	98	2025·顺义·一模·第19题第1问	答案与评分逻辑	低		v34已调轴/结构优化	v34保留跨点提示，未把单一A3当全题唯一知识。
③宝典核对	100	99	2025·顺义·一模·第19题第2问	答案与评分逻辑	低		v34已实改	v34已删除“甲公司公司”等衍字，并去除重复阅卷细则。
③宝典核对	101	100	2026·东城·一模·第19题	答案与评分逻辑	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	102	101	2026·房山·一模·第17题第1问	答案与评分逻辑	低		v34已实改	v34已改归A1民事主体与民事法律关系，并保留B4辨析认识。
③宝典核对	103	102	2026·房山·二模·第17题	答案与评分逻辑	低		保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
③宝典核对	104	103	2026·朝阳·一模·第18题	答案与评分逻辑	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	105	104	2026·西城·一模·第18题第2问	答案与评分逻辑	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	106	105	2026·西城·二模·第18题第1问	答案与评分逻辑	低		核对通过	复核意见本身标为无需修改，v34不另改正文。
③宝典核对	107	106	2024·西城·一模·18题第3问(行106)	错别字与表述	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	108	107	2025·丰台·二模·第19题第2问	错别字与表述	低		v34已实改	v34已统一为B4评析认识，细则保留一套8分口径。
③宝典核对	109	108	2025·朝阳·二模·20题第1问	错别字与表述	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	110	109	2025·门头沟·一模·第20题	错别字与表述	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	111	110	2025·顺义·一模·第19题第2问	错别字与表述	低		v34已实改	v34已删除“甲公司公司”等衍字，并去除重复阅卷细则。
③宝典核对	112	111	2026·延庆·一模·18题第1问	错别字与表述	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	113	112	2026·房山·一模·第17题第2问(第161行)	错别字与表述	低		v34已实改	v34已将“有毒有害信息”修为“虚假有害信息”。
③宝典核对	114	113	2026·朝阳·期末·第18题第1问	错别字与表述	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	115	114	2026·海淀·一模·第18题第3问	错别字与表述	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	116	115	2026·西城·期末·第17题(第67/72行)	错别字与表述	低		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	117	116	设问/材料断行（顺义19-2、昌平20-2等多处）	错别字与表述	低		低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
