global_entry_no,source_label,bucket,second_level,core_point,year,district,exam_type,q_no,q_sub,overall_auto_status,paper_count,rubric_count,other_count,paper_statuses,rubric_statuses,q_in_paper,q_in_rubric,prompt_exact,prompt_match_fragment,prompt_match_score,score_match_fragment,score_match_score,surface_match_fragment,surface_match_score,paper_paths,rubric_paths,other_paths,prompt,score_layers,surface_sentence
51,2025昌平二模Q21稳外资举措推动开放包容全球经济格局,经济全球化,总：开放包容普惠平衡共赢方向,推进普惠包容的经济全球化，推动构建更加开放、包容的全球经济格局,2025,昌平,二模,21,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,说明上述举措对我国建设更高水平的开放型经济具有什么重要意义,1.000,,0.000,包容的全球经济格局,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx,,结合材料，说明上述举措对我国建设更高水平的开放型经济具有什么重要意义。（8分）,,"中国扩大重点领域开放、完善外资服务并打造""投资中国""品牌，有利于推动构建更加开放、包容的全球经济格局，使更多国家共享中国市场和发展机遇。"
52,2026顺义二模Q20,经济全球化,总：开放包容普惠平衡共赢方向,推进普惠包容的经济全球化，推动构建更加开放、包容的全球经济格局,2026,顺义,二模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,世界经济发展的重要推动者,1.000,希望农场等项目推进普惠包容的经济全球化,0.003,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/细则/26顺义二模评标.doc,,结合材料，运用《当代国际政治与经济》知识，谈谈对“今天的中国，明天的世界”的理解。,8分；可从共商共建共享、新型国际关系、独立自主的外交政策、世界经济发展的重要推动者、中国智慧的生动实践、让经济全球化更有活力等角度作答，按等级描述给分。,中国坚持对外开放和互利共赢开放战略，通过微电网、打井工程、物流网络、希望农场等项目推进普惠包容的经济全球化，让世界经济发展更有活力。
53,2026门头沟一模Q20,经济全球化,总：开放包容普惠平衡共赢方向,推动建设开放型世界经济，深化国际分工与合作,2026,门头沟,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,为世界经济开放发展注入新活力,1.000,,0.000,为世界开放发展注入新活力,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港全岛封关为何能为中国经济发展注入新动能、为世界经济开放发展注入新活力。,,海南自贸港全岛封关通过保税维修、加工增值和通关便利化深化国际分工与合作，推动建设开放型世界经济，为世界开放发展注入新活力。
54,2025西城二模Q19(2),经济全球化,总：开放包容普惠平衡共赢方向,推进普惠包容的经济全球化,2025,西城,二模,19,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,建设开放型世界经济,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，说明这一做法中的中国担当。,,中国对最不发达国家给予 100% 税目产品零关税待遇，推进普惠包容的经济全球化，建设开放型世界经济，促进贸易自由化，以实际行动促进共同发展、维护持久和平。
55,2025西城二模Q19(2),经济全球化,总：开放包容普惠平衡共赢方向,建设开放型世界经济,2025,西城,二模,19,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,推动建设开放型世界经济,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，说明这一做法中的中国担当。,,中国向最不发达国家开放市场，推动建设开放型世界经济，有利于促进贸易自由化和共同发展。
56,2026朝阳期末Q20,经济全球化,总：开放包容普惠平衡共赢方向,建设开放型世界经济，扩大开放合作,2026,朝阳,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OCR_OK,True,True,True,分析中国特色大国外交为什么要更有作为,1.000,我国国家利益四个角度各2分,0.006,高质量共建“一带一路”,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,中国坚持高水平对外开放、高质量共建“一带一路”，有利于建设开放型世界经济，促进开放合作、互利共赢和世界经济共同繁荣。
57,2026西城二模Q19(2),经济全球化,总：开放包容普惠平衡共赢方向,坚持开放合作和包容普惠,2026,西城,二模,19,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OCR_OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,助力弥合全球数字鸿沟,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,,结合材料，运用《当代国际政治与经济》知识，为释放数据价值、繁荣数字经济提2条建议，并说明理由。,,各国应坚持开放合作和包容普惠，助力弥合全球数字鸿沟、释放数据价值、繁荣数字经济，让更多国家共享数字经济发展成果。
58,2024朝阳期中Q20(3),经济全球化,开：高水平对外开放,提高开放型经济水平,2024,朝阳,期中,20,3,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,2,3,0,OK,OK,True,True,False,以“数字驱动 商通全球”为主题撰写一篇短评,0.003,,0.000,我国办好全球数字贸易博览会,0.001,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf || /Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx || /Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx || /Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/细则.rtf,,结合材料，运用《当代国际政治与经济》知识，以“数字驱动 商通全球”为主题撰写一篇短评。,,我国办好全球数字贸易博览会，促进数字产品贸易、国际投资合作和商贸联通，有利于建设高层次开放型经济。
59,2026东城一模Q19(3),经济全球化,开：高水平对外开放,发展更高层次开放型经济并稳步扩大制度型开放,2026,东城,一模,19,3,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,2,10,0,OCR_OK;OK,OCR_OK;OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,开展国际科创交流合作,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/补充材料/2026东城一模 原卷扫描版.pdf || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/16.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/17.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/18+选择7、13.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（1）.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（2）.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（3）.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（4）.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/20.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/细则.pdf || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/补充材料/26东城一模细则.pdf,,结合材料二，运用《当代国际政治与经济》知识，分析在推动未来产业中，北京是如何统筹高水平对外开放与提升产业链韧性之间关系的。（8分）,,北京坚持引进来与走出去相结合，举办世界级产业大会、设立国际科创枢纽联络处、研判全球产业链趋势，开展国际科创交流合作，发展更高层次开放型经济并稳步扩大制度型开放，为未来产业集聚全球创新资源。
60,2026朝阳一模Q20,经济全球化,开：高水平对外开放,中国扩大高水平对外开放与制度型开放,2026,朝阳,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,阐述中国为什么能为全球发展注入稳定性和正能量,1.000,,0.000,中国坚定不移扩大高水平对外开放,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》的知识，阐述中国为什么能为全球发展注入稳定性和正能量。,,中国坚定不移扩大高水平对外开放，通过自贸协定和免签便利增强与世界的经贸、人文和要素联通。
61,2026东城一模Q19(3),经济全球化,开：高水平对外开放,中国扩大高水平对外开放与制度型开放,2026,东城,一模,19,3,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,2,10,0,OCR_OK;OK,OCR_OK;OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,为高水平对外开放筑牢安全屏障,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/补充材料/2026东城一模 原卷扫描版.pdf || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/16.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/17.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/18+选择7、13.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（1）.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（2）.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（3）.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（4）.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/20.pptx || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/细则.pdf || /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/补充材料/26东城一模细则.pdf,,结合材料二，运用《当代国际政治与经济》知识，分析在推动未来产业中，北京是如何统筹高水平对外开放与提升产业链韧性之间关系的。（8分）,,北京通过龙头企业联合上下游和科研机构共建研发中心、强链补链，增强产业链稳定性与竞争力，为高水平对外开放筑牢安全屏障。
62,2025丰台一模Q20,经济全球化,开：高水平对外开放,中国扩大高水平对外开放与制度型开放,2025,丰台,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,说明北京“两区”建设的举措是如何助力开放型经济迈上新台阶的,0.007,,0.000,助力开放型经济迈上新台阶,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,,结合材料，运用《经济与社会》《当代国际政治与经济》知识，说明北京“两区”建设的举措是如何助力开放型经济迈上新台阶的。,,"北京出台《北京市外商投资条例》、推出""北京市全球服务伙伴计划""，营造良好营商环境和法治环境，吸引外商投资，助力开放型经济迈上新台阶。"
63,2026房山一模Q19,经济全球化,开：高水平对外开放,中国扩大高水平对外开放与制度型开放,2026,房山,一模,19,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,投资和中国方案层面畅通国内国际两个市场两种资源联动,0.005,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港封关是如何助力国际循环的。,,海南自贸港通过“一线放开、二线管住、岛内自由”的制度安排推进制度型开放，在消费、生产、投资和中国方案层面畅通国内国际两个市场两种资源联动，助力国际循环。
64,2026门头沟一模Q20,经济全球化,开：高水平对外开放,中国扩大高水平对外开放与制度型开放,2026,门头沟,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,为世界经济开放发展注入新活力,1.000,,0.000,为世界提供更大市场空间,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港全岛封关为何能为中国经济发展注入新动能、为世界经济开放发展注入新活力。,,海南自贸港全岛封关扩大市场准入、提高货物贸易开放度，以制度型开放为全球提供高水平开放新范例，为世界提供更大市场空间。
65,2026通州期末Q21,经济全球化,开：高水平对外开放,中国扩大高水平对外开放与制度型开放,2026,通州,期末,21,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,阐释我国是如何为中国式现代化建设谱写宏伟篇章的,1.000,,0.000,坚定不移推进高水平对外开放,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,,结合材料，综合运用所学，阐释我国是如何为中国式现代化建设谱写宏伟篇章的。,,我国通过中国—中亚峰会、“一带一路”国际合作高峰论坛、中非合作论坛、进博会、服贸会、消博会等开放平台，坚定不移推进高水平对外开放，以开放促进改革、促进发展，为中国式现代化拓展外部空间。
66,2026门头沟一模Q21,经济全球化,开：高水平对外开放,互利共赢的开放战略,2026,门头沟,一模,21,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,谈谈中国为何能为世界提供宝贵的确定性,1.000,,0.000,连续17年成为全球第二大进口市场,0.002,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,,结合材料，综合运用所学，谈谈中国为何能为世界提供宝贵的确定性。,,中国坚持互利共赢的开放战略，连续17年成为全球第二大进口市场，吸引跨国企业持续加码在华投资，在开放合作中同各国共享中国机遇，为世界经济稳定运行提供动力。
67,2024朝阳期中Q20(3),经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,2024,朝阳,期中,20,3,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,2,3,0,OK,OK,True,True,False,以“数字驱动 商通全球”为主题撰写一篇短评,0.003,,0.000,全球数字贸易博览会搭建交流合作平台,0.001,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf || /Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx || /Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx || /Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/细则.rtf,,结合材料，运用《当代国际政治与经济》知识，以“数字驱动 商通全球”为主题撰写一篇短评。,,全球数字贸易博览会搭建交流合作平台，促进数字经济领域相互投资贸易，为各国企业创造机遇，使各国更好利用两个资源两个市场。
68,2026朝阳一模Q20,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,2026,朝阳,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,阐述中国为什么能为全球发展注入稳定性和正能量,1.000,,0.000,服务和生产要素在全球范围内流动,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》的知识，阐述中国为什么能为全球发展注入稳定性和正能量。,,中国不断释放超大规模市场潜力，统筹利用国内国际两个市场、两种资源，促进人才、商品、服务和生产要素在全球范围内流动。
69,2026房山一模Q19,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,2026,房山,一模,19,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,增强国内国际两个市场两种资源联动效应,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港封关是如何助力国际循环的。,,海南自贸港依托我国超大规模市场优势，以国内大循环吸引全球资源要素，增强国内国际两个市场两种资源联动效应，助力国际循环畅通。
70,2024海淀一模Q18(1)免签政策与高水平对外开放,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,2024,海淀,一模,18,1,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,充分利用国内国际两种资源,1.000,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx || /Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx,,结合材料，运用《当代国际政治与经济》知识，预测上述举措对服务高水平对外开放的积极影响。,,便利中外人员往来能够吸引商品、服务、技术、资金、劳务等全球资源要素自由流动，充分利用国内国际两种资源、两个市场，进一步提升我国对外开放水平。
71,2026门头沟一模Q20,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,2026,门头沟,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,为世界经济开放发展注入新活力,1.000,,0.000,培育开放型经济新优势,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港全岛封关为何能为中国经济发展注入新动能、为世界经济开放发展注入新活力。,,海南自贸港通过“一线”开放、岛内免税流通、加工增值和“二线”便利出岛，增强国内国际两个市场两种资源联动，培育开放型经济新优势。
72,2026海淀一模Q20中国标准走出国门撬动两个市场两种资源,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,2026,海淀,一模,20,,ISSUE_SCORE_LAYER_NOT_FOUND_AUTO,1,1,0,OCR_OK,OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,中国标准走出国门,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,中国标准走出国门，有利于更好利用国内国际两个市场、两种资源，推动中国与世界在技术、产业、规则上深度互动、共享发展。
73,2025昌平二模Q21稳外资举措激活两个市场两种资源,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,2025,昌平,二模,21,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,说明上述举措对我国建设更高水平的开放型经济具有什么重要意义,1.000,,0.000,扩大重点领域开放和完善涉外资服务等稳外资举措,0.002,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx,,结合材料，说明上述举措对我国建设更高水平的开放型经济具有什么重要意义。（8分）,,扩大重点领域开放和完善涉外资服务等稳外资举措，有利于我国充分利用国内国际两个市场两种资源，把全球资本、技术、人才与国内市场和产业紧密对接，提高开放型经济发展水平。
74,2026石景山二模Q18,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,2026,石景山,二模,18,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,分析中国与东盟经贸合作能够提质升级的原因,1.000,,0.000,中国与东盟经贸合作有利于双方充分利用两个市场,0.004,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/试卷/2026北京石景山高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/细则/石景山区高三政治第二次模拟考试答案评分细则(1).doc,,结合材料，运用《当代国际政治与经济》的知识，分析中国与东盟经贸合作能够提质升级的原因。,,中国与东盟经贸合作有利于双方充分利用两个市场、两种资源，促进经济转型升级和区域产业合作。
75,2024东城一模Q20,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,2024,东城,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,0,OCR_OK,OCR_OK;OK,True,True,False,运用经济的相关知识,1.000,,0.000,增强国内国际两个市场两种资源联动效应,1.000,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx || /Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,,结合材料，运用经济的相关知识，分析我国的上述措施如何通过构建新发展格局助力经济高质量发展。,,我国逐步放宽市场准入，依托我国超大市场优势，以国内大循环吸引全球资源要素，增强国内国际两个市场两种资源联动效应，提升贸易投资合作质量和水平。
76,2025西城一模Q18,经济全球化,兼：国内国际两种资源两个市场,内外联通畅通国内国际双循环，提升国际循环质量,2025,西城,一模,18,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,说明特色产业链如何利用国内外资源开拓海外市场,0.005,,0.000,与其他国家合作共赢,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx,,结合材料，运用《经济与社会》《当代国际政治与经济》知识，说明特色产业链如何利用国内外资源开拓海外市场。,,地区利用特色资源优势打造特色产业链，借助便捷交通和高水平物流体系内外联通，畅通国际国内双循环，与其他国家合作共赢，使经济发展的内生动力与国际循环质量不断提升。
77,2025西城期末Q20(2),经济全球化,新增：国际分工、企业出海与国际竞争新优势,加强技术创新、提高产品质量，增强竞争力,2025,西城,期末,20,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,也是中国电动汽车出口的主要目的地,1.000,,0.000,中国汽车企业应加强技术创新,0.002,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/细则/细则.pdf,,欧盟是中国整车出口的第一大市场，也是中国电动汽车出口的主要目的地。2024年10月，欧盟决定对从中国进口的纯电动汽车征收为期五年的高额反补贴税。中国汽车企业该如何应对？（6分）,,中国汽车企业应加强技术创新、提高产品质量，增强国际竞争力，以更强产品优势应对欧盟反补贴税等外部贸易壁垒。
78,2025西城期末Q20(2),经济全球化,新增：国际分工、企业出海与国际竞争新优势,实施出口市场多元化战略，减少对单一市场的依赖,2025,西城,期末,20,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,也是中国电动汽车出口的主要目的地,1.000,,0.000,减少对单一市场的依赖,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/细则/细则.pdf,,欧盟是中国整车出口的第一大市场，也是中国电动汽车出口的主要目的地。2024年10月，欧盟决定对从中国进口的纯电动汽车征收为期五年的高额反补贴税。中国汽车企业该如何应对？（6分）,,中国汽车企业应实施出口市场多元化战略，开拓更多海外市场并深耕国内需求，减少对单一市场的依赖，分散贸易摩擦风险。
79,2025海淀期中Q16(2),经济全球化,新增：全球经济治理与规则权益,参与全球经济治理和规则制定，为企业出海营造国际环境,2025,海淀,期中,16,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,1,OK,OK,True,True,True,为中国咖啡企业“出海”提出建议,1.000,,0.000,积极参与全球经济治理和规则制定,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,结合材料三，从经济角度，为中国咖啡企业“出海”提出建议。,,企业和政府可利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为中国咖啡企业“出海”营造良好的国际环境。
