diagnosis_id,layer,question_id,target,check_item,status,failure_reason,file_position,repair_suggestion,severity
DIAG_0059,B_question_run,CC0364_2026_通州_期中_19_1,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:51,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
DIAG_0060,B_question_run,CC0305_2026_海淀_一模_18_3,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:52,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0061,B_question_run,CC0373_2026_顺义_一模_18,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:53,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0062,B_question_run,CC0380_2026_顺义_二模_18_2,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,FAIL,ask_trigger_missing_or_unrecovered；generic_minimum_judgment；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path；open_or_reference_must_not_core,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:54,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P0
DIAG_0063,C_sentence_bank,,full_score_sentence_bank,是否只是摘答案/节点模板,FAIL,现有句库只有 12 行节点模板，不是逐条可背可替换的满分句；字段是 node_class/supporting ids/usage_condition，不是材料信号/设问类型/必写关键词/禁止场景。,12_final_baodian/full_score_sentence_bank.csv:1-13,重写为每条句子一行：适用材料信号、适用设问类型、句式模板、关键词、必须带入材料、禁止乱用、推荐考场版本。,P0
DIAG_0064,C_sentence_bank,,full_score_sentence_bank,是否有使用条件和材料触发,PARTIAL,有 usage_condition 和 do_not_use_when，但多为工程化长句，含 GPT/Claude 风险说明，不适合学生背诵。,12_final_baodian/full_score_sentence_bank.csv:3-12,学生句库只保留短触发和短禁用；模型审稿语移入教师证据版。,P1
DIAG_0065,C_sentence_bank,,full_score_sentence_bank,是否有空泛价值套话/法考化风险,PARTIAL,风险有记录，但句库本身仍有“意义收束三层”等容易诱导套话；私法案例四链又容易诱导法考构成要件。,"12_final_baodian/full_score_sentence_bank.csv:6,12",每条句子强制绑定“本案材料事实”，并给“空写版本/推荐版本”对照。,P1
DIAG_0066,D_evidence_boundary,,open_reference_policy,OPEN_OR_REFERENCE 是否单独支撑核心节点,PASS,句库 core_node 支撑题中未发现 QUESTION_COVERAGE_MATRIX 标记为 OPEN_OR_REFERENCE 的题；OPEN/边界节点单列存在。,QUESTION_COVERAGE_MATRIX.csv; full_score_sentence_bank.csv,v8 继续保持：OPEN_OR_REFERENCE 只放边界与参考运行，不支撑学生核心节点。,P0
DIAG_0067,D_evidence_boundary,,pending_policy,pending case 是否回流,PASS,当前指定正文/侧栏文件未检出 CC0094、CC0259、CC0118；旧备份表中有这些记录但不属于当前正文。,current core files scan,v8 打包和宝典正文禁止读取/复制 pre_boundary 备份内容；pending 只进风险章。,P0
DIAG_0068,D_evidence_boundary,,removed_policy,CC0250 是否回流,PASS,当前指定正文/侧栏文件未检出已剔除 CC0250。,current core files scan,v8 继续禁止 CC0250；只在边界说明写“已剔除”。,P0
DIAG_0069,D_evidence_boundary,,cc0229_bad_words,CC0229 旧坏词是否回流,PASS,当前指定文件未检出“逃逸粒子/创新资源集聚/空间布局精准/全链条产业生态”。,current core files scan,v8 生成后再次全量扫描这些坏词。,P0
DIAG_0070,D_evidence_boundary,,student_evidence_language,证据等级是否在学生版中过度干扰,FAIL,学生正文出现 reference_only、Status、Validation Position、corpus/evidence 等工程词，混淆学生版和教师版。,"12_final_baodian/选必二法律主观题满分宝典.md:9-20,179-255",v8 分三层：学生版不出现证据编号/状态词；教师版保留 question_id/material_atom_id/rubric_atom_id。,P0
DIAG_0071,D_evidence_boundary,,teacher_evidence,教师版是否保留足够证据,PASS,当前教师/侧栏文件保留 coverage matrix、rubric ids、material atoms，可作为 v8 教师版证据源。,QUESTION_COVERAGE_MATRIX.csv; boundary_patched_20260519/*.csv,教师版按节点重构证据，不直接复制工程报告。,P1
DIAG_0072,E_student_usability,,student_only_framework,人身权/知识产权题,PARTIAL,能从私法案例/知识产权节点找到大方向，但学生只看一页框架不能稳定判断先表态还是先说权利保护对象。,12_final_baodian/选必二法律主观题满分宝典.md:22-31; full_score_sentence_bank.csv,v8 学生框架必须可独立推出答案；学生测试只看学生版，不看逐题答案。增加“先判保护对象/侵害行为/责任结果”节点和 2 道金样板。,P1
DIAG_0073,E_student_usability,,student_only_framework,合同/侵权题,PARTIAL,有私法案例四链，但合同成立、违约责任、侵权责任、产品责任在学生层不够分开，易写成混账。,12_final_baodian/选必二法律主观题满分宝典.md:22-31; full_score_sentence_bank.csv,v8 学生框架必须可独立推出答案；学生测试只看学生版，不看逐题答案。用金样板拆成“合同链”和“侵权责任链”，每链给第一句。,P1
DIAG_0074,E_student_usability,,student_only_framework,劳动/就业题,FAIL,学生版没有专门告诉学生劳动题先判劳动关系/从属性/就业歧视/竞业限制，劳动题会被塞进私法案例四链。,12_final_baodian/选必二法律主观题满分宝典.md:22-31; full_score_sentence_bank.csv,v8 学生框架必须可独立推出答案；学生测试只看学生版，不看逐题答案。设劳动就业小动作：先判劳动者身份/用工关系/权利限制是否合法。,P0
DIAG_0075,E_student_usability,,student_only_framework,纠纷解决题,PARTIAL,有程序救济和调解/公益诉讼节点，但学生不知道什么时候写调解、仲裁、诉讼、司法确认。,12_final_baodian/选必二法律主观题满分宝典.md:22-31; full_score_sentence_bank.csv,v8 学生框架必须可独立推出答案；学生测试只看学生版，不看逐题答案。建立“路径题先写请求-证据-路径”并用诉讼调解金样板示范。,P1
DIAG_0076,E_student_usability,,student_only_framework,制度意义题,FAIL,意义收束目前容易变成“维护公平正义/法治中国”，缺“本案规则推出价值”的学生动作。,12_final_baodian/选必二法律主观题满分宝典.md:22-31; full_score_sentence_bank.csv,v8 学生框架必须可独立推出答案；学生测试只看学生版，不看逐题答案。价值节点改成：规则保护谁 -> 解决什么冲突 -> 形成什么秩序，禁止裸写必修三。,P0
DIAG_0077,E_student_usability,,student_only_framework,避免必修三化,PARTIAL,风险提示存在，但学生版仍出现核心价值观、公平正义等收束，缺少“先法律后价值”的硬句式。,12_final_baodian/选必二法律主观题满分宝典.md:22-31; full_score_sentence_bank.csv,v8 学生框架必须可独立推出答案；学生测试只看学生版，不看逐题答案。每条价值句必须先带具体法律规则和材料事实。,P1
DIAG_0078,E_student_usability,,student_only_framework,避免法考化,PARTIAL,风险提示存在，但“私法案例四链”容易诱导构成要件清单；缺高中版限度。,12_final_baodian/选必二法律主观题满分宝典.md:22-31; full_score_sentence_bank.csv,v8 学生框架必须可独立推出答案；学生测试只看学生版，不看逐题答案。将法考式构成要件改成高中三问：谁的权利/谁的行为/承担什么后果。,P1
