p_index	style	heading_level	h1	h2	h3	h4	text
187	Heading3	3	二、辩证思维	整体性	6. 2025西城一模 第17题（主观题）		6. 2025西城一模 第17题（主观题）
188			二、辩证思维	整体性	6. 2025西城一模 第17题（主观题）		【材料触发点】  温榆生态心把清河、温榆河交汇处的水流形态、鱼虫水鸟栖息、河心岛、深潭浅滩、粮田保留和核心区封闭放在同一生态恢复工程中规划。
189			二、辩证思维	整体性	6. 2025西城一模 第17题（主观题）		【设问】  结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）
190			二、辩证思维	整体性	6. 2025西城一模 第17题（主观题）		【为什么能想到】  先看材料动作：温榆生态心把清河与温榆河交汇形成的水系、生物栖息空间、河心岛、深潭浅滩、粮田保留和核心区封闭放在同一个生态恢复工程中，而这些要素彼此影响、相互支撑。由此才能推出整体性：不是多个景观简单并列，而是水、田、生物、荒野空间和人为干预边界共同形成生态功能。
191			二、辩证思维	整体性	6. 2025西城一模 第17题（主观题）		【答案落点】  温榆生态心建设坚持辩证思维的整体性，把清河与温榆河交汇形成的水系、生物栖息空间、河心岛、深潭浅滩、粮田保留和核心区封闭作为相互联系的整体来规划，使水、田、鸟兽、荒野空间和人为干预边界共同服务生态恢复，形成更稳定的生态系统和良好生态环境。
192			二、辩证思维	整体性	6. 2025西城一模 第17题（主观题）		【同题说明】  本题7分，细则要求客观性／整体性／三新三维度（各约3分、至少一点深入才6—7分）；本条只训练其一，须三维度合答方得满分。
193	Heading3	3	二、辩证思维	整体性	8. 2026通州一模 第17题第（2）问（主观题）		8. 2026通州一模 第17题第（2）问（主观题）
194			二、辩证思维	整体性	8. 2026通州一模 第17题第（2）问（主观题）		【材料触发点】  材料一写人工智能融入生活消费、赋能产业升级；材料二写人工智能快速发展中面临数据质量与隐私保护、监管滞后与规则缺失、就业结构冲击等挑战，并要求结合材料一和材料二看待“应用与发展”。
195			二、辩证思维	整体性	8. 2026通州一模 第17题第（2）问（主观题）		【设问】  （2）结合材料一和材料二，运用《逻辑与思维》知识，谈谈如何运用辩证思维看待人工智能的应用与发展。（6分）
196			二、辩证思维	整体性	8. 2026通州一模 第17题第（2）问（主观题）		【为什么能想到】  整体性看的是对象内部各要素、各环节之间的相互依存。人工智能的生活应用、产业升级、技术创新、伦理规范、法律治理和就业影响不是彼此孤立的：应用扩大可能放大隐私和就业问题，规则完善又会影响技术应用的边界，产业升级也需要治理和人才转型配套。看到这些要素互相牵动，才触发整体性。
197			二、辩证思维	整体性	8. 2026通州一模 第17题第（2）问（主观题）		【答案落点】  看待人工智能应用与发展，要坚持整体性，把生活消费、产业升级、技术创新、伦理规范、法律治理和就业影响作为相互依存、相互制约的整体来统筹；既发挥 AI 便利生活、赋能产业的作用，又同步完善规则、保护隐私、促进就业转型，使应用、发展和治理协同推进。
198			二、辩证思维	整体性	8. 2026通州一模 第17题第（2）问（主观题）		【同题说明】  本题6分，细则2+2+2三采分点：①整体性或动态性②分析与综合或矛盾／对立统一③适度原则（辩证否定亦在可选范围）；每点组内择一、三点合答共6分；本条只训练其一，单条不等于满分答案。
199	Heading3	3	二、辩证思维	整体性	9. 2026丰台期末 第20题（主观题）		9. 2026丰台期末 第20题（主观题）
200			二、辩证思维	整体性	9. 2026丰台期末 第20题（主观题）		【材料触发点】  青海不是孤立处理某一片沙地，而是把种质资源、草方格、阻沙网、灌丛与草地交替栽植、灌木草本乔木多层防护体系等要素联系起来，形成稳定高效的防护体系。
201			二、辩证思维	整体性	9. 2026丰台期末 第20题（主观题）		【设问】  结合材料，运用《逻辑与思维》知识，分析青海的防沙治沙之路蕴含的科学思维。（8分）
202			二、辩证思维	整体性	9. 2026丰台期末 第20题（主观题）		【答题提醒】  本题中的“科学思维”是宽口径表达，可从科学、辩证、创新三类思维方法中择取与材料最贴合的角度作答。
203			二、辩证思维	整体性	9. 2026丰台期末 第20题（主观题）		【为什么能想到】  整体性看对象内部各要素之间的联系。防沙治沙不是单点种树，而是把种源、地形、气候、草灌乔结构和人与自然关系放进一个生态治理整体中考察；看到“多层防护体系、稳定高效防护体系”，就要想到整体性。
204			二、辩证思维	整体性	9. 2026丰台期末 第20题（主观题）		【答案落点】  青海防沙治沙坚持辩证思维的整体性，把防沙治沙放到生态系统和人与自然关系的整体中考察，统筹种质支撑、因地制宜治理和多层防护体系建设，使各环节相互配合，形成整体治理效能。
205			二、辩证思维	整体性	9. 2026丰台期末 第20题（主观题）		【同题说明】  本题8分（“科学思维”为宽口径统称），分三大方向：科学思维2分、辩证思维2分（整体性／分析综合／矛盾分析法共用此2分池、择一或组合不叠加）、创新思维4分（发散聚合／联想／超前任选2角度各2分）；本条只训练其一，须按组分配合答方得满分。
206	Heading2	2	二、辩证思维	动态性			动态性
207	Heading3	3	二、辩证思维	动态性	1. 2025海淀二模 第20题（主观题）		1. 2025海淀二模 第20题（主观题）
208			二、辩证思维	动态性	1. 2025海淀二模 第20题（主观题）		【材料触发点】  材料把共享发展写成“渐进共享”：一口吃不成胖子，必然有一个从低级到高级、从不均衡到均衡的过程；即使达到很高水平也会有差别，说明共同富裕要在发展阶段变化中推进。
209			二、辩证思维	动态性	1. 2025海淀二模 第20题（主观题）		【设问】  结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）
210			二、辩证思维	动态性	1. 2025海淀二模 第20题（主观题）		【为什么能想到】  动态性强调用变化发展的观点看问题。材料中的“渐进共享”“从低级到高级”“从不均衡到均衡”说明共同富裕不是一次完成的静态状态，而是在发展阶段变化中不断推进、不断调整、不断提高的过程。这里不能把共同富裕理解为固定终点，而应理解为随共享主体、共享领域、权益保障和共建参与不断发展的过程。
211			二、辩证思维	动态性	1. 2025海淀二模 第20题（主观题）		【答案落点】  推进共同富裕要坚持动态性，看到它不是一次完成的静态结果，而是随共享主体扩大、共享领域拓展、合法权益保障和共建参与不断推进的渐进过程，会经历由低到高、由不均衡到均衡的变化；应根据不同发展阶段不断推进全民共享、全面共享、共建共享和渐进共享，使共享水平在发展中持续提升。
212			二、辩证思维	动态性	1. 2025海淀二模 第20题（主观题）		【同题说明】  本题6分，细则三组各2分：整体性与分析与综合同组，动态性与量变质变同组，辩证否定为第三组；同组择一计分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。
213	Heading3	3	二、辩证思维	动态性	2. 2024朝阳二模 第19题第（1）问（主观题）		2. 2024朝阳二模 第19题第（1）问（主观题）
214			二、辩证思维	动态性	2. 2024朝阳二模 第19题第（1）问（主观题）		【材料触发点】  生生之宇宙观把宇宙理解为生生不息、日新不已的变化过程，强调万物在变易、革新、成长和展开中存在；人效法天地之德，也是在这种不断生成变化的宇宙图景中理解人的行为方向，而不是把世界看成静止不变的存在状态。
215			二、辩证思维	动态性	2. 2024朝阳二模 第19题第（1）问（主观题）		【白话提示】  “生生之宇宙观”强调宇宙生生不息、日新不已，万物处在不断生成、变化和展开的过程中；答动态性时抓“变化过程、持续生成、发展展开”，不要误套其他诗句。
216			二、辩证思维	动态性	2. 2024朝阳二模 第19题第（1）问（主观题）		【设问】  （1）生生之宇宙观体现了辩证思维的 ① 特征。人效法天地之德体现的推理类型是 ② 推理。（4分）
217			二、辩证思维	动态性	2. 2024朝阳二模 第19题第（1）问（主观题）		【为什么能想到】  材料连续出现“生生不息、日新、变易、革新、成长、展开”，说明宇宙不是静止对象，而是在持续生成、变化和发展过程中被把握。设问问“辩证思维的①特征”，不是泛写联系整体，也不是写创新方法，而是对应动态性：用变化、发展、过程的眼光看对象。
218			二、辩证思维	动态性	2. 2024朝阳二模 第19题第（1）问（主观题）		【答案落点】  生生之宇宙观把宇宙理解为不断生成、变化、更新和展开的过程，说明事物总在运动变化中存在和发展。认识和处理问题时不能把对象看成静止不变的状态，而应从其发生、发展和转化过程中把握趋势与方向，用变化发展的眼光分析问题、指导行动，体现辩证思维的动态性。
219	Heading3	3	二、辩证思维	动态性	3. 2026通州一模 第17题第（2）问（主观题）		3. 2026通州一模 第17题第（2）问（主观题）
220			二、辩证思维	动态性	3. 2026通州一模 第17题第（2）问（主观题）		【材料触发点】  材料把人工智能定位为引领新一轮科技革命和产业变革的战略性技术，写出其正在改变生产生活方式，同时指出其健康发展仍需在技术创新、伦理规范与法律治理之间寻求动态平衡。
221			二、辩证思维	动态性	3. 2026通州一模 第17题第（2）问（主观题）		【设问】  （2）结合材料一和材料二，运用《逻辑与思维》知识，谈谈如何运用辩证思维看待人工智能的应用与发展。（6分）
222			二、辩证思维	动态性	3. 2026通州一模 第17题第（2）问（主观题）		【为什么能想到】  动态性看的是发展过程和趋势。材料把 AI 写成正在快速扩展应用、不断生成新场景和新问题的技术过程，而不是一个已经定型的工具；因此要从“发展中出现问题—治理中继续完善”的过程来判断，重点是变化发展和动态调适，不是简单列积极与消极两面。
223			二、辩证思维	动态性	3. 2026通州一模 第17题第（2）问（主观题）		【答案落点】  看待人工智能，要坚持辩证思维的动态性，把它理解为在技术创新、应用拓展、伦理规范和法律治理中不断发展完善的过程；应根据应用场景扩大、风险暴露和治理规则变化持续调整认识和措施，推动 AI 在规范治理中健康发展。
224			二、辩证思维	动态性	3. 2026通州一模 第17题第（2）问（主观题）		【同题说明】  本题6分，细则2+2+2三采分点：①整体性或动态性②分析与综合或矛盾／对立统一③适度原则（辩证否定亦在可选范围）；每点组内择一、三点合答共6分；本条只训练其一，单条不等于满分答案。
225	Heading3	3	二、辩证思维	动态性	4. 2026西城期末 第21题（综合迁移题）		4. 2026西城期末 第21题（综合迁移题）
226			二、辩证思维	动态性	4. 2026西城期末 第21题（综合迁移题）		【材料触发点】  五年规划不是一次性定稿后机械执行，而是在党的集中统一领导下，根据发展过程中出现的新问题、新趋势、新机遇，不断优化规划内容与实施路径，使规划与发展形成良性互动。
227			二、辩证思维	动态性	4. 2026西城期末 第21题（综合迁移题）		【设问】  “科学制定和接续实施五年规划，是我们党治国理政一条重要经验，也是中国特色社会主义一个重要政治优势。”结合材料，综合运用所学，谈谈你对这句话的理解。（10分）
228			二、辩证思维	动态性	4. 2026西城期末 第21题（综合迁移题）		【为什么能想到】  这不是一道专门的《逻辑与思维》设问，不能把全题硬改成选必三题。但评分要求在一个作答角度中明确写到“科学思维方法”，并括注“辩证思维动态性”。学生可把材料里的“根据新问题、新趋势、新机遇不断优化”理解为动态性：事物处在发展过程中，正确认识和治理方案也要随实践变化不断调整完善。
229			二、辩证思维	动态性	4. 2026西城期末 第21题（综合迁移题）		【答案落点】  作为综合题迁移角度，可写：科学制定和接续实施五年规划体现辩证思维的动态性，既坚持国家中长期发展目标的连续性，又根据实践中的新问题、新趋势和新机遇优化规划内容与实施路径，使规划同经济社会发展过程形成良性互动，推动国家发展目标逐步实现。
230	Heading3	3	二、辩证思维	动态性	补充：2026房山一模 第18题第（1）问（动态性路径）		补充：2026房山一模 第18题第（1）问（动态性路径）
231			二、辩证思维	动态性	补充：2026房山一模 第18题第（1）问（动态性路径）		【材料触发点】  北京从曾经雾霾困扰到实现常态蓝天，不是一蹴而就，而是通过久久为功、持续治理、不断调整结构和精准施策逐步形成治理成效。
232			二、辩证思维	动态性	补充：2026房山一模 第18题第（1）问（动态性路径）		【设问】  （1）结合材料一，运用辩证思维方法，分析北京是如何通过科学治理实现“常态蓝天”的。（6分）
233			二、辩证思维	动态性	补充：2026房山一模 第18题第（1）问（动态性路径）		【为什么能想到】  动态性看的是治理过程。材料中的“久久为功”“持续改善”“常态蓝天”说明空气治理不是一次行动的静态结果，而是在长期结构调整、多污染物协同控制和精准治理中不断推进的过程。
234			二、辩证思维	动态性	补充：2026房山一模 第18题第（1）问（动态性路径）		【答案落点】  北京治理常态蓝天坚持动态性，用变化发展的眼光看空气质量改善过程，持续推进产业、能源、交通、用地结构调整和多污染物协同控制；根据治理进展和新问题不断优化措施，以长期积累推动空气质量由阶段改善走向常态稳定。
235			二、辩证思维	动态性	补充：2026房山一模 第18题第（1）问（动态性路径）		【同题说明】  本题6分，整体性、矛盾分析法、动态性为可选路径，作答时按细则择路径组织，不是三条分别累加。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。
236	Heading3	3	二、辩证思维	动态性	补充：2026朝阳期中(2025-11) 第20题（动态性路径）		补充：2026朝阳期中(2025-11) 第20题（动态性路径）
237			二、辩证思维	动态性	补充：2026朝阳期中(2025-11) 第20题（动态性路径）		【材料触发点】  新征程中的机遇与挑战会随科技革命、国际环境、产业基础和国内发展阶段变化而变化，需要在发展过程中不断调整判断和行动。
238			二、辩证思维	动态性	补充：2026朝阳期中(2025-11) 第20题（动态性路径）		【设问】  结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的“机遇”与“挑战”。（8分）
239			二、辩证思维	动态性	补充：2026朝阳期中(2025-11) 第20题（动态性路径）		【为什么能想到】  动态性要求从发展过程看问题。机遇与挑战不是固定不变的清单，而会随外部环境、科技变革和自身能力提升而转化；作答时要写出在变化中识别趋势、调整策略、把握主动。
240			二、辩证思维	动态性	补充：2026朝阳期中(2025-11) 第20题（动态性路径）		【答案落点】  面对新征程机遇与挑战，要坚持动态性，用变化发展的眼光把握国内外环境和科技产业趋势，根据实践中的新情况、新问题不断调整战略和政策；在动态应对中把握发展主动权，推动现代化建设不断向前。
241			二、辩证思维	动态性	补充：2026朝阳期中(2025-11) 第20题（动态性路径）		【同题说明】  本题8分；细则列矛盾分析法、分析与综合（可换整体性）、量变质变、动态性四角度，选三角度各2分共6分，另有条理2分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。
242	Heading2	2	二、辩证思维	分析与综合			分析与综合
243	Heading3	3	二、辩证思维	分析与综合	1. 2025海淀二模 第20题（主观题）		1. 2025海淀二模 第20题（主观题）
244			二、辩证思维	分析与综合	1. 2025海淀二模 第20题（主观题）		【材料触发点】  共享被拆成全民共享、全面共享、共建共享和渐进共享等层次，分别涉及共享主体、建设领域、合法权益、人人参与和推进过程；这些层次又共同指向全体人民共同富裕的整体格局。
245			二、辩证思维	分析与综合	1. 2025海淀二模 第20题（主观题）		【设问】  结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）
246			二、辩证思维	分析与综合	1. 2025海淀二模 第20题（主观题）		【为什么能想到】  分析与综合要求先把对象拆成相互联系的方面，再合成统一整体。材料不是泛泛说共享，而是把“谁共享、共享什么、怎样保障、谁来共建、怎样渐进推进”拆成全民共享、全面共享、共建共享、渐进共享等层次；每个层次解决的问题不同，但都共同服务共同富裕这一总目标。看到材料既有分层展开，又有共同指向，就应想到先分析各方面要求，再综合成共享发展的整体方案。
247			二、辩证思维	分析与综合	1. 2025海淀二模 第20题（主观题）		【答案落点】  推进共同富裕应运用分析与综合，先分别分析全民共享、全面共享、共建共享和渐进共享在共享主体、共享领域、合法权益、人人参与和推进过程上的不同要求，弄清各层次解决什么问题；再把这些要求综合为相互衔接的共享发展格局，使发展成果不是由某一群体单向获得，而是在全体人民共建共享、循序渐进中转化为共同富裕。
248			二、辩证思维	分析与综合	1. 2025海淀二模 第20题（主观题）		【同题说明】  本题6分，细则三组各2分：整体性与分析与综合同组，动态性与量变质变同组，辩证否定为第三组；同组择一计分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。
249	Heading3	3	二、辩证思维	分析与综合	2. 2024石景山一模 第19题第（3）问（主观题）		2. 2024石景山一模 第19题第（3）问（主观题）
250			二、辩证思维	分析与综合	2. 2024石景山一模 第19题第（3）问（主观题）		【材料触发点】  中国企业走出去后，不只是面对一个单一市场问题，而是在投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面同时遇到冲突和不适应；这些问题彼此关联，任何一个环节处理不好都会影响整体经营。
251			二、辩证思维	分析与综合	2. 2024石景山一模 第19题第（3）问（主观题）		【设问】  （3）中国企业在“走出去”的过程中，还缺乏相应经验，在适应投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面还存在一定的冲突和问题。运用《逻辑与思维》知识，任用一种辩证思维方法，针对上述问题提出合理建议。（4分）
252			二、辩证思维	分析与综合	2. 2024石景山一模 第19题第（3）问（主观题）		【为什么能想到】  材料把企业“走出去”的困难列成法律制度、技术标准、市场营销、人员管理、当地文化等多个方面，这就不能用一个笼统办法处理。先逐项识别不同冲突，触发分析；再把法律合规、技术适配、营销本土化、人员管理和文化沟通合成一套海外经营方案，触发综合。解题关键是看出“拆开看差异、合起来成方案”的分析与综合链条。
253			二、辩证思维	分析与综合	2. 2024石景山一模 第19题第（3）问（主观题）		【答案落点】  企业应运用分析与综合的方法，分别分析投资国法律制度、技术标准、市场营销、人员管理和当地文化等差异，明确各环节可能带来的经营风险和适应要求；再把合规建设、技术调整、营销策略、管理方式和文化沟通综合起来，形成适合当地条件的本土化经营方案。
254			二、辩证思维	分析与综合	2. 2024石景山一模 第19题第（3）问（主观题）		【同题说明】  本题4分，开放“任用一种辩证思维方法”提建议；“分析与综合”与“辩证否定观”为同等可选路径，选一种充分展开即可，不必都答。
255			二、辩证思维	分析与综合	2. 2024石景山一模 第19题第（3）问（主观题）		【答题提醒】  本题设问允许任用一种辩证思维方法，除分析与综合外，也可从辩证否定观作答：企业既不能全盘照搬国内经验，也不能否定自身优势，应在保留优势的基础上克服与投资国制度、文化、市场不适配之处。
256	Heading3	3	二、辩证思维	分析与综合	3. 2024海淀一模 第17题第（2）问（主观题）		3. 2024海淀一模 第17题第（2）问（主观题）
257			二、辩证思维	分析与综合	3. 2024海淀一模 第17题第（2）问（主观题）		【材料触发点】  京津冀三地分别承担北京非首都功能疏解、天津服务新两翼建设、河北承接创新资源和产业协作等不同功能，同时通过规划、政策、交通、产业、生态、创新等协同联动共同书写高质量发展新篇章。
258			二、辩证思维	分析与综合	3. 2024海淀一模 第17题第（2）问（主观题）		【设问】  结合材料二，运用分析与综合的思维方法，说明京津冀协同发展是如何书写新篇章的。（6分）
259			二、辩证思维	分析与综合	3. 2024海淀一模 第17题第（2）问（主观题）		【为什么能想到】  材料先把北京、天津、河北三地的功能定位分开写：北京疏解非首都功能，天津服务新两翼建设，河北承接创新资源和产业协作，这一步是在拆要素、明差异，触发分析。随后又写规划、政策、交通、产业、生态、创新等协同联动，说明三地不是各干各的，而是在区域整体中优势互补，触发综合。分析与综合的入口很清楚，答案要从“分清各自特质”推进到“服务协同发展整体大局”。
260			二、辩证思维	分析与综合	3. 2024海淀一模 第17题第（2）问（主观题）		【答案落点】  京津冀三省市应从协同发展的战略大局出发，先科学分析各自功能定位、资源禀赋、产业基础和特色优势，明确各自在区域发展中的作用；再在分析基础上综合把握区域差异和共同需求，通过共商合作大计、推动优势互补和协同联动，把各自发展特质统一到京津冀协同发展整体格局中，服务区域高质量发展。
261	Heading3	3	二、辩证思维	分析与综合	5. 2026海淀二模 第18题第（1）问（主观题）		5. 2026海淀二模 第18题第（1）问（主观题）
262			二、辩证思维	分析与综合	5. 2026海淀二模 第18题第（1）问（主观题）		【材料触发点】  月季育种团队走访花农、批发商和电商，分别了解不同主体的需求偏好，再把调研结果整合为“要好看”“要好种”“耐储运”三条可操作育种指标。
263			二、辩证思维	分析与综合	5. 2026海淀二模 第18题第（1）问（主观题）		【设问】  （1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）
264			二、辩证思维	分析与综合	5. 2026海淀二模 第18题第（1）问（主观题）		【为什么能想到】  分析与综合的入口在需求转化。材料先分别走访花农、批发商和电商，说明不同主体对花色、种植、运输、销售有不同要求；再把这些差异需求整合成“好看、好种、耐储运”等育种指标。看到“分别调查—提炼指标—形成方案”的动作链，就应判断为先分析后综合。
265			二、辩证思维	分析与综合	5. 2026海淀二模 第18题第（1）问（主观题）		"【答案落点】  团队运用分析与综合，先分别分析花农、批发商和电商在观赏性、种植意愿、储运表现等方面的差异化需求，再综合形成""好看、好种、耐储运""的育种指标，形成对市场需求的整体性认识，使新品种选育能够回应不同主体的真实需求。"
266			二、辩证思维	分析与综合	5. 2026海淀二模 第18题第（1）问（主观题）		【同题说明】  本题6分（设问“运用《逻辑与思维》知识说明上述做法的合理性”），官方答案把分析与综合＋整体性＋联想思维＋科学思维客观性／可检验性熔于一段综合论证；本条只训练其一，须多角度合答方得满分。
267	Heading3	3	二、辩证思维	分析与综合	6. 2026石景山二模 第17题第（2）问（主观题）		6. 2026石景山二模 第17题第（2）问（主观题）
268			二、辩证思维	分析与综合	6. 2026石景山二模 第17题第（2）问（主观题）		【材料触发点】  养老立法最大难点是把长期以来多元参与的原则性表述，转化为主体明确、划分清晰的责任体系；材料列出政府保基本、市场供选择、社会补稳定、家庭为基础，并通过居家、社区、机构养老三类服务精准定位四方角色。
269			二、辩证思维	分析与综合	6. 2026石景山二模 第17题第（2）问（主观题）		【设问】  （2）结合材料二，运用《逻辑与思维》知识，分析如何以辩证思维方法应对养老立法的最大难点。（6分）
270			二、辩证思维	分析与综合	6. 2026石景山二模 第17题第（2）问（主观题）		【为什么能想到】  材料把养老立法难点写成从原则性表述走向可执行责任体系，先将政府、市场、社会、家庭四类主体及居家、社区、机构三类服务分开看，触发分析；但养老服务不能停在分工清单上，还应将基本保障、选择性供给、稳定补充和家庭基础统一到一个权责衔接的制度网络中，触发综合。破解这一难点的关键就是分析与综合的辩证运用：分清结构，再形成整体方案。
271			二、辩证思维	分析与综合	6. 2026石景山二模 第17题第（2）问（主观题）		【答案落点】  应运用分析与综合相结合的方法，先区分政府、市场、社会、家庭不同主体和居家、社区、机构养老不同服务功能，明确保基本、供选择、补稳定、尽亲情责任等不同定位；再把各方责任综合为权责清晰、衔接有序、服务互补的保障网络，使原则性表述转化为可执行的制度安排，在整体协调中破解养老立法难点。
272	Heading3	3	二、辩证思维	分析与综合	7. 2026海淀一模 第17题（建议部分）（主观题）		7. 2026海淀一模 第17题（建议部分）（主观题）
273			二、辩证思维	分析与综合	7. 2026海淀一模 第17题（建议部分）（主观题）		【材料触发点】  原调查问卷暴露出身份分类混杂、主要困难选项不完整等问题；改进调研不能只改一个选项，而要把观察、访谈、文献查阅、问卷调查和数据分析结合起来，从整体上找出影响城市无障碍通行体验的真实原因。
274			二、辩证思维	分析与综合	7. 2026海淀一模 第17题（建议部分）（主观题）		【图示信息】  题图信息显示，本题问卷的“身份”选项混用了年龄、身体状况、职业、关系等标准；“无障碍设施主要问题”选项没有保留“其他”出口。
275			二、辩证思维	分析与综合	7. 2026海淀一模 第17题（建议部分）（主观题）		【设问】  运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）
276			二、辩证思维	分析与综合	7. 2026海淀一模 第17题（建议部分）（主观题）		【为什么能想到】  材料中的问题不是单个选项改错就能解决，而是问卷设计、调查对象、资料来源和真实出行场景之间没有配合好。要提高调研科学性，就要先分别看不同群体、不同障碍、不同数据来源各自能说明什么，再把观察、访谈、文献查阅、问卷和数据分析合成能够互相验证的调研方案。这正是分析与综合的思维路径。
277			二、辩证思维	分析与综合	7. 2026海淀一模 第17题（建议部分）（主观题）		【答案落点】  提高调研科学性，应先分析出行群体差异、问卷选项缺陷、设施环境问题和数据来源局限，再综合运用观察、访谈、文献查阅、问卷调查和数据分析等方法进行交叉验证；用多种资料相互补充，形成更全面、更可靠的调研结论和改进建议。
278			二、辩证思维	分析与综合	7. 2026海淀一模 第17题（建议部分）（主观题）		【同题说明】  本题建议部分4分，共2条建议（每条“建议1分＋知识1分”），知识角度可选科学思维（客观性／可检验性）、辩证思维（分析综合／矛盾分析法）、创新思维（发散聚合）等；两条建议各选一种不同角度，本条只训练其一（另：前半问为形式逻辑考点，本条只训练建议部分）。
279	Heading3	3	二、辩证思维	分析与综合	8. 2026通州一模 第17题第（2）问（主观题）		8. 2026通州一模 第17题第（2）问（主观题）
280			二、辩证思维	分析与综合	8. 2026通州一模 第17题第（2）问（主观题）		【材料触发点】  材料一分别呈现 AI 点亮生活消费、激活产业升级；材料二列出数据质量与隐私保护、监管滞后、就业结构冲击等现实挑战，要求综合判断人工智能的应用与发展。
281			二、辩证思维	分析与综合	8. 2026通州一模 第17题第（2）问（主观题）		【设问】  （2）结合材料一和材料二，运用《逻辑与思维》知识，谈谈如何运用辩证思维看待人工智能的应用与发展。（6分）
282			二、辩证思维	分析与综合	8. 2026通州一模 第17题第（2）问（主观题）		【为什么能想到】  分析与综合的触发点不是“有很多内容”，而是先拆开不同方面的作用及限度，再合成判断。材料一可分析 AI 在消费、产业、低空经济等方面的应用价值；材料二可分析数据质量、隐私保护、监管滞后、就业冲击等约束；最后再综合为“发展与治理协同推进”的结论。
283			二、辩证思维	分析与综合	8. 2026通州一模 第17题第（2）问（主观题）		【答案落点】  坚持分析与综合相结合。既要分析 AI 在消费便利、产业升级、绿色转型、低空经济等方面的作用，也要分析隐私保护、规则供给、就业结构等风险；在此基础上综合形成应用与治理协同推进的思路，推动人工智能服务高质量发展。
284			二、辩证思维	分析与综合	8. 2026通州一模 第17题第（2）问（主观题）		【同题说明】  本题6分，细则2+2+2三采分点：①整体性或动态性②分析与综合或矛盾／对立统一③适度原则（辩证否定亦在可选范围）；每点组内择一、三点合答共6分；本条只训练其一，单条不等于满分答案。
285	Heading3	3	二、辩证思维	分析与综合	9. 2026丰台期末 第20题（主观题）		9. 2026丰台期末 第20题（主观题）
286			二、辩证思维	分析与综合	9. 2026丰台期末 第20题（主观题）		【材料触发点】  材料先分别呈现都兰县草方格和阻沙网、乌兰县“带状栽植法”、贵南县多层防护体系等不同治理做法，再说明这些做法共同服务于从“沙进人退”到“绿进沙退”的整体转变。
287			二、辩证思维	分析与综合	9. 2026丰台期末 第20题（主观题）		【设问】  结合材料，运用《逻辑与思维》知识，分析青海的防沙治沙之路蕴含的科学思维。（8分）
288			二、辩证思维	分析与综合	9. 2026丰台期末 第20题（主观题）		【答题提醒】  本题中的“科学思维”是宽口径表达，可从科学、辩证、创新三类思维方法中择取与材料最贴合的角度作答。
289			二、辩证思维	分析与综合	9. 2026丰台期末 第20题（主观题）		【为什么能想到】  分析与综合的触发点是“分开看不同条件和方法，再合起来形成整体方案”。材料明确说没有放之四海而皆准的万能公式，而是因地制宜精准防治，说明先分析不同地区的自然条件和治理方式，再综合成防沙治沙体系。
290			二、辩证思维	分析与综合	9. 2026丰台期末 第20题（主观题）		【答案落点】  青海防沙治沙坚持分析与综合相结合，具体分析不同地区沙化状况、植物条件和治理难点，分别采用草方格、阻沙网、带状栽植、多层防护等方法；又把这些做法综合为整体防护体系，提升治沙成效。
291			二、辩证思维	分析与综合	9. 2026丰台期末 第20题（主观题）		【同题说明】  本题8分（“科学思维”为宽口径统称），分三大方向：科学思维2分、辩证思维2分（整体性／分析综合／矛盾分析法共用此2分池、择一或组合不叠加）、创新思维4分（发散聚合／联想／超前任选2角度各2分）；本条只训练其一，须按组分配合答方得满分。
292	Heading3	3	二、辩证思维	分析与综合	10. 2024各区一模分类汇编·模拟政协题（拓展训练题）		10. 2024各区一模分类汇编·模拟政协题（拓展训练题）
293			二、辩证思维	分析与综合	10. 2024各区一模分类汇编·模拟政协题（拓展训练题）		【材料触发点】  同学们先把问题拆开：垃圾分类标准、法律条文、商品包装标识、不同年龄段人群反馈、12个省级行政单位样本数据；再从这些资料中找到内在联系，完成“在商品包装上印制垃圾分类标识”的模拟提案。
294			二、辩证思维	分析与综合	10. 2024各区一模分类汇编·模拟政协题（拓展训练题）		【设问】  结合材料，运用《逻辑与思维》知识，说明模拟提案的完成过程是如何体现科学思维的。（7分）
