audit_id,line,entry_type,section,source,year,district,stage,question,question_nature,evidence_grade_initial,grade_reason,bundle_path,bundle_state,trigger_hit_count_in_bundle,trigger_hit_terms_in_bundle,review_status,material,trigger,logic,suite_name,question_no_norm,covered_by_v6_question_number,present_by_suite_question_in_v7,quality_gate
V3-FW-0211,1005,label4,价值观的导向作用,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,found,0,,rubric-source-review,评分标准把“数为何所用”关联到正确价值观，强调用“数”减少决策与指导中的盲目性和随意性。,价值观的导向作用,“胸中有数”最终服务于什么目标，决定了数据和方案如何被使用。材料把“数”的运用与国家治理、工作生活中的计划方案联系起来，说明正确价值目标会引导认识和行动方向。,2025丰台期末,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0213,1013,label4,价值观的导向作用,2025北京朝阳高三（上）期末 第22题（朝阳期末评标.pdf扫描页读图核定）,2025,朝阳,期末,第22题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025朝阳期末.md,found,0,,rubric-source-review,评分细则要求坚持人民至上、自信自立、胸怀天下，借鉴吸收人类一切优秀文明成果。,价值观的导向作用,推进理论创新要站在什么立场、坚持什么价值方向，决定理论创新的性质和作用。人民至上、自信自立、胸怀天下共同构成价值导向，指引马克思主义中国化时代化服务中国实践和人类文明进步。,2025朝阳期末,22,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0216,1025,label4,价值观的导向作用,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,2024,东城,二模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,0,,rubric-source-review,桑基鱼塘符合社会发展规律和最广大人民根本利益，促进经济与生态发展，提高人民生活水平。,价值观的导向作用 / 正确价值观,阅卷总结明确写到“科学的价值观符合社会发展规律和最广大人民的根本利益”，评分口径要求用群众观点及价值观体现科学价值观的标准和作用。桑基鱼塘之所以有持久生命力，是因为其价值取向兼顾生态、经济和人民福祉，因此应补入价值观导向栏目。,2024东城二模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0223,1055,label4,价值判断与价值选择,2024北京西城高三二模 第18题第（4）问（高三模拟测试思想政治答案细则.docx）,2024,西城,二模,第18题第（4）问,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024西城二模.md,found,0,,rubric-source-review,在进城置业、移民搬迁冲击传统村落的背景下，政策引导把传统村落保护、乡村美育、文化产业和公共文化空间建设结合起来，推动乡村文化振兴。,价值判断与价值选择,答案细则把“认识世界与价值选择”列为可作答角度。材料要求判断传统村落的价值不只是居住形态或旅游资源，而是历史文化、乡村生活和公共文明的承载体；选择保护、活化、产业融合和美育路径，体现正确价值判断和价值选择。,2024西城二模,18,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0300,1367,table,本轮选择题进展（2025石景山一模三线闭环）,2025北京石景山高三一模 第21题,2025,石景山,一模,第21题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025石景山一模.md,found,1,改革的实质,rubric-source-review,党加强顶层设计、整体谋划，确立新理念新机制，破除旧观念旧体制，推动制度更加成熟定型。,社会基本矛盾 / 改革的实质 / 上层建筑和生产关系调整,评分细则把改革实质、全面深化改革总目标和社会发展规律列为可用模块。进一步全面深化改革通过调整不适应生产力发展的生产关系、完善不适应经济基础的上层建筑，把制度优势转化为治理效能，因此能推动社会主义现代化建设。,2025石景山一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0308,1383,table,本轮选择题进展（2025门头沟一模三线闭环）,2025北京门头沟高三一模 第21题（1）,2025,门头沟,一模,第21题（1）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025门头沟一模.md,found,1,辩证否定,rubric-source-review,门头沟从“千年煤城”转向“京西智谷”，关闭矿山、培育 AI 与生物医药双引擎，并推动产业、生态、社会协同转型。,辩证否定 / 发展观点 / 系统观念,评分细则要求运用辩证思维破解发展矛盾，尤其是辩证否定、整体性和动态性。材料不是简单否定采煤历史，而是在承认旧产业贡献和现实约束基础上破除路径依赖、培育新动能，形成产业转型、生态涵养和民生改善的系统发展链。,2025门头沟一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0309,1384,table,本轮选择题进展（2025门头沟一模三线闭环）,2025北京门头沟高三一模 第21题（1）,2025,门头沟,一模,第21题（1）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025门头沟一模.md,found,0,,rubric-source-review,门头沟立足资源约束和首都生态涵养功能定位，预见煤炭产业不可持续，果断关停矿山并发展新质生产力。,尊重客观规律与发挥主观能动性 / 科学思维客观性和预见性,评分细则要求写“遵循科学思维的客观性和预见性，立足实际或遵循客观规律”。材料先给出千年煤城的现实基础和生态涵养定位，再写主动关停矿山、培育新产业，说明高质量转型必须在把握客观条件和发展规律基础上主动作为。,2025门头沟一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0310,1385,table,本轮选择题进展（2025门头沟一模三线闭环）,2025北京门头沟高三一模 第21题（2）,2025,门头沟,一模,第21题（2）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025门头沟一模.md,found,1,正确价值判断与价值选择,rubric-source-review,门头沟服务首都发展大局、落实生态涵养功能定位，关闭全部矿山，探索“绿水青山”向“金山银山”转化。,主观与客观具体的历史的统一 / 正确价值判断与价值选择,评分细则第21（2）允许从“主观与客观、认识与实践具体的历史的统一”和“正确价值判断与价值选择”作答。材料把区域发展选择放在首都功能定位、生态规律和人民长远利益中衡量，说明高质量发展不能沿用资源消耗路径，而要在客观条件变化中作出符合人民利益和社会发展方向的选择。,2025门头沟一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0311,1386,table,本轮选择题进展（2025门头沟一模三线闭环）,2025北京门头沟高三一模 第21题（2）,2025,门头沟,一模,第21题（2）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025门头沟一模.md,found,2,主观能动性;意识的能动作用,rubric-source-review,门头沟建成算力中心、算法登记服务中心、数智人产业基地，持续培育人工智能、超高清数字视听、医疗器械等新产业。,主观能动性 / 意识的能动作用 / 创新驱动发展,评分细则第21（2）把“意识的能动作用”列入可用哲学角度。材料显示转型不是自然发生，而是通过规划产业方向、搭建平台、引入创新中心和打造 IP，把对未来产业趋势的认识转化为现实建设行动，因此触发主观能动性。,2025门头沟一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0313,1388,table,本轮选择题进展（2025门头沟一模三线闭环）,2025北京门头沟高三一模 第21题（2）,2025,门头沟,一模,第21题（2）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025门头沟一模.md,found,2,人民群众;价值判断与价值选择,rubric-source-review,门头沟作为革命老区，在绿色转型和产业升级中努力让老区人民过上好日子。,人民群众 / 价值观导向 / 价值判断与价值选择,评分细则第21（2）把以人民为中心、共同富裕、正确价值判断与价值选择作为可用方向。材料中的“老区人民过上好日子”把转型目标落到人民生活改善，而不是只追求产业指标，说明高质量发展必须坚持人民立场，把人民利益作为价值选择标准。,2025门头沟一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0350,1473,table,本轮主观题进展（2026海淀期中第22题评分细则链）,2026北京海淀高三（上）期中 第22题（2）,2026,海淀,期中,第22题（2）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026海淀期中.md,found,0,,rubric-source-review,材料指出当今世界经历百年未有之大变局，但时与势在我们一边，中华民族伟大复兴势不可挡。,发展观点 / 社会历史发展规律 / 历史必然性,评分细则要求先破题，说明“势不可挡”意味着什么。材料不是让学生喊口号，而是要求把复兴放进社会历史发展趋势中理解：它有现实基础、历史积累和时代条件支撑，体现事物发展的前进方向和不可逆转的大势。,2026海淀期中,22,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0351,1474,table,本轮主观题进展（2026海淀期中第22题评分细则链）,2026北京海淀高三（上）期中 第22题（2）,2026,海淀,期中,第22题（2）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026海淀期中.md,found,2,人民群众;党的领导,rubric-source-review,中国共产党带领中国人民抗战胜利80周年、新中国成立70多年奋斗，持续推进中国式现代化。,人民群众 / 党的领导 / 实践观点,评分细则把“中国共产党的领导、坚持以人民为中心”等列为合格知识。复兴不是自然降临，而是党领导人民在长期实践中创造出来的历史进程；人民群众是历史创造主体，党的领导把人民力量组织起来，形成推进复兴的实践合力。,2026海淀期中,22,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0352,1475,table,本轮主观题进展（2026海淀期中第22题评分细则链）,2026北京海淀高三（上）期中 第22题（2）,2026,海淀,期中,第22题（2）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026海淀期中.md,found,1,制度优势,rubric-source-review,评分细则列出中国特色社会主义道路、理论、制度、文化等知识，要求说明其对复兴的支撑作用。,社会意识的反作用 / 上层建筑适应经济基础 / 制度优势,道路、理论、制度、文化不是抽象标签，而是中国式现代化能够持续推进的方向、规则和精神支撑。它们作为社会意识和上层建筑的重要内容，会反作用于经济社会实践，把发展优势转化为治理效能和复兴动力。,2026海淀期中,22,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0353,1476,table,本轮主观题进展（2026海淀期中第22题评分细则链）,2026北京海淀高三（上）期中 第22题（2）,2026,海淀,期中,第22题（2）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026海淀期中.md,found,0,,rubric-source-review,评分细则要求至少运用两个模块知识，并从“为什么、怎么做到”展开；示例还可从人类命运共同体等角度论证。,联系观点 / 系统观念 / 价值判断与价值选择,高分答案不能列点式堆砌“党、制度、人民、世界”，而要把它们组织成系统链：国内看党的领导、人民主体、道路制度文化，国际看和平发展与人类命运共同体；价值上坚持人民立场和民族复兴目标。材料要求的“势不可挡”，本质是多重条件同向发力形成的发展合力。,2026海淀期中,22,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0365,1497,table,本轮进展（2026石景山期末选择题与主观题知识触发补强）,2026北京石景山高三（上）期末 第20题,2026,石景山,期末,第20题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026石景山期末.md,found,0,,angle-list-review,“脉冲”试验法利用大流量水流冲刷，优化河道主槽形态，并通过实时监测、影像分析保证试验效果。,尊重客观规律与发挥主观能动性 / 实践检验,评分参考明确可从按规律办事角度回答。治河不能凭主观愿望硬改河道，而要认识水流、泥沙、河槽和生态功能规律，再通过试验、监测、分析不断调整方案；人的能动性体现在顺应并利用规律。,2026石景山期末,20,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0371,1512,table,本轮进展（2024东城一模备课优先知识触发补强）,2024北京东城高三一模 第16题,2024,东城,一模,第16题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,2,文化多样性;联系观点,angle-list-review,《论语导读》早期翻译和导读影响孟德斯鸠、伏尔泰等，17至18世纪中国思想、文化、技术“东学西传”，促进欧洲认识中国和改进自身。,矛盾普遍性与特殊性 / 文化多样性 / 联系观点,评标 PPT 要求解释共性和个性的统一，也可从整体与部分理解。中华文化成就既有民族独特性，也能成为世界文明交流的一部分；中国典籍进入欧洲思想语境，说明不同民族文化在保持特色中相互联系、相互启发。,2024东城一模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0372,1513,table,本轮进展（2024东城一模备课优先知识触发补强）,2024北京东城高三一模 第16题,2024,东城,一模,第16题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,0,,angle-list-review,中国共产党领导中国人民成功走出中国式现代化道路，创造人类文明新形态，为世界文明交流互鉴贡献中国方案、中国智慧、中国力量。,实践观点 / 文化交流交融 / 社会意识反作用,评标 PPT 明确写到社会生活本质上是实践、文化与文明都是实践的产物。人类文明新形态不是抽象概念，而是党领导人民在革命、建设和现代化实践中创造出来的文明成果；它又作为先进文化和社会意识，为世界文明发展提供思想资源。,2024东城一模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0373,1514,table,本轮进展（2024东城一模备课优先知识触发补强）,2024北京东城高三一模 第16题,2024,东城,一模,第16题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,1,文化自信,angle-list-review,题干引用马克思“民族所做的事情，也是为人类社会而做的事情”，要求理解中华文明新形态与全人类共同价值的关系。,价值观导向 / 人民立场 / 文化自信,评标 PPT 要求写科学价值观符合社会发展规律和人民根本利益，中华文明新形态蕴含全人类共同价值。答题不能只说“文化自信”，还要说明这种自信以人民为中心、坚守中华文化立场，并把民族发展同人类文明进步联系起来。,2024东城一模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0374,1515,table,本轮进展（2024东城一模备课优先知识触发补强）,2024北京东城高三一模 第18题（1）,2024,东城,一模,第18题（1）,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,1,科技创新,angle-list-review,北京人才资源总量增长、R&D经费投入增长、数字经济成为重要引擎，科技体制改革持续深化。,生产力观点 / 科技创新 / 系统观念,评标 PPT 将教育人才、研发投入、数字经济、科技体制改革分别作为优势。新质生产力不是单靠某一个技术点，而是劳动者、技术、数据、产业和制度环境共同作用；材料提示学生要把多要素组合成生产力跃升链条。,2024东城一模,18,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0375,1516,table,本轮进展（2024东城一模备课优先知识触发补强）,2024北京东城高三一模 第18题（1）,2024,东城,一模,第18题（1）,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,1,改革,angle-list-review,北京出台科研项目经费“包干制”、技术攻关“揭榜挂帅”等政策，推动科技体制改革。,生产关系适应生产力 / 改革 / 上层建筑反作用,评标 PPT 明确指出科技体制改革推动形成与新质生产力相适应的生产关系，以体制机制创新带动科技创新。制度改革不是背景材料，而是调整生产关系和创新机制，使其更适应高科技、高效能、高质量的新质生产力发展。,2024东城一模,18,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0376,1517,table,本轮进展（2024东城一模备课优先知识触发补强）,2024北京东城高三一模 第21题,2024,东城,一模,第21题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,2,联系观点;整体与部分,angle-list-review,京津冀十年携手，提速通勤圈、优化功能圈、打造产业圈，构建综合交通网络和现代化首都都市圈。,联系观点 / 系统观念 / 整体与部分,评标 PPT 明确给出系统优化、整体部分等角度。“三圈”不是三个孤立项目，而是交通、功能疏解、产业协同共同构成的区域发展系统；各圈层作为部分协同，服务现代化首都都市圈整体高质量发展。,2024东城一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0377,1518,table,本轮进展（2024东城一模备课优先知识触发补强）,2024北京东城高三一模 第21题,2024,东城,一模,第21题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,2,主次矛盾;优势互补,angle-list-review,通勤圈促进人流物流和资源要素流动，功能圈抓住疏解非首都功能和一核两翼，产业圈推动北京研发、津冀制造。,具体问题具体分析 / 主次矛盾 / 优势互补,评标 PPT 在功能圈中提示主次矛盾、两点论、整体部分。区域协同不能平均用力，要根据三地功能定位和比较优势安排交通、功能、产业任务；抓住关键功能和优势互补，才能把局部资源转化为整体效能。,2024东城一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0378,1519,table,本轮进展（2024东城一模备课优先知识触发补强）,2024北京东城高三一模 第21题,2024,东城,一模,第21题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,0,,angle-list-review,京津冀协同发展服务人民通勤、区域资源配置、产业升级和现代化产业体系建设。,人民中心 / 价值判断与价值选择 / 发展观点,评标 PPT 示例把以人民为中心、新发展理念和区域协调相连。首都都市圈建设不是为了画概念图，而是围绕人民出行、公共服务、区域协调和产业升级作价值选择，体现发展为了人民并通过系统协同推动高质量发展。,2024东城一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0388,1546,table,本轮进展（2024朝阳一模备课优先知识触发补强）,2024北京朝阳高三一模 第16题,2024,朝阳,一模,第16题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024朝阳一模.md,found,1,对立统一,angle-list-review,“接受人民监督”和“勇于自我革命”都围绕党如何跳出历史周期率、永葆先进性和纯洁性展开。,对立统一 / 关系类设问方法,评标 PPT 明确要求用辩证思维看两者关系。答题第一步不是分别背政治制度和党的建设，而是先总判“辩证统一”：两个答案指向同一个治理难题，既有区别又有联系，共同服务党长期执政和人民利益。,2024朝阳一模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0389,1547,table,本轮进展（2024朝阳一模备课优先知识触发补强）,2024北京朝阳高三一模 第16题,2024,朝阳,一模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024朝阳一模.md,found,0,,rubric-source-review,接受人民监督主要依靠人民群众和民主制度，从党外施加影响；勇于自我革命强调全面从严治党、自我净化、自我完善、自我革新、自我提高。,内外因 / 矛盾分析法 / 党的建设,评分细则把“外因”和“内因”作为可给分角度。材料中的两个答案不能混成一句话：人民监督从外部制度和人民力量推动党改进，自我革命从党自身建设解决问题；二者分开写，才能拿到“相互区别”的分。,2024朝阳一模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0390,1548,table,本轮进展（2024朝阳一模备课优先知识触发补强）,2024北京朝阳高三一模 第16题,2024,朝阳,一模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024朝阳一模.md,found,0,,rubric-source-review,人民监督能够鞭策自我革命，自我革命能弥补外在监督不足；两者都来自初心使命、坚持人民至上和党的领导。,联系观点 / 人民立场 / 价值导向,评分细则要求写相互作用或共性。材料提示学生不要停在“一个外部、一个内部”，还要写二者相互促进并统一于人民立场、党的领导和跳出历史周期率的目标，这样关系类答案才完整。,2024朝阳一模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0413,1607,table,本轮进展（2024丰台一模备课优先知识触发补强）,2024北京丰台高三一模 第21题,2024,丰台,一模,第21题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024丰台一模.md,found,1,全人类共同价值,rubric-source-review,“克明俊德、协和万邦”、马克思恩格斯关于世界历史的论述和“和平与发展、公平正义、民主自由”共同指向人类普遍交往与共同追求。,联系观点 / 文化交流互鉴 / 全人类共同价值,评标细则允许从唯物辩证法、构建人类命运共同体等角度作答。材料把中国古典思想、马克思主义世界历史理论和当代共同价值放在一起，说明不同文明、不同民族在交往中形成共同关切，不能把共同价值理解成单一国家的口号。,2024丰台一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0448,1672,table,本轮进展（2024朝阳二模备课优先知识触发补强）,2024北京朝阳高三二模 第19题（3）,2024,朝阳,二模,第19题（3）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024朝阳二模.md,found,2,中华优秀传统文化;中国式现代化,rubric-source-review,“生生之宇宙观”强调宇宙生生不息、永久变易、不断革新、生命成长更新和展开。,发展观点 / 中华优秀传统文化 / 中国式现代化,阅卷总结要求从材料概括出发展创新特质1分，并分析其对中国式现代化的作用1分。材料不是让学生背“源远流长”，而是把中华文化中的变化发展意识转化为中国式现代化不断创造新路、创造人类文明新形态的思想底蕴。,2024朝阳二模,19,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0449,1673,table,本轮进展（2024朝阳二模备课优先知识触发补强）,2024北京朝阳高三二模 第19题（3）,2024,朝阳,二模,第19题（3）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024朝阳二模.md,found,3,人与自然和谐共生;共同富裕;和平发展,rubric-source-review,“一体之天人观”认为人类与天地为一体，所有人都是天地生育的子女，万物和人类一样也是天地所生。,人与自然和谐共生 / 共同富裕 / 和平发展,阅卷总结要求概括尊重万物、他人皆自己同胞，并分析其对中国式现代化的作用。材料把人与自然、人与他人放进共同体关系中，能支撑中国式现代化中人与自然和谐共生、全体人民共同富裕、和平发展的价值底蕴。,2024朝阳二模,19,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0450,1674,table,本轮进展（2024朝阳二模备课优先知识触发补强）,2024北京朝阳高三二模 第19题（3）,2024,朝阳,二模,第19题（3）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024朝阳二模.md,found,0,,rubric-source-review,“法天地之人生观”强调人应效法天地之德，自强不息、厚德载物。,价值观导向 / 民族精神 / 实践奋斗,阅卷总结给出两条可用链：尊重自然、顺应自然；或自强不息、厚德载物的人生观价值观。材料提示学生把传统人生观转化为现代化实践动力：既顺应自然规律，也在砥砺自我、独立自主中推进现代化。,2024朝阳二模,19,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0451,1675,table,本轮进展（2024朝阳二模备课优先知识触发补强）,2024北京朝阳高三二模 第19题（3）,2024,朝阳,二模,第19题（3）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024朝阳二模.md,found,2,创造性转化;创新性发展,rubric-source-review,题目要求理解中华优秀传统文化的特质如何赋予中国式现代化深厚底蕴，并在“怎么做”中要求推进双创或两个结合。,创造性转化、创新性发展 / 两个结合 / 文化自信,阅卷总结“怎么做”给2分。答题不能只说传统文化有价值，还要写新时代如何用：推进中华优秀传统文化创造性转化、创新性发展，把马克思主义基本原理同中国具体实际、同中华优秀传统文化相结合。,2024朝阳二模,19,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0456,1708,table,本轮进展（2024东城二模三线闭环补强）,2024北京东城高三二模 第16题,2024,东城,二模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,3,一切从实际出发;辩证否定;人民群众,rubric-source-review,桑基鱼塘可上溯到2500年前，在低洼处深挖为鱼塘、塘泥堆基种桑，形成桑、蚕、鱼、塘相辅相成的生态农业系统；新时代又把生态保护、产业融合、文化研学和乡村振兴统筹起来。,一切从实际出发 / 尊重规律与发挥主观能动性 / 联系系统 / 发展观点 / 辩证否定 / 人民群众 / 价值观导向,阅卷细则要求从形成、发展、价值三层论证。形成层抓“因地制宜、尊重规律”，发展层抓“保护利用、产业融合、研学课程”的联系和创新，价值层抓“服务乡村振兴、塑造人、人民福祉”。高分答案不是背一堆原理，而是把三层材料分别扣回三个给分方向。,2024东城二模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0457,1709,table,本轮进展（2024东城二模三线闭环补强）,2024北京东城高三二模 第18题（2）,2024,东城,二模,第18题（2）,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,2,上层建筑适应经济基础;具体问题具体分析,rubric-source-review,平台用工等新就业形态发展后，传统劳动关系认定标准难以完全适用，劳动关系领域出现拖欠薪酬、休假权受损、技能不适应等挑战。,上层建筑适应经济基础 / 具体问题具体分析 / 主体措施链,阅卷细则明确政府和司法机关建议可写“上层建筑适应经济基础的发展”。新就业形态属于经济社会实践变化，劳动法律规范、政府认定依据和司法解释必须随之细化完善；答题要按人大、政府、司法机关、党、用人单位、劳动者等主体分别给措施，不能一套话包打天下。,2024东城二模,18,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0458,1710,table,本轮进展（2024东城二模三线闭环补强）,2024北京东城高三二模 第21题,2024,东城,二模,第21题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,0,,rubric-source-review,我国发展具备党的坚强领导、制度优势、持续快速发展和坚实基础、长期稳定社会环境、自信自强精神力量等战略性有利条件。,联系观点 / 系统观念 / 意识能动作用 / 从实际出发和遵循社会发展规律,阅卷总结要求“战略性有利条件 -> 路径 -> 民族复兴”，至少写三个点。多个条件不是平均罗列，而是构成推进复兴的合力：党的领导定方向，制度优势转化为治理效能，物质基础和稳定环境提供现实支撑，自信自强的民族精神转化为奋斗动力；哲学角度可替措施环节写从中国实际出发、遵循社会发展规律。,2024东城二模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
