paragraph,module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,card_path,材料触发点,设问,为什么能想到,答案落点,同题组,prompt_check,answer_check,think_check,samegroup_check,qa_flags
1219,经济全球化,开：高水平对外开放,中国扩大高水平对外开放与制度型开放,7,2025朝阳期末Q21,,2025_朝阳_期末_Q21,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_朝阳_期末_Q21.md,题面把世界动荡冲突、单边霸凌、脱钩断链和意识形态分歧作为外部风险，问中国特色大国外交如何营造外部环境；总体外部环境的根本前提是把答案先放回和平与发展的时代主题，再把促进世界和平与发展和维护和平稳定的国际环境作为方向。,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,,通过大国外交扩大高水平对外开放、稳步扩大制度型开放，深化国际经贸合作，营造良好发展环境。,,EXACT,NO_MATCH,EMPTY,ITEM_NOT_CORE,MISSING_WHY;SAMEGROUP_ITEM_NOT_CORE
1229,经济全球化,开：高水平对外开放,中国扩大高水平对外开放与制度型开放,8,2025东城一模Q20,,2025_东城_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_一模_Q20.md,此次出访中，中国同秘鲁签署自贸协定升级议定书和共建“一带一路”合作规划，并在11天内达成60多项合作文件，说明相关国家围绕贸易合作、区域合作和发展议题存在共同利益。,结合材料，运用《当代国际政治与经济》知识，谈谈此次元首外交的“精彩”之处。,,元首外交推动我国扩大高水平对外开放，促进高质量发展，让经济全球化朝开放包容普惠平衡共赢方向发展。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1238,经济全球化,开：高水平对外开放,中国扩大高水平对外开放与制度型开放,9,2024东城一模Q20,,2024_东城_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_东城_一模_Q20.md,“外循环跑出加速度”写主动对照国际规则、规制、管理、标准并深化国内改革，触发的是制度规则层面的开放和经济全球化融入，而不是一般性产业升级或消费扩张。,结合材料，运用经济的相关知识，分析我国的上述措施如何通过构建新发展格局助力经济高质量发展。,,我国对标国际规则、推进制度型开放和高水平对外开放，以国内大循环吸引全球资源要素，增强两个市场两种资源联动效应。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1244,经济全球化,开：高水平对外开放,中国扩大高水平对外开放与制度型开放,10,2026海淀一模Q20,中国标准走出国门撬动两个市场两种资源,2026_海淀_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,"题面强调国际标准是全球产业界的""通用语言""，列出中国向ISO、IEC提交大量提案、在低碳能源和人工智能等领域牵头制定国际标准；标准走出国门把国内技术、产品、规则与国际市场、规则双向打通，设问问""意义""，必须从中国如何借标准联通调动跨境市场和资源切入。",结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,,中国标准走出国门，扩大制度型开放，推进高水平对外开放，更好利用国内国际两个市场两种资源，推动构建新发展格局。,,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
1260,经济全球化,开：高水平对外开放,互利共赢的开放战略,2,2026顺义二模Q20,,2026_顺义_二模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_顺义_二模_Q20.md,题目指向理解“今天的中国，明天的世界”，作答要求把“让经济全球化更有活力”列为可写方向；题干中的微电网、打井、物流、希望农场等项目强调发展成果被更多国家共享。,结合材料，运用《当代国际政治与经济》知识，谈谈对“今天的中国，明天的世界”的理解。,,"中国坚持对外开放基本国策,奉行互利共赢的开放战略,让发展成果惠及各国人民,今天的中国正成就更好的明天世界。",,EXACT,NO_MATCH,EMPTY,ITEM_NOT_CORE,MISSING_WHY;SAMEGROUP_ITEM_NOT_CORE
1268,经济全球化,开：高水平对外开放,互利共赢的开放战略,3,2026门头沟一模Q20,——海南自贸港全岛封关的国内国际意义,2026_门头沟_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_门头沟_一模_Q20.md,"题面列举零关税税目扩大、口岸管理优化、压缩""二线""出岛申报项目等具体机制；设问要分析国内意义，封关机制直接降低企业贸易成本。",结合材料，运用《当代国际政治与经济》知识，分析海南自贸港全岛封关为何能为中国经济发展注入新动能、为世界经济开放发展注入新活力。,,海南自贸港全岛封关坚持互利共赢的开放战略，主动推动经济全球化向更深层次迈进，为中国和世界经济注入新动能新活力。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1349,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,10,2026朝阳期中Q17,,2026_朝阳_期中_Q17,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期中_Q17.md,题目让学生说明人工智能发展中需要处理好的重要关系，题面一方面强调芯片、算法、大模型等核心环节自主可控，另一方面说明自主可控不是闭门造车，因此要把自主创新和开放合作放在同一层处理。,结合材料，运用《当代国际政治与经济》知识阐述我国应如何处理好推进“人工智能+”发展过程中的重要关系。,,坚持对外开放，参与经济全球化与国际分工，用好两个市场两种资源，发展开放型经济、优化资源配置。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1358,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,11,2024西城一模Q19(6),,2024_西城_一模_Q19_6,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_一模_Q19_6.md,题目同时追问未来产业的挑战，前沿科技竞争具有国家战略属性，答题要把技术、人才、资源竞争上升到综合国力较量和风险防范。,结合材料，从经济角度分析我国未来产业发展的机遇和挑战，以及攻克“卡脖子”难题对经济开放发展的助推作用。,,"经济全球化带来两个市场两种资源，我国未来产业拥有广阔国际市场，可""走出去""开展技术交流合作、优化资源配置。",,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1365,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,12,2024朝阳一模Q21,,2024_朝阳_一模_Q21,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_朝阳_一模_Q21.md,题目先要求分析“变局”中的经济形势，题目评价重点提示我国发展的外部环境日趋严峻、风险挑战增多，因此要先说明外部风险压力。,结合上述资料，在分析我国当前经济形势的基础上，运用《当代国际政治与经济》知识，谈谈如何推动中国经济在变局中开新局。,,依托超大规模市场优势，以国内大循环吸引全球资源要素，利用两个市场两种资源优化全球资源配置，推动经济开新局。,,PARTIAL,PARTIAL,EMPTY,OK,MISSING_WHY
1373,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,13,2025西城一模Q18,,2025_西城_一模_Q18,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_一模_Q18.md,"设问问地区如何利用国内外资源""开拓海外市场""""提升国际循环质量""。要回答从国内市场延伸到国际市场的对外开放结构，必须用""两个市场两种资源／国际国内双循环""把国内端、国际端接成一条循环——只讲产业内部升级不能回答""国际循环质量提升""。",从“两条鱼循环”看增长新空间。产自中国的鳗鱼“游”向世界，挪威三文鱼“飞”来中国，增长新空间在不断拓展。结合材料，运用《经济与社会》所学，谈谈中国经济增长新空间是如何拓展的。,,联动国内国际两个市场两种资源，畅通国际国内双循环，与其他国家合作共赢，开拓海外市场、提升循环质量。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1380,经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,14,2025海淀期中Q16(2),,2025_海淀_期中_Q16_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_海淀_期中_Q16_2.md,中国咖啡企业“出海”面对海外消费差异、供应链压力、知识产权和贸易风险，单靠企业经营策略不足，还要从国际规则和治理参与角度改善外部环境。,结合材料三，从经济角度，为中国咖啡企业“出海”提出建议。,,咖啡企业应充分利用国际国内两种资源、两个市场，打造稳定供应链，降低生产成本，优化全球资源配置。,,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
1395,经济全球化,兼：国内国际两种资源两个市场,内外联通畅通国内国际双循环，提升国际循环质量,2,2026房山一模Q19,"海南""一线放开""自由便利",2026_房山_一模_Q19,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_房山_一模_Q19.md,"题目分析海南自贸港封关如何助力国际循环，题干中""一线放开""对应进出岛跨境自由便利措施，需要从消费角度把降低通关成本、提高通关效率、推动货物和服务贸易升级写出来，对接贸易投资自由化便利化与要素自由流动。",结合材料，运用《当代国际政治与经济》知识，分析海南自贸港封关是如何助力国际循环的。,,"海南自贸港以国内大循环吸引全球资源要素,内外联通增强两个市场两种资源联动效应,畅通国内国际双循环,提升国际循环质量。",,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1402,经济全球化,兼：国内国际两种资源两个市场,内外联通畅通国内国际双循环，提升国际循环质量,3,2025丰台一模Q20,北京“两区”通关创新,2025_丰台_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_丰台_一模_Q20.md,"题目要“两区”举措如何助力开放型经济迈上新台阶，题干中""分钟通关""""单一窗口""等改革直接缩短跨境流程，需要把这些通关创新翻译为交易成本下降、通关效率提升、货物贸易规模扩大的便利化链，对应贸易投资自由化便利化机制。",结合材料，运用《经济与社会》《当代国际政治与经济》知识，说明北京“两区”建设的举措是如何助力开放型经济迈上新台阶的。,,“两区”建设推动国内国际两个市场两种资源联动，畅通国内国际双循环，助力构建新发展格局、提升开放型经济水平。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1408,经济全球化,兼：国内国际两种资源两个市场,内外联通畅通国内国际双循环，提升国际循环质量,4,2026门头沟一模Q20,——海南自贸港全岛封关的国内国际意义,2026_门头沟_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_门头沟_一模_Q20.md,"题面列举零关税税目扩大、口岸管理优化、压缩""二线""出岛申报项目等具体机制；设问要分析国内意义，封关机制直接降低企业贸易成本。",结合材料，运用《当代国际政治与经济》知识，分析海南自贸港全岛封关为何能为中国经济发展注入新动能、为世界经济开放发展注入新活力。,,封关运作增强国内国际双循环联动，畅通内外循环、提升国际循环质量，培育开放型经济新优势，为中国经济注入新动能。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1414,经济全球化,兼：国内国际两种资源两个市场,内外联通畅通国内国际双循环，提升国际循环质量,5,2026朝阳期中Q17,,2026_朝阳_期中_Q17,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期中_Q17.md,题目让学生说明人工智能发展中需要处理好的重要关系，题面一方面强调芯片、算法、大模型等核心环节自主可控，另一方面说明自主可控不是闭门造车，因此要把自主创新和开放合作放在同一层处理。,结合材料，运用《当代国际政治与经济》知识阐述我国应如何处理好推进“人工智能+”发展过程中的重要关系。,,在自力更生基点上扩大开放，共商共建共享、内外联通畅通双循环，提升国际循环质量与发展水平。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1423,经济全球化,兼：国内国际两种资源两个市场,内外联通畅通国内国际双循环，提升国际循环质量,6,2024海淀一模Q18(1),,2024_海淀_一模_Q18_1,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_海淀_一模_Q18_1.md,免签、互免签证、简化签证手续和口岸签证便利化直接降低中外人员商贸往来成本，题目追问对开放的积极影响时，应先转化为贸易投资便利化和自由化。,结合材料，运用《当代国际政治与经济》知识，预测上述举措对服务高水平对外开放的积极影响。（6分）,,充分利用国内国际两种资源、两个市场，内外联通畅通双循环，提升国际循环质量与新发展格局。,,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
1429,经济全球化,兼：国内国际两种资源两个市场,内外联通畅通国内国际双循环，提升国际循环质量,7,2024朝阳一模Q21,,2024_朝阳_一模_Q21,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_朝阳_一模_Q21.md,题目先要求分析“变局”中的经济形势，题目评价重点提示我国发展的外部环境日趋严峻、风险挑战增多，因此要先说明外部风险压力。,结合上述资料，在分析我国当前经济形势的基础上，运用《当代国际政治与经济》知识，谈谈如何推动中国经济在变局中开新局。,,构建以国内大循环为主体、国内国际双循环相互促进的新发展格局，提升国际循环质量，在变局中开新局。,,PARTIAL,PARTIAL,EMPTY,OK,MISSING_WHY
1439,经济全球化,新增：国际分工、企业出海与国际竞争新优势,加强技术创新、提高产品质量，增强竞争力,1,2025西城期末Q20(2),,2025_西城_期末_Q20_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_期末_Q20_2.md,读图显示中国电动载人汽车出口竞争力提升，但面对欧盟反补贴税形成的外部贸易壁垒，企业需要通过技术和质量优势增强国际竞争力。,欧盟是中国整车出口的第一大市场，也是中国电动汽车出口的主要目的地。2024年10月，欧盟决定对从中国进口的纯电动汽车征收为期五年的高额反补贴税。中国汽车企业该如何应对？（6分）,"读图显示中国电动载人汽车出口竞争力提升，但面对反补贴税这种外部贸易壁垒，单靠规则维权不够，必须有产品本身的过硬支撑。问""企业该如何应对""——本条要切入""产品和质量""维度，把企业内功增强作为应对外部壁垒的基础。把出口竞争力数据作为继续加强技术创新和提高产品质量的依据，再写增强国际竞争力，最后指向以产品优势应对反补贴税等贸易壁垒。",中国汽车企业应加强技术创新、提高产品质量，增强国际竞争力，以更强产品优势应对欧盟反补贴税等外部贸易壁垒。,（本题6分）,EXACT,NO_MATCH,PRESENT,ITEM_NOT_CORE,SAMEGROUP_ITEM_NOT_CORE
1446,经济全球化,新增：国际分工、企业出海与国际竞争新优势,加强技术创新、提高产品质量，增强竞争力,2,2026房山一模Q19,"海南""一线放开""自由便利",2026_房山_一模_Q19,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_房山_一模_Q19.md,"题目分析海南自贸港封关如何助力国际循环，题干中""一线放开""对应进出岛跨境自由便利措施，需要从消费角度把降低通关成本、提高通关效率、推动货物和服务贸易升级写出来，对接贸易投资自由化便利化与要素自由流动。",结合材料，运用《当代国际政治与经济》知识，分析海南自贸港封关是如何助力国际循环的。,,"海南自贸港封关使企业节约关税投入核心技术攻坚,加强技术创新、提升企业竞争力,推动产业升级,使中国市场成为全球产业链供应链稳定器。",,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1453,经济全球化,新增：国际分工、企业出海与国际竞争新优势,加强技术创新、提高产品质量，增强竞争力,3,2026朝阳期中Q17,,2026_朝阳_期中_Q17,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期中_Q17.md,题目让学生说明人工智能发展中需要处理好的重要关系，题面一方面强调芯片、算法、大模型等核心环节自主可控，另一方面说明自主可控不是闭门造车，因此要把自主创新和开放合作放在同一层处理。,结合材料，运用《当代国际政治与经济》知识阐述我国应如何处理好推进“人工智能+”发展过程中的重要关系。,,坚持自力更生，核心技术自主可控、加强技术研发与创新驱动，把握创新主动权，增强核心竞争力。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1462,经济全球化,新增：国际分工、企业出海与国际竞争新优势,加强技术创新、提高产品质量，增强竞争力,4,2024西城一模Q19(6),,2024_西城_一模_Q19_6,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_一模_Q19_6.md,题目同时追问未来产业的挑战，前沿科技竞争具有国家战略属性，答题要把技术、人才、资源竞争上升到综合国力较量和风险防范。,结合材料，从经济角度分析我国未来产业发展的机遇和挑战，以及攻克“卡脖子”难题对经济开放发展的助推作用。,,"我国攻克""卡脖子""难题，能调整对外贸易产品结构、生产附加值高的产品，增强产品和服务的国际竞争力。",,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1469,经济全球化,新增：国际分工、企业出海与国际竞争新优势,加强技术创新、提高产品质量，增强竞争力,5,2025西城一模Q18,,2025_西城_一模_Q18,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_一模_Q18.md,"设问问地区如何利用国内外资源""开拓海外市场""""提升国际循环质量""。要回答从国内市场延伸到国际市场的对外开放结构，必须用""两个市场两种资源／国际国内双循环""把国内端、国际端接成一条循环——只讲产业内部升级不能回答""国际循环质量提升""。",从“两条鱼循环”看增长新空间。产自中国的鳗鱼“游”向世界，挪威三文鱼“飞”来中国，增长新空间在不断拓展。结合材料，运用《经济与社会》所学，谈谈中国经济增长新空间是如何拓展的。,,特色产业链利用本地资源优势，注重技术创新与质量品质，不断提高竞争力，成功开拓海外市场。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
1476,经济全球化,新增：国际分工、企业出海与国际竞争新优势,加强技术创新、提高产品质量，增强竞争力,6,2026海淀一模Q20,中国标准走出国门撬动两个市场两种资源,2026_海淀_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,"题面强调国际标准是全球产业界的""通用语言""，列出中国向ISO、IEC提交大量提案、在低碳能源和人工智能等领域牵头制定国际标准；标准走出国门把国内技术、产品、规则与国际市场、规则双向打通，设问问""意义""，必须从中国如何借标准联通调动跨境市场和资源切入。",结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,,中国标准走出国门，增强我国产品、服务乃至产业链在全球的竞争力，促进标准共通、技术共享与全球技术创新。,,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
1483,经济全球化,新增：国际分工、企业出海与国际竞争新优势,加强技术创新、提高产品质量，增强竞争力,7,2025海淀期中Q16(2),,2025_海淀_期中_Q16_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_海淀_期中_Q16_2.md,中国咖啡企业“出海”面对海外消费差异、供应链压力、知识产权和贸易风险，单靠企业经营策略不足，还要从国际规则和治理参与角度改善外部环境。,结合材料三，从经济角度，为中国咖啡企业“出海”提出建议。,,"咖啡企业应重视海外市场考察研究，提高自主创新能力，形成自己的竞争优势，增强""出海""竞争力。",,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
1490,经济全球化,新增：国际分工、企业出海与国际竞争新优势,实施出口市场多元化战略，减少对单一市场的依赖,1,2025西城期末Q20(2),,2025_西城_期末_Q20_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_期末_Q20_2.md,欧盟是中国整车出口第一大市场和电动汽车主要目的地，外部冲击集中在单一市场依赖风险上，答题需要说明出口市场多元化。,欧盟是中国整车出口的第一大市场，也是中国电动汽车出口的主要目的地。2024年10月，欧盟决定对从中国进口的纯电动汽车征收为期五年的高额反补贴税。中国汽车企业该如何应对？（6分）,"题面写欧盟是中国整车出口""第一大市场""和电动汽车""主要目的地""——风险集中在单一市场依赖上，反补贴税是单一市场风险暴露的具体表现。问""企业该如何应对""——本条要切入""市场结构""维度，把化解风险的路径放在分散依赖上，而非规则或产品本身。把欧盟单一市场依赖作为风险来源点出，再写实施出口市场多元化、开拓海外市场和深耕国内需求，最后指向分散贸易摩擦风险。",中国汽车企业应实施出口市场多元化战略，开拓更多海外市场并深耕国内需求，减少对单一市场的依赖，分散贸易摩擦风险。,（本题6分）,EXACT,NO_MATCH,PRESENT,ITEM_NOT_CORE,SAMEGROUP_ITEM_NOT_CORE
1570,经济全球化,新增：全球经济治理与规则权益,参与国际标准制定，提升国际规则话语权,4,2026东城一模Q19(3),,2026_东城_一模_Q19_3,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_东城_一模_Q19_3.md,题目追问高水平开放与产业链韧性的关系，北京借助“两区”建设、国际科创交流和开放型经济平台接入全球创新资源，体现开放对未来产业韧性的支撑。,结合材料二，运用《当代国际政治与经济》知识，分析在推动未来产业中，北京是如何统筹高水平对外开放与提升产业链韧性之间关系的。（8分）,,"北京以""两区""建设推动制度型开放,支持企业参与国际标准制定,对接国际高标准经贸规则,为产业链韧性提升提供制度支撑。",,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
1577,经济全球化,新增：全球经济治理与规则权益,充分运用国际规则，利用国际组织赋予的权利，对话磋商，积极维护自身权益,1,2025西城期末Q20(2),,2025_西城_期末_Q20_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_期末_Q20_2.md,欧盟对中国纯电动汽车征收高额反补贴税，本质上形成贸易摩擦和贸易壁垒，企业应先从国际规则和国际组织权利出发依法维权。,欧盟是中国整车出口的第一大市场，也是中国电动汽车出口的主要目的地。2024年10月，欧盟决定对从中国进口的纯电动汽车征收为期五年的高额反补贴税。中国汽车企业该如何应对？（6分）,"欧盟征收高额反补贴税本质是贸易摩擦和贸易壁垒，但材料的预设主语是""中国汽车企业""——应对路径必须指向企业层面的合法工具。问""企业该如何应对""——本条要从企业可用的国际规则与国际组织权利切入，写出依法维权的具体路径。先把反补贴税定性为贸易壁垒，再写企业运用国际规则和国际组织权利、通过对话磋商，最后指向积极维护自身合法权益。",中国汽车企业面对欧盟反补贴税，应充分运用国际规则，利用国际组织赋予的权利，通过对话磋商积极维护自身合法权益。,（本题6分）,EXACT,PARTIAL,PRESENT,ITEM_NOT_CORE,SAMEGROUP_ITEM_NOT_CORE
1591,经济全球化,新增：全球经济治理与规则权益,"企业和政府可利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为企业""出海""营造良好的国际环境",2,2025海淀期中Q16(2),,2025_海淀_期中_Q16_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_海淀_期中_Q16_2.md,中国咖啡企业“出海”面对海外消费差异、供应链压力、知识产权和贸易风险，单靠企业经营策略不足，还要从国际规则和治理参与角度改善外部环境。,结合材料三，从经济角度，为中国咖啡企业“出海”提出建议。,,"面对贸易摩擦，我国政府和企业应携手利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为企业""出海""营造良好国际环境。",,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
1625,经济全球化,新增：产业链供应链与开放安全,维护全球产业链供应链稳定畅通,4,2026东城一模Q19(3),,2026_东城_一模_Q19_3,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_东城_一模_Q19_3.md,题目追问高水平开放与产业链韧性的关系，北京借助“两区”建设、国际科创交流和开放型经济平台接入全球创新资源，体现开放对未来产业韧性的支撑。,结合材料二，运用《当代国际政治与经济》知识，分析在推动未来产业中，北京是如何统筹高水平对外开放与提升产业链韧性之间关系的。（8分）,,"北京统筹科技与产业政策资源,强链补链提升产业链韧性,增强产业链稳定性与竞争力,为高水平对外开放筑牢安全屏障。",,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
1631,经济全球化,新增：产业链供应链与开放安全,维护全球产业链供应链稳定畅通,5,2025延庆一模Q20(2),"外交部发言人回应""脱钩断链""",2025_延庆_一模_Q20_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_延庆_一模_Q20_2.md,"材料二中个别国家鼓噪""脱钩断链""和供应链""去风险""，与近70个国家和地区企业到链博会寻找""链""通中外方案形成对照；要论证供应链合作的正当性，必须用时代主题判定""合作""才是符合潮流的方向，""脱钩""违背潮流。",假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对上述提问做出回应。,,维护全球产供链韧性和稳定是推动世界经济可持续发展的重要保障，“脱钩断链”损人不利己，中国愿携手各国打造“世界共赢链”。,,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
