question_id,year,district,exam_stage,question_no,evidence_status,真实设问原文,真实材料核心,真实法律主轴,主入口,副入口,主材料触发,副材料触发,禁止命中的框架点,v10错误命中,是否存在材料错配,是否存在细则/答案混入材料,是否存在OCR/串页/非法律污染,是否需要回源修复,是否应降级或移出,最终处理,修复说明
CC0200_2025_西城_二模_18,2025,西城,二模,18,PASS,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,17 岁小刘背着家长、绕过平台监管打赏多名网络主播，金额高达 45 万余元；家长事先不知情、事后不追认；平台发现异常后采取限制措施，但小刘冒充监护人与平台客服沟通，绕过限制；家长诉请返还打赏款。,未成年人网络打赏效力、多方过错与公平原则责任分担。,问判决结果 / 责任分担理由,多方过错 / 未成年人交易行为效力,17 岁小刘大额打赏且监护人未追认|平台审核措施不完善，未尽合理审查义务|父母疏于监管，小刘冒充监护人规避监管,限制民事行为能力人|平台过错|监护人和本人过错,合同/格式条款|平台用工|知识产权|消费者欺诈|裸写意义价值,问评析/认识；问评析/认识；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；先表态，再证明；一主体一链,否,否,否,否,否,重写,v11.1 从合同/格式条款改为未成年人打赏、多方过错、公平原则分责。
CC0206_2025_西城_期末_19,2025,西城,期末,19,PASS,运用法律知识分析法院的判决。,19．（8 分） 【案情回放】 “小爱同学，今天天气怎么样？”“小爱同学，讲个故事”……随着M 公司2017 年7 月推出的“小爱 同学”智能语音设备后，“小爱同学”越来越多的参与到我们的生活中。截至2020 年12 月，其月活跃用 户数达到8670 万人，累计唤醒约495 亿次。 陈某于2017 年8 月至2020 年6 月间，在不同商品类别上抢先大量申请注册相关商标，并向M 科技关 联企业发函，要求停止使用“小爱同学”商标。同时与深圳市Y 公司合作，在运动手表、闹钟等商品…,具体民事权利保护与责任承担,问裁判,,材料中的权利受侵害|侵害行为|责任方式,,合同万能化|平台用工|必修三法治套话,问评析/认识；问评析/认识；消费者欺诈/虚假宣传/隐瞒/搭售；知识产权/作品/商标/专利；不正当竞争/混淆/商业诋毁/虚假宣传；先表态，再证明；一主体一链,是,否,是,是,否,待用户确认,存在 OCR/页码/串页/非法律污染风险
CC0213_2025_门头沟_一模_20,2025,门头沟,一模,20,PASS,【待回源确认】裁判理由：根据劳动合同法，订立劳动合同应遵循诚实信用原则，1分。,20. “以事实为根据，以法律为准绳”是我国司法活动的基本原则，核心是通过客观事实认真严格依 照法律规定作出裁判，确保司法公正性与权威性。请结合以下案例，参照所给出完成下表。 案件事实 裁判要点 案例一 A 享有“我不是胖虎”系列美 术作品的复制权、改编权、信息网络传播权 等著作财产性权利。B 公司、C 公司未经许 可，在其经营的微博账号中发布了与A 公司 “我不是胖虎”类似电脑壁纸“橘猫”。A 公司向法院起诉B 公司、C 公司，要求其承 担侵权责任。 裁判结果：支持A 公司…,平台用工事实劳动关系,裁判理由,材料证明,劳动纪律|管理控制|经济报酬和结算,,普通合同成立|消费者欺诈|知识产权,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；先表态，再证明；一格一链,是,否,是,是,否,待用户确认,设问缺失或需从原卷回补；存在 OCR/页码/串页/非法律污染风险
CC0214_2025_门头沟_一模_20_2,2025,门头沟,一模,20,PASS,【待回源确认】20（2）裁判理由共4分。,20（2）裁判理由共4分。 ①法律规定1分，写出签订劳动合同用遵循的原则，写出诚实信用原则即可得1分；/根据《劳动合同法》以欺诈手段订立的劳动合同无效或者部分无效。 ②违反诚实信用原则/违反劳动者基本的职业道德/侵犯了甲公司知情权（1分） ③甲公司在违背真实的意思的情况与其签订合同/写出不是甲公司真实的意愿/劳动合同无效即可得（1分） ④甲公司提出解除劳动关系符合法律规定/解除劳动关系并无不妥/解除劳动关系的行为无过错（1分）,平台用工事实劳动关系,裁判理由,材料证明,劳动纪律|管理控制|经济报酬和结算,,普通合同成立|消费者欺诈|知识产权,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；一格一链；一主体一链,疑似,否,否,是,否,待用户确认,设问缺失或需从原卷回补
CC0223_2025_顺义_一模_19,2025,顺义,一模,19,PASS,运用法治知识，设问指向是阐释定分止争的价值，运用 《法律与生活》的知识进行说明。,19．(1)案例1 通过法院调解解决纠纷。 案例2 通过行政裁决和行政诉讼解决纠纷。 (2)①有利于明确权利边界。案例2 市监局纠正侵权名称，保障市场主体和公民的合法权益。 ②有利于化解社会矛盾。案例1 的调解修复人际关系，体现 “和合”理念，促进社会和谐。 ③有利于维护公平正义。让公平正义在人与人相互理解的土壤中生根发芽。 （原卷无答案，此答案仅供参考） 【分析】背景素材：高某与刘某的邻里纠纷、甲公司与乙公司的名称权纠纷 考点考查：权利行使注意界限、积极维护人身权利、自主创…,诉求能否支持：具体私法规则匹配材料事实,问诉求能否支持,规则意义,诉求对象|法律依据|材料事实对应,,万能意义价值|必修三公正司法|平台用工,问理由/为什么支持；问理由/为什么支持；消费者欺诈/虚假宣传/隐瞒/搭售；人格权/隐私/名誉/肖像/个人信息；不正当竞争/混淆/商业诋毁/虚假宣传；先表态，再证明；一主体一链,是,是,是,是,否,待用户确认,当前材料层含答案/细则/分析说明，不能直接进入学生题链；存在 OCR/页码/串页/非法律污染风险
CC0229_2026_东城_一模_18,2026,东城,一模,18,PASS_RECOVERED,结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。,18．（8 分）人民法院以司法之力守护“向新力”。 案例一 某科技公司三名创始人，因专利权归属纠纷，陷入长期诉讼，公司发展因此停滞。对此，办 案合议庭没有“一判了之”，而是居中斡旋，弥合分歧。当事人最终达成和解，全身心投入创新创业，实 现了多方共赢。 案例二 甲公司系某水稻植物新品种的权利人。乙公司擅自将甲公司享有植物新品种权的稻种更换包 装后对外销售。经人民法院查明，乙公司侵权行为覆盖范围广。人民法院判令乙公司立即停止侵害，并对 其适用惩罚性赔偿，赔偿甲公司经济损失300 …,多案例意义题：司法以权属确认、惩罚性赔偿、规制恶意诉讼等法律手段守护创新。,问司法如何守护创新 / 知识产权制度意义,多案例意义题,案例一：专利权归属纠纷长期诉讼|案例二：知识产权侵权与惩罚性赔偿|案例三：恶意诉讼/权利滥用,一案一手段|一手段一价值,必修三公正司法套话|旧错配经济/产业串页词|只写保护创新,问理由/为什么支持；问理由/为什么支持；知识产权/作品/商标/专利；不正当竞争/混淆/商业诋毁/虚假宣传；纠纷解决/调解/仲裁/诉讼/举证；先表态，再证明；一主体一链,否,否,否,否,否,重写,v11.1 增强为三案例法律手段链：权属确认、惩罚性赔偿、规制恶意诉讼。
CC0238_2026_东城_二模_19,2026,东城,二模,19,PASS,结合材料，运用《法律与生活》知识，评析乙公司和张某的行为。,19．（8分）法治是最好的营商环境。大健康产业蓬勃发展，需要企业规范深耕。 甲公司开拓新领域，打造“中药＋餐饮＋健康检测”一站式新型养生空间。为加速项目落地，甲公司开启对外招商，锁定乙、丙两家公司作为候选合作伙伴。 乙公司为在竞争中胜出，捏造事实向甲公司项目负责人张某暗示丙公司的管理能力、产品质量低下。张某信以为真，在未经查证的情况下，违规直接与乙公司签订承包合同。后乙公司进场施工，因管理混乱导致项目严重延期。甲公司因此遭受重大经济损失。,评析乙公司与张某行为：不正当竞争/公平竞争秩序与劳动纪律、职业道德、诚信义务。,问评析 / 谈认识,一主体一链,乙公司行为|张某行为|法治是最好的营商环境价值收束,乙公司一链|张某一链,完成裁判理由|万能合同|万能意义|只写企业诚信经营,问评析/认识；问评析/认识；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；先表态，再证明；一主体一链,否,否,否,否,否,重写,v11.1 主入口从完成裁判理由修正为评析题，一主体一链。
CC0244_2026_东城_期中_18,2026,东城,期中,18,PASS,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,18. 无人机起飞如何系好“安全带”? 陈某向店主刘某发送邮件：“急需购买A 型号无人机一台。用于重要商业拍摄。”刘某回复：“全新 原装，15000 元。”陈某立即转账。刘某误将一台内部结构轻微损伤（外观无明显痕迹）的同型号展示机 寄出。 陈某收货后在首次使用中，该无人机因上述损伤失控坠毁，砸伤陈某手臂。陈某花费医疗费8000 元，并因错过商业拍摄损失收入5000 元。陈某要求刘某赔偿，双方协商未果。 （1） （2）维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工…,具体私法关系/权利义务责任,问法律认识,,材料主体关系|具体行为|权利义务责任,,必修三套话|平台用工|消费者乱套,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；人格权/隐私/名誉/肖像/个人信息；一主体一链；一事实一法律词,否,否,否,否,否,保留,可从当前题面锁住主轴；下篇仍需按主入口和不超过3个主触发重写
CC0245_2026_东城_期中_18_2,2026,东城,期中,18,PASS,【缺失，待回源】,18（2）维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工作？ 维权途径2分 | | 充分准备2分 调解或仲裁或诉讼 2分 （无解释不具体1分） | 调解（例如第三方人民调解、行政调解、诉讼调解）或仲裁（仲裁需要双方达成有效的仲裁协议）来高效解决争议； 若不愿调解或调解不成，可考虑诉讼。如果决定向人民法院提起诉讼。需准备起诉状、原被告身份信息、熟悉诉讼流程、注意诉讼三年时效等） | 依法收集证据及类型2分 （无解释不具体1分） 可向相关部门提交固定证据，证明交易存…,材料对应的私法小问，待补设问,待回源补设问,,真实材料待核|对应权利义务待核|细则不得当材料,,万能合同|万能纠纷|万能意义,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；纠纷解决/调解/仲裁/诉讼/举证；先表态，再证明；一事实一法律词,是,否,是,是,否,待用户确认,设问缺失或需从原卷回补；存在 OCR/页码/串页/非法律污染风险
CC0251_2026_丰台_一模_20,2026,丰台,一模,20,PASS,运用所学知识展开论述；逻辑严密，条理清晰 水平3 | 观点比较明确，能表达自己的见解；能扣住观点展开论述，知识运用比较准确；逻辑性较强，有条理 水平2 | 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差 水平1 | 应答与试题无关；或重复试题内容；或没有应答,20.（8 分） 人民法院以事实为根据、以法律为准绳，作出了上述判决。根据民法典规定，宾馆、商场等公共场所经营者、管理者因过错造成他人损害的，应当承担侵权责任。被告对原告的安全保障义务应保持在合理限度内，且相关证据表明事发现场不存在影响原告通行的客观因素。原告是完全民事行为能力人，摔倒是其自身未尽安全注意义务所致。因此，某餐饮公司和某商业管理公司对此并无过错，不应承担赔偿责任。 该判决有利于平衡原被告双方的权利与义务，倡导安全文明出行和自我负责的安全责任意识，明确经营场所、公…,具体民事争议/权利责任,问理由,,材料事实|权利义务|责任承担,,非本题讲评材料|平台用工|消费者乱套,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；人格权/隐私/名誉/肖像/个人信息；先表态，再证明；一主体一链,是,是,是,是,否,待用户确认,当前材料层含答案/细则/分析说明，不能直接进入学生题链；存在 OCR/页码/串页/非法律污染风险
CC0254_2026_丰台_二模_18,2026,丰台,二模,18,PASS,司法给予我们的不仅是定分止争，也是一份融通情理的温暖力量。结合材料，综合运用法治知识，阐明你对这一观点的认识。,张某承包果园，李某饲养的牛群多次闯入果园造成果树受损、减产；民法典规定饲养动物造成他人损害，动物饲养人或管理人应承担侵权责任。法院受理后现场勘验，释明民法典饲养动物损害责任，并结合生态环境法典理念提出“分期赔偿+行为约束+生态修复”调解方案，促成和解。,饲养动物损害无过错责任与法治德治结合：以法理定分止争，以调解方案兼顾赔偿、行为约束和生态修复。,问对法治温度/法德结合的认识,调解方案理由,牛群多次闯入果园造成损害|民法典饲养动物损害责任|分期赔偿+行为约束+生态修复调解,法官释明法理|兼顾生态修复与情理,合同成立|知识产权|消费者|平台用工|非法律串页,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；先表态，再证明；一主体一链,源表答案化，已回源修复,源表是，已回源修复,源表有串页，已回源修复,否，已完成,否,重写,已从丰台二模原卷第7页锁定真实案情，非法律串页仅作为污染风险删除。
CC0276_2026_房山_二模_17,2026,房山,二模,17,PASS_RECOVERED,【缺失，待回源】,17.（8 分） 完善涉外法律法规体系，出台外商投资法及其实施条例，平等保护内外资企业合法权益；创新涉外司 法实践，公正司法，创造性适用“活扣押”等措施，提升司法公信力；打造“调解、仲裁、诉讼”衔 接的一站式线上多元纠纷解决平台，高效率实现公平正义；以和为贵，创新诉讼调解，构建多元主体 参与的涉外海事纠纷化解模式。中国以法治方式践行大国责任和担当，推动涉外法治建设。 细则 ♣2 分 完善涉外法律法规体系/加强涉外立法——合法权益/为……提供法律依据 ♣2 分 创新司法实践/公…,涉外法治/多元纠纷解决，边界偏必修三,问作用,,涉外法律体系|司法实践创新|调解仲裁诉讼平台,,合同成立|消费者|平台用工,问理由/为什么支持；问理由/为什么支持；平台用工/合作协议/三从属性；纠纷解决/调解/仲裁/诉讼/举证；法律制度意义/规则保护谁规范谁；一主体一链；一事实一法律词,疑似,否,否,是,否,待用户确认,设问缺失或需从原卷回补
CC0277_2026_房山_二模_18,2026,房山,二模,18,PASS,【待回源确认】♣3分 联系、发展、扬弃 ♣1分 OPC的出现——否定分析 ♣1分 OPC的发展——肯定分析,18.（1）（7 分）法律边界及应对措施 风险1：数字员工生成虚假负面数据文章，违反《反不正当竞争法》的商业诋毁规定，同时可能侵犯 该公司的名誉权。应履行审核义务，依法经营 风险2：将公司的核心代码等上传公共AI 平台，可能造成商业秘密泄露。应完善保密措施，与平台签 订保密合同 风险3：数字员工设计的图案直接用作商业用途，可能会侵犯他人的著作权。应履行审核义务 细则：法律边界及应对措施 ♣4 分 风险：不正当竞争/商业诋毁1 分，名誉权1 分，商业秘密泄露1 分，著作权/外观…,AI数字员工法律风险边界与应对,问法律边界及应对措施,,虚假负面数据|商业诋毁|核心代码上传,,平台劳动|消费者三倍赔偿|普通合同,问意义/价值/作用；问意义/价值/作用；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；一主体一链；一规则一价值,是,否,是,是,否,待用户确认,设问缺失或需从原卷回补；存在 OCR/页码/串页/非法律污染风险
CC0283_2026_朝阳_一模_18,2026,朝阳,一模,18,PASS,运用纠纷的多元解决方式的知识，从调解的作用角度分析，说明人民法院坚持调解优先，减少了诉讼对 创新的干扰。,18. 【答案】①坚持调解优先，促进合作共赢。人民法院通过调解方式化解知识产权纠纷，平衡各方利 益，减少诉讼对创新活动的干扰，让科研人员安心创新，促进创新成果转化运用。②坚持严格保护，加大 惩戒力度。人民法院依法适用惩罚性赔偿，大幅提高侵权违法成本，严厉制裁故意侵权行为，为“真创 新”提供“真保护”，激发全社会创新活力。③坚持规制滥用，维护创新环境。人民法院依法规制恶意诉 讼、权利滥用等不诚信诉讼行为，维护公平竞争的市场秩序，营造诚实守信的创新环境，保障创新活动健 康有序发展…,知识产权司法保护新质生产力,问法院如何依法保护知识产权,规则意义,知识产权纠纷调解|惩罚性赔偿|规制恶意诉讼,,消费者|平台用工|普通合同,问理由/为什么支持；问理由/为什么支持；消费者欺诈/虚假宣传/隐瞒/搭售；知识产权/作品/商标/专利；不正当竞争/混淆/商业诋毁/虚假宣传；一主体一链；一事实一法律词,疑似,是,否,是,否,待用户确认,当前材料层含答案/细则/分析说明，不能直接进入学生题链
CC0289_2026_朝阳_二模_18,2026,朝阳,二模,18,PASS,结合材料，运用《法律与生活》知识，将以上回答补充完整。从以上三个问答中任选其一，谈谈如何依法保护问答中所涉及到的权利。,三个问答分别涉及：高空抛物、坠物危害人身权益且适用举证责任倒置；安装摄像头可能影响邻居隐私，需要沟通协商、调整拍摄范围或拆除设备；违法构筑物影响通行、通风、采光，涉及相邻不动产权利人合法权益，原告需举证影响。,任选权利保护：生命权/身体权/健康权与举证责任倒置、隐私权保护、相邻关系权利边界和民事救济。,补问答并任选权利保护,权利救济路径,高空抛物/坠物与举证责任倒置|摄像头影响邻居隐私|违法构筑物影响通行通风采光,停止侵害/排除妨碍/消除危险/赔礼道歉/损害赔偿,合同成立|平台用工|消费者三倍赔偿|万能意义价值,问理由/为什么支持；问理由/为什么支持；人格权/隐私/名誉/肖像/个人信息；纠纷解决/调解/仲裁/诉讼/举证；相邻关系/物权边界/绿色原则/生态保护；一格一链；一主体一链,源表细则化，已回源修复,源表是，已回源修复,否,否，已完成,否,重写,已从教师版 DOCX 表格回源到三个问答，不再把设问要素和阅卷细则当材料。
CC0311_2026_海淀_二模_18,2026,海淀,二模,18,OPEN_OR_REFERENCE,【缺失，待回源】,18.（14分） （1）团队在市场调研中，运用分析与综合的思维方法，分别调查花农、批发商和电商三方的差异化需求，在具体分析各群体需求偏好的基础上，将调研结果整合为系统的育种指标，形成对市场需求的整体性认识。团队运用联想思维，将云南的自然特点与降低成本目标联结起来，并提出新假设，提出自主育种的新方案，打破照搬国外模式的传统思路。团队自主育种的过程，体现了科学思维追求认识的客观性，坚持从实际出发，对品种选育效果作出合乎逻辑的推断，并借助市场测试实践加以检验，在实践探索中实现自主创…,知识产权财产权制度作用，参考运行,问制度作用,,知识产权可质押|知识产权作价出资|发明人奖励报酬,,合同成立|消费者|平台用工,问评析/认识；问评析/认识；消费者欺诈/虚假宣传/隐瞒/搭售；知识产权/作品/商标/专利；相邻关系/物权边界/绿色原则/生态保护；先表态，再证明；一主体一链,疑似,否,否,是,是，OPEN_OR_REFERENCE 仅参考,降级参考,设问缺失或需从原卷回补
CC0317_2026_海淀_期中_18,2026,海淀,期中,18,PASS,【缺失，待回源】,18.(12 分) (1) 该合同条款无效。该合同条款是住房租赁企业为了重复使用而预先拟定，并在订立合同时 未与对方协商的条款，属于格式条款。民法典规定，采用格式条款订立合同的，提供格式条款 的一方应当遵循公平原则确定当事人之间的权利和义务。该合同条款约定合同期满后，承租方 不得与产权人私下建立合同关系，限制了承租方自由订立合同的权利，应被认定为无效。(6 分) (2)上述规定为住房租赁市场设立了清晰、规范的行为指引，由相关政府部门提供合同示范文本， 有利于规范合同内容，防止…,住房租赁格式条款效力,问合同条款效力,,预先拟定重复使用条款|限制承租方自由订约|公平原则确定权利义务,,平台用工|消费者三倍赔偿|知识产权,问意义/价值/作用；问意义/价值/作用；合同成立/要约承诺/履约违约；纠纷解决/调解/仲裁/诉讼/举证；多主体过错/未成年人/监护/平台；一主体一链；一规则一价值,疑似,否,否,是,否,待用户确认,设问缺失或需从原卷回补
CC0318_2026_海淀_期中_18_2,2026,海淀,期中,18,PASS_RECOVERED,【缺失，待回源】,18（2）上述规定为住房租赁市场设⽴了清晰、规范的⾏为指引，由相关政府部⻔提供合同 示范⽂本，有利于规范合同内容，防⽌格式条款滥⽤，保护租赁双⽅合法权益，减少合同纠 纷；引导市场主体依法依规从事⺠事活动，弘扬诚信的社会主义价值观，规范住房租赁市场 秩序；明确政府法定职责，推动政府依法履⾏市场监管职能，推进严格执法，推动良法善治。 [page 3] 3,住房租赁规则制度意义,问规定意义,,示范文本规范合同|防止格式条款滥用|保护租赁双方权益,,合同成立具体争议|平台用工|消费者欺诈,问意义/价值/作用；问意义/价值/作用；合同成立/要约承诺/履约违约；法律制度意义/规则保护谁规范谁；一主体一链；一事实一法律词,是,否,是,是,否,待用户确认,设问缺失或需从原卷回补；存在 OCR/页码/串页/非法律污染风险
CC0319_2026_海淀_期中_19,2026,海淀,期中,19,PASS,【缺失，待回源】,19.(7 分) 根据反不正当竞争法规定，不正当竞争行为是指经营者在生产经营活动中，扰乱市场竞争秩序， 损害其他经营者或者消费者的合法权益的行为。郑某利用技术手段，为用户提供不正当抢票优 势，破坏平台的购票规则，干扰、妨碍平台售票业务的正常开展，损害了甲公司的信誉以及其 他合法权益，构成不正当竞争，应当承担侵权责任。同时郑某的行为仅为少数消费者用户提供 了便利，损害了消费者的合法权益和长远利益，有违经营者公认的商业道德，不符合社会主义 核心价值观，不利于社会整体福祉的增进，扰…,不正当抢票技术服务与反不正当竞争,问行为评价,,技术手段抢票优势|破坏平台购票规则|损害竞争秩序和消费者长远利益,,消费者欺诈三倍赔偿|平台劳动|知识产权主轴,问意义/价值/作用；问意义/价值/作用；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；知识产权/作品/商标/专利；一主体一链；一规则一价值,疑似,否,否,是,否,待用户确认,设问缺失或需从原卷回补
CC0325_2026_石景山_一模_18,2026,石景山,一模,18,PASS,【缺失，待回源】,18．（8 分） 证据是打官司决胜负的关键砝码。根据我国法律关于举证责任分配的相关规定，在诉讼中，如果负有 举证责任的一方不能提供充分证据，将承担其主张不能成立的法律后果。 案件一 被告人朱某、宁某未经著作权人、注册商标权利人同意，生产、销售假冒泡泡玛特公司“温度”系列、 “夜之城”系列玩具产品，经营额达100 余万元。侦查终结后，公安机关将案件移送人民检察院。人民检 察院经审查，以侵犯著作权罪、销售侵权复制品罪提起公诉，要求追究两被告人的刑事责任。 案件二 原告某公司因不服…,诉讼举证责任分配,问举证责任,,行政诉讼举证能力差异|民事谁主张谁举证|建筑物坠落过错推定,,合同成立|知识产权主轴|消费者,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；知识产权/作品/商标/专利；纠纷解决/调解/仲裁/诉讼/举证；一主体一链；一事实一法律词,是,否,是,是,否,待用户确认,设问缺失或需从原卷回补；存在 OCR/页码/串页/非法律污染风险
CC0332_2026_石景山_二模_19,2026,石景山,二模,19,PASS_RECOVERED,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,19．（8分） 2026年1月1日，新修订的《中华人民共和国治安管理处罚法》正式施行，首次将校园欺凌纳入治安管理处罚范畴，明确以殴打、侮辱、恐吓等方式实施学生欺凌的，公安机关可直接介入，对违反治安管理的欺凌行为依法处罚，同时采取矫治教育等措施。“他还是个孩子”，不再是校园欺凌的挡箭牌。 本次修订打破了“未成年人违法不拘留”的惯例，规定已满14周岁不满16周岁的未成年人，一年内两次以上违反治安管理的，依法执行行政拘留；已满14周岁不满18周岁，初次违反治安管理但情节严重、影响恶…,未成年人校园欺凌惩教并行,问惩教并行认识,行为评价,校园欺凌纳入治安处罚|未成年人行政拘留规则|监护,,生态绿色|合同|平台用工,问理由/为什么支持；问理由/为什么支持；人格权/隐私/名誉/肖像/个人信息；多主体过错/未成年人/监护/平台；相邻关系/物权边界/绿色原则/生态保护；先表态，再证明；一主体一链,否,否,否,否,否,保留,可从当前题面锁住主轴；下篇仍需按主入口和不超过3个主触发重写
CC0340_2026_西城_一模_17,2026,西城,一模,17,PASS,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,17．（8分）良好生态环境是最公平的公共产品，是最普惠的民生福祉。 【民法典物权编】 第286条： 业主应当遵守法律、法规以及管理规约，相关行为应当符合节约资源、保护生态环境的要求。对于物业服务企业或者其他管理人执行政府依法实施的应急处置措施和其他管理措施，业主应当依法予以配合。 业主大会或者业主委员会，对任意弃置垃圾、排放污染物或者噪声等损害他人合法权益的行为，有权依照法律、法规以及管理规约，请求行为人停止侵害、排除妨碍、消除危险、恢复原状、赔偿损失。 …… 第294条：不…,物权编绿色原则推动绿色发展,问规定如何推动绿色发展,,业主遵守规约保护环境|业委会请求停止侵害|恢复原状,,知识产权|消费者|平台用工,问理由/为什么支持；问理由/为什么支持；相邻关系/物权边界/绿色原则/生态保护；法律制度意义/规则保护谁规范谁；一主体一链；一事实一法律词,否,否,否,否,否,保留,可从当前题面锁住主轴；下篇仍需按主入口和不超过3个主触发重写
CC0353_2026_西城_期中_17,2026,西城,期中,17,OPEN_OR_REFERENCE,【缺失，待回源】,17．法院判决B 公司构成不正当竞争并赔偿损失是正确的，因为B 公司的行为违反了《中华 人民共和国反不正当竞争法》和《中华人民共和国未成年人保护法》的相关规定，损害 了T 公司的合法权益和市场竞争秩序，同时危害了未成年人保护机制，应承担相应侵权 责任。法院判决以事实为依据，以法律为准绳，彰显了司法公正，维护了市场竞争秩序 和未成年人合法权益。,不正当竞争与未成年人保护，参考运行,问判决是否正确,,B公司不正当竞争|损害T公司权益和市场秩序|危害未成年人保护机制,,合同成立|消费者三倍赔偿|平台用工,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；不正当竞争/混淆/商业诋毁/虚假宣传；先表态，再证明；一主体一链,疑似,否,否,是,是，OPEN_OR_REFERENCE 仅参考,降级参考,设问缺失或需从原卷回补
CC0364_2026_通州_期中_19_1,2026,通州,期中,19,PASS,根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。,19（1）细则 一、法理依据3分 依据《中华人民共和国民法典》规定（1分，写按照法律不给分），不动产的相邻权利人应当按照有利生产、方便生活、团结互助、公平合理的原则，正确处理相邻关系。（2分，写应当为相邻方提供便利或不侵害相邻方合法权益给1分）没写出以上内容，写出法院判决以事实为根据，以法律为准绳，给1分，与前面不重复给。 二、事实分析2分 业主角度：2分 范某角度：1分，但不与业主角度重复给分 三、判决意义3分 业主合法权益1分，其他共性意义两点2分（核心观、和谐邻里关系）…,相邻关系与加装电梯权利边界,问裁判理由,材料证明,老旧小区加装电梯程序合法|玻璃幕墙减少相邻影响|相邻权利人公平合理处理关系,,逻辑小问|合同|消费者,问理由/为什么支持；问理由/为什么支持；纠纷解决/调解/仲裁/诉讼/举证；相邻关系/物权边界/绿色原则/生态保护；法律制度意义/规则保护谁规范谁；先表态，再证明；一主体一链,是,否,是,是,否,待用户确认,存在 OCR/页码/串页/非法律污染风险
CC0305_2026_海淀_一模_18_3,2026,海淀,一模,18,PASS_RECOVERED,设问待 OCR 回补；评分细则显示要求判断是否支持原告诉讼请求，并说明隐私权、消费者知情权、虚假宣传/欺诈、侵权责任和惩罚性赔偿等法律依据。,服务消费纠纷：消费者在经营者提供的包间内活动具有私密性，商家公开包厢内监控录像片段、网络聊天信息；赵某虚假宣传具有治疗糖尿病并发症等功效、夸大功效诱导消费。,隐私权侵害 + 消费者欺诈双链诉求支持,问诉求能否支持,材料证明,包间监控|聊天信息公开|虚假宣传治疗功效,,平台用工|普通合同主轴|必修三套话,问理由/为什么支持；问理由/为什么支持；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；人格权/隐私/名誉/肖像/个人信息；先表态，再证明；一规则一价值,否,否,否,否,否,保留,v11.1 保留隐私权链、消费者欺诈链、诉求支持链，但题头必须标注设问待补，不能伪装为完全闭合题。
CC0373_2026_顺义_一模_18,2026,顺义,一模,18,PASS_RECOVERED,结合材料，运用《法律与生活》知识，闫某和张某的诉求能否得到法院的支持，并说明理由。,闫某求职遭公司以仅招男性为由拒绝面试；张某原系A公司总经理并签订竞业限制协议，离职后其妻成为B公司投资人，B公司业务与A公司竞争，且B公司关联公司为张某缴纳社保。,平等就业 + 竞业限制两诉求分判,问诉求能否支持并说明理由,材料证明,仅招男性拒绝面试|竞业限制协议|配偶投资竞争企业并缴社保,,平台劳动三从属性|普通合同成立|消费者,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；平台用工/合作协议/三从属性；纠纷解决/调解/仲裁/诉讼/举证；先表态，再证明；一主体一链,否,否,否,否,否,保留,可从当前题面锁住主轴；下篇仍需按主入口和不超过3个主触发重写
