idx,module,node,title,refined_verdict,refined_note,prompt_verdict,front_note,audit_node_verdict,doc_prompt,source_prompt,source_summary,source_paths
34,二、辩证思维,分析与综合,5. 2026海淀二模 第18题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_分析与综合,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,答案明确：市场调研中运用分析与综合，分别调查花农、批发商和电商三方差异化需求，在具体分析基础上将调研结果整合为系统育种指标，形成对市场需求的整体性认识。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf
35,二、辩证思维,分析与综合,6. 2026石景山二模 第17题第（2）问（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,correct_under_user_framework_分析与综合,（2）结合材料二，运用《逻辑与思维》知识，分析如何以辩证思维方法应对养老立法的最大难点。（6分）,（2）结合材料二，运用《逻辑与思维》知识，分析如何以辩证思维方法应对养老立法的最大难点。（6分）,细则：可从辩证分合、质量互变、辩证否定观等角度回答；示例用辩证分合方法，先针对不同主体功能进行分析，再把不同主体责任统一成权责清晰、衔接有序的保障网络。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/试卷/2026北京石景山高三二模政治（教师版）.docx ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/细则/石景山区高三政治第二次模拟考试答案评分细则(1).doc
36,二、辩证思维,分析与综合,7. 2026海淀一模 第17题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,usable_under_分析与综合_with_整体性_overlap,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,细则：逻辑错误为划分标准不一、选言判断遗漏；建议可从调研方案、调研方法、数据分析等角度提出。辩证思维示例为全面观点，综合运用观察、访谈、文献、问卷，先实地观察和深度访谈探索问题，再设计问卷验证，并从整体角度思考解决。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf
37,二、辩证思维,矛盾分析法,1. 2026朝阳期中(2025-11) 第20题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_矛盾分析法,结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的“机遇”与“挑战”。（8分）,结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的“机遇”与“挑战”。（8分）,细则明确矛盾分析法：机遇与挑战是对立统一的关系，危和机总是同生并存，要在分析机遇和挑战矛盾双方基础上增强忧患意识、抓住主要矛盾，并运用分析与综合、质量互变、动态性等辩证思维方法。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx
38,二、辩证思维,矛盾分析法,2. 2025延庆一模 第18题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,usable_under_矛盾分析法_but_not_exclusive,结合材料，运用《逻辑与思维》知识，谈谈如何运用辩证思维应对低空经济面临的挑战。（7分）,结合材料，运用《逻辑与思维》知识，谈谈如何运用辩证思维应对低空经济面临的挑战。（7分）,细则给出可采用分析与综合、质量互变、辩证否定、矛盾分析法等，示例包含“用联系、发展、矛盾的观点看问题”“集中力量解决空域管理问题”，并同时强调整体性、动态性和辩证分合。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx
39,二、辩证思维,矛盾分析法,3. 2026延庆一模 第18题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_矛盾分析法,（2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）,（2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）,细则明确坚持辩证思维，用联系、发展、全面的观点看待事物，坚持矛盾分析法，既看到虚拟数字人直播的积极影响，也关注其挑战；同时可写适度原则、创新思维、辩证否定。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/细则/细则.docx
40,二、辩证思维,矛盾分析法,4. 2024丰台二模 第18题第（2）问（主观题）,P1_REASONING_NOTE_REPHRASE,同2024丰台二模18(2)：提示需改成必要条件与充分条件关系，不要粗写为充分条件错误。,exact,has_audit_note_in_answer,usable_under_矛盾分析法_but_also_sufficient_condition_reasoning,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,细则指出准确预测前景是必要条件而非充分条件；要用辩证思维看到优势和机会，也看到劣势和不足，并对具体问题进行具体分析。细则说明辩证思维包括联系、发展、矛盾、综合与分析、质量互变等观点。,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx
41,二、辩证思维,量变与质变,1. 2025海淀二模 第20题（主观题）,P1_NOTE_FACT_WRONG,2025海淀二模20细则明确含“质量互变规律/动态性”，量变质变不是纯延伸。,mismatch_needs_source_check,has_audit_note_in_answer,correct_under_user_framework_量变与质变,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,20.(6分）共享是中国特色社会主义的本质要求。结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。,细则明确质量互变规律/动态性，提示量变与质变、渐进性与飞跃性、连续性与间断性；讲评材料写“渐进共享：一口吃不成胖子，从低级到高级、从不均衡到均衡”。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx
42,二、辩证思维,量变与质变,2. 2025延庆一模 第18题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,usable_under_量变与质变_but_not_exclusive,结合材料，运用《逻辑与思维》知识，谈谈如何运用辩证思维应对低空经济面临的挑战。（7分）,结合材料，运用《逻辑与思维》知识，谈谈如何运用辩证思维应对低空经济面临的挑战。（7分）,细则给出可采用分析与综合、质量互变、辩证否定、矛盾分析法等；示例同时强调整体性、动态性和辩证分合。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx
43,二、辩证思维,适度原则,1. 2026延庆一模 第18题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_适度原则,（2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）,（2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）,细则明确“要坚持适度原则，防止过犹不及。对于虚拟数字人直播，应在支持发展的同时采取适度的监管措施”，并提示辩证思维、创新思维、辩证否定等角度。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/细则/细则.docx
44,二、辩证思维,辩证否定,1. 2025海淀二模 第20题（主观题）,P1_NOTE_FACT_WRONG,2025海淀二模20细则也明确辩证否定，但提示“只采三角度且分析/质量是延伸”的总说不准确。,mismatch_needs_source_check,has_audit_note_in_answer,correct_under_user_framework_辩证否定,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,20.(6分）共享是中国特色社会主义的本质要求。结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。,细则明确辩证否定、扬弃、否定之否定、继承与发展、保留与克服；讲评材料写共享发展理念是对“不患寡而患不均”“损有余而补不足”等思想的继承与发展。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx
45,二、辩证思维,辩证否定,2. 2024东城一模 第18题第（3）问（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,correct_under_user_framework_辩证否定,（3）发展新质生产力，要正确认识传统产业和未来产业的关系。结合材料，运用《逻辑与思维》知识，谈谈你的看法。（6分）,（3）发展新质生产力，要正确认识传统产业和未来产业的关系。结合材料，运用《逻辑与思维》知识，谈谈你的看法。（6分）,细则PPT明确：传统产业与未来产业密不可分、相互促进；发展新质生产力不是忽视、放弃传统产业，要辩证否定、改造提升传统产业；变通中特别警示不能把二者理解为新旧事物、不能认为未来产业是传统产业的辩否。,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx
46,二、辩证思维,辩证否定,3. 2026房山二模 第18题第（2）问（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,correct_under_user_framework_辩证否定,（2）结合材料一和材料二，运用《逻辑与思维》辩证否定观知识，分析OPC的出现和发展。（5分）,（2）结合材料一和材料二，运用《逻辑与思维》辩证否定观知识，分析OPC的出现和发展。（5分）,教师版答案/细则明确：OPC的出现是对传统一人公司这一旧矛盾统一体的否定，实现“单人成军”全新创业范式，是联系和发展的环节；OPC的发展要坚持扬弃，肯定与保留数字员工强大功能，同时针对法律风险改造。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026房山二模/试卷/2026北京房山高三二模政治（教师版）.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026房山二模/细则/26房山评标.docx
47,二、辩证思维,辩证否定,4. 2025门头沟一模 第21题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,contains_or_score_delta,has_audit_note_in_answer,usable_under_辩证否定_but_not_exclusive,运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。,（1）运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。,细则21(1)：坚持辩证否定观、体现整体性和动态性、分析与综合、用全面联系发展的观点看问题四选一；结合材料分析。答案示例明确“对煤炭经济加以扬弃，破除传统路径依赖，保留工业基础优势，推动新旧动能转换”。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc
48,二、辩证思维,认识发展历程,1. 2024海淀二模 第17题第（2）问（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,correct_under_user_framework_认识发展历程,（2）调查研究过程一般可分为准备阶段、调查了解阶段、分析研究阶段、总结阶段。从认识发展的历程角度，说明“调查了解阶段”与“分析研究阶段”的关联。（4分）,（2）调查研究过程一般可分为准备阶段、调查了解阶段、分析研究阶段、总结阶段。从认识发展的历程角度，说明“调查了解阶段”与“分析研究阶段”的关联。（4分）,答案/细则：调查了解阶段对事物的认识属于感性具体；认识要向前发展，需要通过分析研究对事物进行思维抽象，并使认识发展到思维具体；两个阶段相互依赖、不可分割；关系不能颠倒。,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx; /Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/补充材料/高三二模：政治答案(2).docx
49,三、创新思维,三性与三新,1. 2025昌平二模 第19题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_三性与三新_with_specific_methods,结合材料，分析沉浸式演艺是如何体现创新思维的。（8分）,结合材料，分析沉浸式演艺是如何体现创新思维的。（8分）,试卷答案：运用逆向思维创新观演模式，使观众由被动变主动；运用发散与聚合思维，从多角度开发传统经典，通过迁移和想象提供身临其境的场景；促进优秀传统文化传承发展和经济效益提升，体现创新思维思路新、方法新、结果新。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx
50,三、创新思维,三性与三新,2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_三性与三新_with_specific_methods,（2）结合材料二，运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）,（2）结合材料二，运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）,细则：超前思维预测消费趋势和旅游期待；联想思维将冰雪资源与音乐、文化叙事融合；逆向思维将冷资源转化为热经济；补充答案可写创新思维三新、发散与聚合。评卷提示只有三新+简单分析得3分，三新+分析+其他创新办法或三种具体思维方式得6分。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx
51,三、创新思维,三性与三新,3. 2026门头沟一模 第18题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_三性与三新_with_specific_methods,（2）结合材料，运用《逻辑与思维》知识，说明法院在本案解决环境纠纷过程中运用的科学思维方法。（7分）,（2）结合材料，运用《逻辑与思维》知识，说明法院在本案解决环境纠纷过程中运用的科学思维方法。（7分）,细则要点2为创新思维：法院突破简单一判了之，通过发散与聚合相结合，组织技术论证、引导多方协商，确立封场治理、资金保障、工程实施、双验收、全程监督等闭环方案。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx
52,三、创新思维,三性与三新,4. 2026延庆一模 第18题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_三性与三新_as_one_allowed_angle,（2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）,（2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）,细则明确创新思维角度：突破常规，探索新的思路和方法，鼓励创新、推动技术不断升级，同时完善相应法律法规，促进电商行业健康可持续发展。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/细则/细则.docx
53,三、创新思维,三性与三新,5. 2026石景山一模 第17题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_三性与三新_but_must_land_in_specific_methods,（2）结合材料二，运用创新思维的知识，为传承中医药文化提出两条建议。（6分）,（2）结合材料二，运用创新思维的知识，为传承中医药文化提出两条建议。（6分）,试卷答案给联想思维、发散思维、超前思维三类建议，任选两条得6分；细则也提示可从发散与聚合思维、超前思维等角度作答。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/细则/细则.doc
54,三、创新思维,三性与三新,6. 2026丰台二模 第21题（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,correct_under_user_framework_三性与三新_but_answer_needed_specific_methods,结合材料，运用创新思维，分析该区是如何让公园成为乐学之地的。（6分）,结合材料，运用创新思维，分析该区是如何让公园成为乐学之地的。（6分）,细则给6分：立足实践或创新思维含义/三新加材料2分，联想思维将生态资源迁移到教育教学2分，发散思维与聚合思维依托3+X课程体系并集中资源和多方力量2分。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026丰台二模/试卷/2026北京丰台高三二模政治（教师版）.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026丰台二模/细则/2026丰台区二模主观题阅卷细则(1).pptx
55,三、创新思维,三性与三新,7. 2026西城二模 第18题第（4）问（主观题）,P1_NOTE_OVEREXPANDED,2026西城二模18(4)渲染细则为客观性、全面/发展观点、创新三新或逆向；该提示把可检验性、联系/矛盾、发散聚合扩进去，过度。,exact,has_audit_note_in_answer,correct_under_user_framework_三性与三新_as_innovation_angle,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,细则渲染页角度3为坚持创新思维：寻找新思路、新方法、新结果（或逆向思维），坚守人类在价值判断、本质辨析中的主导作用，在科学认知与创新突破中驾驭技术、造福人类。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf
56,三、创新思维,三性与三新,8. 2025西城一模 第17题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_三性与三新,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,细则角度3明确创新思维：创新思维的“新”意味着思路新、方法新、结果新（或逆向思维），生态心不同于一般公园建设，没有常见服务设施甚至全面封闭，营造独特生态系统和荒野景观。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx
57,三、创新思维,三性与三新,9. 2025石景山一模 第19题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,supported_as_innovation_ability_not_hard_三新,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,细则第③点为运用灵感和奇思妙想思考城市发展建设，提出新颖独特的建议，体现创新思维能力；但未明示思路新、方法新、结果新。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc
58,三、创新思维,联想思维,1. 2025海淀期末 第18题（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,correct_under_user_framework_联想思维_only_for_chiyin_migration,结合材料，分析北京城市图书馆是如何运用创新思维建设新型公共文化空间的。（6分）,结合材料，分析北京城市图书馆是如何运用创新思维建设新型公共文化空间的。（6分）,试卷答案/细则将“人找书”向“书找人”明确归为逆向思维；联想思维只锁定将传统“赤印”意象迁移运用到建筑设计之中，打造富有文化韵味的城市地标。,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/试卷/试卷.docx ; /Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/细则/细则.pptx
59,三、创新思维,联想思维,2. 2026石景山一模 第17题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_联想思维,（2）结合材料二，运用创新思维的知识，为传承中医药文化提出两条建议。（6分）,（2）结合材料二，运用创新思维的知识，为传承中医药文化提出两条建议。（6分）,试卷答案第一条明确为联想思维：将中医药传统诊疗方法与现代智能传感技术结合，开发个性化健康监测与调理服务；细则另给发散聚合和超前等角度。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/细则/细则.doc
60,三、创新思维,联想思维,3. 2026东城一模 第19题第（4）问（主观题）,P0_NODE_REHANG,2026东城一模19(4)答案主体写系统观念+发散聚合，原细则未把“书架→货架”作为联想迁移采分；不宜放在联想思维节点。,exact,has_audit_note_in_answer,usable_under_user_framework_联想思维_as_one_open_angle,（4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分）,（4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分）,细则创新思维知识列举实践、特征、联想、发散、聚合、正向、逆向、超前等；评分为系统观念知识1分+创新思维知识1分+对应任一分析2分+目标1分。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（4）.pptx
61,三、创新思维,联想思维,4. 2026朝阳一模 第17题第（1）问后半（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,correct_under_user_framework_联想思维,（1）识别设计 AI 任务指令所运用的推理类型。运用联想思维的具体方法提出一份“中国铁路博物馆文创产品”的设计方案。（7分）,（1）识别设计AI任务指令所运用的推理类型。运用联想思维的具体方法提出一份“中国铁路博物馆文创产品”的设计方案。（7分）,细则：推理类型2分；联想思维具体方法为迁移或想象2分；设计方案按方法与方案一致、方案具体且含中国铁路相关元素给3分。试卷答案示例为铁路机车、铁轨、信号灯迁移到日常用品，或想象复古蒸汽机车、老车站场景等。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx
62,三、创新思维,联想思维,5. 2026海淀二模 第18题第（1）问（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,correct_under_user_framework_联想思维,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,教师版答案/讲评明确：团队运用联想思维，将云南的自然特点与降低成本目标联结起来，并提出新假设，提出自主育种的新方案，打破照搬国外模式的传统思路。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf
63,三、创新思维,联想思维,6. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,correct_under_user_framework_联想思维,（2）结合材料二，运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）,（2）结合材料二，运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）,细则明确联想思维：进行有跨越的联结，将冰雪资源与音乐、文化叙事等相融合，形成沉浸式体验，激发人们消费潜力。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx
64,三、创新思维,联想思维,7. 2025门头沟一模 第21题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,contains_or_score_delta,has_audit_note_in_answer,usable_under_user_framework_联想思维_but_not_exclusive,"（1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）",（1）运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。,细则允许创新思维培育发展新动能：运用联想、发散思维，多向探索，超前思维四选二；答案示例写将山地资源与文旅农林商跨界融合，打造“三地”品牌，形成新业态。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc
