framework_point_id,框架点名称,所属部分,支撑question_ids,支撑细则数量,formal_count,pass_recovered_count,open_reference_count,是否核心,是否仅参考,备注
D06,一路径一理由,法律动作,CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0317_2026_海淀_期中_18|CC0325_2026_石景山_一模_18|CC0305_2026_海淀_一模_18_3|CC0380_2026_顺义_二模_18_2,228,23,5,3,是,否,OPEN_OR_REFERENCE 不单独支撑核心
D07,多主体分责,法律动作,CC0002_2024_丰台_一模_17|CC0051_2024_海淀_期中_21_1|CC0084_2025_东城_二模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0180_2025_海淀_期末_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0223_2025_顺义_一模_19|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0283_2026_朝阳_一模_18|CC0325_2026_石景山_一模_18|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17,130,16,2,1,是,否,OPEN_OR_REFERENCE 不单独支撑核心
D08,合同先判成立/有效/履行,法律动作,CC0002_2024_丰台_一模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0092_2025_东城_期末_19_1|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0277_2026_房山_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0325_2026_石景山_一模_18|CC0353_2026_西城_期中_17|CC0373_2026_顺义_一模_18,248,27,6,3,是,否,OPEN_OR_REFERENCE 不单独支撑核心
D09,劳动先判三从属性,法律动作,CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0077_2025_东城_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0162_2025_海淀_一模_18|CC0181_2025_海淀_期末_21|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0238_2026_东城_二模_19|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0277_2026_房山_二模_18|CC0319_2026_海淀_期中_19|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18,169,16,3,2,是,否,OPEN_OR_REFERENCE 不单独支撑核心
D10,消费者先判权利+欺诈,法律动作,CC0019_2024_朝阳_一模_19|CC0063_2024_西城_二模_16|CC0084_2025_东城_二模_19|CC0125_2025_延庆_一模_19|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0180_2025_海淀_期末_20|CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0223_2025_顺义_一模_19|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0319_2026_海淀_期中_19|CC0305_2026_海淀_一模_18_3,111,13,2,0,是,否,核心或正式支撑
D11,知产先判权利对象+侵害方式,法律动作,CC0011_2024_丰台_二模_17|CC0040_2024_海淀_一模_19|CC0063_2024_西城_二模_16|CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0181_2025_海淀_期末_21|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0311_2026_海淀_二模_18|CC0319_2026_海淀_期中_19|CC0325_2026_石景山_一模_18,134,16,1,2,是,否,OPEN_OR_REFERENCE 不单独支撑核心
D12,程序题先分路径,法律动作,CC0002_2024_丰台_一模_17|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0325_2026_石景山_一模_18|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18|CC0380_2026_顺义_二模_18_2,277,27,8,4,是,否,OPEN_OR_REFERENCE 不单独支撑核心
D13,意义题先规则后价值,法律动作,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0311_2026_海淀_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0319_2026_海淀_期中_19|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18,281,31,10,4,是,否,OPEN_OR_REFERENCE 不单独支撑核心
D14,边界题先挡偏科,法律动作,CC0002_2024_丰台_一模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0311_2026_海淀_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0319_2026_海淀_期中_19|CC0325_2026_石景山_一模_18|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0373_2026_顺义_一模_18|CC0380_2026_顺义_二模_18_2,260,31,9,5,是,否,OPEN_OR_REFERENCE 不单独支撑核心
S01,诉求支持类,得分语言,CC0025_2024_朝阳_二模_17|CC0045_2024_海淀_二模_19|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0119_2025_丰台_期末_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0289_2026_朝阳_二模_18|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18|CC0380_2026_顺义_二模_18_2,175,14,7,2,是,否,OPEN_OR_REFERENCE 不单独支撑核心
S02,裁判理由类,得分语言,CC0119_2025_丰台_期末_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0289_2026_朝阳_二模_18,83,7,1,0,是,否,核心或正式支撑
S03,评析行为类,得分语言,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0189_2025_石景山_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0311_2026_海淀_二模_18|CC0317_2026_海淀_期中_18|CC0319_2026_海淀_期中_19|CC0325_2026_石景山_一模_18|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0380_2026_顺义_二模_18_2,229,28,6,5,是,否,OPEN_OR_REFERENCE 不单独支撑核心
S04,合同类,得分语言,CC0002_2024_丰台_一模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0092_2025_东城_期末_19_1|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0277_2026_房山_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0325_2026_石景山_一模_18|CC0353_2026_西城_期中_17|CC0373_2026_顺义_一模_18,248,27,6,3,是,否,OPEN_OR_REFERENCE 不单独支撑核心
S05,劳动类,得分语言,CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0077_2025_东城_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0162_2025_海淀_一模_18|CC0181_2025_海淀_期末_21|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0238_2026_东城_二模_19|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0277_2026_房山_二模_18|CC0319_2026_海淀_期中_19|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18,169,16,3,2,是,否,OPEN_OR_REFERENCE 不单独支撑核心
S06,竞业限制类,得分语言,CC0025_2024_朝阳_二模_17|CC0077_2025_东城_一模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0181_2025_海淀_期末_21|CC0195_2025_西城_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0277_2026_房山_二模_18|CC0373_2026_顺义_一模_18,97,11,1,0,是,否,核心或正式支撑
S07,消费者类,得分语言,CC0019_2024_朝阳_一模_19|CC0063_2024_西城_二模_16|CC0084_2025_东城_二模_19|CC0125_2025_延庆_一模_19|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0180_2025_海淀_期末_20|CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0223_2025_顺义_一模_19|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0319_2026_海淀_期中_19|CC0305_2026_海淀_一模_18_3,111,13,2,0,是,否,核心或正式支撑
S08,人格权类,得分语言,CC0084_2025_东城_二模_19|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0223_2025_顺义_一模_19|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0277_2026_房山_二模_18|CC0289_2026_朝阳_二模_18|CC0332_2026_石景山_二模_19|CC0305_2026_海淀_一模_18_3|CC0380_2026_顺义_二模_18_2,117,8,2,1,是,否,OPEN_OR_REFERENCE 不单独支撑核心
S09,知识产权类,得分语言,CC0011_2024_丰台_二模_17|CC0040_2024_海淀_一模_19|CC0063_2024_西城_二模_16|CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0181_2025_海淀_期末_21|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0311_2026_海淀_二模_18|CC0319_2026_海淀_期中_19|CC0325_2026_石景山_一模_18,134,16,1,2,是,否,OPEN_OR_REFERENCE 不单独支撑核心
S10,不正当竞争类,得分语言,CC0040_2024_海淀_一模_19|CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0189_2025_石景山_一模_20|CC0206_2025_西城_期末_19|CC0223_2025_顺义_一模_19|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0277_2026_房山_二模_18|CC0319_2026_海淀_期中_19|CC0353_2026_西城_期中_17|CC0305_2026_海淀_一模_18_3,88,10,2,2,是,否,OPEN_OR_REFERENCE 不单独支撑核心
S11,纠纷解决类,得分语言,CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0325_2026_石景山_一模_18|CC0305_2026_海淀_一模_18_3|CC0380_2026_顺义_二模_18_2,220,21,4,3,是,否,OPEN_OR_REFERENCE 不单独支撑核心
S12,多主体过错类,得分语言,CC0002_2024_丰台_一模_17|CC0084_2025_东城_二模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0180_2025_海淀_期末_20|CC0200_2025_西城_二模_18|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0325_2026_石景山_一模_18|CC0332_2026_石景山_二模_19|CC0353_2026_西城_期中_17,110,12,1,1,是,否,OPEN_OR_REFERENCE 不单独支撑核心
S13,好意同乘类,得分语言,CC0002_2024_丰台_一模_17|CC0119_2025_丰台_期末_19,13,2,0,0,是,否,核心或正式支撑
S14,绿色生态类,得分语言,CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0040_2024_海淀_一模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0084_2025_东城_二模_19|CC0092_2025_东城_期末_19_1|CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0189_2025_石景山_一模_20|CC0206_2025_西城_期末_19|CC0223_2025_顺义_一模_19|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0311_2026_海淀_二模_18|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0364_2026_通州_期中_19_1,183,19,5,3,是,否,OPEN_OR_REFERENCE 不单独支撑核心
S15,意义价值类,得分语言,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0311_2026_海淀_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0319_2026_海淀_期中_19|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0373_2026_顺义_一模_18,283,32,9,4,是,否,OPEN_OR_REFERENCE 不单独支撑核心
F01,法院,反向筛查,CC0002_2024_丰台_一模_17|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0283_2026_朝阳_一模_18|CC0325_2026_石景山_一模_18|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0373_2026_顺义_一模_18,220,23,6,3,是,否,OPEN_OR_REFERENCE 不单独支撑核心
F02,法治,反向筛查,CC0019_2024_朝阳_一模_19|CC0040_2024_海淀_一模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0092_2025_东城_期末_19_1|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0311_2026_海淀_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0305_2026_海淀_一模_18_3|CC0380_2026_顺义_二模_18_2,211,25,9,3,是,否,OPEN_OR_REFERENCE 不单独支撑核心
F03,企业,反向筛查,CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0054_2024_石景山_一模_17|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0277_2026_房山_二模_18|CC0311_2026_海淀_二模_18|CC0317_2026_海淀_期中_18|CC0319_2026_海淀_期中_19|CC0325_2026_石景山_一模_18|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18|CC0380_2026_顺义_二模_18_2,216,27,5,4,是,否,OPEN_OR_REFERENCE 不单独支撑核心
F04,消费者,反向筛查,CC0019_2024_朝阳_一模_19|CC0040_2024_海淀_一模_19|CC0063_2024_西城_二模_16|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0189_2025_石景山_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0223_2025_顺义_一模_19|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0311_2026_海淀_二模_18|CC0319_2026_海淀_期中_19|CC0353_2026_西城_期中_17|CC0305_2026_海淀_一模_18_3,181,22,2,4,是,否,OPEN_OR_REFERENCE 不单独支撑核心
