title,status,reasons,missing_count,forbidden_count,answer_chars,trigger_chars
31. 2024海淀一模 Q18/19（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,12
32. 2024朝阳期中 Q18（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,31
33. 2025朝阳二模 Q17/16（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,36
34. 2024朝阳期中 Q相关（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,41,15
35. 2024朝阳期中 Q18（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,36
36. 2024朝阳二模 Q19（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,28
37. 2026东城期末 Q1/Q2/Q3（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,31
38. 2026顺义一模 Q相关（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt | trigger_too_thin,0,1,41,11
39. 2024丰台一模 Q相关（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,28,19
40. 2025朝阳期末 Q相关（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,48,16
41. 2026东城一模 Q7（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,15
42. 2025丰台二模 Q14（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,48
43. 2025房山一模（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,34
44. 2024海淀二模 Q7（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,29
45. 2026丰台一模 Q1/Q2/Q3（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,26
46. 2025海淀一模（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,21
47. 2024朝阳一模 Q相关（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,43,14
48. 2024朝阳一模 Q6（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,38
49. 2026海淀一模 Q17（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,26
50. 2026朝阳期末 Q6（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,34
51. 2025东城期末 Q15（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,46,32
