原题源,统一后题源,处理状态,六要素,小框架,术语标题
2026延庆一模 Q19(2),2026延庆一模 第19题第（2）问,已统一,经济全球化,国,推动成员国经济复苏 / 共建国家经济增长
2026房山一模 Q19,2026房山一模 第19题,已统一,经济全球化,营,优化营商环境 / 国际化、市场化、法治化营商环境
2025昌平二模 Q21,2025昌平二模 第21题,已统一,经济全球化,营,优化营商环境 / 国际化、市场化、法治化营商环境
2025西城一模 Q21(2),2025西城一模 第21题第（2）问,已统一,经济全球化,国,推动成员国经济复苏 / 共建国家经济增长
2026西城一模 Q20(2),2026西城一模 第20题第（2）问,已统一,经济全球化,营,优化营商环境 / 国际化、市场化、法治化营商环境
2026门头沟一模 Q20,2026门头沟一模 第20题,已统一,经济全球化,营,优化营商环境 / 国际化、市场化、法治化营商环境
2024东城一模 Q20,2024东城一模 第20题,已统一,经济全球化,营,优化营商环境 / 国际化、市场化、法治化营商环境
2024海淀期中 Q21(2),2024海淀期中 第21题第（2）问,已统一,时代背景,挑战,霸权主义 / 强权政治
2025顺义一模 Q20,2025顺义一模 第20题,已统一,经济全球化,国,推动成员国经济复苏 / 共建国家经济增长
2025海淀期中 Q21(2),2025海淀期中 第21题第（2）问,已统一,中国,一条主线,习近平外交思想为新时代中国特色大国外交提供了根本遵循和行动指南
2026延庆一模 Q19(2),2026延庆一模 第19题第（2）问,已统一,经济全球化,国,推动成员国经济复苏 / 共建国家经济增长
2024海淀期中 Q21(2),2024海淀期中 第21题第（2）问,已统一,中国,一条主线,习近平外交思想为新时代中国特色大国外交提供了根本遵循和行动指南
2025朝阳期末 Q21,2025朝阳期末 第21题,已统一,时代背景,挑战,霸权主义 / 强权政治
