entry_id,suite_id,question_no,sub_part,target_node,evidence_level,rubric_excerpt_short,evidence_path,boundary_note
2024_西城_二模__Q9__价值观的导向作用,2024_西城_二模,9,,价值观 / 人生观/价值观的导向作用,answer-key,,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx 第9题；细则 /Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,
2024_西城_二模__Q17__生产力与生产关系,2024_西城_二模,17,,历史唯物主义/社会发展的两大基本规律和基本矛盾,rubric-formal,可以从以下角度作答：人类社会发展的进程和趋势，生产力与生产关系，经济基础与上层建筑，马克思主义中国化时代化新的飞跃；……,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx 第17题,
2024_西城_二模__Q17__发展进程与趋势,2024_西城_二模,17,,历史唯物主义/社会发展的两大基本规律和基本矛盾,rubric-formal,可以从以下角度作答：人类社会发展的进程和趋势，生产力与生产关系，经济基础与上层建筑……,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx 第17题,
2024_顺义_二模__Q1__联系的观点,2024_顺义_二模,1,,辩证法/联系的普遍性 / 联系的观点(总),answer-key,,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx 第1题；细则 /Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
2024_顺义_二模__Q2__意识的能动作用,2024_顺义_二模,2,,唯物论/主观能动性 / 意识的能动作用,answer-key,,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx 第2题；细则 /Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
2024_顺义_二模__Q3__矛盾分析法,2024_顺义_二模,3,,辩证法/矛盾的特殊性 / 具体问题具体分析,answer-key,,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx 第3题；细则 /Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
2024_顺义_二模__Q5_错项AD__实践与意识,2024_顺义_二模,5,,认识论/实践与认识(总),answer-key,,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx 第5题；细则 /Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
2024_顺义_二模__Q16_1__矛盾普遍性与特殊性,2024_顺义_二模,16,(1),辩证法/矛盾的普遍性和特殊性,rubric-formal,可以从价值观、规律、普特关系等角度回答。矛盾的普遍性和特殊性相互联结，要在矛盾普遍性原理的指导下具体研究矛盾的特殊性。矛盾的普遍性和特殊性相互连结，普遍性寓于特殊性之中，特殊性包含普遍性。,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx 第16题(1)；细则 /Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
2024_顺义_二模__Q16_1__规律,2024_顺义_二模,16,(1),唯物论/规律的客观性,rubric-formal,可以从价值观、规律、普特关系等角度回答。,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx 第16题(1)；细则 /Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
2024_顺义_二模__Q16_1__价值观,2024_顺义_二模,16,(1),价值观 / 人生观/价值观的导向作用,rubric-formal,可以从价值观、规律、普特关系等角度回答。,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx 第16题(1)；细则 /Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
2024_顺义_二模__Q20_2__实践与认识,2024_顺义_二模,20,(2),认识论/实践与认识(总),rubric-formal,可以从中国共产党的领导、实践和认识、科学的世界观和方法论、一切从实际出发、价值观等角度回答。,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx 第20题(2)；细则 /Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
2024_顺义_二模__Q20_2__一切从实际出发,2024_顺义_二模,20,(2),唯物论/一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,rubric-formal,可以从中国共产党的领导、实践和认识、科学的世界观和方法论、一切从实际出发、价值观等角度回答。,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx 第20题(2)；细则 /Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
2024_顺义_二模__Q20_2__价值观,2024_顺义_二模,20,(2),价值观 / 人生观/价值观的导向作用,rubric-formal,可以从中国共产党的领导、实践和认识、科学的世界观和方法论、一切从实际出发、价值观等角度回答。,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx 第20题(2)；细则 /Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
2025_东城_一模__Q6__认识受主客观因素影响,2025_东城_一模,6,,认识论/认识的反复性,rubric-formal,参考答案：C（认识受到主客观因素影响，因人而异、因时而异）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf 第8页 第6题参考答案,
2025_东城_一模__Q16__文化是社会实践的产物,2025_东城_一模,16,,历史唯物主义/社会存在与社会意识,rubric-formal,丰富内涵-2分：春节是中华民族社会生活实践的产物/承载着中华民族独特的精神传统和文化活动/承载着中国民族的价值取向。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf 第1页 第16题阅卷标准,
2025_东城_一模__Q16__价值观的导向作用,2025_东城_一模,16,,价值观 / 人生观/价值观的导向作用,rubric-formal,文化价值-2分：春节增强了民族自豪感和凝聚力/满足人们对美好生活的向往、期待。哲学可用知识：价值观的导向作用、价值判断和价值选择。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf 第1页 第16题阅卷标准,
2025_东城_一模__Q16__辩证否定与发展,2025_东城_一模,16,,辩证法/辩证否定观,rubric-formal,文化创新-2分：传统文化创造性转化创新性发展/立足时代之基、回答时代之问/融通不同资源、综合创新。哲学可用知识：辩证否定观、发展、矛盾。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf 第1页 第16题阅卷标准,
2025_东城_一模__Q16__矛盾普遍性与特殊性,2025_东城_一模,16,,辩证法/矛盾分析法,rubric-formal,共鸣角度-2分：春节中蕴含的热爱和平、和谐发展的理念，是全人类共同价值追求，得到世界人民尊重和喜爱。哲学可用知识：矛盾普遍性与特殊性的辩证关系。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf 第1页 第16题阅卷标准,
2025_东城_一模__Q18-1__辩证法-联系的整体性,2025_东城_一模,18,(1),辩证法/联系的观点,rubric-formal,整体性可以替换为：联系的观点、全面的观点、坚持系统优化、综合的观点、立足整体。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf 第3页 第18(1)题阅卷标准,
2025_东城_一模__Q18-1__辩证法-发展的观点,2025_东城_一模,18,(1),辩证法/发展的观点,rubric-formal,动态性可替换为：发展的观点、量变质变。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf 第3页 第18(1)题阅卷标准,
2025_东城_一模__Q18-1__辩证法-主要矛盾,2025_东城_一模,18,(1),辩证法/矛盾分析法 / 主要矛盾与次要矛盾,rubric-formal,抓主要矛盾可替换为坚持两点论重点论相统一。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf 第3页 第18(1)题阅卷标准,
2025_东城_一模__Q21__经济基础与上层建筑,2025_东城_一模,21,,历史唯物主义/经济基础与上层建筑,rubric-formal,是：2个角度，共2分：教育是培养人的社会活动1分；作为上层建筑反作用于经济基础1分。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf 第6页 第21题阅卷标准,
2025_东城_二模__Q2__价值观与爱国,2025_东城_二模,2,,价值观 / 人生观/价值判断与价值选择,rubric-formal,细则：2.D（强国志、强国技、强国功有机统一）,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf 第1页 第2题；细则.pdf 选择题答案,
2025_东城_二模__Q16__物质决定意识,2025_东城_二模,16,,唯物论/物质决定意识,rubric-formal,阅卷报告角度1：物质决定意识，要求我们一切从实际出发（社会存在决定社会意识）。人工智能的发展是基于当前的科技水平、社会需求等客观实际。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf 第16题,
2025_东城_二模__Q16__价值观导向作用,2025_东城_二模,16,,价值观 / 人生观/价值观的导向作用,rubric-formal,阅卷报告角度2：价值观的导向作用（意识的反作用/社会意识的反作用）。为人工智能的设计、开发、使用和维护制定明确的伦理准则。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf 第16题,
2025_东城_二模__Q16__矛盾分析法,2025_东城_二模,16,,辩证法/矛盾分析法,rubric-formal,阅卷报告角度3：矛盾是对立统一，全面看问题。人工智能发展带来诸多机遇，但也存在风险，我们要正视这些矛盾，采取相应的措施解决矛盾。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf 第16题,
2025_东城_二模__Q16__实践与认识,2025_东城_二模,16,,认识论/实践与认识的关系,rubric-formal,阅卷报告角度4：实践是认识的基础。人与人工智能的关系要在实践中不断调试。角度5：认识具有反复性、无限性和上升性，要求我们与时俱进。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf 第16题,
2025_东城_二模__Q16__人民群众,2025_东城_二模,16,,历史唯物主义/人民群众是历史的创造者,rubric-formal,阅卷报告角度6：人民群众是历史的创造者，要求我们坚持群众观点和群众路线。在与人工智能共创美好未来的过程中，要充分调动广大人民群众的积极性、主动性和创造性。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf 第16题,
2025_东城_二模__Q21__具体问题具体分析,2025_东城_二模,21,,辩证法/矛盾分析法,rubric-formal,细则第二层（2）具体问题具体分析/一切从实际出发/把握矛盾的特殊性——调动人民群众民主参与的积极性主动性/增强民主的广泛性。本题要求'能够跨模块综合如哲学'。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf 第21题,
2025_东城_二模__Q21__发展的观点,2025_东城_二模,21,,辩证法/发展的观点,rubric-formal,细则第二层（3）实践中创新/创新思维/发展观点——资源共享/提升治理效能/切实解决群众问题。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf 第21题,
2025_东城_期末__Q4__矛盾对立统一,2025_东城_期末,4,,辩证法/矛盾的观点,rubric-formal,答案A（①②）；解析：矛盾的同一性和斗争性原理；①笔画的对立统一中彰显中华汉字之美；③错：共性寓于个性之中,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf 第1页 第4题；细则解析,
2025_东城_期末__Q16__主观能动性,2025_东城_期末,16,,唯物论/主观能动性 / 意识的能动作用,rubric-formal,补充材料《东城期末.pptx》slide 21第三层：意识的能动作用（主观能动性），1分；提高对器物价值的认识，做好搜集、保护、研究工作，1分,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/补充材料/东城期末.pptx slide 21 第16题第三层评分细则,
2025_丰台_一模__Q2__矛盾的对立统一,2025_丰台_一模,2,,辩证法/矛盾分析法,rubric-formal,参考答案：B（①笔画间的对立统一成就了书法的艺术生命力；③疏密错落的结构蕴含作者的情感与精神境界）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf 第9页 第2题参考答案,
2025_丰台_一模__Q4__尊重自然规律,2025_丰台_一模,4,,唯物论/规律的客观性与普遍性,rubric-formal,参考答案：A（②尊重自然规律，实现了生态环境与基础设施的和谐统一）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf 第9页 第4题参考答案,
2025_丰台_一模__Q16__价值判断与价值选择,2025_丰台_一模,16,,价值观 / 人生观/价值判断与价值选择,rubric-formal,可从践行社会主义核心价值观、传承中华优秀传统文化（中华传统美德）、坚持理想信念（坚持马克思主义的指导）、坚持正确的价值观，做出正确的价值判断和价值选择、弘扬以爱国主义为核心民族精神和以改革创新为核心的时代精神、筑牢中华民族共同体意识、坚持习近平文化思想的指导、培养家国情怀等角度作答。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx 第16题阅卷细则,
2025_丰台_一模__Q18-3__联系的观点,2025_丰台_一模,18,(3),辩证法/联系的观点,rubric-formal,可从联系观、发展观、矛盾观、价值观等角度阐述人与人工智能的关系。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx 第18(3)题阅卷标准,
2025_丰台_一模__Q18-3__发展的观点,2025_丰台_一模,18,(3),辩证法/发展的观点,rubric-formal,可从联系观、发展观、矛盾观、价值观等角度阐述人与人工智能的关系。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx 第18(3)题阅卷标准,
2025_丰台_一模__Q18-3__矛盾的观点,2025_丰台_一模,18,(3),辩证法/矛盾分析法,rubric-formal,可从联系观、发展观、矛盾观、价值观等角度阐述人与人工智能的关系。人工智能可能会对人类产生一定的冲击和挑战…另一方面人工智能的发展也为人类带来了巨大的机遇和便利。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx 第18(3)题阅卷标准,
2025_丰台_一模__Q18-3__价值观,2025_丰台_一模,18,(3),价值观 / 人生观/价值判断与价值选择,rubric-formal,可从联系观、发展观、矛盾观、价值观等角度阐述人与人工智能的关系。坚持正确的价值观，在发展人工智能的过程中，把人的利益作为最高价值标准，做出正确的价值判断与价值选择。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx 第18(3)题阅卷标准,
2025_丰台_二模__Q4__联系的多样性,2025_丰台_二模,4,,辩证法/联系的观点,rubric-formal,细则：4.A（①②）,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf 第1-2页 第4题；试卷.pdf 第8页 答案,
2025_丰台_二模__Q5__矛盾对立统一,2025_丰台_二模,5,,辩证法/矛盾分析法,rubric-formal,细则：5.A（①②）,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf 第2页 第5题；试卷.pdf 第8页 答案,
2025_丰台_二模__Q16_1__实践与认识,2025_丰台_二模,16,(1),认识论/实践与认识的关系,rubric-formal,分题细则16(1)：哲学观点3分——正确的认识对实践有指导作用/实践是认识指导下人有目的、有意识的活动；实践决定认识（或来源/动力/标准/目的）；认识在实践的基础上不断深化/认识具有前进性上升性。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/16.(1).doc,
2025_丰台_二模__Q21__尊重客观规律与发挥主观能动性,2025_丰台_二模,21,,唯物论/客观规律与主观能动性,rubric-formal,分题细则21：'客观规律主观能动性辩证关系【必采】/从三个角度全覆盖且论证充分有力'；'可从唯物论、辩证法、党的领导、对外开放等角度作答'。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/21题.docx,
2025_丰台_二模__Q21__主观能动性_思想引领,2025_丰台_二模,21,,唯物论/主观能动性 / 意识的能动作用,rubric-formal,分题细则21：'激活思维之势重在思想引领，马克思主义中国化时代化不断激活理论势能，社会主义信念通过价值转化凝聚复兴合力'。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/21题.docx,
2025_丰台_期末__Q4__人生价值的实现,2025_丰台_期末,4,,价值观 / 人生观/价值的实现与创造,reference-only,答案A（①③）：①要在为国尽责、为民服务的实践中实现个人价值、展现人生风采；③自觉汲取榜样力量，不断修身立德，为他人和社会做出自己的贡献,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf 第2页 第4题,
2025_丰台_期末__Q7__一切从实际出发,2025_丰台_期末,7,,唯物论/一切从实际出发 实事求是,reference-only,答案C：从实际出发，从当下做起，生活才能少些迷茫,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf 第3页 第7题,
2025_丰台_期末__Q16__实践是认识的基础,2025_丰台_期末,16,,认识论/实践与认识的辩证关系,rubric-formal,细则slide 5-7'数'从哪里来：实践、实际出发、规律、发挥主观能动性；细则slide 7：从实践、一切从实际出发、联系观、发展观、矛盾观等角度作答,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx slide 5-10 第16题评分细则,
2025_丰台_期末__Q16__主观能动性,2025_丰台_期末,16,,唯物论/主观能动性 / 意识的能动作用,rubric-formal,细则slide 5'数'从哪里来涉及：实践、实际出发、规律、发挥主观能动性,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx slide 5-10 第16题评分细则,
2025_丰台_期末__Q16__量变与质变,2025_丰台_期末,16,,辩证法/发展的观点 / 量变与质变,rubric-formal,细则slide 5'数'当如何定：质量互变规律；slide 8答案示例：量变是质变的必要准备，要坚持适度原则，明确事物量变到质变的界限,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx slide 5-10 第16题评分细则,
2025_丰台_期末__Q16__系统观念整体部分,2025_丰台_期末,16,,辩证法/联系的观点,rubric-formal,细则slide 5'数'当如何定：系统优化、整体部分；slide 8答案示例：要坚持系统观念，立足整体把握相互关联的诸多要素,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx slide 5-10 第16题评分细则,
2025_丰台_期末__Q16__矛盾特殊性,2025_丰台_期末,16,,辩证法/矛盾的观点,rubric-formal,细则slide 5'数'当如何定：矛盾；slide 8答案示例：分析矛盾的特殊性，精准分析工作中的'数',/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx slide 5-10 第16题评分细则,
2025_丰台_期末__Q16__认识对实践反作用,2025_丰台_期末,16,,认识论/实践与认识的辩证关系,rubric-formal,细则slide 5'数'为何所用：认识对实践的反作用、意识的能动作用、正确的价值观,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx slide 5-10 第16题评分细则,
2025_丰台_期末__Q17__人民群众是历史的创造者,2025_丰台_期末,17,,历史唯物主义/人民群众是历史的创造者,rubric-formal,细则slide 18-19：1.理论层面：人民性是马克思主义的本质属性/人民群众是历史的创造者（1分）可替换：群众观点，党初心使命等类似表述,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx slide 18-19 第17题评分细则,
2025_延庆_一模__Q4__尊重客观规律,2025_延庆_一模,4,,唯物论/规律的客观性与普遍性,rubric-formal,参考答案：D（②要遵循自然发展客观规律，践行绿色发展理念；④要运用综合思维，统筹各方力量，实现人与自然和谐共生）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf 第9页 第4题参考答案,
2025_延庆_一模__Q16__一切从实际出发,2025_延庆_一模,16,,唯物论/物质决定意识,rubric-formal,网络文艺作品的创作要从实际出发，充分了解老年人的精神文化需要，为老年人提供丰富的文化产品（3分）；可以从一切从实际出发、矛盾、价值观、文化发展的基本途径等角度作答。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx 第16题细则,
2025_延庆_一模__Q16__价值观,2025_延庆_一模,16,,价值观 / 人生观/价值判断与价值选择,rubric-formal,网络文艺作品的创作要坚持正确的价值导向，立足时代，创作表现新时代中老年人老有所为为家庭文明、社会发展、国家进步贡献'银发力量'的故事（3分）；可以从一切从实际出发、矛盾、价值观、文化发展的基本途径等角度作答。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx 第16题细则,
2025_延庆_一模__Q18__发展的观点-量变质变,2025_延庆_一模,18,,辩证法/发展的观点 / 量变与质变,rubric-formal,答案：采用分析与综合、质量互变，辩证否定，矛盾分析法等；坚持质量互变规律，注重量变到质变的过程，稳步扩大市场规模，逐步汇聚产业要素，实现从'小''散'向'大''优'转变。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx 第18题细则,
2025_延庆_一模__Q18__矛盾分析法,2025_延庆_一模,18,,辩证法/矛盾分析法,rubric-formal,采用分析与综合、质量互变，辩证否定，矛盾分析法等。坚持矛盾分析法。通过统筹安全与效率、需求与供给、政府与市场等多重矛盾，低空经济才能实现高质量发展。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx 第18题细则,
2025_房山_一模__Q3__具体问题具体分析,2025_房山_一模,3,,辩证法/矛盾分析法 / 具体问题具体分析,rubric-formal,参考答案：B（智能养老技术发展需从老年群体的特殊需要出发，让'科技更适老'）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf 第1页 第3题答案,
2025_房山_一模__Q4__矛盾普遍性与特殊性,2025_房山_一模,4,,辩证法/矛盾分析法,rubric-formal,参考答案：C（曼谷大气污染治理要坚持共性与个性具体的历史的统一）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf 第1页 第4题答案,
2025_房山_一模__Q16-1__矛盾分析法,2025_房山_一模,16,(1),辩证法/矛盾分析法,rubric-formal,哲学（3分）：用一分为二全面的观点去看问题（2分）、或者写矛盾、辩证的看问题（1分）。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf 第1页 第16(1)题细则,
2025_房山_一模__Q16-1__价值判断与价值选择,2025_房山_一模,16,(1),价值观 / 人生观/价值判断与价值选择,rubric-formal,哲学（3分）：要树立正确的价值观、或者正确的价值判断和价值选择（1分）。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf 第1页 第16(1)题细则,
2025_房山_一模__Q20__发展的观点-前进性与曲折性,2025_房山_一模,20,,辩证法/发展的观点 / 前进性与曲折性,rubric-formal,可从中华民族伟大复兴、中华民族精神、发展观等角度回答；具体可用知识点：发展观（质量互变，前进性与曲折性），实现人生价值，价值判断与价值选择。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf 第3页 第20题细则,
2025_房山_一模__Q20__发展的观点-量变质变,2025_房山_一模,20,,辩证法/发展的观点 / 量变与质变,rubric-formal,具体可用知识点：发展观（质量互变，前进性与曲折性）。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf 第3页 第20题细则,
2025_房山_一模__Q20__人生价值的实现,2025_房山_一模,20,,价值观 / 人生观/价值的创造与实现,rubric-formal,具体可用知识点：实现人生价值，价值判断与价值选择。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf 第3页 第20题细则,
2025_昌平_二模__Q2__认识具有上升性,2025_昌平_二模,2,,认识论/真理,rubric-formal,细则：2.D（③④）,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf 第1页 第2题；试卷.pdf 第9页 答案,
2025_昌平_二模__Q4__合规律性与合目的性,2025_昌平_二模,4,,价值观 / 人生观/价值判断与价值选择,rubric-formal,细则：4.C（②④）,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf 第1-2页 第4题；试卷.pdf 第9页 答案,
2025_昌平_二模__Q6__实践与认识,2025_昌平_二模,6,,认识论/实践与认识的关系,rubric-formal,细则：6.C（②③）,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf 第2页 第6题；试卷.pdf 第9页 答案,
2025_昌平_二模__Q16__价值观,2025_昌平_二模,16,,价值观 / 人生观/价值判断与价值选择,rubric-formal,细则.pptx slide 2-3：'可从正确的价值观、实现人生价值、实践和认识、文化载体、文化作用、优秀传统文化传承、民族精神、文化自信等角度作答'。哲学角度：价值观的导向作用——尊重、站在、做出正确的价值判断与价值选择，坚定理想信念，在……实现人生价值。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx slide 2-3,
2025_昌平_二模__Q16__实践与认识,2025_昌平_二模,16,,认识论/实践与认识的关系,rubric-formal,细则.pptx slide 3：'认识对实践的指导作用'+'继承和发扬优秀传统文化、弘扬民族精神、树立文化自信，指导实践'。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx slide 2-3,
2025_昌平_二模__Q16__联系的观点,2025_昌平_二模,16,,辩证法/联系的观点,rubric-formal,细则.pptx slide 3：'事物是普遍联系的；用联系的观点看问题，从书法中汲取信仰与力量'。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx slide 2-3,
2025_昌平_二模__Q22__尊重客观规律,2025_昌平_二模,22,,唯物论/客观规律与主观能动性,rubric-formal,细则：'可从党的领导、我国社会主义市场经济体制、供给侧结构性改革、需求牵引供给、尊重规律、改革开放、创新发展、民族精神等角度作答'。其中'尊重规律'为必修四唯物论角度。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf 第8页 第22题；细则.pptx slide 16-18,
2025_朝阳_一模__Q4__具体问题具体分析,2025_朝阳_一模,4,,辩证法/矛盾分析法 / 具体问题具体分析,rubric-formal,参考答案：B（'敌进我退，敌驻我扰，敌疲我打，敌退我追'，把握了具体分析方法）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/试卷/试卷.pdf 第8页 第4题参考答案,
2025_朝阳_一模__Q16__社会存在与社会意识,2025_朝阳_一模,16,,历史唯物主义/社会存在与社会意识,rubric-formal,能运用文化传承与创新、实践、社会存在社会意识、价值创造与实现等知识作答（试卷参考答案+细则PDF视觉读取）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf 第1页 第16题阅卷标准,
2025_朝阳_一模__Q16__实践是认识的基础,2025_朝阳_一模,16,,认识论/实践与认识的关系,rubric-formal,能运用文化传承与创新、实践、社会存在社会意识、价值创造与实现等知识作答（试卷参考答案+细则PDF视觉读取）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf 第1页 第16题阅卷标准,
2025_朝阳_一模__Q16__价值的创造与实现,2025_朝阳_一模,16,,价值观 / 人生观/价值的创造与实现,rubric-formal,能运用文化传承与创新、实践、社会存在社会意识、价值创造与实现等知识作答（试卷参考答案+细则PDF视觉读取）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf 第1页 第16题阅卷标准,
2025_朝阳_一模__Q21__人民群众是历史的创造者,2025_朝阳_一模,21,,历史唯物主义/人民群众是历史的创造者,rubric-formal,能综合运用《中国特色社会主义》《政治与法治》《哲学与文化》等模块知识作答；为什么：中国共产党的本质，把人民群众的小事当作我们的大事；初心使命；人民立场（细则PDF视觉读取）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf 第3页 第21题阅卷标准,
2025_朝阳_一模__Q21__价值判断与价值选择,2025_朝阳_一模,21,,价值观 / 人生观/价值判断与价值选择,rubric-formal,为什么角度：价值判断和价值选择/方法论；自觉站在最广大人民立场上（细则PDF视觉读取）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf 第3页 第21题阅卷标准,
