section,audit_id,source,trigger,evidence_grade,origin,content_verdict
改革 / 改革的实质,V3-FW-0189,2025北京石景山高三一模 第21题（`石景山 高三政治评分细则.doc`） 【证据：A细则/阅卷/评分标准直接支持】,改革的实质 / 社会基本矛盾运动,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
人民群众,V3-FW-0199,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`） 【证据：A细则/阅卷/评分标准直接支持】,人民群众 / 群众观点,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
人民群众,V3-FW-0384,2024北京朝阳高三一模 第3题,人生价值 / 人民群众 / 个人与社会统一,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
人民群众,V3-FW-0440,2024北京朝阳高三二模 第1题,人民立场 / 人民群众 / 价值观导向,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
人民群众,V3-FW-0201,2024北京朝阳高三期中 第16题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`） 【证据：A细则/阅卷/评分标准直接支持】,人民群众是社会历史的主体和创造者 / 群众观点和群众路线,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
人民群众,V3-FW-0200,2024北京西城高三二模 第18题第（4）问（`高三模拟测试思想政治答案细则.docx`） 【证据：A细则/阅卷/评分标准直接支持】,人民群众的历史作用 / 群众观点,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
人民群众,V3-FW-0196,2025北京海淀高三（上）期末 第7题,人民群众是历史的创造者 / 群众路线,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
人民群众,V3-FW-0313,2025北京门头沟高三一模 第21题（2）,人民群众 / 价值观导向 / 价值判断与价值选择,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0405,2024北京丰台高三一模 第1题,革命文化 / 长征精神 / 价值观导向,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
价值观的导向作用,V3-FW-0217,2024北京丰台高三二模 第21题（`丰台政治二模阅卷评标.docx`） 【证据：A细则/阅卷/评分标准直接支持】,价值观的导向作用 / 理想信念,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0218,2024北京朝阳高三期中 第17题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`） 【证据：A细则/阅卷/评分标准直接支持】,价值观的导向作用,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0418,2024北京石景山高三一模 第3题,社会意识 / 文化精神 / 价值观导向,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
价值观的导向作用,V3-FW-0209,2025北京丰台高三二模 第5题,价值观的导向作用,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
价值观的导向作用,V3-FW-0301,2025北京石景山高三一模 第21题,党的领导 / 价值导向 / 人民立场,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0204,2026北京朝阳高三一模 第2题,价值观的导向作用,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
价值观的导向作用,V3-FW-0207,2026北京朝阳高三（上）期中 第18题（正式阅卷细则） 【证据：A细则/阅卷/评分标准直接支持】,价值观的导向作用,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0252,2026北京海淀高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,价值观的导向作用,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0252,2026北京海淀高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,发展观点；社会存在与社会意识；价值观导向；文化功能,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0254,2026北京西城高三一模 第16题,联系观点；发展观点；正确意识的促进作用；价值观导向；辩证思维；超前思维,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
价值判断与价值选择,V3-FW-0475,2024北京朝阳高三期中 第1题,人生价值 / 价值判断与价值选择 / 民族精神和时代精神,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
价值判断与价值选择,V3-FW-0439,2024北京西城高三一模 第17题,价值判断与价值选择 / 人与自然生命共同体,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
价值判断与价值选择,V3-FW-0307,2025北京门头沟高三一模 第16题,价值判断与价值选择,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
价值判断与价值选择,V3-FW-0310,2025北京门头沟高三一模 第21题（2）,主观与客观具体的历史的统一 / 正确价值判断与价值选择,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
价值判断与价值选择,V3-FW-0316,2025北京顺义高三一模 第4题,价值判断与价值选择 / 社会生活与技术互动,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
实现人生价值,V3-FW-0228,2025北京丰台高三（上）期末 第4题（教师版答案解析） 【证据：C选择题正确项；有可靠答案源】,实现人生价值,C,Codex-V3融合终稿,SUPPORTED_DIRECT_CHOICE_TEXT
文化触发补充,V3-FW-0382,2024北京朝阳高三一模 第1题,中华优秀传统文化 / 马克思主义中国化时代化 / 文化根基,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
文化触发补充,V3-FW-0399,2024北京海淀高三一模 第4题,中华优秀传统文化 / 文化传承连续性 / 天人合一,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
文化触发补充,V3-FW-0419,2024北京石景山高三一模 第4题,中华优秀传统文化 / 文化交流互鉴 / 文化自信,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
文化触发补充,V3-FW-0431,2024北京西城高三一模 第4题,文化功能 / 群众文化 / 基层治理,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
文化触发补充,V3-FW-0276,2025北京东城高三（上）期末 第16题,文化载体,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
