section,audit_id,source,trigger,evidence_grade,content_verdict
文化触发补充,V3-FW-0419,2024北京石景山高三一模 第4题,中华优秀传统文化 / 文化交流互鉴 / 文化自信,C,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0429,2024北京西城高三一模 第2题,实践观点 / 群众观点 / 实事求是,C,SUPPORTED_DIRECT_CHOICE_TEXT
文化触发补充,V3-FW-0431,2024北京西城高三一模 第4题,文化功能 / 群众文化 / 基层治理,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾的普遍性,V3-FW-0432,2024北京西城高三一模 第9题,矛盾普遍性 / 生命观 / 价值反思,C,SUPPORTED_DIRECT_CHOICE_TEXT
主观能动性 / 意识的能动作用,V3-FW-0436,2024北京西城高三一模 第17题,规律客观性 / 主观能动性 / 实践观点,A,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0438,2024北京西城高三一模 第17题,发展观点 / 辩证否定 / 生态价值观,A,SUPPORTED_DIRECT_RUBRIC
价值判断与价值选择,V3-FW-0439,2024北京西城高三一模 第17题,价值判断与价值选择 / 人与自然生命共同体,A,SUPPORTED_DIRECT_RUBRIC
人民群众,V3-FW-0440,2024北京朝阳高三二模 第1题,人民立场 / 人民群众 / 价值观导向,C,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0441,2024北京朝阳高三二模 第2题,联系观点 / 整体与部分 / 系统观念,C,SUPPORTED_DIRECT_CHOICE_TEXT
量变与质变 / 适度原则,V3-FW-0443,2024北京朝阳高三二模 第6题,发展观点 / 量变质变 / 渐进性与飞跃性,C,SUPPORTED_DIRECT_CHOICE_TEXT
尊重客观规律与发挥主观能动性相结合,V3-FW-0444,2024北京朝阳高三二模 第16题（2）,实践观点 / 发展观点 / 联系观点 / 物质与意识辩证关系 / 尊重规律与发挥主观能动性,A,SUPPORTED_DIRECT_RUBRIC
认识发展原理,V3-FW-0445,2024北京朝阳高三二模 第16题（2）,社会存在与社会意识 / 认识发展 / 技术反作用,A,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0446,2024北京朝阳高三二模 第16题（2）,矛盾对立统一 / 辩证思维,A,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0447,2024北京朝阳高三二模 第16题（2）,价值判断与价值选择 / 人民群众 / 具体问题具体分析,A,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0448,2024北京朝阳高三二模 第19题（3）,发展观点 / 中华优秀传统文化 / 中国式现代化,A,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0449,2024北京朝阳高三二模 第19题（3）,人与自然和谐共生 / 共同富裕 / 和平发展,A,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0450,2024北京朝阳高三二模 第19题（3）,价值观导向 / 民族精神 / 实践奋斗,A,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0451,2024北京朝阳高三二模 第19题（3）,创造性转化、创新性发展 / 两个结合 / 文化自信,A,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0456,2024北京东城高三二模 第16题,一切从实际出发 / 尊重规律与发挥主观能动性 / 联系系统 / 发展观点 / 辩证否定 / 人民群众 / 价值观导向,A,SUPPORTED_DIRECT_RUBRIC
社会发展的两大基本规律和基本矛盾,V3-FW-0457,2024北京东城高三二模 第18题（2）,上层建筑适应经济基础 / 具体问题具体分析 / 主体措施链,A,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0458,2024北京东城高三二模 第21题,联系观点 / 系统观念 / 意识能动作用 / 从实际出发和遵循社会发展规律,B,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0462,2024北京海淀高三二模 第4题,一切从实际出发 / 实事求是 / 具体问题具体分析,C,SUPPORTED_DIRECT_CHOICE_TEXT
联系的普遍性 / 联系的观点（总）,V3-FW-0463,2024北京海淀高三二模 第15题,联系观点 / 文化交流互鉴 / 人类命运共同体,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0464,2024北京海淀高三二模 第16题,联系普遍性 / 矛盾对立统一 / 价值观导向 / 人生价值,B,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0465,2024北京海淀高三二模 第17题（1）,整体与部分 / 系统优化 / 矛盾分析法 / 具体问题具体分析,B,SUPPORTED_DIRECT_RUBRIC
认识发展原理,V3-FW-0466,2024北京海淀高三二模 第17题（2）,实践决定认识 / 认识发展 / 感性认识到理性认识,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0469,2024北京海淀高三二模 第21题,系统观念 / 文化自信 / 创新意识,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0471,2024北京西城高三二模 第2题,中华民族共同体意识 / 文化多样性 / 中华文化整体性,C,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0472,2024北京西城高三二模 第7题,矛盾特殊性 / 一切从实际出发 / 守正创新,C,SUPPORTED_DIRECT_CHOICE_TEXT
价值判断与价值选择,V3-FW-0475,2024北京朝阳高三期中 第1题,人生价值 / 价值判断与价值选择 / 民族精神和时代精神,C,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0478,2024北京朝阳高三期中 第4题,联系观点 / 系统优化方法 / 创新意识,C,SUPPORTED_DIRECT_CHOICE_TEXT
认识发展原理,V3-FW-0479,2024北京朝阳高三期中 第5题,哲学起源 / 认识发展 / 理性认识,C,SUPPORTED_DIRECT_CHOICE_TEXT
